Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Castanhao,2002,-38.4502293061,-5.48909482144,670000,590.41,39552.69
Patos,2002,-40.036497,-3.7614440000000013,755,8184.17,617.79
Nova floresta,2002,-38.907803,-5.9492629999999975,519,3334.0,173.08
Manoel balbino,2002,-39.329299645700004,-7.107291457310001,3718,1051.43,390.97
Salao,2002,-39.3111742,-4.4069701,604,688.47,41.65
Poco do barro,2002,-38.4595984652,-5.382572887669999,5200,2857.26,1485.8
Riacho do sangue,2002,-38.9506399185,-5.693736833230001,6142,7626.6,4684.26
Quixeramobim,2002,-39.3127774588,-5.19828377485,5400,8874.89,4792.44
Serafim dias,2002,-39.6472365319,-5.728479651209999,4300,5301.62,2279.71
Umari,2002,-39.551388,-4.809116,3504,2983.94,1045.62
Ema,2002,-38.3449743134,-5.776328844959999,1039,4785.22,497.19
Premuoca,2002,-38.9565822652,-6.40214304255,520,6681.12,347.35
Gomes,2002,-38.73024,-7.481016,239,7274.69,173.88
Jenipapeiro,2002,-39.2474835705,-5.8131511541400025,1700,4443.08,755.37
Pedras brancas,2002,-38.8777544386,-5.14985135743,43404,595.75,2586.09
Poco da pedra,2002,-40.3559822646,-6.98372899185,5200,63.77,33.37
Araras,2002,-40.448598424400004,-4.20951501641,89100,8187.94,72954.56
Lima campos,2002,-39.059782,-6.417186,6638,1764.59,1171.43
Forquilha,2002,-40.2535632298,-3.79604357192,5013,3497.69,1753.43
Bonito,2002,-40.684951,-4.3098849999999995,600,1941.15,116.62
Frios,2002,-39.295427951,-3.69046238001,3302,7030.94,2321.77
Carao,2002,-40.361733153,-4.81667052184,2623,3695.74,969.43
Favelas,2002,-40.1230031725,-5.98302184084,3010,1337.32,402.56
Santo antonio de russas,2002,0.0,0.0,2400,539.03,129.35
Amanary,2002,-38.8837233213,-4.01262168678,1101,6024.08,663.36
Prazeres,2002,-38.6829425533,-7.109019720510001,3250,2429.92,789.78
Realejo,2002,-40.8050668199,-5.261104572130002,3155,575.21,181.59
Mundau,2002,-39.516132,-3.6336209999999998,2130,8972.06,1911.09
General sampaio,2002,-39.4537367839,-4.06243387754,32220,1527.3,4921.27
Trici,2002,-40.413943243,-5.91533033329,1650,1287.47,212.5
Tucunduba,2002,-40.4458464533,-3.1795909254400003,4143,8628.52,3574.85
Trussu,2002,-39.433659842,-6.3082942087900005,30100,5195.03,15636.82
Santo antonio de aracatiacu,2002,0.0,0.0,2434,7210.74,1755.14
Patu,2002,-39.4023005082,-5.581869982080001,7183,5728.74,4115.06
Farias de sousa,2002,-40.582480572399994,-4.76698183204,1223,2529.43,309.49
Caxitore,2002,-39.3553731239,-3.7419144402099995,20200,1930.28,3899.14
Quincoe,2002,-39.454306,-6.084822,433,7564.0,327.6
Sao mateus,2002,-39.315869202399995,-4.37069635174,1033,8023.06,828.76
Tejucuoca,2002,-39.505976259099995,-3.97597115391,2811,2992.51,841.17
Pentecoste,2002,-39.261648178099996,-3.80330004105,36000,6326.97,22777.52
Forquilha ii,2002,-40.3993464,-5.9427898,340,446.06,15.17
Varzea do boi,2002,-40.2525492337,-5.90952523694,5191,300.21,155.83
Sobral,2002,-40.365556,-3.65705,468,8254.56,386.56
Acarau mirim,2002,0.0,0.0,5200,9300.33,4836.22
Riachao,2002,-38.5231717263,-4.00099902774,4695,1253.5,588.55
Sao vicente,2002,-40.263431,-3.397075,984,7606.0,748.62
Joaquim tavora,2002,-38.8304650715,-5.9490545711800005,2677,230.48,61.87
Banabuiu,2002,-38.9223710722,-5.32859467909,160100,2685.11,42988.24
Sao pedro timbauba,2002,0.0,0.0,1925,8738.65,1682.24
Pompeu sobrinho,2002,-39.1409573634,-4.8383462558899994,14300,1118.21,1599.24
Oros,2002,-38.9250093577,-6.2381264298,194000,1884.57,36561.46
Atalho,2002,-38.8936496392,-7.641678529360001,10825,1874.0,2028.57
Santa maria de aracatiacu,2002,0.0,0.0,820,1314.68,107.89
Quixabinha,2002,-38.746745161199996,-7.501917402889999,3178,1701.94,540.92
Varzea da volta,2002,-40.6146865971,-3.5021432096800007,1250,8125.49,1015.71
