Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Rivaldo de carvalho,2014,-39.9331061101,-6.2722289939600016,1952,1363.29,266.12
Castanhao,2014,-38.4502293061,-5.48909482144,670000,3451.33,231240.83
Patos,2014,-40.036497,-3.761444000000001,755,235.22,17.71
Sao jose ii,2014,-39.4776763945,-5.8374046896700005,2914,1102.81,321.36
Carnaubal,2014,-40.668200617,-5.280081325019999,8769,99.85,87.58
Nova floresta,2014,-38.907803,-5.9492629999999975,519,1771.16,91.91
Manoel balbino,2014,-39.329299645700004,-7.107291457310001,3718,1466.94,545.42
Souza,2014,-39.2825672821,-4.39272804136,3084,16.63,5.23
Trapia iii,2014,-40.71186,-3.753362,551,2784.05,153.4
Salao,2014,-39.3111742,-4.4069701,604,152.92,9.32
Madeiro,2014,-38.553137,-6.189098,281,41.19,1.16
Poco do barro,2014,-38.4595984652,-5.382572887669999,5200,1328.22,690.66
Fogareiro,2014,-39.4913777371,-5.16690241966,11882,943.72,1121.34
Riacho do sangue,2014,-38.9506399185,-5.693736833230001,6142,1713.36,1052.33
Colina,2014,-40.712804,-5.840381,325,272.75,8.87
Carmina,2014,-40.2019816973,-4.6664533617699995,1363,216.36,29.51
Quixeramobim,2014,-39.3127774588,-5.19828377485,5400,6546.03,3534.89
Pacajus,2014,-38.3838534079,-4.22225681679,24000,2350.89,5642.11
Serafim dias,2014,-39.6472365319,-5.728479651209999,4300,1023.24,439.99
Umari,2014,-39.551388,-4.809116,3504,1044.46,365.99
Castro,2014,-38.932369564,-4.56489990367,6390,1177.16,752.21
Ema,2014,-38.3449743134,-5.776328844959999,1039,1132.6,117.68
Premuoca,2014,-38.9565822652,-6.40214304255,520,1204.77,62.66
Gomes,2014,-38.73024,-7.481016,239,2076.06,49.64
Parambu,2014,-40.711288,-6.202115,853,164.52,14.01
Tijuquinha,2014,-38.894027,-4.317856,97,3963.41,38.45
Jenipapeiro,2014,-39.2474835705,-5.8131511541400025,1700,1770.57,300.98
Pedras brancas,2014,-38.8777544386,-5.14985135743,43404,2307.38,10015.03
Canoas,2014,-39.94061022,-6.94638721095,6925,2690.25,1862.99
Gangorra,2014,-40.8614034371,-3.1683172022099995,6250,2749.73,1718.59
Rosario,2014,0.0,0.0,4720,4929.2,2326.57
Penedo,2014,-38.744555,-3.970682,241,122.26,2.96
Catucinzenta,2014,-38.4369544335,-4.0218331131400005,2713,1558.08,422.71
Pau preto,2014,-40.084615,-7.081014,181,783.08,14.17
Trapia ii,2014,-39.7366728894,-5.5025788899900006,1819,1288.26,234.33
Poco da pedra,2014,-40.3559822646,-6.98372899185,5200,1130.16,587.65
Araras,2014,-40.448598424400004,-4.20951501641,89100,1663.63,14822.82
Lima campos,2014,-39.059782,-6.417186,6638,6041.52,4010.41
Forquilha,2014,-40.2535632298,-3.79604357192,5013,1523.77,763.86
Bonito,2014,-40.684951,-4.3098849999999995,600,326.35,19.56
Gaviao,2014,-38.5553424021,-3.9059618445,3330,9024.76,3005.34
Sitios novos,2014,-38.9597828672,-3.77127334573,12600,928.4,1169.78
Frios,2014,-39.295427951,-3.69046238001,3302,824.89,272.37
Ubaldinho,2014,-39.2375639263,-6.58385878059,3180,5789.45,1841.05
Do coronel,2014,-39.93275197,-6.733659208,177,3375.67,59.75
Cipoada,2014,-38.645778484699996,-5.261854813919999,8609,894.41,769.99
Batente,2014,-38.48875,-4.651008,3351,2879.58,964.94
Acarape do meio,2014,-38.7993848299,-4.19354599542,2959,2834.2,838.64
Carao,2014,-40.361733153,-4.81667052184,2623,782.63,205.29
Tigre,2014,-39.15382,-5.889177,351,1991.49,69.91
Pirabibu,2014,-39.3657924914,-4.980754081080001,7400,296.79,219.62
Fae,2014,-39.2180849523,-6.161337629219999,1900,217.58,41.34
Cupim,2014,-40.204276,-5.470685,455,297.71,13.55
Favelas,2014,-40.1230031725,-5.98302184084,3010,868.85,261.53
