Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Castanhao,2009,-38.4502293061,-5.48909482144,670000,8488.38,568721.55
Patos,2009,-40.036497,-3.7614440000000013,755,8681.55,655.3
Nova floresta,2009,-38.907803,-5.9492629999999975,519,9312.35,483.35
Manoel balbino,2009,-39.329299645700004,-7.107291457310001,3718,5466.69,2032.56
Salao,2009,-39.3111742,-4.4069701,604,5833.53,352.29
Poco do barro,2009,-38.4595984652,-5.382572887669999,5200,8508.94,4424.64
Riacho do sangue,2009,-38.9506399185,-5.693736833230001,6142,8780.8,5393.01
Quixeramobim,2009,-39.3127774588,-5.19828377485,5400,9349.88,5048.93
Serafim dias,2009,-39.6472365319,-5.728479651209999,4300,8854.63,3807.53
Umari,2009,-39.551388,-4.809116,3504,6983.88,2447.28
Ema,2009,-38.3449743134,-5.776328844959999,1039,8845.02,918.99
Premuoca,2009,-38.9565822652,-6.40214304255,520,8301.6,431.65
Gomes,2009,-38.73024,-7.481016,239,8306.7,198.57
Jenipapeiro,2009,-39.2474835705,-5.8131511541400025,1700,8901.56,1513.25
Pedras brancas,2009,-38.8777544386,-5.14985135743,43404,6176.67,26809.22
Poco da pedra,2009,-40.3559822646,-6.98372899185,5200,4715.32,2451.94
Araras,2009,-40.448598424400004,-4.20951501641,89100,8935.53,79615.43
Lima campos,2009,-39.059782,-6.417186,6638,7150.25,4746.45
Forquilha,2009,-40.2535632298,-3.79604357192,5013,8206.7,4114.0
Bonito,2009,-40.684951,-4.3098849999999995,600,5956.32,357.52
Frios,2009,-39.295427951,-3.69046238001,3302,7256.17,2396.14
Carao,2009,-40.361733153,-4.81667052184,2623,8630.84,2263.78
Favelas,2009,-40.1230031725,-5.98302184084,3010,6697.83,2016.15
Santo antonio de russas,2009,0.0,0.0,2400,7197.65,1727.46
Amanary,2009,-38.8837233213,-4.01262168678,1101,6152.94,677.45
Prazeres,2009,-38.6829425533,-7.109019720510001,3250,9293.76,3020.46
Realejo,2009,-40.8050668199,-5.261104572130002,3155,6779.03,2138.84
Mundau,2009,-39.516132,-3.6336209999999998,2130,9063.77,1930.64
General sampaio,2009,-39.4537367839,-4.06243387754,32220,6331.03,20398.51
Trici,2009,-40.413943243,-5.91533033329,1650,7257.04,1197.42
Tucunduba,2009,-40.4458464533,-3.1795909254400003,4143,8977.76,3719.82
Trussu,2009,-39.433659842,-6.3082942087900005,30100,8039.59,24199.26
Santo antonio de aracatiacu,2009,0.0,0.0,2434,8949.45,2178.42
Patu,2009,-39.4023005082,-5.581869982080001,7183,8935.19,6418.16
Farias de sousa,2009,-40.582480572399994,-4.76698183204,1223,6904.53,844.43
Curral velho,2009,-38.383801,-5.04557,1217,7357.38,895.27
Caxitore,2009,-39.3553731239,-3.74191444021,20200,7596.24,15344.4
Sao mateus,2009,-39.315869202399995,-4.37069635174,1033,8820.06,911.1
Tejucuoca,2009,-39.505976259099995,-3.97597115391,2811,6940.44,1950.95
Pentecoste,2009,-39.261648178099996,-3.80330004105,36000,6772.4,24380.78
Forquilha ii,2009,-40.3993464,-5.9427898,340,7516.41,255.55
Varzea do boi,2009,-40.2525492337,-5.90952523694,5191,7611.3,3951.23
Sobral,2009,-40.365556,-3.65705,468,9138.02,427.8
Itapebussu,2009,-38.903176,-4.059148,630,9556.62,602.23
Acarau mirim,2009,0.0,0.0,5200,9722.36,5055.63
Riachao,2009,-38.5231717263,-4.00099902774,4695,1044.31,490.5
Sao vicente,2009,-40.263431,-3.397075,984,9012.57,887.1
Joaquim tavora,2009,-38.8304650715,-5.9490545711800005,2677,8741.88,2340.14
Banabuiu,2009,-38.9223710722,-5.32859467909,160100,7978.55,127736.36
Sao pedro timbauba,2009,0.0,0.0,1925,9474.6,1823.86
Pompeu sobrinho,2009,-39.1409573634,-4.83834625589,14300,5085.82,7272.76
Oros,2009,-38.9250093577,-6.2381264298,194000,9219.43,178856.91
Atalho,2009,-38.8936496392,-7.641678529360001,10825,8949.84,9688.16
Santa maria de aracatiacu,2009,0.0,0.0,820,7725.85,633.4
Quixabinha,2009,-38.746745161199996,-7.501917402889999,3178,3467.27,1101.91
Varzea da volta,2009,-40.6146865971,-3.5021432096800007,1250,8984.06,1123.07
