Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Rivaldo de carvalho,2018,-39.9331061101,-6.2722289939600016,1952,346.23,67.58
Castanhao,2018,-38.4502293061,-5.48909482144,670000,587.07,39332.16
Patos,2018,-40.036497,-3.761444000000001,755,6550.22,494.54
Sao jose ii,2018,-39.4776763945,-5.8374046896700005,2914,26.63,7.78
Carnaubal,2018,-40.668200617,-5.280081325019999,8769,596.53,523.08
Nova floresta,2018,-38.907803,-5.9492629999999975,519,10.27,0.54
Manoel balbino,2018,-39.329299645700004,-7.107291457310001,3718,510.13,189.67
Souza,2018,-39.2825672821,-4.39272804136,3084,19.62,6.06
Trapia iii,2018,-40.71186,-3.753362,551,5737.85,316.15
Salao,2018,-39.3111742,-4.4069701,604,405.85,24.5
Madeiro,2018,-38.553137,-6.189098,281,244.07,6.86
Poco do barro,2018,-38.4595984652,-5.382572887669999,5200,826.25,429.57
Barragem do batalhao,2018,-40.65618,-5.19441,153,6265.3,95.86
Fogareiro,2018,-39.4913777371,-5.1669024196599995,11882,295.19,350.73
Riacho do sangue,2018,-38.9506399185,-5.693736833230001,6142,84.51,51.8
Colina,2018,-40.712804,-5.840381,325,9619.69,312.64
Carmina,2018,-40.2019816973,-4.66645336177,1363,233.03,31.76
Quixeramobim,2018,-39.3127774588,-5.19828377485,5400,717.37,387.38
Pacajus,2018,-38.3838534079,-4.22225681679,24000,3707.78,8898.6
Serafim dias,2018,-39.6472365319,-5.728479651209999,4300,0.0,0.0
Umari,2018,-39.551388,-4.809116,3504,5273.57,1847.87
Castro,2018,-38.932369564,-4.56489990367,6390,67.17,42.88
Ema,2018,-38.3449743134,-5.776328844959999,1039,460.54,47.84
Premuoca,2018,-38.9565822652,-6.40214304255,520,2963.17,154.08
Gomes,2018,-38.73024,-7.481016,239,7787.35,186.12
Parambu,2018,-40.711288,-6.202115,853,56.9,4.85
Tijuquinha,2018,-38.894027,-4.317856,97,3228.25,31.31
Jenipapeiro,2018,-39.2474835705,-5.8131511541400025,1700,69.72,11.86
Germinal,2018,0.0,0.0,211,9801.63,206.52
Pedras brancas,2018,-38.8777544386,-5.14985135743,43404,1191.74,5172.58
Canoas,2018,-39.94061022,-6.94638721095,6925,882.95,611.45
Gangorra,2018,-40.8614034371,-3.1683172022099995,6250,6400.81,4000.49
Rosario,2018,0.0,0.0,4720,5916.68,2792.66
Penedo,2018,-38.744555,-3.970682,241,1194.54,28.79
Catucinzenta,2018,-38.4369544335,-4.0218331131400005,2713,956.71,259.57
Pau preto,2018,-40.084615,-7.081014,181,5429.73,98.28
Trapia ii,2018,-39.7366728894,-5.5025788899900006,1819,714.32,129.96
Poco da pedra,2018,-40.3559822646,-6.98372899185,5200,229.35,119.25
Araras,2018,-40.448598424400004,-4.20951501641,89100,2072.73,18468.19
Lima campos,2018,-39.059782,-6.417186,6638,771.23,511.97
Forquilha,2018,-40.2535632298,-3.79604357192,5013,2219.52,1112.65
Bonito,2018,-40.684951,-4.3098849999999995,600,2293.28,137.6
Gaviao,2018,-38.5553424021,-3.9059618445,3330,8319.7,2770.55
Sitios novos,2018,-38.9597828672,-3.77127334573,12600,512.24,645.41
Frios,2018,-39.295427951,-3.69046238001,3302,1394.44,460.47
Ubaldinho,2018,-39.2375639263,-6.58385878059,3180,2789.93,887.2
Do coronel,2018,-39.93275197,-6.733659208,177,4515.14,79.92
Cipoada,2018,-38.645778484699996,-5.261854813919999,8609,567.94,488.92
Batente,2018,-38.48875,-4.651008,3351,6413.93,2149.33
Acarape do meio,2018,-38.7993848299,-4.19354599542,2959,4666.53,1380.83
Carao,2018,-40.361733153,-4.81667052184,2623,0.0,0.0
Tigre,2018,-39.15382,-5.889177,351,288.93,10.15
Pirabibu,2018,-39.3657924914,-4.980754081080001,7400,491.47,363.66
Fae,2018,-39.2180849523,-6.161337629219999,1900,0.0,0.0
Cupim,2018,-40.204276,-5.470685,455,1981.49,90.16
Favelas,2018,-40.1230031725,-5.98302184084,3010,0.0,0.0
Sucesso,2018,-40.5240408341,-4.9552218928,1000,3619.47,361.95
Quandu,2018,-39.629489,-3.5737370000000004,400,6028.96,241.16
Santo antonio de russas,2018,0.0,0.0,2400,3315.01,795.59
Arneiroz ii,2018,-40.220220464,-6.27146638594,19706,939.68,1851.75
Malcozinhado,2018,-38.2890791497,-4.10582877875,3784,649.83,245.89
Amanary,2018,-38.8837233213,-4.01262168678,1101,3343.44,368.11
Prazeres,2018,-38.6829425533,-7.109019720510001,3250,3383.88,1099.76
Santo antonio,2018,-38.370149,-5.898912,83,284.82,2.37
Taquara,2018,-40.611118,-3.896112000000002,32078,3063.76,9828.0
Martinopole,2018,-40.6162092689,-3.2370326144200003,2320,4479.73,1039.3
Realejo,2018,-40.8050668199,-5.261104572130002,3155,84.37,26.62
Jatoba,2018,-39.10435886,-5.542865475,107,2374.57,25.41
Riacho da serra,2018,-38.325225,-5.562632,2347,429.79,100.87
Mundau,2018,-39.516132,-3.6336209999999998,2130,4858.55,1034.87
General sampaio,2018,-39.4537367839,-4.06243387754,32220,1970.19,6347.87
Valerio,2018,-39.727292999999996,-6.967953,202,7883.11,159.24
Sao jose iii,2018,-40.77043,-4.897313,796,1363.51,108.54
Jerimum,2018,-39.6896801289,-3.8375328506099997,2050,1256.13,257.5
Trici,2018,-40.413943243,-5.91533033329,1650,4507.52,743.74
Edson queiroz,2018,-40.066569863699996,-4.21537241249,25400,3198.71,8124.81
Cachoeira,2018,-39.102801,-7.020179,3433,1860.27,638.63
Tucunduba,2018,-40.4458464533,-3.1795909254400003,4143,9159.99,3794.97
Trussu,2018,-39.433659842,-6.3082942087900005,30100,622.66,1874.36
Bengue,2018,-40.1392436122,-6.59658743945,1956,615.14,120.32
Santo antonio de aracatiacu,2018,0.0,0.0,2434,3118.34,759.0
Sao domingos ii,2018,-39.28301,-7.029354,225,3712.11,83.52
Patu,2018,-39.4023005082,-5.581869982080001,7183,978.36,702.77
Figueiredo,2018,0.0,0.0,50969,660.42,3366.09
Flor do campo,2018,-40.6717961812,-5.57067277258,10500,160.2,168.21
Farias de sousa,2018,-40.582480572399994,-4.76698183204,1223,540.58,66.12
Desterro,2018,-39.115126,-4.058951,501,1391.6,69.72
Thomas osterne,2018,-39.4869088371,-7.0907780781800005,2878,1255.87,361.45
Pacoti,2018,-38.5333114066,-4.03602241472,38000,2015.82,7660.35
Aracoiaba,2018,-38.695724978200005,-4.40220028355,17070,2726.22,4653.65
Sao domingos,2018,-39.283268,-4.220286,320,3233.88,103.48
Caldeiroes,2018,0.0,0.0,113,7147.91,80.77
Arrebita,2018,-40.2707202921,-3.85306388499,1960,2524.92,494.89
Gameleira,2018,-39.49250558378087,-3.371389673233692,5264,8771.25,4617.2
Poco verde,2018,-39.6295223261,-3.438721262790001,1365,6923.98,945.12
Curral velho,2018,-38.383801,-5.04557,1217,6647.4,808.98
Olho d'agua,2018,0.0,0.0,2100,2866.12,601.88
Cedro,2018,-39.0631731394,-4.9777287252199995,12600,143.75,181.07
Caxitore,2018,-39.3553731239,-3.74191444021,20200,1367.21,2761.83
