Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Patos,1994,-40.036497,-3.761444000000001,755,2784.0,210.0
Nova floresta,1994,-38.907803,-5.9492629999999975,519,2284.0,119.0
Manoel balbino,1994,-39.329299645700004,-7.107291457310001,3718,837.0,311.0
Salao,1994,-39.3111742,-4.4069701,604,1714.0,104.0
Poco do barro,1994,-38.4595984652,-5.382572887669999,5200,1480.0,770.0
Umari,1994,-39.551388,-4.809116,3504,524.0,184.0
Pedras brancas,1994,-38.8777544386,-5.14985135743,43404,1485.0,6445.0
Araras,1994,-40.448598424400004,-4.20951501641,89100,1270.0,11313.0
Lima campos,1994,-39.059782,-6.417186,6638,1457.0,967.0
Forquilha,1994,-40.2535632298,-3.79604357192,5013,1171.0,587.0
Frios,1994,-39.295427951,-3.69046238001,3302,4475.0,1478.0
Carao,1994,-40.361733153,-4.81667052184,2623,2517.0,660.0
Favelas,1994,-40.1230031725,-5.98302184084,3010,1156.0,348.0
Prazeres,1994,-38.6829425533,-7.109019720510001,3250,10000.0,3250.0
Mundau,1994,-39.516132,-3.633621,2130,3350.0,714.0
General sampaio,1994,-39.4537367839,-4.06243387754,32220,496.0,1597.0
Trici,1994,-40.413943243,-5.91533033329,1650,2584.0,426.0
Tucunduba,1994,-40.4458464533,-3.1795909254400003,4143,8508.0,3525.0
Santo antonio de aracatiacu,1994,0.0,0.0,2434,1284.0,313.0
Patu,1994,-39.4023005082,-5.581869982080001,7183,3036.0,2181.0
Caxitore,1994,-39.3553731239,-3.74191444021,20200,673.0,1360.0
Sao mateus,1994,-39.315869202399995,-4.37069635174,1033,1876.0,194.0
Pentecoste,1994,-39.261648178099996,-3.80330004105,36000,843.0,3034.0
Varzea do boi,1994,-40.2525492337,-5.90952523694,5191,568.0,295.0
Sobral,1994,-40.365556,-3.65705,468,3717.0,174.0
Acarau mirim,1994,0.0,0.0,5200,9683.0,5035.0
Banabuiu,1994,-38.9223710722,-5.32859467909,160100,1149.0,18396.0
Sao pedro timbauba,1994,0.0,0.0,1925,10005.0,1926.0
Pompeu sobrinho,1994,-39.1409573634,-4.83834625589,14300,1272.0,1819.0
Oros,1994,-38.9250093577,-6.2381264298,194000,2003.0,38860.0
Atalho,1994,-38.8936496392,-7.641678529360001,10825,1465.0,1586.0
Quixabinha,1994,-38.746745161199996,-7.501917402889999,3178,2572.0,817.0
Varzea da volta,1994,-40.6146865971,-3.5021432096800007,1250,3848.0,481.0
