Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Rivaldo de carvalho,2011,-39.9331061101,-6.2722289939600016,1952,8390.22,1637.82
Castanhao,2011,-38.4502293061,-5.48909482144,670000,7471.19,500568.27
Patos,2011,-40.036497,-3.761444000000001,755,7570.53,571.55
Sao jose ii,2011,-39.4776763945,-5.8374046896700005,2914,8623.0,2512.84
Carnaubal,2011,-40.668200617,-5.280081325019999,8769,4834.06,4239.02
Nova floresta,2011,-38.907803,-5.9492629999999975,519,7995.88,415.0
Manoel balbino,2011,-39.329299645700004,-7.107291457310001,3718,4597.58,1709.43
Souza,2011,-39.2825672821,-4.39272804136,3084,3846.74,1186.28
Trapia iii,2011,-40.71186,-3.753362,551,7407.3,408.14
Salao,2011,-39.3111742,-4.4069701,604,3531.38,213.28
Madeiro,2011,-38.553137,-6.189098,281,1963.38,55.12
Poco do barro,2011,-38.4595984652,-5.382572887669999,5200,5546.02,2883.92
Fogareiro,2011,-39.4913777371,-5.16690241966,11882,9284.48,11031.68
Riacho do sangue,2011,-38.9506399185,-5.693736833230001,6142,8319.99,5110.07
Colina,2011,-40.712804,-5.840381,325,3400.3,110.48
Carmina,2011,-40.2019816973,-4.6664533617699995,1363,3152.48,429.72
Quixeramobim,2011,-39.3127774588,-5.19828377485,5400,9294.54,5019.05
Pacajus,2011,-38.3838534079,-4.22225681679,24000,9026.08,21662.4
Serafim dias,2011,-39.6472365319,-5.728479651209999,4300,8392.71,3608.87
Umari,2011,-39.551388,-4.809116,3504,4253.41,1490.4
Castro,2011,-38.932369564,-4.56489990367,6390,5345.06,3415.4
Ema,2011,-38.3449743134,-5.776328844959999,1039,7556.94,785.17
Premuoca,2011,-38.9565822652,-6.40214304255,520,8451.84,439.46
Gomes,2011,-38.73024,-7.481016,239,7411.02,177.2
Parambu,2011,-40.711288,-6.202115,853,3439.08,293.36
Tijuquinha,2011,-38.894027,-4.317856,97,9266.16,89.82
Jenipapeiro,2011,-39.2474835705,-5.8131511541400025,1700,8452.84,1437.03
Pedras brancas,2011,-38.8777544386,-5.14985135743,43404,6125.0,26585.27
Canoas,2011,-39.94061022,-6.94638721095,6925,7845.96,5433.36
Gangorra,2011,-40.8614034371,-3.1683172022099995,6250,8599.04,5374.44
Rosario,2011,0.0,0.0,4720,8450.64,3988.58
Penedo,2011,-38.744555,-3.970682,241,6426.46,154.82
Catucinzenta,2011,-38.4369544335,-4.0218331131400005,2713,8676.28,2353.9
Pau preto,2011,-40.084615,-7.081014,181,8490.72,153.58
Trapia ii,2011,-39.7366728894,-5.5025788899900006,1819,8308.34,1511.24
Poco da pedra,2011,-40.3559822646,-6.98372899185,5200,5107.84,2656.03
Araras,2011,-40.448598424400004,-4.20951501641,89100,7750.29,69055.32
Lima campos,2011,-39.059782,-6.417186,6638,7132.44,4734.53
Forquilha,2011,-40.2535632298,-3.79604357192,5013,8431.84,4226.82
Bonito,2011,-40.684951,-4.3098849999999995,600,8154.09,489.24
Gaviao,2011,-38.5553424021,-3.9059618445,3330,9042.7,3011.36
Sitios novos,2011,-38.9597828672,-3.77127334573,12600,8573.32,10802.32
Frios,2011,-39.295427951,-3.69046238001,3302,7368.3,2433.06
Ubaldinho,2011,-39.2375639263,-6.58385878059,3180,8824.92,2806.22
Do coronel,2011,-39.93275197,-6.733659208,177,4839.46,85.74
Cipoada,2011,-38.645778484699996,-5.261854813919999,8609,3659.3,3150.3
Acarape do meio,2011,-38.7993848299,-4.19354599542,2959,8579.6,2538.74
Carao,2011,-40.361733153,-4.81667052184,2623,5715.25,1499.1
Tigre,2011,-39.15382,-5.889177,351,5857.7,205.64
Pirabibu,2011,-39.3657924914,-4.980754081080001,7400,2499.48,1849.62
Fae,2011,-39.2180849523,-6.161337629219999,1900,7862.3,1493.8
Cupim,2011,-40.204276,-5.470685,455,6193.6,281.76
Favelas,2011,-40.1230031725,-5.98302184084,3010,6687.32,2012.9
Sucesso,2011,-40.5240408341,-4.9552218928,1000,4022.84,402.32
Quandu,2011,-39.629489,-3.5737370000000004,400,7490.24,299.4
Santo antonio de russas,2011,0.0,0.0,2400,7776.57,1866.38
Arneiroz ii,2011,-40.220220464,-6.27146638594,19706,7202.43,14193.12
Malcozinhado,2011,-38.2890791497,-4.10582877875,3784,8759.22,3314.46
Amanary,2011,-38.8837233213,-4.01262168678,1101,4418.09,486.45
Prazeres,2011,-38.6829425533,-7.109019720510001,3250,9157.91,2976.31
Santo antonio,2011,-38.370149,-5.898912,83,6894.68,57.18
Martinopole,2011,-40.6162092689,-3.2370326144200003,2320,5006.1,1161.4
Realejo,2011,-40.8050668199,-5.261104572130002,3155,5139.1,1621.26
Jatoba,2011,-39.10435886,-5.542865475,107,6129.08,65.56
Mundau,2011,-39.516132,-3.633621,2130,8307.03,1769.42
General sampaio,2011,-39.4537367839,-4.06243387754,32220,5578.45,17973.78
Valerio,2011,-39.727293,-6.967953,202,8711.6,175.94
Sao jose iii,2011,-40.77043,-4.897313,796,5095.78,405.6
Jerimum,2011,-39.6896801289,-3.83753285061,2050,2910.7,596.72
Trici,2011,-40.413943243,-5.91533033329,1650,6071.69,1001.84
Sao jose i,2011,-39.601225,-5.1958160000000015,767,8431.58,646.68
Edson queiroz,2011,-40.066569863699996,-4.21537241249,25400,8690.24,22073.3
Cachoeira,2011,-39.102801,-7.020179,3433,8565.84,2940.63
Tucunduba,2011,-40.4458464533,-3.1795909254400003,4143,8412.33,3485.42
Trussu,2011,-39.433659842,-6.3082942087900005,30100,8863.28,26678.34
Bengue,2011,-40.1392436122,-6.59658743945,1956,8097.52,1583.96
Santo antonio de aracatiacu,2011,0.0,0.0,2434,7782.09,1894.21
Sao domingos ii,2011,-39.28301,-7.029354,225,6679.06,150.26
Patu,2011,-39.4023005082,-5.581869982080001,7183,8502.18,6107.11
Flor do campo,2011,-40.6717961812,-5.57067277258,10500,5277.82,5541.74
Farias de sousa,2011,-40.582480572399994,-4.76698183204,1223,4984.93,609.66
Desterro,2011,-39.115126000000004,-4.058951,501,5399.88,270.48
Thomas osterne,2011,-39.4869088371,-7.0907780781800005,2878,4681.26,1347.32
Pacoti,2011,-38.5333114066,-4.03602241472,38000,5012.36,19046.98
Aracoiaba,2011,-38.695724978200005,-4.40220028355,17070,9061.06,15467.04
Sao domingos,2011,-39.283268,-4.220286,320,3994.98,127.68
Arrebita,2011,-40.2707202921,-3.85306388499,1960,8719.68,1709.08
Poco verde,2011,-39.6295223261,-3.4387212627900015,1365,5836.48,796.84
Curral velho,2011,-38.383801,-5.04557,1217,7380.01,898.11
Olho d'agua,2011,0.0,0.0,2100,8417.9,1767.78
Cedro,2011,-39.0631731394,-4.97772872522,12600,2698.66,3400.44
Caxitore,2011,-39.3553731239,-3.7419144402099995,20200,6343.47,12813.87
Tatajuba,2011,-39.08259,-6.4159120000000005,272,7636.84,207.8
Quincoe,2011,-39.454306,-6.084822,433,11188.61,484.51
Ayres de souza,2011,-40.4978967562,-3.77962049329,9680,8370.02,8102.12
Sao mateus,2011,-39.315869202399995,-4.37069635174,1033,8184.77,845.5
Macacos,2011,-38.709306,-4.799747,1032,8180.02,844.12
Monsenhor tabosa,2011,0.0,0.0,1210,6681.54,808.54
Tejucuoca,2011,-39.505976259099995,-3.97597115391,2811,3781.0,1062.85
Jaburu i,2011,-41.1133035668,-3.8650876702900003,13676,8658.8,11841.54
Muquem,2011,-39.482342939,-6.6105731406,4764,8860.38,4220.96
Adauto bezerra,2011,-38.447193,-6.037778,525,6157.6,323.28
Capitao mor,2011,-39.99916198,-5.626210127999999,600,9127.02,547.6
Pentecoste,2011,-39.261648178099996,-3.80330004105,36000,7178.53,25842.82
Diamante,2011,-40.8636571293,-3.5992174022099994,1320,9168.32,1210.24
Itauna,2011,-41.1672940639,-3.15241157107,7750,6988.64,5416.08
Forquilha ii,2011,-40.3993464,-5.9427898,340,2935.21,99.84
