Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Rivaldo de carvalho,2016,-39.9331061101,-6.2722289939600016,1952,770.19,150.35
Castanhao,2016,-38.4502293061,-5.48909482144,670000,824.57,55242.37
Patos,2016,-40.036497,-3.761444000000001,755,2166.83,163.59
Sao jose ii,2016,-39.4776763945,-5.8374046896700005,2914,92.73,27.02
Carnaubal,2016,-40.668200617,-5.280081325019999,8769,2.98,2.62
Nova floresta,2016,-38.907803,-5.9492629999999975,519,28.9,1.48
Manoel balbino,2016,-39.329299645700004,-7.107291457310001,3718,641.61,238.55
Souza,2016,-39.2825672821,-4.39272804136,3084,27.75,8.6
Trapia iii,2016,-40.71186,-3.753362,551,3709.85,204.41
Salao,2016,-39.3111742,-4.4069701,604,124.34,7.51
Madeiro,2016,-38.553137,-6.189098,281,26.68,0.74
Poco do barro,2016,-38.4595984652,-5.382572887669999,5200,248.0,128.96
Fogareiro,2016,-39.4913777371,-5.16690241966,11882,0.28,0.28
Riacho do sangue,2016,-38.9506399185,-5.693736833230001,6142,193.55,118.89
Colina,2016,-40.712804,-5.840381,325,8859.36,287.93
Carmina,2016,-40.2019816973,-4.6664533617699995,1363,43.19,5.89
Quixeramobim,2016,-39.3127774588,-5.19828377485,5400,0.0,0.0
Pacajus,2016,-38.3838534079,-4.22225681679,24000,1428.4,3428.19
Serafim dias,2016,-39.6472365319,-5.728479651209999,4300,4.15,1.8
Umari,2016,-39.551388,-4.809116,3504,48.91,17.04
Castro,2016,-38.932369564,-4.56489990367,6390,140.18,89.57
Ema,2016,-38.3449743134,-5.776328844959999,1039,549.31,57.08
Premuoca,2016,-38.9565822652,-6.40214304255,520,113.82,5.91
Gomes,2016,-38.73024,-7.481016,239,2106.03,50.33
Parambu,2016,-40.711288,-6.202115,853,578.0,49.3
Tijuquinha,2016,-38.894027,-4.317856,97,5029.04,48.78
Jenipapeiro,2016,-39.2474835705,-5.8131511541400025,1700,140.25,23.84
Pedras brancas,2016,-38.8777544386,-5.14985135743,43404,1126.47,4889.36
