Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Rivaldo de carvalho,2015,-39.9331061101,-6.2722289939600016,1952,1456.38,284.29
Castanhao,2015,-38.4502293061,-5.48909482144,670000,1875.82,125679.26
Patos,2015,-40.036497,-3.761444000000001,755,1410.71,106.54
Sao jose ii,2015,-39.4776763945,-5.8374046896700005,2914,148.59,43.3
Carnaubal,2015,-40.668200617,-5.280081325019999,8769,9.62,8.54
Nova floresta,2015,-38.907803,-5.9492629999999975,519,299.2,15.52
Manoel balbino,2015,-39.329299645700004,-7.107291457310001,3718,1011.61,376.1
Souza,2015,-39.2825672821,-4.39272804136,3084,6.0,2.0
Trapia iii,2015,-40.71186,-3.753362,551,2841.94,156.59
Salao,2015,-39.3111742,-4.4069701,604,140.45,8.58
Madeiro,2015,-38.553137,-6.189098,281,36.0,1.0
Poco do barro,2015,-38.4595984652,-5.382572887669999,5200,454.44,236.31
Fogareiro,2015,-39.4913777371,-5.16690241966,11882,62.4,74.13
Riacho do sangue,2015,-38.9506399185,-5.693736833230001,6142,570.8,350.58
Colina,2015,-40.712804,-5.840381,325,307.63,9.99
Carmina,2015,-40.2019816973,-4.6664533617699995,1363,153.59,20.94
Quixeramobim,2015,-39.3127774588,-5.19828377485,5400,1729.31,933.88
Pacajus,2015,-38.3838534079,-4.22225681679,24000,2320.2,5568.43
Serafim dias,2015,-39.6472365319,-5.728479651209999,4300,233.08,100.33
Umari,2015,-39.551388,-4.809116,3504,262.68,92.01
Castro,2015,-38.932369564,-4.56489990367,6390,702.12,448.65
Ema,2015,-38.3449743134,-5.776328844959999,1039,394.0,40.96
Premuoca,2015,-38.9565822652,-6.40214304255,520,400.24,20.8
Gomes,2015,-38.73024,-7.481016,239,916.85,21.9
Parambu,2015,-40.711288,-6.202115,853,82.55,7.04
Tijuquinha,2015,-38.894027,-4.317856,97,3885.2,37.69
