Nome,Ano,Latitude,Longitude,Capacidade (hm³),Volume (hm3),Volume Util (hm3)
Rivaldo de carvalho,2012,-39.9331061101,-6.2722289939600016,1952,6021.25,1175.38
Castanhao,2012,-38.4502293061,-5.48909482144,670000,6533.34,437734.25
Patos,2012,-40.036497,-3.761444000000001,755,3026.08,228.46
Sao jose ii,2012,-39.4776763945,-5.8374046896700005,2914,5825.9,1697.75
Carnaubal,2012,-40.668200617,-5.280081325019999,8769,2048.94,1796.74
Nova floresta,2012,-38.907803,-5.9492629999999975,519,6157.64,319.63
Manoel balbino,2012,-39.329299645700004,-7.107291457310001,3718,3180.75,1182.65
Souza,2012,-39.2825672821,-4.39272804136,3084,2001.1,617.19
Trapia iii,2012,-40.71186,-3.753362,551,4812.66,265.22
Salao,2012,-39.3111742,-4.4069701,604,1825.12,110.29
Madeiro,2012,-38.553137,-6.189098,281,966.59,27.19
Poco do barro,2012,-38.4595984652,-5.382572887669999,5200,2300.66,1196.38
Fogareiro,2012,-39.4913777371,-5.16690241966,11882,6153.79,7311.98
Riacho do sangue,2012,-38.9506399185,-5.693736833230001,6142,5919.52,3635.78
Colina,2012,-40.712804,-5.840381,325,1563.9,50.86
Carmina,2012,-40.2019816973,-4.6664533617699995,1363,1749.09,238.41
Quixeramobim,2012,-39.3127774588,-5.19828377485,5400,8037.74,4340.4
Pacajus,2012,-38.3838534079,-4.22225681679,24000,5459.91,13103.83
Serafim dias,2012,-39.6472365319,-5.728479651209999,4300,5651.87,2430.33
Umari,2012,-39.551388,-4.809116,3504,1997.27,699.88
Castro,2012,-38.932369564,-4.56489990367,6390,3730.37,2383.73
Ema,2012,-38.3449743134,-5.776328844959999,1039,4808.43,499.59
Premuoca,2012,-38.9565822652,-6.40214304255,520,5273.7,274.24
Gomes,2012,-38.73024,-7.481016,239,2510.85,60.06
Parambu,2012,-40.711288,-6.202115,853,2235.92,190.77
Tijuquinha,2012,-38.894027,-4.317856,97,7493.88,72.74
Jenipapeiro,2012,-39.2474835705,-5.8131511541400025,1700,5503.24,935.57
Pedras brancas,2012,-38.8777544386,-5.14985135743,43404,4371.34,18973.37
Canoas,2012,-39.94061022,-6.94638721095,6925,6466.49,4478.08
Gangorra,2012,-40.8614034371,-3.1683172022099995,6250,6786.08,4241.33
Rosario,2012,0.0,0.0,4720,7425.35,3504.8
Penedo,2012,-38.744555,-3.970682,241,3351.72,80.84
Catucinzenta,2012,-38.4369544335,-4.0218331131400005,2713,6348.5,1722.41
Pau preto,2012,-40.084615,-7.081014,181,6827.04,123.57
Trapia ii,2012,-39.7366728894,-5.5025788899900006,1819,5232.33,951.78
Poco da pedra,2012,-40.3559822646,-6.98372899185,5200,3662.97,1904.76
Araras,2012,-40.448598424400004,-4.20951501641,89100,6502.8,57939.62
Lima campos,2012,-39.059782,-6.417186,6638,6145.76,4079.46
Forquilha,2012,-40.2535632298,-3.79604357192,5013,5553.74,2791.23
Bonito,2012,-40.684951,-4.3098849999999995,600,4879.87,292.82
Gaviao,2012,-38.5553424021,-3.9059618445,3330,9229.43,3073.43
Sitios novos,2012,-38.9597828672,-3.77127334573,12600,6473.41,8156.47
Frios,2012,-39.295427951,-3.69046238001,3302,4611.97,1522.9
Ubaldinho,2012,-39.2375639263,-6.58385878059,3180,8506.05,2704.96
Do coronel,2012,-39.93275197,-6.733659208,177,3014.9,53.42
Cipoada,2012,-38.645778484699996,-5.261854813919999,8609,1697.67,1461.55
Batente,2012,-38.48875,-4.651008,3351,6882.03,2306.27
Acarape do meio,2012,-38.7993848299,-4.19354599542,2959,4394.5,1300.41
Carao,2012,-40.361733153,-4.81667052184,2623,3617.05,948.79
Tigre,2012,-39.15382,-5.889177,351,4059.18,142.48
Pirabibu,2012,-39.3657924914,-4.980754081080001,7400,1180.33,873.47
Fae,2012,-39.2180849523,-6.161337629219999,1900,3164.39,601.28
Cupim,2012,-40.204276,-5.470685,455,2128.11,96.84
Favelas,2012,-40.1230031725,-5.98302184084,3010,5520.81,1661.82
Sucesso,2012,-40.5240408341,-4.9552218928,1000,2171.29,217.15
Quandu,2012,-39.629489,-3.5737370000000004,400,5396.4,215.94
Santo antonio de russas,2012,0.0,0.0,2400,4264.22,1023.46
Arneiroz ii,2012,-40.220220464,-6.27146638594,19706,5493.19,10825.01
Malcozinhado,2012,-38.2890791497,-4.10582877875,3784,6835.25,2586.39
Amanary,2012,-38.8837233213,-4.01262168678,1101,3160.55,348.02
Prazeres,2012,-38.6829425533,-7.109019720510001,3250,6751.22,2194.13
Santo antonio,2012,-38.370149,-5.898912,83,5191.86,43.12
Taquara,2012,-40.611118,-3.896112000000002,32078,3682.12,11811.5
Martinopole,2012,-40.6162092689,-3.2370326144200003,2320,3212.14,745.24
Realejo,2012,-40.8050668199,-5.261104572130002,3155,2572.12,811.52
Jatoba,2012,-39.10435886,-5.542865475,107,3990.89,42.76
Riacho da serra,2012,-38.325225,-5.562632,2347,3921.66,920.45
Mundau,2012,-39.516132,-3.6336209999999998,2130,6403.56,1363.96
General sampaio,2012,-39.4537367839,-4.06243387754,32220,3428.22,11045.63
Valerio,2012,-39.727292999999996,-6.967953,202,8673.06,175.21
Sao jose iii,2012,-40.77043,-4.897313,796,2893.01,230.3
Jerimum,2012,-39.6896801289,-3.8375328506099997,2050,1347.25,276.23
Trici,2012,-40.413943243,-5.91533033329,1650,3567.42,588.63
Sao jose i,2012,-39.601225,-5.1958160000000015,767,5472.08,419.74
Edson queiroz,2012,-40.066569863699996,-4.21537241249,25400,6913.76,17561.01
Cachoeira,2012,-39.102801,-7.020179,3433,7113.15,2442.0
Tucunduba,2012,-40.4458464533,-3.1795909254400003,4143,5701.95,2362.41
Trussu,2012,-39.433659842,-6.3082942087900005,30100,8810.26,26518.93
Bengue,2012,-40.1392436122,-6.59658743945,1956,6030.88,1179.69
Santo antonio de aracatiacu,2012,0.0,0.0,2434,5797.64,1411.21
Sao domingos ii,2012,-39.28301,-7.029354,225,5091.12,114.57
Patu,2012,-39.4023005082,-5.581869982080001,7183,6255.24,4493.13
Flor do campo,2012,-40.6717961812,-5.57067277258,10500,3208.64,3369.15
Farias de sousa,2012,-40.582480572399994,-4.76698183204,1223,2862.05,350.04
Desterro,2012,-39.115126,-4.058951,501,2508.01,125.69
Thomas osterne,2012,-39.4869088371,-7.0907780781800005,2878,3461.75,996.34
Pacoti,2012,-38.5333114066,-4.03602241472,38000,3327.83,12646.02
Aracoiaba,2012,-38.695724978200005,-4.40220028355,17070,6566.81,11209.44
Sao domingos,2012,-39.283268,-4.220286,320,2368.9,75.85
Arrebita,2012,-40.2707202921,-3.85306388499,1960,5850.62,1146.76
Poco verde,2012,-39.6295223261,-3.438721262790001,1365,4144.47,565.71
Curral velho,2012,-38.383801,-5.04557,1217,7286.12,886.76
Olho d'agua,2012,0.0,0.0,2100,7889.28,1656.79
Cedro,2012,-39.0631731394,-4.9777287252199995,12600,1819.37,2292.38
Caxitore,2012,-39.3553731239,-3.74191444021,20200,4369.65,8826.65
Tatajuba,2012,-39.08259,-6.4159120000000005,272,7582.41,206.27
Quincoe,2012,-39.454306,-6.084822,433,6270.74,271.48
Ayres de souza,2012,-40.4978967562,-3.77962049329,9680,7874.39,7622.52
Sao mateus,2012,-39.315869202399995,-4.37069635174,1033,5088.22,525.66
Macacos,2012,-38.709306,-4.799747,1032,6763.08,697.99
