"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1.1","Quantidade produzida","Graça",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Granja",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Granjeiro",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Groaíras",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Guaiúba",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Guaraciaba do Norte",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Guaramiranga",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Hidrolândia",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Horizonte",,,,,,,,,,"2000","1440","600","...","...","milheiros",1
"1.1.1","Quantidade produzida","Ibaretama",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Ibiapina",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Ibicuitinga",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Icapuí",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Icó",,,,,,,,,,"9231","9161","2252","1280","0","milheiros",1
"1.1.1","Quantidade produzida","Iguatu",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Independência",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Ipaporanga",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Ipaumirim",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Ipu",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Ipueiras",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Iracema",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Irauçuba",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Itaiçaba",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Itaitinga",,,,,,,,,,"-","-","-","4000","4800","milheiros",1
"1.1.1","Quantidade produzida","Itapajé",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Itapipoca",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Itapiúna",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Itarema",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Itatira",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Jaguaretama",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Jaguaribara",,,,,,,,,,"-","-","4000","4118","2105","milheiros",1
"1.1.1","Quantidade produzida","Jaguaribe",,,,,,,,,,"300","100","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Jaguaruana",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Jardim",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Jati",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Jijoca de Jericoacoara",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Juazeiro do Norte",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Jucás",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Lavras da Mangabeira",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Limoeiro do Norte",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Madalena",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Maracanaú",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Maranguape",,,,,,,,,,"-","-","176","80","0","milheiros",1
"1.1.1","Quantidade produzida","Marco",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Martinópole",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Massapê",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Mauriti",,,,,,,,,,"1300","1150","954","900","1200","milheiros",1
"1.1.1","Quantidade produzida","Meruoca",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Milagres",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Milhã",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Miraíma",,,,,,,,,,"-","-","-","-","-","milheiros",1
