Nome,ano,chuva_total,chuva_media,id
Cruz,1992,681.0,56.75,"2304251"
Quixeré,1992,570.5,47.54,"2311504"
Fortim,1992,556.0,46.33,"2304459"
Ibicuitinga,1992,642.0,53.5,"2305332"
Reriutaba,1992,527.0,43.92,"2311702"
Aratuba,1992,996.3,83.03,"2301406"
Capistrano,1992,725.1,60.43,"2302909"
Penaforte,1992,708.2,59.02,"2310605"
Boa Viagem,1992,679.4,56.62,"2302404"
Antonina do Norte,1992,774.9,64.57,"2300804"
Tejuçuoca,1992,525.2,43.77,"2313351"
Jucás,1992,731.2,60.93,"2307403"
Arneiroz,1992,439.2,36.6,"2301505"
Cedro,1992,809.7,67.48,"2303808"
Barbalha,1992,973.0,81.08,"2301901"
Ipu,1992,593.4,49.45,"2305803"
Cascavel,1992,820.9,68.41,"2303501"
Assaré,1992,740.9,61.74,"2301604"
Guaramiranga,1992,1420.7,118.39,"2305100"
Tianguá,1992,770.0,64.17,"2313401"
Parambu,1992,427.9,35.66,"2310308"
Baturité,1992,1020.5,85.04,"2302107"
Icapuí,1992,804.3,67.02,"2305357"
Ipaumirim,1992,759.0,63.25,"2305704"
Aquiraz,1992,859.1,71.59,"2301000"
Hidrolândia,1992,555.8,46.32,"2305209"
Camocim,1992,847.4,70.62,"2302602"
Pentecoste,1992,653.72,54.48,"2310704"
Miraíma,1992,424.0,35.33,"2308377"
Tamboril,1992,314.4,26.2,"2313203"
Deputado Irapuan Pin,1992,724.8,60.4,"2304269"
Morrinhos,1992,627.0,52.25,"2308906"
Itarema,1992,693.2,57.77,"2306553"
Jijoca de Jericoacoa,1992,590.8,49.23,"2307254"
Senador Pompeu,1992,641.25,53.44,"2312700"
Novo Oriente,1992,441.0,36.75,"2309409"
Forquilha,1992,477.8,39.82,"2304350"
Uruburetama,1992,957.1,79.76,"2313807"
Ipueiras,1992,678.4,56.53,"2305902"
Milagres,1992,745.4,62.12,"2308302"
Ibiapina,1992,765.7,63.81,"2305308"
Araripe,1992,280.95,23.41,"2301307"
Solonópole,1992,587.75,48.98,"2313005"
Trairi,1992,883.7,73.64,"2313500"
Eusébio,1992,874.2,72.85,"2304285"
Santana do Acaraú,1992,717.8,59.82,"2312007"
Milhã,1992,677.6,56.47,"2308351"
Itatira,1992,453.1,37.76,"2306603"
Mauriti,1992,441.86,36.82,"2308104"
Jaguaretama,1992,540.4,45.03,"2306702"
Fortaleza,1992,1023.48,85.29,"2304400"
Russas,1992,466.75,38.9,"2311801"
Sobral,1992,509.95,42.5,"2312908"
Aiuaba,1992,418.3,34.86,"2300408"
Independência,1992,420.9,35.07,"2305605"
Ibaretama,1992,584.1,48.68,"2305266"
Apuiarés,1992,527.8,43.98,"2300903"
Juazeiro do Norte,1992,833.15,69.43,"2307304"
Coreaú,1992,616.0,51.33,"2304004"
Uruoca,1992,509.9,42.49,"2313906"
Santa Quitéria,1992,453.0,37.75,"2312205"
Iguatu,1992,863.45,71.95,"2305506"
Canindé,1992,253.1,21.09,"2302800"
Pindoretama,1992,722.5,60.21,"2310852"
Caucaia,1992,824.15,68.68,"2303709"
Redenção,1992,932.5,77.71,"2311603"
Umari,1992,856.4,71.37,"2313708"
