Municipio,Ano,Total,Media
Potiretama,1994,1027.4,85.62
Itaitinga,1994,1419.5,118.29
Altaneira,1994,640.0,53.33
Farias Brito,1994,859.2,71.6
Jati,1994,712.3,59.36
Nova Olinda,1994,868.7,72.39
Quixadá,1994,867.0,72.25
Pereiro,1994,1371.6,114.3
Groaíras,1994,1117.9,93.16
Cariús,1994,922.0,76.83
Graça,1994,1440.6,120.05
Choró,1994,868.9,72.41
Jaguaruana,1994,886.0,73.83
Viçosa do Ceará,1994,1937.9,161.49
São Luís do Curu,1994,1062.6,88.55
Baixio,1994,1222.7,101.89
Piquet Carneiro,1994,1037.0,86.42
Tururu,1994,1464.5,122.04
Morada Nova,1994,939.9,78.33
Quixelô,1994,617.3,51.44
Nova Russas,1994,963.8,80.32
Acarape,1994,1767.2,147.27
Aracati,1994,1233.6,102.8
Orós,1994,943.4,78.62
Monsenhor Tabosa,1994,800.0,66.67
Itapipoca,1994,1639.2,136.6
Mombaça,1994,923.9,76.99
Marco,1994,950.8,79.23
Pires Ferreira,1994,1193.8,99.48
Catarina,1994,821.0,68.42
Ererê,1994,1166.0,97.17
Guaraciaba do Norte,1994,1312.25,109.35
Iracema,1994,950.5,79.21
Croatá,1994,551.15,45.93
Paramoti,1994,873.5,72.79
Ubajara,1994,2262.6,188.55
Ipaporanga,1994,578.8,48.23
Carnaubal,1994,947.9,78.99
Massapê,1994,1233.45,102.79
Chaval,1994,1413.6,117.8
São Benedito,1994,1467.1,122.26
Aracoiaba,1994,1503.3,125.28
Potengi,1994,580.9,48.41
Granja,1994,1515.7,126.31
Missão Velha,1994,986.55,82.21
Poranga,1994,349.8,29.15
Granjeiro,1994,949.0,79.08
Senador Sá,1994,1230.45,102.54
Icó,1994,911.6,75.97
Pedra Branca,1994,900.75,75.06
Tarrafas,1994,630.2,52.52
Maranguape,1994,1449.45,120.79
Palhano,1994,928.0,77.33
Campos Sales,1994,485.1,40.42
Caridade,1994,976.6,81.38
São Gonçalo do Amarante,1994,1369.9,114.16
Horizonte,1994,1569.7,130.81
Paracuru,1994,2224.5,185.38
Santana do Cariri,1994,992.0,82.67
Amontada,1994,1037.3,86.44
Quiterianópolis,1994,944.7,78.73
Tauá,1994,732.85,61.07
Brejo Santo,1994,1002.8,83.57
Lavras da Mangabeira,1994,1018.5,84.88
Ocara,1994,1061.1,88.42
Caririaçu,1994,1264.1,105.34
Aurora,1994,1016.7,84.72
Barreira,1994,1551.4,129.28
Maracanaú,1994,1920.0,160.0
Bela Cruz,1994,996.0,83.0
Meruoca,1994,2432.3,202.69
Pacatuba,1994,1960.3,163.36
Frecheirinha,1994,1113.6,92.8
Pacujá,1994,1164.7,97.06
Salitre,1994,988.8,82.4
General Sampaio,1994,1151.1,95.92
Banabuiú,1994,957.4,79.78
São João do Jaguaribe,1994,854.8,71.23
Abaiara,1994,843.7,70.31
Umirim,1994,1207.8,100.65
Irauçuba,1994,694.5,57.88
Guaiúba,1994,1691.3,140.94
Crateús,1994,575.9,47.99
Palmácia,1994,1865.58,155.46
Beberibe,1994,1851.5,154.29
Mucambo,1994,1307.6,108.97
Martinópole,1994,1392.2,116.02
Jaguaribara,1994,845.1,70.42
Tabuleiro do Norte,1994,881.4,73.45
Acopiara,1994,809.0,67.42
Saboeiro,1994,778.5,64.88
Pacoti,1994,1894.2,157.85
Quixeramobim,1994,626.45,52.2
Cariré,1994,907.2,75.6
Alto Santo,1994,609.8,50.82
Barro,1994,921.3,76.78
Itaiçaba,1994,759.9,63.32
Barroquinha,1994,1362.9,113.58
Crato,1994,1203.45,100.29
Moraújo,1994,1505.0,125.42
Itapiúna,1994,1005.2,83.77
Limoeiro do Norte,1994,834.25,69.52
Catunda,1994,959.8,79.98
Chorozinho,1994,1359.8,113.32
Madalena,1994,822.9,68.58
Acaraú,1994,1526.4,127.2
Várzea Alegre,1994,1121.4,93.45
Jardim,1994,859.1,71.59
Alcântaras,1994,989.0,82.42
Pacajus,1994,1531.5,127.62
Ararendá,1994,782.3,65.19
Paraipaba,1994,1867.5,155.62
Itapajé,1994,1385.5,115.46
Mulungu,1994,1548.1,129.01
Varjota,1994,1282.4,106.87
Porteiras,1994,873.5,72.79
Jaguaribe,1994,845.14,70.43
Cruz,1994,1467.2,122.27
Quixeré,1994,779.0,64.92
Fortim,1994,1491.5,124.29
Ibicuitinga,1994,879.9,73.33
Reriutaba,1994,1128.5,94.04
Aratuba,1994,1185.0,98.75
Capistrano,1994,1188.0,99.0
Penaforte,1994,513.9,42.82
Boa Viagem,1994,761.0,63.42
Antonina do Norte,1994,703.1,58.59
Tejuçuoca,1994,932.4,77.7
Jucás,1994,976.5,81.38
Arneiroz,1994,787.8,65.65
Cedro,1994,1264.6,105.38
Barbalha,1994,1063.3,88.61
Ipu,1994,1251.7,104.31
Cascavel,1994,1679.3,139.94
Assaré,1994,601.3,50.11
Guaramiranga,1994,2332.4,194.37
Tianguá,1994,1595.0,132.92
Parambu,1994,1015.8,84.65
Baturité,1994,1444.5,120.38
Icapuí,1994,1023.1,85.26
Ipaumirim,1994,1127.8,93.98
Aquiraz,1994,2304.7,192.06
Hidrolândia,1994,1268.7,105.73
Camocim,1994,1385.6,115.47
Pentecoste,1994,1046.45,87.2
Miraíma,1994,833.1,69.42
Tamboril,1994,769.6,64.13
Deputado Irapuan Pinheiro,1994,1098.8,91.57
Morrinhos,1994,1216.4,101.37
Itarema,1994,1696.25,141.35
Jijoca de Jericoacoara,1994,1385.1,115.42
Senador Pompeu,1994,1060.25,88.35
Novo Oriente,1994,839.4,69.95
Forquilha,1994,1123.6,93.63
Uruburetama,1994,1543.8,128.65
Ipueiras,1994,1047.4,87.28
Milagres,1994,917.5,76.46
Ibiapina,1994,1503.3,125.27
Araripe,1994,605.2,50.43
Solonópole,1994,936.75,78.06
Trairi,1994,1539.5,128.29
Eusébio,1994,2063.4,171.95
Santana do Acaraú,1994,1049.5,87.46
Milhã,1994,979.3,81.61
Itatira,1994,767.2,63.93
Mauriti,1994,705.72,58.81
Jaguaretama,1994,1321.0,110.08
Fortaleza,1994,2327.9,193.99
Russas,1994,664.15,55.35
Sobral,1994,1292.7,107.73
Aiuaba,1994,654.6,54.55
Independência,1994,521.5,43.46
Ibaretama,1994,1365.8,113.82
Apuiarés,1994,1286.5,107.21
Juazeiro do Norte,1994,851.7,70.97
Coreaú,1994,1394.6,116.22
Uruoca,1994,1139.1,94.92
Santa Quitéria,1994,1002.8,83.57
Iguatu,1994,884.94,73.74
Canindé,1994,783.4,65.28
Pindoretama,1994,1870.2,155.85
Caucaia,1994,2150.0,179.17
Redenção,1994,1748.7,145.72
Umari,1994,880.9,73.41
