Municipio,Ano,Total,Media
Potiretama,2000,833.1,69.42
Itaitinga,2000,1515.0,126.25
Altaneira,2000,759.0,63.25
Farias Brito,2000,828.7,69.06
Jati,2000,863.7,71.97
Nova Olinda,2000,800.5,66.71
Quixadá,2000,852.62,71.05
Pereiro,2000,1182.9,98.58
Groaíras,2000,953.0,79.42
Cariús,2000,1022.6,85.22
Graça,2000,1021.2,85.1
Choró,2000,909.4,75.78
Jaguaruana,2000,839.7,69.97
Viçosa do Ceará,2000,1075.86,89.65
São Luís do Curu,2000,893.0,74.42
Baixio,2000,1320.0,110.0
Piquet Carneiro,2000,705.0,58.75
Tururu,2000,1090.4,90.87
Morada Nova,2000,907.52,75.63
Quixelô,2000,856.6,71.38
Nova Russas,2000,1048.3,87.36
Acarape,2000,1658.6,138.22
Aracati,2000,746.45,62.2
Orós,2000,782.2,65.18
Monsenhor Tabosa,2000,689.05,57.42
Itapipoca,2000,1126.62,93.89
Mombaça,2000,797.9,66.49
Marco,2000,1041.0,86.75
Pires Ferreira,2000,796.5,66.38
Catarina,2000,657.1,54.76
Ererê,2000,883.0,73.58
Guaraciaba do Norte,2000,1293.26,107.77
Iracema,2000,1027.98,85.66
Croatá,2000,610.2,50.85
Paramoti,2000,508.35,42.36
Ubajara,2000,1192.45,99.37
Ipaporanga,2000,764.0,63.67
Carnaubal,2000,705.0,58.75
Massapê,2000,1022.4,85.2
Chaval,2000,1303.6,108.63
São Benedito,2000,1239.15,103.26
Aracoiaba,2000,1309.82,109.15
Potengi,2000,718.5,59.88
Granja,2000,1059.89,88.32
Missão Velha,2000,981.41,81.78
Poranga,2000,874.6,72.88
Granjeiro,2000,1019.6,84.97
Senador Sá,2000,1045.2,87.1
Icó,2000,1038.48,86.54
Pedra Branca,2000,851.12,70.93
Tarrafas,2000,726.9,60.57
Maranguape,2000,1292.99,107.75
Palhano,2000,853.7,71.14
Campos Sales,2000,542.41,45.2
Caridade,2000,929.95,77.5
São Gonçalo do Amarante,2000,1205.25,100.44
Horizonte,2000,1426.2,118.85
Paracuru,2000,1573.4,131.12
Santana do Cariri,2000,1110.9,92.58
Amontada,2000,1298.29,108.19
Quiterianópolis,2000,794.92,66.24
Tauá,2000,500.5,41.71
Brejo Santo,2000,799.6,66.63
Lavras da Mangabeira,2000,1194.08,99.51
Ocara,2000,1057.57,88.13
Caririaçu,2000,1061.1,88.42
Aurora,2000,1013.45,84.45
Barreira,2000,1065.1,88.76
Maracanaú,2000,1401.6,116.8
Bela Cruz,2000,664.7,55.39
Meruoca,2000,1936.8,161.4
Pacatuba,2000,1689.4,140.78
Frecheirinha,2000,1242.0,103.5
Pacujá,2000,1120.6,93.38
Salitre,2000,553.0,46.08
General Sampaio,2000,838.15,69.85
Banabuiú,2000,831.25,69.27
São João do Jaguaribe,2000,1034.6,86.22
Abaiara,2000,988.0,82.33
Umirim,2000,954.5,79.54
Irauçuba,2000,629.67,52.47
Guaiúba,2000,1664.2,138.68
Crateús,2000,880.74,73.39
Palmácia,2000,1963.6,163.63
Beberibe,2000,1049.74,87.48
Mucambo,2000,998.0,83.17
Martinópole,2000,962.9,80.24
Jaguaribara,2000,663.6,55.3
Tabuleiro do Norte,2000,872.55,72.71
Acopiara,2000,895.85,74.65
Saboeiro,2000,702.4,58.53
Pacoti,2000,2156.1,179.67
Quixeramobim,2000,772.05,64.34
Cariré,2000,736.1,61.34
Alto Santo,2000,796.3,66.36
Barro,2000,1105.04,92.09
Itaiçaba,2000,735.8,61.32
Barroquinha,2000,1536.0,128.0
Crato,2000,1091.65,90.97
Moraújo,2000,1269.0,105.75
Itapiúna,2000,996.32,83.03
Limoeiro do Norte,2000,1070.58,89.21
Catunda,2000,1121.3,93.44
Chorozinho,2000,1072.8,89.4
Madalena,2000,871.2,72.6
Acaraú,2000,1574.2,131.18
Várzea Alegre,2000,1215.45,101.29
Jardim,2000,572.7,47.73
Alcântaras,2000,1055.9,87.99
Pacajus,2000,1116.0,93.0
Ararendá,2000,970.6,80.88
Paraipaba,2000,1230.0,102.5
Itapajé,2000,879.45,73.29
Mulungu,2000,2149.9,179.16
