Municipio,Ano,Total,Media
Altaneira,1983,450.2,37.52
Farias Brito,1983,361.4,30.12
Jati,1983,438.3,36.52
Nova Olinda,1983,454.2,37.85
Quixadá,1983,217.0,18.08
Pereiro,1983,638.5,53.21
Groaíras,1983,169.5,14.12
Cariús,1983,482.4,40.2
Graça,1983,392.1,32.68
Jaguaruana,1983,234.0,19.5
Viçosa do Ceará,1983,632.6,52.72
São Luís do Curu,1983,243.5,20.29
Baixio,1983,412.5,34.38
Piquet Carneiro,1983,435.8,36.32
Tururu,1983,0.0,
Morada Nova,1983,351.0,29.25
Nova Russas,1983,357.8,29.82
Acarape,1983,483.9,40.33
Aracati,1983,325.6,27.13
Orós,1983,461.8,38.48
Monsenhor Tabosa,1983,166.2,13.85
Itapipoca,1983,456.65,38.05
Mombaça,1983,293.1,24.43
Marco,1983,328.8,27.4
Catarina,1983,389.9,32.49
Guaraciaba do Norte,1983,415.8,34.65
Iracema,1983,270.1,22.51
Paramoti,1983,584.7,83.53
Ubajara,1983,664.7,55.39
Carnaubal,1983,190.8,15.9
Massapê,1983,247.7,20.64
Chaval,1983,133.0,66.5
São Benedito,1983,564.6,47.05
Aracoiaba,1983,418.8,34.9
Potengi,1983,256.5,21.38
Granja,1983,380.4,31.7
Missão Velha,1983,638.6,53.22
Poranga,1983,144.0,12.0
Granjeiro,1983,577.1,48.09
Senador Sá,1983,316.6,26.38
Icó,1983,612.9,51.07
Pedra Branca,1983,409.5,34.12
Maranguape,1983,514.45,42.87
Palhano,1983,285.3,23.78
Campos Sales,1983,294.0,24.5
Caridade,1983,297.5,37.19
São Gonçalo do Amarante,1983,492.55,41.05
Paracuru,1983,570.9,47.57
Santana do Cariri,1983,304.4,25.37
Amontada,1983,0.0,
Tauá,1983,225.2,18.77
Brejo Santo,1983,528.0,44.0
Lavras da Mangabeira,1983,548.8,45.73
Caririaçu,1983,571.0,47.58
Aurora,1983,629.4,52.45
Maracanaú,1983,775.8,64.65
Bela Cruz,1983,253.8,21.15
Meruoca,1983,619.8,51.65
Pacatuba,1983,27.0,6.75
Frecheirinha,1983,0.0,
Pacujá,1983,534.6,44.55
General Sampaio,1983,208.8,17.4
São João do Jaguaribe,1983,420.2,35.02
Abaiara,1983,827.6,68.97
Irauçuba,1983,152.4,12.7
Guaiúba,1983,546.9,45.57
Crateús,1983,291.2,24.27
Palmácia,1983,655.5,54.63
Beberibe,1983,363.65,30.3
Mucambo,1983,476.6,39.72
Martinópole,1983,399.8,33.32
Jaguaribara,1983,382.3,31.86
Tabuleiro do Norte,1983,345.7,28.81
Acopiara,1983,601.4,50.12
Saboeiro,1983,306.0,25.5
Pacoti,1983,791.5,65.96
Quixeramobim,1983,278.3,23.19
Cariré,1983,260.0,21.67
Alto Santo,1983,301.0,25.08
Barro,1983,548.1,45.68
Itaiçaba,1983,201.0,16.75
Barroquinha,1983,73.0,36.5
Crato,1983,691.0,57.58
Moraújo,1983,142.0,11.83
Itapiúna,1983,478.0,39.83
Limoeiro do Norte,1983,320.9,26.74
Acaraú,1983,462.9,38.58
Várzea Alegre,1983,481.5,40.12
Jardim,1983,435.8,36.32
Alcântaras,1983,270.0,22.5
Pacajus,1983,385.1,32.09
Itapajé,1983,336.8,28.07
Mulungu,1983,613.7,51.14
Porteiras,1983,410.4,34.2
Jaguaribe,1983,279.0,23.25
Quixeré,1983,299.9,24.99
Reriutaba,1983,302.5,25.21
Aratuba,1983,693.0,57.75
Capistrano,1983,474.0,39.5
Penaforte,1983,373.5,31.12
Boa Viagem,1983,251.55,20.96
Antonina do Norte,1983,427.9,35.66
Jucás,1983,476.9,39.74
Arneiroz,1983,332.6,27.72
Cedro,1983,489.4,40.78
Barbalha,1983,752.8,62.73
Ipu,1983,101.6,8.47
Cascavel,1983,154.8,77.4
Assaré,1983,272.8,22.73
Guaramiranga,1983,954.2,79.52
Tianguá,1983,469.5,39.12
Parambu,1983,327.8,27.32
Baturité,1983,617.0,51.42
Ipaumirim,1983,363.1,30.26
Aquiraz,1983,559.1,46.59
Hidrolândia,1983,288.1,24.01
Camocim,1983,287.0,23.92
Pentecoste,1983,277.4,23.12
Miraíma,1983,144.0,12.0
Tamboril,1983,205.1,17.09
Deputado Irapuan Pinheiro,1983,451.0,37.58
Jijoca de Jericoacoara,1983,80.7,8.97
Senador Pompeu,1983,381.5,31.79
Novo Oriente,1983,303.6,25.3
Forquilha,1983,138.5,11.54
Uruburetama,1983,543.5,45.29
Ipueiras,1983,318.9,26.57
Milagres,1983,461.6,38.47
Ibiapina,1983,803.0,66.92
Araripe,1983,326.8,27.23
Solonópole,1983,512.1,42.67
Trairi,1983,678.3,56.53
Santana do Acaraú,1983,322.6,26.88
Milhã,1983,399.0,33.25
Itatira,1983,163.5,13.62
Mauriti,1983,599.2,49.93
Jaguaretama,1983,564.6,47.05
Fortaleza,1983,955.2,79.6
Russas,1983,459.6,38.3
Sobral,1983,364.0,30.33
Aiuaba,1983,258.55,21.55
Independência,1983,311.8,25.98
Apuiarés,1983,239.0,19.92
Juazeiro do Norte,1983,571.4,47.62
Coreaú,1983,295.0,24.58
Uruoca,1983,207.6,17.3
Santa Quitéria,1983,167.0,13.92
Iguatu,1983,433.1,36.09
Canindé,1983,321.45,26.79
Caucaia,1983,746.8,62.23
Redenção,1983,565.0,47.08
Umari,1983,543.5,45.29
