Municipio,Ano,Total,Media
Altaneira,1985,1345.2,112.1
Farias Brito,1985,2047.8,170.65
Jati,1985,1492.0,124.33
Nova Olinda,1985,1674.4,139.53
Quixadá,1985,1616.5,134.71
Pereiro,1985,2065.7,172.14
Groaíras,1985,1906.0,158.83
Cariús,1985,290.0,290.0
Graça,1985,0.0,
Jaguaruana,1985,1887.7,157.31
Viçosa do Ceará,1985,2993.9,249.49
São Luís do Curu,1985,1642.2,136.85
Baixio,1985,1719.0,143.25
Piquet Carneiro,1985,1577.4,131.45
Tururu,1985,1687.0,140.58
Morada Nova,1985,1723.7,143.64
Nova Russas,1985,1703.4,141.95
Acarape,1985,0.0,
Aracati,1985,2654.1,221.17
Orós,1985,2110.5,175.88
Monsenhor Tabosa,1985,1545.5,128.79
Itapipoca,1985,1796.5,149.71
Mombaça,1985,1457.0,121.42
Marco,1985,2090.0,174.17
Catarina,1985,1496.6,124.72
Guaraciaba do Norte,1985,2602.2,216.85
Iracema,1985,1651.2,137.6
Paramoti,1985,1504.4,125.37
Ubajara,1985,2864.5,238.71
Carnaubal,1985,1626.4,135.53
Massapê,1985,2018.0,168.17
Chaval,1985,0.0,
São Benedito,1985,2767.8,230.65
Aracoiaba,1985,1777.0,148.08
Potengi,1985,1408.5,117.38
Granja,1985,2639.1,219.92
Missão Velha,1985,1885.6,157.13
Poranga,1985,811.0,202.75
Granjeiro,1985,2074.4,172.87
Senador Sá,1985,1675.9,139.66
Icó,1985,1715.6,142.97
Pedra Branca,1985,1646.8,137.23
Maranguape,1985,2122.0,176.83
Palhano,1985,1771.0,147.58
Campos Sales,1985,1028.0,85.67
Caridade,1985,428.0,428.0
São Gonçalo do Amarante,1985,1920.1,160.01
Paracuru,1985,2357.2,196.43
Santana do Cariri,1985,1606.8,133.9
Amontada,1985,0.0,
Tauá,1985,1474.0,122.83
Brejo Santo,1985,1998.6,166.55
Lavras da Mangabeira,1985,1648.5,137.38
Caririaçu,1985,2112.0,176.0
Aurora,1985,1951.0,162.58
Maracanaú,1985,2778.5,231.54
Bela Cruz,1985,2128.5,177.38
Meruoca,1985,2899.0,241.58
Pacatuba,1985,1964.7,163.72
Frecheirinha,1985,212.5,30.36
Pacujá,1985,2090.4,174.2
General Sampaio,1985,1763.9,146.99
São João do Jaguaribe,1985,1852.5,154.38
Abaiara,1985,1719.0,143.25
Irauçuba,1985,904.0,75.33
Guaiúba,1985,1683.6,140.3
Crateús,1985,1377.5,114.79
Palmácia,1985,2303.0,191.92
Beberibe,1985,2176.8,181.4
Mucambo,1985,2065.2,172.1
Martinópole,1985,2186.7,182.23
Jaguaribara,1985,1496.4,124.7
Tabuleiro do Norte,1985,1389.7,115.81
Acopiara,1985,1713.0,142.75
Saboeiro,1985,1275.2,106.27
Pacoti,1985,2289.8,190.82
Quixeramobim,1985,1495.9,124.66
