Municipio,Ano,Total,Media
Itaitinga,1988,926.4,115.8
Altaneira,1988,1108.0,92.33
Farias Brito,1988,960.0,80.0
Jati,1988,927.6,77.3
Nova Olinda,1988,1000.0,83.33
Quixadá,1988,534.42,44.54
Pereiro,1988,897.0,74.75
Groaíras,1988,962.3,80.19
Cariús,1988,798.15,66.51
Graça,1988,1350.1,112.51
Jaguaruana,1988,967.0,80.58
Viçosa do Ceará,1988,2042.7,170.22
São Luís do Curu,1988,1063.8,88.65
Baixio,1988,914.3,76.19
Piquet Carneiro,1988,664.35,55.36
Tururu,1988,922.0,76.83
Morada Nova,1988,895.1,74.59
Quixelô,1988,867.7,72.31
Nova Russas,1988,854.8,71.23
Acarape,1988,1218.9,101.58
Aracati,1988,1505.2,125.43
Orós,1988,1019.6,84.97
Monsenhor Tabosa,1988,810.7,67.56
Itapipoca,1988,864.25,72.02
Mombaça,1988,848.5,70.71
Marco,1988,1330.9,110.91
Catarina,1988,753.4,62.78
Guaraciaba do Norte,1988,1428.0,119.0
Iracema,1988,768.28,64.02
Paramoti,1988,1218.1,101.51
Ubajara,1988,1867.5,155.63
Carnaubal,1988,814.6,67.88
Massapê,1988,1871.0,155.92
Chaval,1988,1247.9,103.99
São Benedito,1988,1635.3,136.28
Aracoiaba,1988,966.55,80.55
Potengi,1988,1036.9,86.41
Granja,1988,1416.4,118.03
Missão Velha,1988,1025.75,85.48
Poranga,1988,728.4,60.7
Granjeiro,1988,1177.0,98.08
Senador Sá,1988,1040.5,86.71
Icó,1988,590.1,49.17
Pedra Branca,1988,745.78,62.15
Maranguape,1988,1262.97,105.25
Palhano,1988,950.4,79.2
Campos Sales,1988,760.25,63.35
Caridade,1988,342.1,28.51
São Gonçalo do Amarante,1988,1105.65,92.14
Horizonte,1988,0.0,0.0
Paracuru,1988,1517.4,126.45
Santana do Cariri,1988,915.1,76.26
Amontada,1988,674.1,84.26
Quiterianópolis,1988,934.2,77.85
Tauá,1988,494.11,41.18
Brejo Santo,1988,1069.2,89.1
Lavras da Mangabeira,1988,967.2,80.6
Ocara,1988,725.4,60.45
Caririaçu,1988,1173.5,97.79
Aurora,1988,1129.45,94.12
Barreira,1988,851.0,70.92
Maracanaú,1988,1451.0,120.92
Bela Cruz,1988,1271.7,105.98
Meruoca,1988,2233.0,186.08
Pacatuba,1988,2056.2,171.35
Frecheirinha,1988,1440.8,120.07
Pacujá,1988,1255.9,104.66
Salitre,1988,0.0,0.0
General Sampaio,1988,900.5,75.04
Banabuiú,1988,727.3,60.61
São João do Jaguaribe,1988,771.4,64.28
Abaiara,1988,1029.5,85.79
Irauçuba,1988,453.9,37.82
Guaiúba,1988,542.9,45.24
Crateús,1988,1207.2,100.6
Palmácia,1988,1562.85,130.24
Beberibe,1988,1634.7,136.22
Mucambo,1988,1414.5,117.88
Martinópole,1988,1652.8,137.73
Jaguaribara,1988,883.3,73.61
Tabuleiro do Norte,1988,752.85,62.74
Acopiara,1988,826.35,68.86
Saboeiro,1988,560.3,46.69
Pacoti,1988,1843.6,153.63
Quixeramobim,1988,490.69,40.89
Cariré,1988,1039.5,86.62
Alto Santo,1988,913.5,76.12
Barro,1988,797.5,66.46
Itaiçaba,1988,850.4,70.87
Barroquinha,1988,0.0,0.0
Crato,1988,1091.35,90.95
Moraújo,1988,3071.0,255.92
Itapiúna,1988,771.65,64.3
Limoeiro do Norte,1988,931.08,77.59
Catunda,1988,687.2,57.27
Chorozinho,1988,1284.4,107.03
Madalena,1988,787.0,65.58
Acaraú,1988,1700.3,141.69
Várzea Alegre,1988,1171.0,97.58
Jardim,1988,1014.8,84.57
Alcântaras,1988,895.6,74.63
Pacajus,1988,1036.1,86.34
Itapajé,1988,967.5,80.62
Mulungu,1988,1274.8,106.23
Varjota,1988,841.05,70.09
Porteiras,1988,1013.6,84.47
Jaguaribe,1988,767.39,63.95
Quixeré,1988,934.4,77.87
Fortim,1988,575.2,47.93
Ibicuitinga,1988,941.5,78.46
Reriutaba,1988,871.1,72.59
