Municipio,Ano,Total,Media
Potiretama,2003,395.1,32.92
Itaitinga,2003,1423.0,118.58
Altaneira,2003,815.0,67.92
Farias Brito,2003,1116.0,93.0
Jati,2003,555.4,46.28
Nova Olinda,2003,847.4,70.62
Quixadá,2003,703.58,58.63
Pereiro,2003,591.52,49.29
Groaíras,2003,993.0,82.75
Cariús,2003,760.26,63.36
Graça,2003,1259.0,104.92
Choró,2003,1172.5,97.71
Jaguaruana,2003,927.6,77.3
Viçosa do Ceará,2003,1022.92,85.24
São Luís do Curu,2003,1122.0,93.5
Baixio,2003,720.0,60.0
Piquet Carneiro,2003,843.65,70.3
Tururu,2003,964.0,80.33
Morada Nova,2003,720.34,60.03
Quixelô,2003,633.55,52.8
Nova Russas,2003,806.3,67.19
Acarape,2003,1479.5,123.29
Aracati,2003,930.69,77.56
Orós,2003,574.38,47.86
Monsenhor Tabosa,2003,536.35,44.7
Itapipoca,2003,1164.16,97.01
Mombaça,2003,756.6,63.05
Marco,2003,1205.55,100.46
Pires Ferreira,2003,1252.4,104.37
Catarina,2003,770.7,64.23
Ererê,2003,692.25,57.69
Guaraciaba do Norte,2003,1225.23,102.1
Iracema,2003,795.41,66.28
Croatá,2003,504.0,42.0
Paramoti,2003,887.5,73.96
Ubajara,2003,1020.45,85.04
Ipaporanga,2003,876.0,73.0
Carnaubal,2003,759.4,63.28
Massapê,2003,1020.85,85.07
Chaval,2003,1060.5,88.38
São Benedito,2003,1136.0,94.67
Aracoiaba,2003,936.22,78.02
Potengi,2003,496.6,41.38
Granja,2003,1508.7,125.72
Missão Velha,2003,785.39,65.45
Poranga,2003,591.3,49.27
Granjeiro,2003,781.1,65.09
Senador Sá,2003,1258.22,104.85
Icó,2003,606.7,50.56
Pedra Branca,2003,771.5,64.29
Tarrafas,2003,704.5,58.71
Maranguape,2003,974.8,81.23
Palhano,2003,722.5,60.21
Campos Sales,2003,387.46,32.29
Caridade,2003,724.81,60.4
São Gonçalo do Amarante,2003,1401.4,116.78
Horizonte,2003,1243.7,103.64
Paracuru,2003,1786.7,148.89
Santana do Cariri,2003,855.5,71.29
Amontada,2003,1450.19,120.85
Quiterianópolis,2003,630.43,52.54
Tauá,2003,486.63,40.55
Brejo Santo,2003,671.95,56.0
Lavras da Mangabeira,2003,897.76,74.81
Ocara,2003,754.94,62.91
Caririaçu,2003,893.25,74.44
Aurora,2003,801.8,66.82
Barreira,2003,996.35,83.03
Maracanaú,2003,1641.4,136.78
Bela Cruz,2003,1349.45,112.45
Meruoca,2003,1341.8,111.82
Pacatuba,2003,1466.9,122.24
Frecheirinha,2003,1119.0,93.25
Pacujá,2003,1058.4,88.2
Salitre,2003,590.0,49.17
General Sampaio,2003,990.5,82.54
Banabuiú,2003,809.5,67.46
São João do Jaguaribe,2003,665.8,55.48
Abaiara,2003,648.0,54.0
Umirim,2003,1184.8,98.73
Irauçuba,2003,595.55,49.63
Guaiúba,2003,1304.4,108.7
Crateús,2003,773.38,64.45
Palmácia,2003,1551.9,129.33
Beberibe,2003,902.96,75.25
Mucambo,2003,1006.0,83.83
Martinópole,2003,1203.0,100.25
Jaguaribara,2003,674.1,56.18
Tabuleiro do Norte,2003,752.8,62.73
Acopiara,2003,791.08,65.92
Saboeiro,2003,724.85,60.4
Pacoti,2003,1899.8,158.32
Quixeramobim,2003,733.26,61.11
Cariré,2003,947.3,78.94
Alto Santo,2003,654.28,54.52
Barro,2003,620.86,51.74
Itaiçaba,2003,968.65,80.72
Barroquinha,2003,1161.8,96.82
Crato,2003,1017.68,84.81
Moraújo,2003,935.0,77.92
Itapiúna,2003,955.5,79.62
Limoeiro do Norte,2003,805.58,67.13
Catunda,2003,715.5,59.62
Chorozinho,2003,926.0,77.17
Madalena,2003,564.98,47.08
Acaraú,2003,1487.45,123.95
Várzea Alegre,2003,826.2,68.85
Jardim,2003,667.55,55.63
Alcântaras,2003,953.9,79.49
Pacajus,2003,1242.75,103.56
Ararendá,2003,587.5,48.96
Paraipaba,2003,1787.8,148.98
Itapajé,2003,1224.15,102.01
Mulungu,2003,1259.3,104.94
Varjota,2003,1120.0,93.33
Porteiras,2003,656.9,54.74
Jaguaribe,2003,616.8,51.4
Cruz,2003,1556.0,129.67
Quixeré,2003,676.3,56.36
Fortim,2003,911.3,75.94
Ibicuitinga,2003,783.6,65.3
Reriutaba,2003,1039.9,86.66
Aratuba,2003,1330.65,110.89
Capistrano,2003,1119.4,93.28
Penaforte,2003,715.0,59.58
Boa Viagem,2003,517.36,43.11
Antonina do Norte,2003,510.0,42.5
Tejuçuoca,2003,826.7,68.89
Jucás,2003,768.36,64.03
Arneiroz,2003,768.25,64.02
Cedro,2003,809.45,67.45
Barbalha,2003,929.85,77.49
Ipu,2003,1071.55,89.3
Cascavel,2003,1153.75,96.15
Assaré,2003,661.15,55.1
