Municipio,Ano,Total,Media
Nova Olinda,1977,955.0,79.58
Quixadá,1977,1048.2,87.35
Jaguaruana,1977,987.6,82.3
Viçosa do Ceará,1977,1716.2,143.02
São Luís do Curu,1977,876.0,73.0
Baixio,1977,952.5,79.38
Piquet Carneiro,1977,688.2,57.35
Morada Nova,1977,1242.8,103.57
Nova Russas,1977,1021.0,85.08
Aracati,1977,1102.8,91.9
Monsenhor Tabosa,1977,683.0,56.92
Itapipoca,1977,990.0,82.5
Mombaça,1977,529.0,44.08
Guaraciaba do Norte,1977,1372.9,114.41
Iracema,1977,1200.6,100.05
Ubajara,1977,1693.0,141.08
Massapê,1977,397.8,33.15
São Benedito,1977,1120.6,93.38
Aracoiaba,1977,1068.0,89.0
Potengi,1977,853.2,71.1
Granja,1977,911.8,75.98
Missão Velha,1977,1115.0,92.92
Senador Sá,1977,1254.0,313.5
Icó,1977,1030.0,85.83
Pedra Branca,1977,651.0,54.25
Maranguape,1977,1344.1,112.01
Campos Sales,1977,517.6,43.13
São Gonçalo do Amarante,1977,1104.75,92.06
Paracuru,1977,1382.9,115.24
Tauá,1977,499.2,41.6
Brejo Santo,1977,1058.2,88.18
Lavras da Mangabeira,1977,787.0,65.58
Caririaçu,1977,1593.8,132.82
Aurora,1977,1137.0,94.75
Maracanaú,1977,1616.0,134.67
General Sampaio,1977,0.0,0.0
São João do Jaguaribe,1977,941.6,78.47
Guaiúba,1977,1331.7,110.98
Crateús,1977,813.5,67.79
Mucambo,1977,1079.7,89.98
Martinópole,1977,1027.0,85.58
Tabuleiro do Norte,1977,975.0,81.25
Acopiara,1977,896.0,74.67
Saboeiro,1977,717.8,59.82
Pacoti,1977,2032.7,169.39
Quixeramobim,1977,791.0,65.92
Cariré,1977,1519.0,126.58
Barro,1977,953.4,79.45
Itaiçaba,1977,0.0,
Crato,1977,1157.0,96.42
Itapiúna,1977,1079.0,89.92
Limoeiro do Norte,1977,1060.0,88.33
Acaraú,1977,1112.2,92.68
Várzea Alegre,1977,1279.2,106.6
Pacajus,1977,1351.0,112.58
Itapajé,1977,1403.0,116.92
Mulungu,1977,1163.7,96.98
Jaguaribe,1977,814.8,67.9
Reriutaba,1977,1107.75,92.31
Aratuba,1977,1649.4,137.45
Capistrano,1977,1270.0,105.83
Boa Viagem,1977,832.9,69.41
Antonina do Norte,1977,1144.7,95.39
Cedro,1977,781.0,65.08
Barbalha,1977,929.8,77.48
Ipu,1977,1312.0,109.33
Cascavel,1977,1137.7,94.81
Assaré,1977,997.2,83.1
Guaramiranga,1977,2313.1,192.76
Tianguá,1977,1159.8,96.65
Baturité,1977,1296.0,108.0
Camocim,1977,1200.0,100.0
Pentecoste,1977,978.1,81.51
Miraíma,1977,862.0,71.83
Deputado Irapuan Pinheiro,1977,594.0,49.5
Senador Pompeu,1977,928.8,77.4
Novo Oriente,1977,863.5,71.96
Uruburetama,1977,1331.5,110.96
Ipueiras,1977,820.0,68.33
Milagres,1977,1099.8,91.65
Ibiapina,1977,1588.0,132.33
Solonópole,1977,718.7,59.89
Trairi,1977,1675.8,139.65
Santana do Acaraú,1977,824.9,68.74
Milhã,1977,761.0,63.42
Itatira,1977,601.4,50.12
Mauriti,1977,775.3,64.61
Jaguaretama,1977,833.4,69.45
Fortaleza,1977,2019.9,168.33
Russas,1977,1081.2,90.1
Sobral,1977,844.0,70.33
Independência,1977,519.0,43.25
Juazeiro do Norte,1977,926.0,77.17
Coreaú,1977,1255.2,104.6
Uruoca,1977,756.0,63.0
Santa Quitéria,1977,879.8,73.32
Iguatu,1977,957.0,79.75
Canindé,1977,677.3,56.44
Caucaia,1977,1274.6,106.22
