Municipio,Ano,Total,Media
Potiretama,2009,1306.75,108.9
Itaitinga,2009,2216.0,184.67
Altaneira,2009,985.4,82.12
Farias Brito,2009,1187.2,98.93
Jati,2009,906.9,75.58
Nova Olinda,2009,1050.5,87.54
Quixadá,2009,1083.06,90.26
Pereiro,2009,1172.3,97.69
Groaíras,2009,1264.7,105.39
Cariús,2009,1114.6,92.88
Graça,2009,1980.0,165.0
Choró,2009,1162.25,96.85
Jaguaruana,2009,1131.03,94.25
Viçosa do Ceará,2009,1838.0,153.17
São Luís do Curu,2009,1739.1,144.92
Baixio,2009,1186.7,98.89
Piquet Carneiro,2009,1181.6,98.47
Tururu,2009,1247.0,113.36
Morada Nova,2009,1209.99,100.83
Quixelô,2009,1106.7,92.23
Nova Russas,2009,1445.48,120.46
Acarape,2009,1823.0,151.92
Aracati,2009,1587.69,132.31
Orós,2009,1147.47,95.62
Monsenhor Tabosa,2009,962.0,80.17
Itapipoca,2009,1981.97,165.16
Mombaça,2009,985.5,82.12
Marco,2009,1457.3,121.44
Pires Ferreira,2009,1717.5,143.12
Catarina,2009,709.2,59.1
Ererê,2009,1317.2,109.77
Guaraciaba do Norte,2009,1626.94,135.58
Iracema,2009,1434.38,119.53
Croatá,2009,1001.55,83.46
Paramoti,2009,1148.1,95.67
Ubajara,2009,2011.65,167.64
Ipaporanga,2009,1238.0,103.17
Carnaubal,2009,920.3,76.69
Massapê,2009,1296.7,108.06
Chaval,2009,1836.1,153.01
São Benedito,2009,1840.6,153.38
Aracoiaba,2009,1410.85,117.57
Potengi,2009,880.25,73.35
Granja,2009,2033.99,169.5
Missão Velha,2009,1225.0,102.08
Poranga,2009,955.0,79.58
Granjeiro,2009,1360.7,113.39
Senador Sá,2009,1558.65,129.89
Icó,2009,1142.48,95.21
Pedra Branca,2009,1054.8,87.9
Tarrafas,2009,714.9,59.57
Maranguape,2009,1523.61,126.97
Palhano,2009,1292.4,107.7
Campos Sales,2009,776.86,64.74
Caridade,2009,1187.97,99.0
São Gonçalo do Amarante,2009,1930.6,160.88
Horizonte,2009,1921.9,160.16
Paracuru,2009,2077.2,173.1
Santana do Cariri,2009,1504.7,125.39
Amontada,2009,2071.02,172.58
Quiterianópolis,2009,898.59,74.88
Tauá,2009,744.29,62.02
Brejo Santo,2009,904.15,75.35
Lavras da Mangabeira,2009,1068.51,89.04
Ocara,2009,1397.62,116.47
Caririaçu,2009,1121.0,93.42
Aurora,2009,972.78,81.06
Barreira,2009,1537.0,128.08
Maracanaú,2009,2023.9,168.66
Bela Cruz,2009,1824.95,152.08
Meruoca,2009,1974.2,164.52
Pacatuba,2009,1731.75,144.31
Frecheirinha,2009,1765.4,147.12
Pacujá,2009,1320.5,110.04
Salitre,2009,606.0,50.5
