Municipio,Ano,Total,Media
Potiretama,1993,27.2,2.27
Itaitinga,1993,407.6,33.97
Altaneira,1993,622.6,51.88
Farias Brito,1993,757.4,63.12
Jati,1993,334.5,27.88
Nova Olinda,1993,525.4,43.78
Quixadá,1993,370.35,30.86
Pereiro,1993,294.6,24.55
Groaíras,1993,457.0,38.08
Cariús,1993,524.8,43.73
Graça,1993,653.9,54.49
Choró,1993,345.7,28.81
Jaguaruana,1993,118.0,9.83
Viçosa do Ceará,1993,998.7,83.22
São Luís do Curu,1993,242.6,20.22
Baixio,1993,532.4,44.37
Piquet Carneiro,1993,328.5,27.38
Tururu,1993,223.0,18.58
Morada Nova,1993,192.8,16.07
Quixelô,1993,293.8,24.48
Nova Russas,1993,404.5,33.71
Acarape,1993,365.6,30.47
Aracati,1993,220.0,18.33
Orós,1993,301.9,25.16
Monsenhor Tabosa,1993,144.7,12.06
Itapipoca,1993,570.75,47.56
Mombaça,1993,273.3,22.78
Marco,1993,515.6,42.97
Pires Ferreira,1993,242.8,20.23
Catarina,1993,415.0,34.58
Ererê,1993,185.6,15.47
Guaraciaba do Norte,1993,462.75,38.56
Iracema,1993,235.02,19.59
Croatá,1993,269.2,22.43
Paramoti,1993,141.0,11.75
Ubajara,1993,888.7,74.06
Ipaporanga,1993,377.0,31.42
Carnaubal,1993,265.4,22.12
Massapê,1993,404.7,33.73
Chaval,1993,465.1,38.76
São Benedito,1993,788.2,65.68
Aracoiaba,1993,380.95,31.75
Potengi,1993,571.9,47.66
Granja,1993,628.2,52.35
Missão Velha,1993,699.9,58.32
Poranga,1993,305.0,25.42
Granjeiro,1993,641.4,53.45
Senador Sá,1993,474.7,39.56
Icó,1993,434.6,36.22
Pedra Branca,1993,298.2,24.85
Tarrafas,1993,396.9,33.07
Maranguape,1993,458.43,38.2
Palhano,1993,103.9,8.66
Campos Sales,1993,401.5,33.46
Caridade,1993,142.3,11.86
São Gonçalo do Amarante,1993,434.1,36.18
Horizonte,1993,349.0,29.08
Paracuru,1993,472.4,39.37
Santana do Cariri,1993,577.6,48.13
Amontada,1993,308.8,25.73
Quiterianópolis,1993,352.2,29.35
Tauá,1993,330.41,27.53
Brejo Santo,1993,594.5,49.54
Lavras da Mangabeira,1993,680.6,56.72
Ocara,1993,244.1,20.34
Caririaçu,1993,666.4,55.53
Aurora,1993,593.8,49.48
Barreira,1993,111.5,9.29
Maracanaú,1993,650.0,54.17
Bela Cruz,1993,342.0,28.5
Meruoca,1993,677.9,56.49
Pacatuba,1993,659.7,54.98
Frecheirinha,1993,581.6,48.47
Pacujá,1993,530.9,44.24
Salitre,1993,303.2,25.27
General Sampaio,1993,267.65,22.3
Banabuiú,1993,241.1,20.09
São João do Jaguaribe,1993,288.8,24.07
Abaiara,1993,569.5,47.46
Umirim,1993,194.2,16.18
Irauçuba,1993,131.1,10.92
Guaiúba,1993,274.4,22.87
Crateús,1993,219.8,18.32
Palmácia,1993,528.95,44.08
Beberibe,1993,502.2,41.85
Mucambo,1993,494.4,41.2
Martinópole,1993,545.5,45.46
Jaguaribara,1993,230.7,19.23
Tabuleiro do Norte,1993,243.6,20.3
Acopiara,1993,366.0,30.5
Saboeiro,1993,435.9,36.32
Pacoti,1993,937.0,78.08
Quixeramobim,1993,249.23,20.77
Cariré,1993,488.0,40.67
Alto Santo,1993,116.7,9.72
Barro,1993,648.6,54.05
Itaiçaba,1993,172.0,14.33
Barroquinha,1993,213.2,17.77
Crato,1993,568.1,47.34
Moraújo,1993,484.5,40.38
Itapiúna,1993,241.35,20.11
Limoeiro do Norte,1993,313.15,26.1
Catunda,1993,241.0,20.08
Chorozinho,1993,271.8,22.65
Madalena,1993,192.1,16.01
Acaraú,1993,541.0,45.08
Várzea Alegre,1993,591.5,49.29
Jardim,1993,361.1,30.09
Alcântaras,1993,336.0,28.0
Pacajus,1993,301.2,25.1
Ararendá,1993,495.0,41.25
Paraipaba,1993,456.0,38.0
Itapajé,1993,554.9,46.24
Mulungu,1993,479.1,39.93
Varjota,1993,390.8,32.57
Porteiras,1993,490.4,40.87
Jaguaribe,1993,212.04,17.67
Cruz,1993,166.7,13.89
Quixeré,1993,226.0,18.83
Fortim,1993,398.3,33.19
Ibicuitinga,1993,241.3,20.11
Reriutaba,1993,221.7,18.47
Aratuba,1993,416.3,34.69
