Nome,ano,chuva_total,chuva_media,id
Potiretama,1997,573.9,47.82,"2311231"
Itaitinga,1997,740.3,61.69,"2306256"
Altaneira,1997,994.8,82.9,"2300606"
Farias Brito,1997,824.6,68.72,"2304301"
Jati,1997,815.5,67.96,"2307205"
Nova Olinda,1997,753.0,62.75,"2309201"
Quixadá,1997,551.2,45.93,"2311306"
Pereiro,1997,1061.7,88.48,"2310803"
Groaíras,1997,709.0,59.08,"2304905"
Cariús,1997,1008.3,84.02,"2303303"
Graça,1997,970.5,80.88,"2304657"
Choró,1997,532.0,44.33,"2303931"
Jaguaruana,1997,259.6,21.63,"2307007"
Viçosa do Ceará,1997,1165.6,97.13,"2314102"
São Luís do Curu,1997,381.0,31.75,"2312601"
Baixio,1997,1066.6,88.88,"2301802"
Piquet Carneiro,1997,798.1,66.51,"2310902"
Tururu,1997,443.4,36.95,"2313559"
Morada Nova,1997,486.7,40.56,"2308708"
Quixelô,1997,982.5,81.88,"2311355"
Nova Russas,1997,442.7,36.89,"2309300"
Acarape,1997,613.8,51.15,"2300150"
Aracati,1997,423.5,35.29,"2301109"
Orós,1997,954.0,79.5,"2309508"
Monsenhor Tabosa,1997,556.5,46.38,"2308609"
Itapipoca,1997,701.08,58.42,"2306405"
Mombaça,1997,769.3,64.11,"2308500"
Marco,1997,285.0,23.75,"2307809"
Pires Ferreira,1997,705.2,58.77,"2310951"
Catarina,1997,766.5,63.88,"2303600"
Ererê,1997,703.2,58.6,"2304277"
Guaraciaba do Norte,1997,1258.6,104.88,"2305001"
Iracema,1997,480.4,40.03,"2306009"
Croatá,1997,482.5,40.21,"2304236"
Paramoti,1997,402.2,33.52,"2310407"
Ubajara,1997,893.35,74.45,"2313609"
Ipaporanga,1997,644.1,53.68,"2305654"
Carnaubal,1997,426.5,35.54,"2303402"
Massapê,1997,615.6,51.3,"2308005"
Chaval,1997,678.6,56.55,"2303907"
São Benedito,1997,875.7,72.98,"2312304"
Aracoiaba,1997,641.4,53.45,"2301208"
Potengi,1997,978.0,81.5,"2311207"
Granja,1997,717.2,59.77,"2304707"
Missão Velha,1997,1052.85,87.74,"2308401"
Poranga,1997,614.0,51.17,"2311009"
Granjeiro,1997,786.3,65.53,"2304806"
Senador Sá,1997,604.0,54.91,"2312809"
Icó,1997,821.2,68.43,"2305407"
Pedra Branca,1997,795.3,66.28,"2310506"
Tarrafas,1997,636.6,53.05,"2313252"
Maranguape,1997,550.05,45.84,"2307700"
Palhano,1997,484.8,40.4,"2310001"
Campos Sales,1997,858.2,71.52,"2302701"
Caridade,1997,343.0,28.58,"2303006"
São Gonçalo do Amara,1997,629.0,52.42,"2312403"
Horizonte,1997,730.3,60.86,"2305233"
Paracuru,1997,916.4,76.37,"2310209"
Santana do Cariri,1997,909.5,75.79,"2312106"
Amontada,1997,380.3,31.69,"2300754"
Quiterianópolis,1997,693.65,57.8,"2311264"
Tauá,1997,567.4,47.28,"2313302"
Brejo Santo,1997,1001.0,83.42,"2302503"
Lavras da Mangabeira,1997,714.8,59.57,"2307502"
Ocara,1997,540.56,45.05,"2309458"
Caririaçu,1997,938.0,78.17,"2303204"
Aurora,1997,891.3,74.27,"2301703"
Barreira,1997,519.6,43.3,"2301950"
Maracanaú,1997,595.6,49.63,"2307650"
Bela Cruz,1997,596.0,49.67,"2302305"
Meruoca,1997,887.4,73.95,"2308203"
Pacatuba,1997,804.2,67.02,"2309706"
Frecheirinha,1997,641.5,53.46,"2304509"
Pacujá,1997,761.3,63.44,"2309904"
Salitre,1997,838.2,69.85,"2311959"
General Sampaio,1997,447.2,37.27,"2304608"
Banabuiú,1997,681.4,56.78,"2301851"
São João do Jaguarib,1997,612.9,51.07,"2312502"
Abaiara,1997,996.5,83.04,"2300101"
Umirim,1997,487.5,40.62,"2313757"
Irauçuba,1997,263.3,21.94,"2306108"
Guaiúba,1997,801.6,66.8,"2304954"
Crateús,1997,622.2,51.85,"2304103"
Palmácia,1997,743.38,61.95,"2310100"
Beberibe,1997,1040.3,86.69,"2302206"
Mucambo,1997,1044.9,87.07,"2309003"
Martinópole,1997,730.0,60.83,"2307908"
Jaguaribara,1997,545.2,45.43,"2306801"
Tabuleiro do Norte,1997,579.4,48.28,"2313104"
Acopiara,1997,846.6,70.55,"2300309"
Saboeiro,1997,657.7,54.81,"2311900"
Pacoti,1997,957.9,79.83,"2309805"
Quixeramobim,1997,713.6,59.47,"2311405"
Cariré,1997,628.5,52.38,"2303105"
Alto Santo,1997,571.2,47.6,"2300705"
Barro,1997,847.0,70.58,"2302008"
Itaiçaba,1997,358.6,29.88,"2306207"
Barroquinha,1997,765.5,63.79,"2302057"
Crato,1997,754.95,62.91,"2304202"
Moraújo,1997,632.0,52.67,"2308807"
Itapiúna,1997,340.45,28.37,"2306504"
Limoeiro do Norte,1997,434.05,36.17,"2307601"
Catunda,1997,514.0,42.83,"2303659"
Chorozinho,1997,595.1,49.59,"2303956"
Madalena,1997,441.7,36.81,"2307635"
Acaraú,1997,622.1,51.84,"2300200"
Várzea Alegre,1997,904.6,75.38,"2314003"
Jardim,1997,961.6,80.13,"2307106"
Alcântaras,1997,632.1,52.67,"2300507"
Pacajus,1997,662.2,55.18,"2309607"
Ararendá,1997,862.6,71.88,"2301257"
Paraipaba,1997,788.5,65.71,"2310258"
Itapajé,1997,575.0,47.92,"2306306"
Mulungu,1997,811.2,67.6,"2309102"
