Municipio,Ano,Total,Media
Altaneira,1979,813.0,67.75
Farias Brito,1979,503.8,41.98
Jati,1979,652.5,54.38
Nova Olinda,1979,884.0,73.67
Quixadá,1979,447.0,37.25
Pereiro,1979,794.0,66.17
Cariús,1979,676.6,56.38
Jaguaruana,1979,355.6,29.63
Viçosa do Ceará,1979,550.0,45.83
São Luís do Curu,1979,648.8,54.07
Baixio,1979,556.0,46.33
Piquet Carneiro,1979,687.2,57.27
Morada Nova,1979,419.0,34.92
Nova Russas,1979,559.0,46.58
Aracati,1979,501.0,41.75
Orós,1979,778.1,64.84
Monsenhor Tabosa,1979,503.0,41.92
Itapipoca,1979,763.7,63.64
Mombaça,1979,475.6,39.63
Guaraciaba do Norte,1979,1049.6,87.47
Iracema,1979,481.5,40.12
Paramoti,1979,424.9,35.41
Ubajara,1979,724.0,60.33
Carnaubal,1979,445.0,37.08
Massapê,1979,734.3,61.19
Chaval,1979,716.8,59.73
São Benedito,1979,718.7,59.89
Aracoiaba,1979,545.7,45.48
Potengi,1979,500.4,41.7
Granja,1979,504.5,42.04
Missão Velha,1979,802.0,66.83
Poranga,1979,557.5,46.46
Granjeiro,1979,483.4,40.28
Senador Sá,1979,0.0,
Icó,1979,738.9,61.58
Pedra Branca,1979,657.5,54.79
Maranguape,1979,1018.1,84.84
Palhano,1979,410.4,34.2
Campos Sales,1979,420.6,35.05
Caridade,1979,428.6,35.72
São Gonçalo do Amarante,1979,578.2,48.18
Paracuru,1979,748.1,62.34
Santana do Cariri,1979,903.0,75.25
Tauá,1979,415.3,34.61
Brejo Santo,1979,1239.0,103.25
Lavras da Mangabeira,1979,539.0,44.92
Caririaçu,1979,813.5,67.79
Aurora,1979,796.0,66.33
Maracanaú,1979,644.0,53.67
Meruoca,1979,1058.1,88.18
Pacatuba,1979,970.5,80.87
General Sampaio,1979,0.0,
São João do Jaguaribe,1979,547.2,45.6
Guaiúba,1979,762.0,63.5
Crateús,1979,768.8,64.07
Palmácia,1979,1103.0,91.92
Mucambo,1979,840.6,70.05
Martinópole,1979,631.2,52.6
Tabuleiro do Norte,1979,443.5,36.96
Acopiara,1979,785.0,65.42
Saboeiro,1979,830.0,69.17
Pacoti,1979,867.1,72.26
Quixeramobim,1979,497.8,41.48
Cariré,1979,773.6,64.47
Alto Santo,1979,713.5,59.46
Barro,1979,956.7,79.72
Itaiçaba,1979,0.0,
Crato,1979,1335.1,111.26
Itapiúna,1979,402.4,33.53
Limoeiro do Norte,1979,701.5,58.46
Acaraú,1979,440.7,36.73
Várzea Alegre,1979,652.6,54.38
Jardim,1979,861.9,71.83
Pacajus,1979,624.7,52.06
Itapajé,1979,502.1,41.84
Mulungu,1979,631.0,52.58
Porteiras,1979,1127.6,93.97
Jaguaribe,1979,347.9,28.99
Reriutaba,1979,635.7,52.97
Aratuba,1979,902.7,75.23
Capistrano,1979,461.3,38.44
Boa Viagem,1979,460.3,38.36
Antonina do Norte,1979,0.0,
Jucás,1979,674.6,56.22
Arneiroz,1979,566.6,47.22
Cedro,1979,561.5,46.79
Barbalha,1979,1389.6,115.8
Ipu,1979,660.0,55.0
Cascavel,1979,0.0,
Assaré,1979,537.8,44.82
Guaramiranga,1979,1128.3,94.02
Tianguá,1979,811.4,67.62
Parambu,1979,475.2,39.6
Baturité,1979,598.0,49.83
Ipaumirim,1979,578.4,48.2
Aquiraz,1979,1089.9,90.83
Hidrolândia,1979,468.4,39.03
Camocim,1979,517.8,43.15
Pentecoste,1979,527.7,43.97
Miraíma,1979,394.0,98.5
Tamboril,1979,508.1,42.34
Deputado Irapuan Pinheiro,1979,857.8,71.48
Senador Pompeu,1979,799.6,66.63
Novo Oriente,1979,781.7,65.14
Uruburetama,1979,419.0,34.92
Ipueiras,1979,415.0,34.58
Milagres,1979,872.0,72.67
Ibiapina,1979,1089.0,90.75
Araripe,1979,647.1,53.93
Solonópole,1979,577.2,48.1
Trairi,1979,556.7,46.39
Santana do Acaraú,1979,356.7,29.72
Milhã,1979,510.6,42.55
Itatira,1979,464.5,38.71
Mauriti,1979,645.4,53.78
Jaguaretama,1979,586.4,48.87
Fortaleza,1979,1190.6,99.22
Russas,1979,592.3,49.36
Sobral,1979,617.9,51.49
Aiuaba,1979,437.0,36.42
Independência,1979,394.8,32.9
Juazeiro do Norte,1979,881.5,73.46
Coreaú,1979,309.0,25.75
Uruoca,1979,717.8,59.82
Santa Quitéria,1979,534.4,44.53
Iguatu,1979,594.0,49.5
Canindé,1979,267.3,22.28
Caucaia,1979,704.7,58.73
Redenção,1979,1115.0,92.92
Umari,1979,758.2,63.18
