Municipio,Ano,Total,Media
Potiretama,2008,949.5,79.12
Itaitinga,2008,1116.5,93.04
Altaneira,2008,1025.1,85.43
Farias Brito,2008,1187.6,98.97
Jati,2008,883.0,73.58
Nova Olinda,2008,987.1,82.26
Quixadá,2008,784.41,65.37
Pereiro,2008,1365.75,113.81
Groaíras,2008,0.0,0.0
Cariús,2008,1426.2,118.85
Graça,2008,1322.2,110.18
Choró,2008,884.0,73.67
Jaguaruana,2008,850.08,70.84
Viçosa do Ceará,2008,1063.3,88.61
São Luís do Curu,2008,1140.0,95.0
Baixio,2008,1598.3,133.19
Piquet Carneiro,2008,988.75,82.4
Tururu,2008,907.0,75.58
Morada Nova,2008,856.94,71.41
Quixelô,2008,1229.35,102.45
Nova Russas,2008,812.7,67.72
Acarape,2008,1063.5,88.62
Aracati,2008,1182.82,98.57
Orós,2008,926.95,77.25
Monsenhor Tabosa,2008,774.8,64.57
Itapipoca,2008,1291.11,107.59
Mombaça,2008,787.2,65.6
Marco,2008,1103.35,91.95
Pires Ferreira,2008,934.9,77.91
Catarina,2008,767.5,63.96
Ererê,2008,1243.25,103.6
Guaraciaba do Norte,2008,1329.46,110.79
Iracema,2008,1260.6,105.05
Croatá,2008,902.8,75.23
Paramoti,2008,954.2,79.52
Ubajara,2008,1406.95,117.25
Ipaporanga,2008,893.0,74.42
Carnaubal,2008,958.1,79.84
Massapê,2008,1088.1,90.68
Chaval,2008,1622.0,135.17
São Benedito,2008,1224.2,102.02
Aracoiaba,2008,954.05,79.5
Potengi,2008,1025.5,85.46
Granja,2008,1493.9,124.49
Missão Velha,2008,1220.32,101.69
Poranga,2008,785.5,65.46
Granjeiro,2008,1505.2,125.43
Senador Sá,2008,1219.0,101.58
Icó,2008,1089.66,90.81
Pedra Branca,2008,852.68,71.06
Tarrafas,2008,1147.2,95.6
Maranguape,2008,985.59,82.13
Palhano,2008,576.4,48.03
Campos Sales,2008,577.08,48.09
Caridade,2008,680.58,56.71
São Gonçalo do Amarante,2008,896.8,74.73
Horizonte,2008,1060.1,88.34
Paracuru,2008,1338.9,111.58
Santana do Cariri,2008,1053.1,87.76
Amontada,2008,1078.25,89.85
Quiterianópolis,2008,918.92,76.58
Tauá,2008,581.9,48.49
Brejo Santo,2008,1231.2,102.6
Lavras da Mangabeira,2008,1564.57,130.38
Ocara,2008,683.48,56.96
Caririaçu,2008,1632.0,136.0
Aurora,2008,1397.1,116.43
Barreira,2008,733.55,61.13
Maracanaú,2008,1306.2,108.85
Bela Cruz,2008,1277.5,106.46
Meruoca,2008,1618.25,134.85
Pacatuba,2008,1067.3,88.94
Frecheirinha,2008,1135.5,94.62
Pacujá,2008,1119.6,93.3
Salitre,2008,600.5,50.04
General Sampaio,2008,786.3,65.52
Banabuiú,2008,855.15,71.26
São João do Jaguaribe,2008,749.45,62.45
Abaiara,2008,1178.5,98.21
Umirim,2008,989.3,82.44
Irauçuba,2008,705.0,58.75
Guaiúba,2008,942.95,78.58
Crateús,2008,901.61,75.13
Palmácia,2008,1108.1,92.34
Beberibe,2008,876.08,73.01
Mucambo,2008,887.0,73.92
Martinópole,2008,1065.0,88.75
Jaguaribara,2008,965.6,80.47
Tabuleiro do Norte,2008,882.6,73.55
Acopiara,2008,743.11,61.93
Saboeiro,2008,912.25,76.02
Pacoti,2008,1382.4,115.2
Quixeramobim,2008,689.32,57.44
Cariré,2008,870.0,72.5
Alto Santo,2008,925.45,77.12
Barro,2008,1428.59,119.05
Itaiçaba,2008,763.9,63.66
Barroquinha,2008,1245.0,103.75
Crato,2008,1547.81,128.98
