Municipio,Ano,Total,Media
Altaneira,1981,561.6,46.8
Farias Brito,1981,703.6,58.63
Jati,1981,772.4,64.37
Nova Olinda,1981,726.6,60.55
Quixadá,1981,571.0,47.58
Pereiro,1981,753.0,62.75
Groaíras,1981,491.8,40.98
Cariús,1981,267.5,133.75
Jaguaruana,1981,470.8,39.23
Viçosa do Ceará,1981,1042.8,86.9
São Luís do Curu,1981,667.0,55.58
Baixio,1981,643.0,53.58
Piquet Carneiro,1981,530.7,44.23
Tururu,1981,609.0,50.75
Morada Nova,1981,630.0,52.5
Nova Russas,1981,443.0,36.92
Acarape,1981,560.8,46.73
Aracati,1981,687.6,57.3
Orós,1981,635.3,52.94
Monsenhor Tabosa,1981,465.9,38.82
Itapipoca,1981,971.0,80.92
Mombaça,1981,524.9,43.74
Marco,1981,609.6,50.8
Catarina,1981,573.0,47.75
Guaraciaba do Norte,1981,977.8,81.48
Iracema,1981,462.2,38.52
Paramoti,1981,579.0,48.25
Ubajara,1981,953.1,79.42
Carnaubal,1981,484.1,40.34
Massapê,1981,793.6,66.13
Chaval,1981,661.2,55.1
São Benedito,1981,797.5,66.46
Aracoiaba,1981,399.5,33.29
Potengi,1981,599.1,49.93
Granja,1981,661.4,55.12
Missão Velha,1981,594.0,49.5
Poranga,1981,567.5,47.29
Granjeiro,1981,108.0,108.0
Senador Sá,1981,734.9,61.24
Icó,1981,705.4,58.78
Pedra Branca,1981,691.0,57.58
Maranguape,1981,748.7,62.39
Palhano,1981,608.4,50.7
Campos Sales,1981,487.0,40.58
Caridade,1981,560.5,46.71
São Gonçalo do Amarante,1981,671.25,55.94
Paracuru,1981,925.5,77.13
Santana do Cariri,1981,793.6,66.13
Tauá,1981,647.8,53.98
Brejo Santo,1981,655.2,54.6
Lavras da Mangabeira,1981,709.0,59.08
Caririaçu,1981,877.6,73.13
Aurora,1981,869.0,72.42
Maracanaú,1981,987.3,82.27
Bela Cruz,1981,407.4,33.95
Meruoca,1981,1242.8,103.57
Pacatuba,1981,744.3,62.03
Frecheirinha,1981,128.0,128.0
Pacujá,1981,479.2,39.93
General Sampaio,1981,520.4,43.37
São João do Jaguaribe,1981,480.4,40.03
Abaiara,1981,513.3,42.77
Irauçuba,1981,371.6,30.97
Guaiúba,1981,456.0,38.0
Crateús,1981,490.6,40.88
Palmácia,1981,953.5,79.46
Mucambo,1981,583.5,48.62
Martinópole,1981,888.3,74.02
Jaguaribara,1981,605.1,50.43
Tabuleiro do Norte,1981,591.4,49.28
Acopiara,1981,557.5,46.46
Saboeiro,1981,591.5,49.29
Pacoti,1981,1005.0,83.75
Quixeramobim,1981,597.7,49.81
Cariré,1981,791.5,65.96
Alto Santo,1981,656.5,54.71
Barro,1981,693.2,57.77
Itaiçaba,1981,580.6,48.38
Crato,1981,811.0,67.58
Moraújo,1981,345.0,172.5
Itapiúna,1981,605.9,50.49
Limoeiro do Norte,1981,692.8,57.73
Acaraú,1981,631.0,52.58
Várzea Alegre,1981,810.6,67.55
Jardim,1981,537.6,44.8
Alcântaras,1981,560.0,46.67
Pacajus,1981,573.6,47.8
Itapajé,1981,708.4,59.03
Mulungu,1981,908.3,75.69
Porteiras,1981,613.3,51.11
Jaguaribe,1981,619.0,51.58
Quixeré,1981,520.7,43.39
Reriutaba,1981,540.2,45.02
Aratuba,1981,1173.2,97.77
Capistrano,1981,533.0,44.42
Penaforte,1981,462.2,38.52
Boa Viagem,1981,693.0,57.75
Antonina do Norte,1981,718.0,59.83
Jucás,1981,840.7,70.06
Arneiroz,1981,670.2,55.85
Cedro,1981,773.9,64.49
Barbalha,1981,571.3,47.61
Ipu,1981,871.0,72.58
Cascavel,1981,669.6,55.8
Assaré,1981,669.0,55.75
Guaramiranga,1981,1190.1,99.17
Tianguá,1981,830.9,69.24
Parambu,1981,553.9,46.16
Baturité,1981,661.0,55.08
Ipaumirim,1981,755.5,62.96
Aquiraz,1981,679.0,56.58
Hidrolândia,1981,594.0,49.5
Camocim,1981,663.2,55.27
Pentecoste,1981,548.8,45.73
Miraíma,1981,313.0,26.08
Tamboril,1981,516.1,43.01
Deputado Irapuan Pinheiro,1981,656.3,54.69
Senador Pompeu,1981,486.5,40.54
Novo Oriente,1981,492.9,41.07
Forquilha,1981,0.0,
Uruburetama,1981,760.4,63.37
Ipueiras,1981,622.0,51.83
Milagres,1981,519.5,43.29
Ibiapina,1981,1068.9,89.08
Araripe,1981,713.5,59.46
Solonópole,1981,643.0,53.58
Trairi,1981,672.1,56.01
Santana do Acaraú,1981,466.8,38.9
Milhã,1981,465.0,38.75
Itatira,1981,539.5,44.96
Mauriti,1981,517.7,43.14
Jaguaretama,1981,551.1,45.92
Fortaleza,1981,1086.4,90.53
Russas,1981,481.1,40.09
Sobral,1981,479.0,39.92
Aiuaba,1981,590.5,49.21
Independência,1981,577.4,48.12
Juazeiro do Norte,1981,590.5,49.21
Coreaú,1981,657.0,54.75
Uruoca,1981,975.6,81.3
Santa Quitéria,1981,400.7,33.39
Iguatu,1981,712.0,59.33
Canindé,1981,504.8,42.07
Caucaia,1981,750.0,62.5
Redenção,1981,588.7,49.06
Umari,1981,755.1,62.92
