Municipio,Ano,Total,Media
Potiretama,2002,951.5,79.29
Itaitinga,2002,1504.0,125.33
Altaneira,2002,667.0,55.58
Farias Brito,2002,803.45,66.95
Jati,2002,794.4,66.2
Nova Olinda,2002,449.0,37.42
Quixadá,2002,891.98,74.33
Pereiro,2002,919.65,76.64
Groaíras,2002,852.3,71.02
Cariús,2002,645.88,53.82
Graça,2002,1106.5,92.21
Choró,2002,889.0,74.08
Jaguaruana,2002,813.15,67.76
Viçosa do Ceará,2002,954.34,79.53
São Luís do Curu,2002,1094.0,91.17
Baixio,2002,1068.7,89.06
Piquet Carneiro,2002,882.9,73.58
Tururu,2002,755.4,62.95
Morada Nova,2002,885.09,73.76
Quixelô,2002,776.6,64.72
Nova Russas,2002,850.42,70.87
Acarape,2002,1553.2,129.43
Aracati,2002,978.79,81.57
Orós,2002,832.55,69.38
Monsenhor Tabosa,2002,628.2,52.35
Itapipoca,2002,1159.88,96.66
Mombaça,2002,660.78,55.06
Marco,2002,701.35,58.45
Pires Ferreira,2002,856.2,71.35
Catarina,2002,619.4,51.62
Ererê,2002,944.55,78.71
Guaraciaba do Norte,2002,1200.94,100.08
Iracema,2002,1193.36,99.45
Croatá,2002,508.35,42.36
Paramoti,2002,743.9,61.99
Ubajara,2002,929.35,77.45
Ipaporanga,2002,700.8,58.4
Carnaubal,2002,681.2,56.77
Massapê,2002,822.45,68.54
Chaval,2002,906.4,75.53
São Benedito,2002,1140.45,95.04
Aracoiaba,2002,1059.61,88.3
Potengi,2002,399.0,33.25
Granja,2002,1216.66,101.39
Missão Velha,2002,951.49,79.29
Poranga,2002,629.0,52.42
Granjeiro,2002,817.6,68.13
Senador Sá,2002,1158.7,96.56
Icó,2002,905.39,75.45
Pedra Branca,2002,887.95,74.0
Tarrafas,2002,473.4,39.45
Maranguape,2002,1317.35,109.78
Palhano,2002,897.8,74.82
Campos Sales,2002,351.59,29.3
Caridade,2002,939.89,78.32
São Gonçalo do Amarante,2002,1073.2,89.43
Horizonte,2002,1326.3,110.52
Paracuru,2002,1665.5,138.79
Santana do Cariri,2002,672.8,56.07
Amontada,2002,1002.04,83.5
Quiterianópolis,2002,497.81,41.48
Tauá,2002,471.05,39.25
Brejo Santo,2002,880.08,73.34
