"Posição","Nome","Localidade","2017-preliminar","Unidade","Multiplicador"
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Crato","554.014","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Croatá","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Cruz","3750.426","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Deputado Irapuan Pinheiro","7455.377","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ererê","2729.248","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Eusébio","11.822","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Farias Brito","6241.203","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Forquilha","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Fortaleza","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Fortim","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Frecheirinha","1991.835","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","General Sampaio","-","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Graça","734.614","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Granja","8662.528","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Granjeiro","1942.321","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Groaíras","1628.606","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Guaiúba","551.769","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Guaraciaba do Norte","3587.698","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Guaramiranga","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Hidrolândia","14539.962","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Horizonte","663.069","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ibaretama","6012.547","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ibiapina","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ibicuitinga","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Icapuí","54.782","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Icó","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Iguatu","6594.344","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Independência","62138.118","hectares",1
