"Posição","Nome","Localidade","2007","2008","2009","2010","2011","2012","Unidade","Multiplicador"
"1","Notificações","Miraíma","21","24","4","1","16","9","",""
"1","Notificações","Missão Velha","53","12","23","41","2","44","",""
"1","Notificações","Mombaça","1","36","132","101","116","5","",""
"1","Notificações","Monsenhor Tabosa","55","193","7","14","335","7","",""
"1","Notificações","Morada Nova","4","92","79","11","59","29","",""
"1","Notificações","Morrinhos","10","150","10","2","34","1","",""
"1","Notificações","Mucambo","197","48","70","-","11","1","",""
"1","Notificações","Mulungu","1","7","-","-","20","11","",""
"1","Notificações","Nova Olinda","14","11","2","69","61","32","",""
"1","Notificações","Nova Russas","8","23","-","2","333","112","",""
"1","Notificações","Novo Oriente","44","84","5","156","238","21","",""
"1","Notificações","Ocara","32","46","11","3","254","273","",""
"1","Notificações","Orós","73","352","1","97","339","3","",""
"1","Notificações","Pacajus","55","69","73","45","314","86","",""
"1","Notificações","Pacatuba","261","205","48","164","191","357","",""
"1","Notificações","Pacoti","2","12","19","5","16","26","",""
"1","Notificações","Pacujá","2","6","3","1","8","3","",""
"1","Notificações","Palhano","1","1","1","2","1","44","",""
"1","Notificações","Palmácia","55","56","11","2","22","4","",""
"1","Notificações","Paracuru","16","33","9","3","13","547","",""
"1","Notificações","Paraipaba","5","27","6","1","44","65","",""
"1","Notificações","Parambu","146","39","19","152","208","54","",""
"1","Notificações","Paramoti","2","16","-","4","41","7","",""
"1","Notificações","Pedra Branca","9","5","1","5","4","1","",""
"1","Notificações","Penaforte","5","-","-","60","101","7","",""
"1","Notificações","Pentecoste","42","128","8","255","84","22","",""
"1","Notificações","Pereiro","39","200","6","10","45","27","",""
"1","Notificações","Pindoretama","14","16","-","10","4","18","",""
"1","Notificações","Piquet Carneiro","5","2","2","1","20","9","",""
"1","Notificações","Poranga","2","6","1","-","12","1","",""
"1","Notificações","Porteiras","522","7","3","216","138","53","",""
"1","Notificações","Potengi","29","94","12","59","6","24","",""
"1","Notificações","Quiterianópolis","83","10","32","586","667","230","",""
"1","Notificações","Quixadá","569","628","13","39","431","200","",""
"1","Notificações","Quixelô","183","1","-","2","13","3","",""
"1","Notificações","Quixeramobim","56","164","7","9","119","97","",""
"1","Notificações","Quixeré","1","17","-","3","100","139","",""
"1","Notificações","Redenção","47","241","10","1","40","6","",""
"1","Notificações","Reriutaba","466","46","15","5","552","264","",""
"1","Notificações","Russas","561","613","34","24","80","61","",""
"1","Notificações","Salitre","8","40","37","7","13","31","",""
"1","Notificações","Santana do Acaraú","36","76","3","5","26","27","",""
"1","Notificações","Santana do Cariri","15","20","2","183","117","56","",""
"1","Notificações","Santa Quitéria","205","90","30","124","506","10","",""
"1","Notificações","São Benedito","5","6","1","2","7","1","",""
"1","Notificações","São Gonçalo do Amarante","28","170","1","4","202","97","",""
"1","Notificações","São João do Jaguaribe","3","1","3","-","2","2","",""
"1","Notificações","São Luís do Curu","13","59","1","2","65","11","",""
"1","Notificações","Senador Pompeu","16","10","2","9","163","14","",""
"1","Notificações","Senador Sá","157","2","-","2","63","36","",""
"1","Notificações","Sobral","2779","71","64","85","101","18","",""
"1","Notificações","Solonópole","2","6","1","-","9","5","",""
"1","Notificações","Tabuleiro do Norte","2","36","3","22","50","23","",""
"1","Notificações","Tamboril","32","154","249","203","86","6","",""
"1","Notificações","Tarrafas","1","-","-","1","21","3","",""
