"Posição","Nome","Localidade","2005","2006","2008","2009","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1","empenhadas","Frecheirinha",,,,"15511","23255","32304","28159.93729","33141.7332","38676","R$",1000
"1.1","empenhadas","General Sampaio",,,,"11582","18104","21095","20932.33816","21345.43747","25385","R$",1000
"1.1","empenhadas","Graça",,,,"19191","26365","31628","30856.69158","38514.89573","45678","R$",1000
"1.1","empenhadas","Granja",,,,"46650","73333","92167","96425.78864","110765.93646","106092","R$",1000
"1.1","empenhadas","Granjeiro",,,,"9410","15457","17099","15890.08845","17585.13757","16804","R$",1000
"1.1","empenhadas","Groaíras",,,,"12594","21285","24194","24776.92928","28351.70107","28904","R$",1000
"1.1","empenhadas","Guaiúba",,,,"23039","38401","45316","46637.98565","49447.53171","51599","R$",1000
"1.1","empenhadas","Guaraciaba do Norte",,,,"36140","59618","67030","73669.28208","75085.75217","90370","R$",1000
"1.1","empenhadas","Guaramiranga",,,,"10189","14616","15993","17308.35477","19166.10753","20841","R$",1000
"1.1","empenhadas","Hidrolândia",,,,"20400","30917","33207","37568.66605","38960.57193","37986","R$",1000
"1.1","empenhadas","Horizonte",,,,"68763","133076","153503","170642.55044","181485.05163","175778","R$",1000
"1.1","empenhadas","Ibaretama",,,,"15120","20519","23742","24429.92739","26379.81462","28828","R$",1000
"1.1","empenhadas","Ibiapina",,,,"26933","32460","47194","46364.01749","43502.54857","46607","R$",1000
"1.1","empenhadas","Ibicuitinga",,,,"14148","21590","24951","29254.59323","26119.24726","28420","R$",1000
"1.1","empenhadas","Icapuí",,,,"32099","43998","45305","56351.23192","76267.62886","82328","R$",1000
"1.1","empenhadas","Icó",,,,"59886","99151","111687","117057.58914","123421.87757","120450","R$",1000
"1.1","empenhadas","Iguatu",,,,"102484","159708","171311","182719.1904","207375.91102","210946","R$",1000
"1.1","empenhadas","Independência",,,,"27767","36223","41309","42610.86598","47997.53763","47668","R$",1000
"1.1","empenhadas","Ipaporanga",,,,"16804","23552","27039","27625.84219","27767.38572","31544","R$",1000
"1.1","empenhadas","Ipaumirim",,,,"11968","19636","22330","23414.41365","25790.6643","26534","R$",1000
"1.1","empenhadas","Ipu",,,,"43854","62016","72018","78360.2618","84835.62193","85478","R$",1000
"1.1","empenhadas","Ipueiras",,,,"43447","62406","99999999999997","72252.97755","83803.73666","78944","R$",1000
"1.1","empenhadas","Iracema",,,,"19755","27343","33111","34038.95946","38485.7677","43285","R$",1000
"1.1","empenhadas","Irauçuba",,,,"28077","40443","46277","45863.94007","50252.65532","51199","R$",1000
"1.1","empenhadas","Itaiçaba",,,,"11280","14303","17155","18163.68301","17836.07971","21829","R$",1000
"1.1","empenhadas","Itaitinga",,,,"35740","55109","62069","85196.52327","103594.0371","91054","R$",1000
"1.1","empenhadas","Itapajé",,,,"43841","77643","96225","87717.22055","94383.64461","101400","R$",1000
"1.1","empenhadas","Itapipoca",,,,"94705","173279","195749","219135.24283","229406.14457","239927","R$",1000
"1.1","empenhadas","Itapiúna",,,,"22461","29725","35779","36680.46369","41890.10021","45448","R$",1000
"1.1","empenhadas","Itarema",,,,"44667","56361","72683","75479.70539","84040.33945","93240","R$",1000
"1.1","empenhadas","Itatira",,,,"23146","35888","42119","43662.76973","47645.27726","60600","R$",1000
"1.1","empenhadas","Jaguaretama",,,,"22983","32181","36890","34393.99033","33989.4345","35977","R$",1000
"1.1","empenhadas","Jaguaribara",,,,"14747","20227","23188","22867.67273","23432.02766","26656","R$",1000
"1.1","empenhadas","Jaguaribe",,,,"42038","62368","70343","78503.60593","82764.66862","82644","R$",1000
"1.1","empenhadas","Jaguaruana",,,,"33053","49459","58042","62021.20364","66579.15934","69047","R$",1000
"1.1","empenhadas","Jardim",,,,"31382","45248","50863","61851.17499","60956.72902","52204","R$",1000
"1.1","empenhadas","Jati",,,,"10720","18959","23853","22244.37878","26443.51311","28222","R$",1000
"1.1","empenhadas","Jijoca de Jericoacoara",,,,"21566","35266","41196","43391.03377","52134.8458","60924","R$",1000
"1.1","empenhadas","Juazeiro do Norte",,,,"248381","312479","381144","395502.27796","465482.05389","522709","R$",1000
"1.1","empenhadas","Jucás",,,,"25003","38583","44522","47528.52095","50654.76666","53528","R$",1000
"1.1","empenhadas","Lavras da Mangabeira",,,,"30535","44396","51115","53911.80132","54488.54128","56817","R$",1000
"1.1","empenhadas","Limoeiro do Norte",,,,"67834","91439","111178","109864.58803","97388.00935","106746","R$",1000
"1.1","empenhadas","Madalena",,,,"25017","35683","34588","36431.77205","38699.80485","39125","R$",1000
"1.1","empenhadas","Maracanaú",,,,"304381","451951","508345","608168.14494","631300.94198","657108","R$",1000
"1.1","empenhadas","Maranguape",,,,"88482","147607","165273","178619.18322","196251.1363","193904","R$",1000
"1.1","empenhadas","Marco",,,,"30721","45054","52502","56848.46381","54680.88173","57588","R$",1000
"1.1","empenhadas","Martinópole",,,,"15411","19856","24408","25886.72262","25719.281","29616","R$",1000
"1.1","empenhadas","Massapê",,,,"33955","45109","58529","66133.51975","64594.15654","81630","R$",1000
"1.1","empenhadas","Mauriti",,,,"42671","71218","80717","88625.44414","93004.47886","87086","R$",1000
"1.1","empenhadas","Meruoca",,,,"19493","27515","37825","37762.20427","30972.9805","35949","R$",1000
"1.1","empenhadas","Milagres",,,,"26200","41510","44211","48842.50208","54256.46447","53492","R$",1000
"1.1","empenhadas","Milhã",,,,"16321","22959","25774","28292.04039","34642.31746","31509","R$",1000
"1.1","empenhadas","Miraíma",,,,"14840","25432","27691","26080.37046","29579.00895","31469","R$",1000
"1.1","empenhadas","Missão Velha",,,,"31564","49659","56695","65007.8047","66956.9565","68823","R$",1000
"1.1","empenhadas","Mombaça",,,,"36567","48986","66971","69274.18104","71350.05806","75707","R$",1000
"1.1","empenhadas","Monsenhor Tabosa",,,,"20057","27911","34280","36841.05853","42458.23324","43439","R$",1000
"1.1","empenhadas","Morada Nova",,,,"61945","93066","111054","116380.23981","122989.40826","127184","R$",1000
"1.1","empenhadas","Moraújo",,,,"12051","15781","18972","20384.48033","19330.99059","21764","R$",1000
"1.1","empenhadas","Morrinhos",,,,"20026","34826","39197","40149.43674","44884.02966","46041","R$",1000
"1.1","empenhadas","Mucambo",,,,"18002","28382","32764","31395.43592","37870.41328","34551","R$",1000
"1.1","empenhadas","Mulungu",,,,"12680","20752","23158","22310.45039","21745.18438","26116","R$",1000
"1.1","empenhadas","Nova Olinda",,,,"17452","29822","33277","35366.34341","32914.93443","38351","R$",1000
"1.1","empenhadas","Nova Russas",,,,"34783","46299","53574","53404.41468","55502.7995","57297","R$",1000
"1.1","empenhadas","Novo Oriente",,,,"30957","48433","51981","56490.2685","54491.45423","54124","R$",1000
"1.1","empenhadas","Ocara",,,,"26399","45302","47508","47809.76417","47482.57602","53835","R$",1000
"1.1","empenhadas","Orós",,,,"24716","34072","39599","41050.99715","43393.2811","46213","R$",1000
"1.1","empenhadas","Pacajus",,,,"56753","82655","101772","111086.34728","118892.13007","115063","R$",1000
"1.1","empenhadas","Pacatuba",,,,"58711","87706","110952","113665.61604",,"145990","R$",1000
"1.1","empenhadas","Pacoti",,,,"15326","20956","99999999999997","24668.94703","27525.29858","30572","R$",1000
"1.1","empenhadas","Pacujá",,,,"12179","15545","16447","17865.81526","21406.67487","19807","R$",1000
"1.1","empenhadas","Palhano",,,,"10752","16976","18951","21630.6773","21052.72446","21230","R$",1000
"1.1","empenhadas","Palmácia",,,,"11432","21073","23433","22618.43699","22294.34039","23780","R$",1000
"1.1","empenhadas","Paracuru",,,,"45367","64785","75077","74311.6573","81290.45512","98096","R$",1000
"1.1","empenhadas","Paraipaba",,,,"33732","45375","53475","61610.20343","64896.41314","65060","R$",1000
"1.1","empenhadas","Parambu",,,,"38869","55083","63180","74121.67708","70899.62285","65099","R$",1000
"1.1","empenhadas","Paramoti",,,,"16885","23668","23351","25742.26573","24927.26446","38442","R$",1000
"1.1","empenhadas","Pedra Branca",,,,"45334","75133","86521","83538.63372","73511.04772","81111","R$",1000
