"Posição","Nome","Localidade","2005","2006","2008","2009","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1.3","Investimentos","Altaneira",,,,"1245","1008","1753","3245.31158","1727.0991","1327","R$",1000
"1.1.3","Investimentos","Alto Santo",,,,"8313","3421","7680","10370.01514","10267.85558","3611","R$",1000
"1.1.3","Investimentos","Amontada",,,,"6793","2568","8123","8841.61459","11104.645","8724","R$",1000
"1.1.3","Investimentos","Antonina do Norte",,,,"889","737","1360","1036.29928","975.7988","778","R$",1000
"1.1.3","Investimentos","Apuiarés",,,,"1617","1800","5182","2271.57664","3261.99687","1873","R$",1000
"1.1.3","Investimentos","Aquiraz",,,,"12969","9974","10459","6847.94543","21685.18584","5320","R$",1000
"1.1.3","Investimentos","Aracati",,,,"3207","4148","8018","7000.91898","6339.62175","6155","R$",1000
"1.1.3","Investimentos","Aracoiaba",,,,"1017","2370","3235","6804.05931","3566.635","3494","R$",1000
"1.1.3","Investimentos","Ararendá",,,,"1863","1711","2413","1793.8729","1006.04361","1840","R$",1000
"1.1.3","Investimentos","Araripe",,,,"714","6740","4282","748.23707","2854.93976","4865","R$",1000
"1.1.3","Investimentos","Aratuba",,,,"1115","536","601","1116.84173","1689.0206","1062","R$",1000
"1.1.3","Investimentos","Arneiroz",,,,"167","1318","931","1181.20411","105.76757","306","R$",1000
"1.1.3","Investimentos","Assaré",,,,"3011","2782","6205","4899.10756","1754.75675","1482","R$",1000
"1.1.3","Investimentos","Aurora",,,,"2157","3605","3383","2596.47125","2784.0455","1190","R$",1000
"1.1.3","Investimentos","Baixio",,,,"523","720","1043","1055.97497","1048.8132","2012","R$",1000
"1.1.3","Investimentos","Banabuiú",,,,"1276","2758","1541","2814.70255","3004.4351","3357","R$",1000
"1.1.3","Investimentos","Barbalha",,,,"1132","6711","6705","7630.11885","5343.83197","3216","R$",1000
"1.1.3","Investimentos","Barreira",,,,"614","2693","2224","2396.18029","2549.19255","1510","R$",1000
"1.1.3","Investimentos","Barro",,,,"1356","1724","2295","1449.17515","1116.13916","784","R$",1000
"1.1.3","Investimentos","Barroquinha",,,,"264","2231","1403","1317.00358","2558.7093","1811","R$",1000
"1.1.3","Investimentos","Baturité",,,,"762","1732","99999999999997","716.63307","1511.29064","538","R$",1000
"1.1.3","Investimentos","Beberibe",,,,"4048","3756","3945","7157.60939","5801.18406","659","R$",1000
"1.1.3","Investimentos","Bela Cruz",,,,"2427","2186","5836","6866.19155",,"1457","R$",1000
"1.1.3","Investimentos","Boa Viagem",,,,"1740","4395","2688","4297.55934","3570.90409","2096","R$",1000
"1.1.3","Investimentos","Brejo Santo",,,,"6474","5233","32541","11897.95883","11956.36535","7018","R$",1000
"1.1.3","Investimentos","Camocim",,,,"6169","4059","8285","9217.65754","15823.28547","26740","R$",1000
"1.1.3","Investimentos","Campos Sales",,,,"1355","1687","4928","3679.57932","3246.67572","2869","R$",1000
"1.1.3","Investimentos","Canindé",,,,"5548","4790","5866","2275.25746","4932.77732","2477","R$",1000
"1.1.3","Investimentos","Capistrano",,,,"1441","3027","1538","2641.42445","2952.05671","1390","R$",1000
"1.1.3","Investimentos","Caridade",,,,"1471","1889","3582",,"2573.35591",,"R$",1000
"1.1.3","Investimentos","Cariré",,,,"2963","8517","20983","13575.9606","7222.65405","4780","R$",1000
"1.1.3","Investimentos","Caririaçu",,,,"7150","2560","2845","5364.4891","4361.97869","312","R$",1000
"1.1.3","Investimentos","Cariús",,,,"2576","2439","2820","4721.52395","1783.21447","5762","R$",1000
"1.1.3","Investimentos","Carnaubal",,,,"1747","3763","2449","2748.36396","2079.19048","890","R$",1000
"1.1.3","Investimentos","Cascavel",,,,"2460","5622","3382","3730.98838","3377.36376","4543","R$",1000
"1.1.3","Investimentos","Catarina",,,,"3660","5311","3250","2075.42913","4829.55854","5675","R$",1000
"1.1.3","Investimentos","Catunda",,,,"812","898","1518","1424.06515","4568.60348","766","R$",1000
"1.1.3","Investimentos","Caucaia",,,,"24396","57145","64231","79142.94146","4088.2454","30845","R$",1000
"1.1.3","Investimentos","Cedro",,,,"2995","2928","5566","3778.0337","2729.68861","3173","R$",1000
"1.1.3","Investimentos","Chaval",,,,"1343","2183","4079","1815.96004","1848.12559","1336","R$",1000
"1.1.3","Investimentos","Choró",,,,"308","1233","99999999999997","3135.91393","1733.69248","825","R$",1000
"1.1.3","Investimentos","Chorozinho",,,,"3226","6186","6325","3745.5058","1105.32068","3324","R$",1000
"1.1.3","Investimentos","Coreaú",,,,"2688","3239","2851","7342.03022","4264.35893","1849","R$",1000
"1.1.3","Investimentos","Crateús",,,,"3862","6229","8938","9048.13648","7537.31199","2754","R$",1000
"1.1.3","Investimentos","Crato",,,,"4926","6978","12426","10608.50633","3332.26728","3853","R$",1000
"1.1.3","Investimentos","Croatá",,,,"2555","1203","2147","3451.18089","5326.84716","2983","R$",1000
"1.1.3","Investimentos","Cruz",,,,"4549","3512","2513","5697.69047","784.17631","3569","R$",1000
"1.1.3","Investimentos","Deputado Irapuan Pinheiro",,,,"1129","2065","2909","3217.59972","1984.60769","1814","R$",1000
"1.1.3","Investimentos","Ererê",,,,"888","1781","99999999999997","2758.63701","1477.01317","290","R$",1000
"1.1.3","Investimentos","Eusébio",,,,"8500","2362","7564","6550.36514","11373.70268","4090","R$",1000
"1.1.3","Investimentos","Farias Brito",,,,"4117","9496","6565","7909.23837","8532.92204","3017","R$",1000
"1.1.3","Investimentos","Forquilha",,,,"3794","2089","4053","3678.34186","1845.78264","2177","R$",1000
"1.1.3","Investimentos","Fortaleza",,,,"242665","385907","523972","542787.21649","483468.34959","394112","R$",1000
"1.1.3","Investimentos","Fortim",,,,"1152","2055","2207","1880.69332","7980.30503","1960","R$",1000
"1.1.3","Investimentos","Frecheirinha",,,,"1261","971","7104","1544.72251","3974.19989","3830","R$",1000
"1.1.3","Investimentos","General Sampaio",,,,"1473","2029","2900","174.12455","1189.64247","800","R$",1000
"1.1.3","Investimentos","Graça",,,,"1715","2345","3156","1062.62788","4357.80754","3811","R$",1000
"1.1.3","Investimentos","Granja",,,,"3503","8115","23708","14102.07756","18594.26182","7627","R$",1000
"1.1.3","Investimentos","Granjeiro",,,,"1091","980","2016","1493.37117","2223.16084","1036","R$",1000
"1.1.3","Investimentos","Groaíras",,,,"1077","1304","2780","1510.45385","3583.15787","1487","R$",1000
"1.1.3","Investimentos","Guaiúba",,,,"1909","1778","3237","1171.32985","2771.73226","3770","R$",1000
"1.1.3","Investimentos","Guaraciaba do Norte",,,,"2643","5801","4899","7839.97353","6316.30433","7858","R$",1000
"1.1.3","Investimentos","Guaramiranga",,,,"637","1254","461","251.39687","594.74606","699","R$",1000
"1.1.3","Investimentos","Hidrolândia",,,,"890","1425","1475","2597.83634","1610.94479","879","R$",1000
"1.1.3","Investimentos","Horizonte",,,,"10029","22224","22155","25592.20215","28116.22155","11269","R$",1000
"1.1.3","Investimentos","Ibaretama",,,,"1161","1625","732","311.92527","919.51601","300","R$",1000
"1.1.3","Investimentos","Ibiapina",,,,"3512","561","5864","6389.75283","2290.02266","1548","R$",1000
"1.1.3","Investimentos","Ibicuitinga",,,,"496","1108","1413","1169.55831","402.68796","668","R$",1000
"1.1.3","Investimentos","Icapuí",,,,"3898","1088","1032","7285.82213","14173.27508","12313","R$",1000
"1.1.3","Investimentos","Icó",,,,"3640","6086","7207","5563.08321","4374.61714","2501","R$",1000
"1.1.3","Investimentos","Iguatu",,,,"14804","29964","21058","15622.07342","28034.36747","9677","R$",1000
"1.1.3","Investimentos","Independência",,,,"2211","954","3223","2377.21836","3016.40521","1817","R$",1000
"1.1.3","Investimentos","Ipaporanga",,,,"3481","1862","4260","1786.40146","1715.86207","2235","R$",1000
"1.1.3","Investimentos","Ipaumirim",,,,"442","995","1151","1197.49122","910.80438","196","R$",1000
"1.1.3","Investimentos","Ipu",,,,"7022","2367","3637","2631.35818","3982.33659","2828","R$",1000
"1.1.3","Investimentos","Ipueiras",,,,"4555","2174","99999999999997","1979.35595","6663.24564","3382","R$",1000
"1.1.3","Investimentos","Iracema",,,,"1640","1942","3224","4362.44029","5326.50397","5598","R$",1000
"1.1.3","Investimentos","Irauçuba",,,,"5253","3995","7023","4268.84523","5133.96634","3554","R$",1000
"1.1.3","Investimentos","Itaiçaba",,,,"1800","766","1494","1028.27503","475.43606","735","R$",1000
"1.1.3","Investimentos","Itaitinga",,,,"3768","5662","8453","5809.33011","20767.33858","6207","R$",1000
"1.1.3","Investimentos","Itapajé",,,,"2912","8691","20409","7835.30045","3187.5126","2526","R$",1000
"1.1.3","Investimentos","Itapipoca",,,,"8479","11568","18300","27594.88367","15645.55268","10479","R$",1000
"1.1.3","Investimentos","Itapiúna",,,,"1179","262","1563","1678.23174","1842.22037","804","R$",1000
"1.1.3","Investimentos","Itarema",,,,"10550","4244","7036","5370.07212","8959.94311","8636","R$",1000
"1.1.3","Investimentos","Itatira",,,,"2393","3783","4253","2031.83582","1117.33749","3281","R$",1000
"1.1.3","Investimentos","Jaguaretama",,,,"930","2023","4042","951.81447","803.95655","1446","R$",1000
"1.1.3","Investimentos","Jaguaribara",,,,"743","1252","1658","745.76057","290.3671","841","R$",1000
"1.1.3","Investimentos","Jaguaribe",,,,"7432","8730","8366","12701.71835","13865.80956","8861","R$",1000
"1.1.3","Investimentos","Jaguaruana",,,,"2261","1171","4486","5345.92821","4027.01714","1253","R$",1000
"1.1.3","Investimentos","Jardim",,,,"3242","2710","5647","5240.08495","2704.23828","895","R$",1000
"1.1.3","Investimentos","Jati",,,,"977","2140","4661","837.98501","2154.27431","1495","R$",1000
"1.1.3","Investimentos","Jijoca de Jericoacoara",,,,"1501","2578","4617","4540.30148","5221.11682","3252","R$",1000
"1.1.3","Investimentos","Juazeiro do Norte",,,,"23430","19984","35949","27913.54164","51050.00355","42246","R$",1000
"1.1.3","Investimentos","Jucás",,,,"2768","1279","3076","3157.73824","1805.27165","3133","R$",1000
"1.1.3","Investimentos","Lavras da Mangabeira",,,,"3353","2594","3010","4264.68171","2420.72488","1475","R$",1000
"1.1.3","Investimentos","Limoeiro do Norte",,,,"12246","3882","9936","6035.84129","467.43115","2547","R$",1000
"1.1.3","Investimentos","Madalena",,,,"4347","2195","2104","1392.35461","1339.97703","848","R$",1000
"1.1.3","Investimentos","Maracanaú",,,,"44519","42191","25227","33145.94887","35013.05769","32176","R$",1000
"1.1.3","Investimentos","Maranguape",,,,"9233","9268","6296","9765.81445","7751.50547","5473","R$",1000
"1.1.3","Investimentos","Marco",,,,"5343","3553","5451","5586.64904","4725.58246","3530","R$",1000
"1.1.3","Investimentos","Martinópole",,,,"3099","2242","4693","2836.98258","2177.83387","1153","R$",1000
"1.1.3","Investimentos","Massapê",,,,"2418","2135","7085","9147.45698","6174.17051","1156","R$",1000
"1.1.3","Investimentos","Mauriti",,,,"6888","7027","7133","9558.3114","10893.79778","2201","R$",1000
"1.1.3","Investimentos","Meruoca",,,,"2904","1820","7100","5422.91096","868.27213","869","R$",1000
"1.1.3","Investimentos","Milagres",,,,"2702","3748","3536","3463.19837","4068.80967","1198","R$",1000
"1.1.3","Investimentos","Milhã",,,,"712","1899","2435","3180.4939","3346.10229","1473","R$",1000
"1.1.3","Investimentos","Miraíma",,,,"1439","3187","3470","1626.54336","2712.81434","1510","R$",1000
"1.1.3","Investimentos","Missão Velha",,,,"2337","2038","5880","4366.14491","5228.58342","2156","R$",1000
"1.1.3","Investimentos","Mombaça",,,,"1106","2668","8342","7276.29845","4718.55308","5910","R$",1000
"1.1.3","Investimentos","Monsenhor Tabosa",,,,"751","753","2058","2132.23733","2241.20934","1517","R$",1000
"1.1.3","Investimentos","Morada Nova",,,,"1258","1983","5990","4573.61145","2859.15927","2344","R$",1000
"1.1.3","Investimentos","Moraújo",,,,"1407","587","2677","2007.38143","368.398","1479","R$",1000
"1.1.3","Investimentos","Morrinhos",,,,"1365","4814","3814","4085.07653","5281.97304","3659","R$",1000
"1.1.3","Investimentos","Mucambo",,,,"1279","1817","4805","2890.17573","6436.10739","1798","R$",1000
"1.1.3","Investimentos","Mulungu",,,,"1009","1758","2529","1070.72571","187.57569","1106","R$",1000
"1.1.3","Investimentos","Nova Olinda",,,,"2832","2239","3363","1848.7279","1366.81747","4724","R$",1000
"1.1.3","Investimentos","Nova Russas",,,,"3029","2919","4421","3268.96293","586.02679","2301","R$",1000
"1.1.3","Investimentos","Novo Oriente",,,,"4193","4881","8842","7984.7513","1806.80425","4324","R$",1000
"1.1.3","Investimentos","Ocara",,,,"2450","4678","4279","1646.52093","653.51756","1495","R$",1000
"1.1.3","Investimentos","Orós",,,,"2812","737","1876","2515.04625","1930.45089","2715","R$",1000
"1.1.3","Investimentos","Pacajus",,,,"6733","552","5721","6498.93175","6656.49937","4395","R$",1000
"1.1.3","Investimentos","Pacatuba",,,,"7202","2629","8476","4934.50463",,"7719","R$",1000
"1.1.3","Investimentos","Pacoti",,,,"943","559","99999999999997","511.08744","1394.35876","740","R$",1000
"1.1.3","Investimentos","Pacujá",,,,"2194","205","828","146.63158","2906.09686","273","R$",1000
"1.1.3","Investimentos","Palhano",,,,"365","1671","2389","1551.65406","1271.5671","286","R$",1000
"1.1.3","Investimentos","Palmácia",,,,"359","599","2758","384.49062","163.01716","502","R$",1000
"1.1.3","Investimentos","Paracuru",,,,"6612","3843","4494","2372.68674","5044.16261","1172","R$",1000
"1.1.3","Investimentos","Paraipaba",,,,"7062","1042","1931","3863.62","3869.15773","1313","R$",1000
"1.1.3","Investimentos","Parambu",,,,"9446","10392","15762","9768.76509","12550.49819","12471","R$",1000
"1.1.3","Investimentos","Paramoti",,,,"2095","255","156","919.98101","451.94352","182","R$",1000
"1.1.3","Investimentos","Pedra Branca",,,,"6911","12384","16829","14199.12748","2900.97745","5312","R$",1000
"1.1.3","Investimentos","Penaforte",,,,"1864","2915","5008","770.55893","1817.80534","716","R$",1000
"1.1.3","Investimentos","Pentecoste",,,,"5531","3888","3585","4683.97958","4394.02949","3743","R$",1000
"1.1.3","Investimentos","Pereiro",,,,"3357","1261","2651","1659.89827","774.77806","3127","R$",1000
"1.1.3","Investimentos","Pindoretama",,,,"587","813","2432","2257.48782","3894.0091","3703","R$",1000
"1.1.3","Investimentos","Piquet Carneiro",,,,"1123","1956","4442","4816.62669","4006.22735","4062","R$",1000
"1.1.3","Investimentos","Pires Ferreira",,,,"1485","3232","4226","5003.92672","4258.11555","3670","R$",1000
"1.1.3","Investimentos","Poranga",,,,"1228","1142","2353","1217.34068","1418.23632","2519","R$",1000
"1.1.3","Investimentos","Porteiras",,,,"3828","2756","9673","6362.30189",,"3184","R$",1000
"1.1.3","Investimentos","Potengi",,,,"1694","1658","2432","1241.02275","2435.48851","4914","R$",1000
"1.1.3","Investimentos","Potiretama",,,,"2231","5564","1698","5849.01804","5712.82441","3908","R$",1000
"1.1.3","Investimentos","Quiterianópolis",,,,"5250","4071","5716","3622.05932","8523.68985","3666","R$",1000
"1.1.3","Investimentos","Quixadá",,,,"7934","3371","5366","3228.92575","2042.8314","1659","R$",1000
"1.1.3","Investimentos","Quixelô",,,,"792","947","3562","3279.02442","3167.7275","2197","R$",1000
"1.1.3","Investimentos","Quixeramobim",,,,"12144","9345","20267","15369.5945","25439.5914","12708","R$",1000
"1.1.3","Investimentos","Quixeré",,,,"1651","1389","4915","4877.31779","6075.03942","3584","R$",1000
"1.1.3","Investimentos","Redenção",,,,"1592","945","2197","1986.41539","236.85387","448","R$",1000
"1.1.3","Investimentos","Reriutaba",,,,"1224","3232","4713","2278.73159","2749.89334","4078","R$",1000
"1.1.3","Investimentos","Russas",,,,"3348","4109","9684","11013.24957","8668.16954","7519","R$",1000
"1.1.3","Investimentos","Saboeiro",,,,"2980","4687","10686","609.5735",,"1211","R$",1000
"1.1.3","Investimentos","Salitre",,,,"2934","2058","2740","1361.17123","2682.28414","3012","R$",1000
"1.1.3","Investimentos","Santana do Acaraú",,,,"1475","1699","1728","2156.85237","5459.64816","1689","R$",1000
"1.1.3","Investimentos","Santana do Cariri",,,,"2391","1666","1237","1368.70207","1318.27452","1446","R$",1000
"1.1.3","Investimentos","Santa Quitéria",,,,"5107","3308","3128","5648.46601","1903.71664","1694","R$",1000
"1.1.3","Investimentos","São Benedito",,,,"1411","5020","8725","4222.58799","9454.05356","7084","R$",1000
"1.1.3","Investimentos","São Gonçalo do Amarante",,,,"10265","12169","36837","51238.96162","51641.05845","25888","R$",1000
"1.1.3","Investimentos","São João do Jaguaribe",,,,"683","173","682","1463.18036","1700.72708","537","R$",1000
"1.1.3","Investimentos","São Luís do Curu",,,,"1296","3181","1123","3483.16135","409.61428","596","R$",1000
"1.1.3","Investimentos","Senador Pompeu",,,,"4626","2668","2493","2937.72499","4568.60348","1268","R$",1000
"1.1.3","Investimentos","Senador Sá",,,,"110","1686","970","203.90861","159.18691","311","R$",1000
"1.1.3","Investimentos","Sobral",,,,"32866","48166","36145","23562.59188","23640.52103","33286","R$",1000
"1.1.3","Investimentos","Solonópole",,,,"943","4115","8227","2084.70904","5762.17065","7471","R$",1000
"1.1.3","Investimentos","Tabuleiro do Norte",,,,"2503","2948","5965","4278.98438","1511.20303","2340","R$",1000
"1.1.3","Investimentos","Tamboril",,,,"7272","4136","5210","4117.07141","5042.00174","1142","R$",1000
"1.1.3","Investimentos","Tarrafas",,,,"4043","2930","1454","3017.55687","1759.63145","1274","R$",1000
"1.1.3","Investimentos","Tauá",,,,"8707","9821","15612","16574.7084","24875.62065","3708","R$",1000
"1.1.3","Investimentos","Tejuçuoca",,,,"5084","2905","3961","4944.07924","3190.77415","3438","R$",1000
"1.1.3","Investimentos","Tianguá",,,,"7629","6641","10246","12746.93615","14575.23095","8111","R$",1000
"1.1.3","Investimentos","Trairi",,,,"1736","5766","1922","10880.21203","6563.64594","5004","R$",1000
"1.1.3","Investimentos","Tururu",,,,"760","2197","2499","1760.14703",,"900","R$",1000
"1.1.3","Investimentos","Ubajara",,,,"3812","3272","6742","10059.22798","9525.11318","1174","R$",1000
"1.1.3","Investimentos","Umari",,,,"1458","263","992","1611.22564","440.38998","457","R$",1000
"1.1.3","Investimentos","Umirim",,,,"1578","1339","2725","2215.41841","1830.77753","1442","R$",1000
"1.1.3","Investimentos","Uruburetama",,,,"1494","1051","909","954.86083","478.97659","876","R$",1000
"1.1.3","Investimentos","Uruoca",,,,"2935","1351","1956","1965.23131","4163.46651","2580","R$",1000
"1.1.3","Investimentos","Varjota",,,,"2517","4231","8218","4838.45851","4303.79511","3843","R$",1000
"1.1.3","Investimentos","Várzea Alegre",,,,"8033","4508","5630","4494.61333","1593.53222","2604","R$",1000
"1.1.3","Investimentos","Viçosa do Ceará",,,,"5409","11017","36631","15198.8044","17910.62179","4912","R$",1000
"1.1.4","Obras e instalações","Abaiara",,,,"1500","2440","2910",,,"749","R$",1000
"1.1.4","Obras e instalações","Acarape",,,,"112","690","2059","1352.61305","996.76991","709","R$",1000
"1.1.4","Obras e instalações","Acaraú",,,,"1305","2371","8922",,"9750.98443","1616","R$",1000
"1.1.4","Obras e instalações","Acopiara",,,,"3459","2840","3297",,"4928.04995","2713","R$",1000
"1.1.4","Obras e instalações","Aiuaba",,,,"972","256","99999999999997",,"945.08426","714","R$",1000
"1.1.4","Obras e instalações","Alcântaras",,,,"510","177","1194","1523.16658","1007.56047","1042","R$",1000
"1.1.4","Obras e instalações","Altaneira",,,,"801","781","99999999999997",,"1260.45335","1281","R$",1000
"1.1.4","Obras e instalações","Alto Santo",,,,"8144","3055","5904","9825.99378","10067.54653","2567","R$",1000
"1.1.4","Obras e instalações","Amontada",,,,"5806","2292","6333",,"10201.4518","7423","R$",1000
"1.1.4","Obras e instalações","Antonina do Norte",,,,"679","338","99999999999997",,"644.5418","484","R$",1000
"1.1.4","Obras e instalações","Apuiarés",,,,"1030","862","3277","2051.48875","2751.442","1535","R$",1000
"1.1.4","Obras e instalações","Aquiraz",,,,"10386","7572","99999999999997","3766.97447","13912.69748","213","R$",1000
"1.1.4","Obras e instalações","Aracati",,,,"1960","3179","99999999999997",,"6150.02774","596","R$",1000
"1.1.4","Obras e instalações","Aracoiaba",,,,"633","1840","99999999999997",,"3254.97635","2982","R$",1000
"1.1.4","Obras e instalações","Ararendá",,,,"1743","1131","99999999999997",,"704.14448","1425","R$",1000
"1.1.4","Obras e instalações","Araripe",,,,"395","6160","3118",,"2122.70251","4343","R$",1000
"1.1.4","Obras e instalações","Aratuba",,,,"694","155","99999999999997","695.93636","441.78228","595","R$",1000
"1.1.4","Obras e instalações","Arneiroz",,,,"110","1232","224","1054.56962","14.80916","144","R$",1000
"1.1.4","Obras e instalações","Assaré",,,,"2048","1555","99999999999997",,"1485.07885","1233","R$",1000
"1.1.4","Obras e instalações","Aurora",,,,"1086","2040","99999999999997",,"2608.97139","919","R$",1000
"1.1.4","Obras e instalações","Baixio",,,,"373","247","99999999999997",,"970.0624","1827","R$",1000
"1.1.4","Obras e instalações","Banabuiú",,,,"887","974","99999999999997",,"2530.6038","2628","R$",1000
"1.1.4","Obras e instalações","Barbalha",,,,"641","5130","99999999999997",,"4626.63614","2542","R$",1000
"1.1.4","Obras e instalações","Barreira",,,,"319","1197","1596",,"1963.85386","778","R$",1000
"1.1.4","Obras e instalações","Barro",,,,"1178","1041","99999999999997",,"982.29083","572","R$",1000
"1.1.4","Obras e instalações","Barroquinha",,,,"123","761","99999999999997",,"2287.90231","807","R$",1000
"1.1.4","Obras e instalações","Baturité",,,,"280","934","99999999999997","644.65069","1336.47279","248","R$",1000
"1.1.4","Obras e instalações","Beberibe",,,,"2961","2363","99999999999997",,"5070.65033","14","R$",1000
"1.1.4","Obras e instalações","Bela Cruz",,,,"1426","1962","99999999999997",,,"685","R$",1000
"1.1.4","Obras e instalações","Boa Viagem",,,,"704","3598","2375",,"2658.06673","1765","R$",1000
"1.1.4","Obras e instalações","Brejo Santo",,,,"6144","4228","30050",,,"5504","R$",1000
"1.1.4","Obras e instalações","Camocim",,,,"5525","2840","6598",,"12042.16304","24275","R$",1000
"1.1.4","Obras e instalações","Campos Sales",,,,"1064","1218","4280","3200.18182","3212.39701","2364","R$",1000
"1.1.4","Obras e instalações","Canindé",,,,"4761","3163","99999999999997",,"4531.88711","1328","R$",1000
"1.1.4","Obras e instalações","Capistrano",,,,"1157","2576","99999999999997",,"2718.90471","1304","R$",1000
"1.1.4","Obras e instalações","Caridade",,,,"1099","1274","2563",,"2090.83816",,"R$",1000
"1.1.4","Obras e instalações","Cariré",,,,"2268","6136","19112","5930.03659","6492.81757","3723","R$",1000
"1.1.4","Obras e instalações","Caririaçu",,,,"5427","1936","99999999999997",,"4149.382","61","R$",1000
"1.1.4","Obras e instalações","Cariús",,,,"2411","2130","99999999999997",,"1643.51778","5012","R$",1000
"1.1.4","Obras e instalações","Carnaubal",,,,"1260","3108","1989","2257.64938","1939.12708","176","R$",1000
"1.1.4","Obras e instalações","Cascavel",,,,"1362","3561","2273",,"2414.97328","3224","R$",1000
"1.1.4","Obras e instalações","Catarina",,,,"3498","5023","99999999999997",,"4756.23236","5224","R$",1000
"1.1.4","Obras e instalações","Catunda",,,,"683","392","1041",,"4418.77582","395","R$",1000
"1.1.4","Obras e instalações","Caucaia",,,,"20471","45572","57792","66112.64986",,"26765","R$",1000
"1.1.4","Obras e instalações","Cedro",,,,"2603","1110","99999999999997",,"2689.20089","2743","R$",1000
"1.1.4","Obras e instalações","Chaval",,,,"1231","1651","3091","1761.83319","1820.55581","1050","R$",1000
"1.1.4","Obras e instalações","Choró",,,,"216","492","99999999999997",,"1397.35085","274","R$",1000
"1.1.4","Obras e instalações","Chorozinho",,,,"2119","5399","99999999999997",,"310.87872","2650","R$",1000
"1.1.4","Obras e instalações","Coreaú",,,,"1463","3074","2068","7122.93123","3602.95662","1430","R$",1000
"1.1.4","Obras e instalações","Crateús",,,,"2697","3856","99999999999997",,"7072.19556","2455","R$",1000
"1.1.4","Obras e instalações","Crato",,,,"3057","3241","5524",,"1405.84057","2507","R$",1000
"1.1.4","Obras e instalações","Croatá",,,,"1217","108","99999999999997",,"3926.58178","2097","R$",1000
"1.1.4","Obras e instalações","Cruz",,,,"3401","2379","2378","5125.41857",,"2054","R$",1000
"1.1.4","Obras e instalações","Deputado Irapuan Pinheiro",,,,"819","1431","99999999999997",,"1756.8284","1587","R$",1000
"1.1.4","Obras e instalações","Ererê",,,,"598","1418","99999999999997","2501.66402","1358.90478","199","R$",1000
"1.1.4","Obras e instalações","Eusébio",,,,"6531","741","5420","4816.31798","9873.50923","1879","R$",1000
"1.1.4","Obras e instalações","Farias Brito",,,,"3769","8563","99999999999997",,"7868.46825","2008","R$",1000
"1.1.4","Obras e instalações","Forquilha",,,,"3479","1595","3479",,,"1243","R$",1000
"1.1.4","Obras e instalações","Fortaleza",,,,"192841","263300","344993","380370.5582","266131.48633","237703","R$",1000
"1.1.4","Obras e instalações","Fortim",,,,"1023","1702","1647",,"6994.27934","1161","R$",1000
"1.1.4","Obras e instalações","Frecheirinha",,,,"1117","703","6562","1124.42561","3678.26535","3409","R$",1000
"1.1.4","Obras e instalações","General Sampaio",,,,"961","1935","99999999999997",,"885.02566","488","R$",1000
"1.1.4","Obras e instalações","Graça",,,,"1445","992","99999999999997",,"3315.84989","2783","R$",1000
"1.1.4","Obras e instalações","Granja",,,,"2923","6832","22011","13652.98053","14557.27484","5934","R$",1000
"1.1.4","Obras e instalações","Granjeiro",,,,"800","243","1877","1206.49296","2223.16084","855","R$",1000
"1.1.4","Obras e instalações","Groaíras",,,,"804","1029","99999999999997",,"2843.97041","225","R$",1000
"1.1.4","Obras e instalações","Guaiúba",,,,"1277","1347","2109","754.57997","1434.27291","3529","R$",1000
"1.1.4","Obras e instalações","Guaraciaba do Norte",,,,"2145","4636","3125","7189.02762","6200.77614","6517","R$",1000
"1.1.4","Obras e instalações","Guaramiranga",,,,"304","144","99999999999997",,"423.52866","482","R$",1000
"1.1.4","Obras e instalações","Hidrolândia",,,,"520","1274","907","1522.54481","1091.20272","555","R$",1000
"1.1.4","Obras e instalações","Horizonte",,,,"8647","18874","17756",,"25486.46286","9428","R$",1000
"1.1.4","Obras e instalações","Ibaretama",,,,"908","721","99999999999997",,"525.94309","260","R$",1000
"1.1.4","Obras e instalações","Ibiapina",,,,"2625","182","1994","4213.15811","1881.68109","1352","R$",1000
"1.1.4","Obras e instalações","Ibicuitinga",,,,"357","633","1003","1022.27477","382.98596","284","R$",1000
"1.1.4","Obras e instalações","Icapuí",,,,"3355","771","666",,"12602.6897","9735","R$",1000
"1.1.4","Obras e instalações","Icó",,,,"2633","4050","6594","4711.47337",,"1484","R$",1000
"1.1.4","Obras e instalações","Iguatu",,,,"11756","25932","15414",,"24679.09857","7414","R$",1000
"1.1.4","Obras e instalações","Independência",,,,"1832","634","2515","1162.48566","2507.25628","1422","R$",1000
"1.1.4","Obras e instalações","Ipaporanga",,,,"3379","1079","99999999999997",,"1627.41534","1807","R$",1000
"1.1.4","Obras e instalações","Ipaumirim",,,,"276","842","99999999999997",,"682.38098","38","R$",1000
"1.1.4","Obras e instalações","Ipu",,,,"5508","1405","2478","2219.09564","3527.44928","2196","R$",1000
"1.1.4","Obras e instalações","Ipueiras",,,,"4176","1511","99999999999997",,"6408.83604","1655","R$",1000
"1.1.4","Obras e instalações","Iracema",,,,"1417","1422","99999999999997","4291.44264","4460.0833","4831","R$",1000
"1.1.4","Obras e instalações","Irauçuba",,,,"4608","2710","4738",,"4173.38082","2514","R$",1000
"1.1.4","Obras e instalações","Itaiçaba",,,,"1588","324","873",,"228.79556","135","R$",1000
"1.1.4","Obras e instalações","Itaitinga",,,,"3162","4788","7287","4708.53812","19134.48274","4959","R$",1000
