"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1","Abacate",,,,,,,,,,,,,,,,"",""
"1.1","Quantidade produzida","Abaiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Acarape","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Acaraú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Acopiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Aiuaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Alcântaras","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Altaneira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Alto Santo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Amontada","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Antonina do Norte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Apuiarés","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Aquiraz","68","70","73","69","70","73","73","110","103","110","37","29","12","35","t",1
"1.1","Quantidade produzida","Aracati","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Aracoiaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Ararendá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Araripe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Aratuba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Arneiroz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Assaré","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Aurora","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Baixio","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Banabuiú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Barbalha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Barreira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Barro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Barroquinha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Baturité","14","15","16","15","14","14","14","11","6","11","9","8","6","8","t",1
"1.1","Quantidade produzida","Beberibe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Bela Cruz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Boa Viagem","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1","Quantidade produzida","Brejo Santo","99999999999992","24","22","20","22","23","23","25","14","16","27","16","24","25","t",1
"1.1","Quantidade produzida","Camocim","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
