"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Unidade","Multiplicador"
"1.1","Série revisada","Itapajé",,,,,,,,,,,,"594791","715132","383759","450431","521957.58","497261.29","R$",1000
"1.1","Série revisada","Itapipoca",,,,,,,,,,,,"704980","802759","928073","1002563","1197645.56","1190745.91","R$",1000
"1.1","Série revisada","Itapiúna",,,,,,,,,,,,"65208","78965","73321","90332","104732.19","112416.77","R$",1000
"1.1","Série revisada","Itarema",,,,,,,,,,,,"208962","238990","248662","353145","379132.61","394370.97","R$",1000
"1.1","Série revisada","Itatira",,,,,,,,,,,,"75951","98480","66495","92720","107405.25","114043.10","R$",1000
"1.1","Série revisada","Jaguaretama",,,,,,,,,,,,"82526","101150","94279","107965","129820.32","136529.81","R$",1000
"1.1","Série revisada","Jaguaribara",,,,,,,,,,,,"75623","88371","101346","121204","140556.53","140748.87","R$",1000
"1.1","Série revisada","Jaguaribe",,,,,,,,,,,,"235624","280425","309005","347615","419278.46","484989.83","R$",1000
"1.1","Série revisada","Jaguaruana",,,,,,,,,,,,"230189","263215","261369","292202","354774.17","393376.65","R$",1000
"1.1","Série revisada","Jardim",,,,,,,,,,,,"107867","119976","123441","146767","178308.11","171005.38","R$",1000
"1.1","Série revisada","Jati",,,,,,,,,,,,"28975","38678","34018","41041","66419.44","74354.94","R$",1000
"1.1","Série revisada","Jijoca de Jericoacoara",,,,,,,,,,,,"96137","108570","124122","138753","185465.39","216581.17","R$",1000
"1.1","Série revisada","Juazeiro do Norte",,,,,,,,,,,,"2151335","2475504","2829796","3232446","3819081.57","3921628.48","R$",1000
"1.1","Série revisada","Jucás",,,,,,,,,,,,"103169","121840","117542","140205","176396.10","171625.19","R$",1000
"1.1","Série revisada","Lavras da Mangabeira",,,,,,,,,,,,"111666","133456","136970","157668","190142.99","231881.79","R$",1000
"1.1","Série revisada","Limoeiro do Norte",,,,,,,,,,,,"505778","537356","575849","782694","809847.04","815967.00","R$",1000
"1.1","Série revisada","Madalena",,,,,,,,,,,,"74830","93310","86303","90255","113447.95","126081.01","R$",1000
"1.1","Série revisada","Maracanaú",,,,,,,,,,,,"4499790","5005885","5321236","6291122","7029385.97","7893296.29","R$",1000
"1.1","Série revisada","Maranguape",,,,,,,,,,,,"820090","865979","913070","944514","1059587.01","1140244.97","R$",1000
"1.1","Série revisada","Marco",,,,,,,,,,,,"149580","160880","196904","207680","248602.09","261168.55","R$",1000
"1.1","Série revisada","Martinópole",,,,,,,,,,,,"32796","37011","35652","49960","56520.13","62705.64","R$",1000
"1.1","Série revisada","Massapê",,,,,,,,,,,,"120691","137364","143290","165867","196022.55","206293.07","R$",1000
"1.1","Série revisada","Mauriti",,,,,,,,,,,,"187164","286138","249374","251363","316346.71","317906.99","R$",1000
"1.1","Série revisada","Meruoca",,,,,,,,,,,,"47779","56522","59196","66688","72440.60","79828.72","R$",1000
"1.1","Série revisada","Milagres",,,,,,,,,,,,"121563","142915","139412","160552","196253.01","191663.29","R$",1000
"1.1","Série revisada","Milhã",,,,,,,,,,,,"61613","81242","70552","75322","90978.52","90355.02","R$",1000
"1.1","Série revisada","Miraíma",,,,,,,,,,,,"46417","53170","58245","58155","67366.47","72890.84","R$",1000
"1.1","Série revisada","Missão Velha",,,,,,,,,,,,"165701","211897","197752","204972","297139.39","500780.70","R$",1000
"1.1","Série revisada","Mombaça",,,,,,,,,,,,"158758","182363","177151","205153","243906.07","258659.03","R$",1000
"1.1","Série revisada","Monsenhor Tabosa",,,,,,,,,,,,"62577","89662","75250","83661","100418.42","106054.28","R$",1000
"1.1","Série revisada","Morada Nova",,,,,,,,,,,,"409293","436830","479291","629723","639398.84","692521.39","R$",1000
"1.1","Série revisada","Moraújo",,,,,,,,,,,,"29869","33520","34867","40079","67799.45","72561.56","R$",1000
"1.1","Série revisada","Morrinhos",,,,,,,,,,,,"75629","84264","87787","93610","113072.69","125653.86","R$",1000
"1.1","Série revisada","Mucambo",,,,,,,,,,,,"51447","62872","61778","68813","77238.59","82923.09","R$",1000
"1.1","Série revisada","Mulungu",,,,,,,,,,,,"73185","84793","74671","70613","77877.32","87726.55","R$",1000
"1.1","Série revisada","Nova Olinda",,,,,,,,,,,,"68469","81430","81422","96906","121364.21","120661.53","R$",1000
"1.1","Série revisada","Nova Russas",,,,,,,,,,,,"140458","161893","175885","197935","235283.84","246783.51","R$",1000
"1.1","Série revisada","Novo Oriente",,,,,,,,,,,,"97049","152331","116712","136549","170447.32","174442.68","R$",1000
"1.1","Série revisada","Ocara",,,,,,,,,,,,"81931","96180","94733","104261","136287.09","140544.09","R$",1000
"1.1","Série revisada","Orós",,,,,,,,,,,,"115554","125709","139393","144142","171995.19","170129.77","R$",1000
"1.1","Série revisada","Pacajus",,,,,,,,,,,,"602770","697290","721410","778970","929253.46","938848.39","R$",1000
"1.1","Série revisada","Pacatuba",,,,,,,,,,,,"591627","634292","693010","802513","972487.54","939389.78","R$",1000
"1.1","Série revisada","Pacoti",,,,,,,,,,,,"82054","91720","78109","91982","114451.41","99164.51","R$",1000
"1.1","Série revisada","Pacujá",,,,,,,,,,,,"25582","27994","30061","32712","37115.56","40006.90","R$",1000
"1.1","Série revisada","Palhano",,,,,,,,,,,,"38507","43001","42963","52839","63153.77","61815.21","R$",1000
"1.1","Série revisada","Palmácia",,,,,,,,,,,,"60122","69294","61559","58579","89085.23","82681.19","R$",1000
"1.1","Série revisada","Paracuru",,,,,,,,,,,,"252872","295041","342303","370570","425148.73","405318.64","R$",1000
"1.1","Série revisada","Paraipaba",,,,,,,,,,,,"182868","202168","224777","265461","329698.08","355038.05","R$",1000
"1.1","Série revisada","Parambu",,,,,,,,,,,,"118592","142908","130924","149030","175491.84","198312.97","R$",1000
"1.1","Série revisada","Paramoti",,,,,,,,,,,,"47722","62051","51688","72581","66194.36","74562.33","R$",1000
"1.1","Série revisada","Pedra Branca",,,,,,,,,,,,"158422","193924","173651","204011","234579.61","249299.62","R$",1000
"1.1","Série revisada","Penaforte",,,,,,,,,,,,"50236","55887","56729","65997","83519.96","85471.48","R$",1000
"1.1","Série revisada","Pentecoste",,,,,,,,,,,,"200100","250938","389496","350736","314390.67","335075.74","R$",1000
"1.1","Série revisada","Pereiro",,,,,,,,,,,,"61962","73672","72845","83447","99646.66","153928.05","R$",1000
"1.1","Série revisada","Pindoretama",,,,,,,,,,,,"95129","110678","120177","135303","168286.82","185468.07","R$",1000
"1.1","Série revisada","Piquet Carneiro",,,,,,,,,,,,"59641","68466","68499","80284","97901.27","105520.61","R$",1000
"1.1","Série revisada","Pires Ferreira",,,,,,,,,,,,"35918","42326","39600","42663","45775.31","44269.24","R$",1000
"1.1","Série revisada","Poranga",,,,,,,,,,,,"37661","43399","45736","54130","62989.16","66543.49","R$",1000
"1.1","Série revisada","Porteiras",,,,,,,,,,,,"62748","73545","72262","81974","96956.04","106691.87","R$",1000
"1.1","Série revisada","Potengi",,,,,,,,,,,,"43904","52991","55033","66036","87152.31","80665.18","R$",1000
