Nome,Localidade,2007,2008,2009,2010,2011,2012,Unidade,Multiplicador
Notificações,Novo Oriente,44,84,5,156,238,21
Notificações,Ocara,32,46,11,3,254,273
Notificações,Orós,73,352,1,97,339,3
Notificações,Pacajus,55,69,73,45,314,86
Notificações,Pacatuba,261,205,48,164,191,357
Notificações,Pacoti,2,12,19,5,16,26
Notificações,Pacujá,2,6,3,1,8,3
Notificações,Palhano,1,1,1,2,1,44
Notificações,Palmácia,55,56,11,2,22,4
Notificações,Paracuru,16,33,9,3,13,547
Notificações,Paraipaba,5,27,6,1,44,65
Notificações,Parambu,146,39,19,152,208,54
Notificações,Paramoti,2,16,0,4,41,7
Notificações,Pedra Branca,9,5,1,5,4,1
Notificações,Penaforte,5,0,0,60,101,7
Notificações,Pentecoste,42,128,8,255,84,22
Notificações,Pereiro,39,200,6,10,45,27
Notificações,Pindoretama,14,16,0,10,4,18
Notificações,Piquet Carneiro,5,2,2,1,20,9
Notificações,Poranga,2,6,1,0,12,1
Notificações,Porteiras,522,7,3,216,138,53
Notificações,Potengi,29,94,12,59,6,24
Notificações,Quiterianópolis,83,10,32,586,667,230
Notificações,Quixadá,569,628,13,39,431,200
Notificações,Quixelô,183,1,0,2,13,3
Notificações,Quixeramobim,56,164,7,9,119,97
Notificações,Quixeré,1,17,0,3,100,139
Notificações,Redenção,47,241,10,1,40,6
Notificações,Reriutaba,466,46,15,5,552,264
Notificações,Russas,561,613,34,24,80,61
Notificações,Salitre,8,40,37,7,13,31
Notificações,Santana do Acaraú,36,76,3,5,26,27
Notificações,Santana do Cariri,15,20,2,183,117,56
Notificações,Santa Quitéria,205,90,30,124,506,10
Notificações,São Benedito,5,6,1,2,7,1
Notificações,São Gonçalo do Amarante,28,170,1,4,202,97
Notificações,São João do Jaguaribe,3,1,3,0,2,2
Notificações,São Luís do Curu,13,59,1,2,65,11
Notificações,Senador Pompeu,16,10,2,9,163,14
Notificações,Senador Sá,157,2,0,2,63,36
Notificações,Sobral,2779,71,64,85,101,18
Notificações,Solonópole,2,6,1,0,9,5
Notificações,Tabuleiro do Norte,2,36,3,22,50,23
Notificações,Tamboril,32,154,249,203,86,6
Notificações,Tarrafas,1,0,0,1,21,3
Notificações,Tauá,1170,680,377,1592,83,335
Notificações,Tejuçuoca,75,79,3,1,39,22
Notificações,Tianguá,75,20,2,1,27,10
Notificações,Trairi,14,29,9,3,51,34
Notificações,Tururu,2,12,0,4,140,8
Notificações,Ubajara,6,0,2,1,5,3
Notificações,Umari,77,11,1,8,40,10
Notificações,Umirim,16,51,2,3,127,20
Notificações,Uruburetama,25,27,10,3,38,10
Notificações,Uruoca,58,1,1,1,17,90
Notificações,Varjota,75,16,2,21,413,14
Notificações,Várzea Alegre,4,61,14,20,23,19
Notificações,Viçosa do Ceará,18,8,2,7,12,6
Notificações,Amontada,19,13,13,3,64,
Notificações,Baixio,9,2,1,166,78,
Notificações,Cariré,9,4,6,0,7,
Notificações,Catunda,34,150,3,14,217,
Notificações,Irauçuba,21,21,12,3,106,
Notificações,Milhã,4,11,0,0,10,
Notificações,Moraújo,7,1,4,0,68,
Notificações,Pires Ferreira,4,0,0,0,0,
Notificações,Potiretama,75,8,1,3,8,
Notificações,Saboeiro,2,1,0,65,25,
