"Nome","Localidade","2008","2009","2010","2011","2012","2013","2014","Unidade","Multiplicador"
"Taxa de mortalidade infantil","Coreaú","5.97","25.64","12.5","5.88","10.38","17.61","9.87","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Crateús","17.01","18.2","12.56","14.2","17.19","15.97","12.71","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Crato","13.38","17.83","21.54","20.4","13.15","14.64","16.59","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Croatá","28.47","26.62","8.89","8.89","13.51","14.71","12.88","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Cruz","13.3","10.1","11.27","16.81","8.85","22.79","11.8","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Deputado Irapuan Pinheiro","31.25","22.73","35.4","26.79","10.99","11.76","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ererê","0","0","48.78","54.05","41.67","0","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Eusébio","9.78","15.58","11.46","8.53","9.05","12.01","3.69","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Farias Brito","14.71","6.47","16.56","13.2","11.07","18.18","7.97","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Forquilha","8.45","16.39","25.48","18.13","22.8","25.4","15.77","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Fortaleza","14.79","15.65","11.92","12.8","11.18","11.79","11.5","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Fortim","4.9","16.3","10.58","6.76","12.2","12.74","11.3","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Frecheirinha","12.35","10","15.23","23.58","17.78","20.08","11.58","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","General Sampaio","8.33","0","8.62","7.94","10.31","26.32","22.99","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Graça","30.77","35.56","21.74","9.9","6.29","28.57","6.76","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Granja","32.19","22.04","16.47","14.78","13.44","29.24","23.1","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Granjeiro","51.95","0","33.9","13.16","0","0","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Groaíras","6.67","16","8.2","15.15","39.47","16.67","13.89","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Guaiúba","13.48","15.67","17.91","8.13","8.26","9.23","8.11","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Guaraciaba do Norte","11.15","12.84","22.01","9.23","24.43","12.09","13.49","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Guaramiranga","10.2","22.73","0","31.25","10.53","0","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Hidrolândia","27.87","7.04","10.83","9.39","17.24","25.97","9.9","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Horizonte","14.64","15.37","14.75","6.74","9.54","7.8","13.28","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ibaretama","26.18","22.62","18.1","10.1","5.08","16.48","9.62","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ibiapina","24.27","22.9","10.5","20.29","14.71","20.23","24.17","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ibicuitinga","28.57","12.2","0","11.43","0","5.08","25.64","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Icapuí","12.82","14.13","17.62","3.97","18.35","21.55","7.69","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Icó","10.6","24.11","14.21","18.37","13.61","10.25","15.76","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Iguatu","17.28","14.3","8.52","8.78","12.21","20.55","11.49","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Independência","14.66","23.26","8.72","9.32","16.03","15.27","16.29","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ipaporanga","15.71","28.17","28.9","11.83","15.15","29.85","14.49","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ipaumirim","32.43","21.98","12.58","18.52","21.58","14.29","6.41","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ipu","13.93","10.03","9.98","23.89","14.01","10.66","7.19","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ipueiras","24.39","16.57","22.77","26.41","18.15","14.89","19.27","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Iracema","5.81","27.47","17.14","5.78","0","12.82","5.41","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Irauçuba","10.84","21.8","22.44","15.87","15.67","16.03","11.27","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Itaiçaba","13.33","11.63","9.09","0","0","80","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Itaitinga","27.61","38.79","24.13","13.36","11.76","4.08","10.99","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Itapajé","12.66","17.96","19.83","15.58","9.01","11.38","6.45","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Itapipoca","16.64","9.79","11.31","9.64","13.78","11.57","10.58","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Itapiúna","13.16","14.87","18.8","7.14","7.97","21.74","30.3","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Itarema","21.43","12.21","5.52","5.84","10.43","12.84","11.29","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Itatira","15.67","18.52","14.97","31.14","12.9","7.72","23.03","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Jaguaretama","16.74","4.17","8.81","21.65","12.61","15.96","11.49","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Jaguaribara","33.9","24.1","12.27","13.61","7.63","14.08","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Jaguaribe","17.39","30.17","14.43","8.32","11.14","22.03","7.78","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Jaguaruana","16.28","16.17","7.37","7.96","18.22","4.77","5.14","óbitos por mil nascidos vivos",1
