codigo,A�ude,Munic�pio,Cap(m�),Sangria,CESC,CIA,CA,VEC,VIA,VA,VEC(%),V.Inicio(%),V.Atual(%),,,,
112,ANGICOS,Coreaú,11/07/2013,56.05,105.50,101.03,101.08,100.84,-40.8204151777,-3.63564653661,19.28,19.58,18.23,30,34.39,34.94,32.53
60,DIAMANTE,Coreaú,11/07/2013,13.20,98.00,95.50,95.59,95.32,-40.8636571293,-3.59921740221,6.9,7.1,6.5,0,52.27,53.77,49.27
169,GANGORRA,Granja,11/07/2013,62.50,38.00,35.44,35.14,35.32,-40.8614034371,-3.16831720221,34.78,32.08,33.7,0,55.64,51.33,53.91
180,ITAÚNA,Granja,11/07/2013,77.50,32.50,29.52,29.57,29.29,-41.1672940639,-3.15241157107,35.2,35.7,32.9,574,45.42,46.06,42.45
126,MARTINÓPOLE,Martinópole,11/07/2013,23.20,99.00,94.94,94.82,94.75,-40.6162092689,-3.23703261442,4.46,4.2,4.05,0,19.22,18.09,17.44
62,PREMUOCA,Uruoca,11/07/2013,5.20,88.00,84.48,84.41,84.25,-38.9565822652,-6.40214304255,1.74,1.69,1.58,0,33.39,32.48,30.38
129,TRAPIÁ III,Coreaú,11/07/2013,5.51,100.00,96.72,95.92,96.50,-40.71186,-3.753362,2.31,1.81,2.17,0,41.94,32.82,39.38
58,TUCUNDUBA,Senador Sá,11/07/2013,41.43,109.00,107.06,105.88,106.93,-40.4458464533,-3.17959092544,24.25,16.65,23.34,0,58.53,40.18,56.34
70,VÁRZEA DA VOLTA,Moraújo,11/07/2013,12.50,108.00,103.98,104.32,103.80,-40.6146865971,-3.50214320968,2.28,2.65,2.14,0,18.27,21.22,17.12
3,CAXITORÉ,Umirim,09/07/2013,202.00,73.00,63.11,63.74,62.83,-39.3553731239,-3.74191444021,50.1,56.4,47.64,300,24.8,27.92,23.58
178,DESTERRO,Caridade,04/07/2013,5.01,998.70,993.21,994.42,992.88,-39.115126,-4.058951,0.15,0.46,0.12,15,3.03,9.21,2.44
77,FRIOS,Umirim,09/07/2013,33.02,50.00,43.38,44.04,43.19,-39.295427951,-3.69046238001,7.29,8.79,6.87,50,22.08,26.61,20.79
7,GENERAL SAMPAIO,General Sampaio,09/07/2013,322.20,124.50,111.95,112.98,111.50,-39.4537367839,-4.06243387754,63.45,74.66,58.55,500,19.69,23.17,18.17
211,ITAPAJÉ,ITAPAJÉ,09/07/2013,4.24,278.00,271.50,,272.62,-39.574599028008095,-3.6743394493979045,1.28,0,1.66,N.I.,30.31,0,39.23
121,JERIMUM,Irauçuba,11/07/2013,20.50,147.00,133.87,134.34,133.55,-39.6896801289,-3.83753285061,1.36,1.65,1.2,50,6.65,8.05,5.83
12,PENTECOSTE,Pentecoste,09/07/2013,360.00,58.00,48.61,49.75,48.40,-39.2616481781,-3.80330004105,54.51,74.32,51.26,500,15.14,20.64,14.24
18,SALÃO,Canindé,11/07/2013,6.04,95.00,87.78,88.28,87.57,-39.3111742,-4.4069701,0.35,0.5,0.31,3,5.86,8.2,5.13
141,SÃO DOMINGOS,Caridade,04/07/2013,3.20,98.50,90.82,91.86,90.50,-39.283268,-4.220286,0.16,0.32,0.13,20,5.06,9.93,4.06
20,SÃO MATEUS,Canindé,11/07/2013,10.33,191.00,185.47,186.31,185.08,-39.3158692024,-4.37069635174,2.44,3.18,2.12,10,23.58,30.81,20.48
160,SOUZA,Canindé,11/07/2013,30.84,162.50,151.37,153.23,150.72,-39.2825672821,-4.39272804136,1.66,3.15,1.28,120,5.38,10.2,4.14
92,TEJUÇUOCA,Tejuçuoca,11/07/2013,28.11,116.61,105.86,106.96,N.I.,-39.5059762591,-3.97597115391,2.81,3.84,N.I.,50,9.99,13.67,N.I.
210,GAMELEIRA,ITAPIPOCA,04/07/2013,52.64,37.00,32.64,,32.85,-39.49250558378087,-3.371389673233691,16.85,0,17.93,N.I.,32,0,34.06
1123,GERARDO ATIMBONE,Sobral,04/07/2013,4.00,100.00,96.42,96.76,96.26,-39.98873,-3.83483,1.15,1.35,1.05,0,28.7,33.71,26.34
1119,MISSI,Miraíma,11/07/2013,65.30,54.70,50.61,50.32,50.47,-39.858824,-3.471698,26.04,23.87,24.99,0,39.87,36.55,38.27
61,MUNDAÚ,Uruburetama,09/07/2013,21.30,166.38,155.07,154.38,155.88,-39.516132,-3.633621,9.13,8.51,9.86,40,42.87,39.94,46.31
56,PATOS,Sobral,04/07/2013,7.55,106.00,100.79,100.03,100.61,-40.036497,-3.761444,1.01,0.62,0.92,30,13.39,8.15,12.15
90,POÇO VERDE,Itapipoca,10/07/2013,13.65,68.00,65.19,64.17,64.96,-39.6295223261,-3.43872126279,4.86,3,4.36,111,35.63,22,31.95
79,QUANDÚ,Itapipoca,10/07/2013,4.00,98.50,95.43,92.57,96.23,-39.629489,-3.573737,2.14,1.18,2.48,33,53.48,29.49,61.93
50,S. ANT. DE ARACAT.,Sobral,11/07/2013,24.34,93.00,87.94,88.69,N.I.,-40.0124731184,-3.88220245137,7.79,9.4,N.I.,40,31.99,38.64,N.I.
55,S. MARIA DE ARACAT.,Sobral,09/07/2013,8.20,98.00,93.72,94.24,93.57,-39.987322,-4.042379,1.39,1.77,1.31,0,16.94,21.53,15.95
21,S. PEDRO TIMBAÚBA,Miraíma,04/07/2013,15.79,99.00,95.91,95.48,95.72,-39.9725210698,-3.57161761888,5.02,4.24,4.67,0,31.77,26.84,29.58
32,ADAUTO BEZERRA,Pereiro,09/07/2013,5.25,100.00,95.33,95.76,95.23,-38.447193,-6.037778,1.12,1.37,1.07,10,21.42,26.01,20.36
74,CANAFÍSTULA,Iracema,11/07/2013,13.11,101.00,97.19,97.42,97.21,-38.3179973854,-5.86834198717,4.21,4.62,4.25,28,32.13,35.2,32.4
194,CASTANHÃO,Alto Santo,11/07/2013,6700.00,106.00,96.77,97.66,96.51,-38.4502293061,-5.48909482144,3466.01,3720,3393.72,16000,51.73,55.52,50.65
