Nome,regiao,id
Potiretama,Vale do Jaguaribe,"2311231"
Itaitinga,Grande Fortaleza,"2306256"
Altaneira,Cariri,"2300606"
Farias Brito,Cariri,"2304301"
Jati,Cariri,"2307205"
Nova Olinda,Cariri,"2309201"
Quixadá,Sertão Central,"2311306"
Pereiro,Vale do Jaguaribe,"2310803"
Groaíras,Sertão de Sobral,"2304905"
Cariús,Centro Sul,"2303303"
Graça,Sertão de Sobral,"2304657"
Choró,Sertão Central,"2303931"
Jaguaruana,Litoral Leste,"2307007"
Viçosa do Ceará,Serra da Ibiapaba,"2314102"
São Luís do Curu,Grande Fortaleza,"2312601"
Baixio,Centro Sul,"2301802"
Piquet Carneiro,Sertão Central,"2310902"
Tururu,Litoral Oeste,"2313559"
Morada Nova,Vale do Jaguaribe,"2308708"
Quixelô,Centro Sul,"2311355"
Nova Russas,Sertão dos Crateús,"2309300"
Acarape,Maciço de Baturité,"2300150"
Aracati,Litoral Leste,"2301109"
Orós,Centro Sul,"2309508"
Monsenhor Tabosa,Sertão dos Crateús,"2308609"
Itapipoca,Litoral Oeste,"2306405"
Mombaça,Sertão Central,"2308500"
Marco,Litoral Norte,"2307809"
Pires Ferreira,Sertão de Sobral,"2310951"
Catarina,Centro Sul,"2303600"
Ererê,Vale do Jaguaribe,"2304277"
Guaraciaba do Norte,Serra da Ibiapaba,"2305001"
Iracema,Vale do Jaguaribe,"2306009"
Croatá,Serra da Ibiapaba,"2304236"
Paramoti,Sertão de Canindé,"2310407"
Ubajara,Serra da Ibiapaba,"2313609"
Ipaporanga,Sertão dos Crateús,"2305654"
Carnaubal,Serra da Ibiapaba,"2303402"
Massapê,Sertão de Sobral,"2308005"
Chaval,Litoral Norte,"2303907"
São Benedito,Serra da Ibiapaba,"2312304"
Aracoiaba,Maciço de Baturité,"2301208"
Potengi,Cariri,"2311207"
Granja,Litoral Norte,"2304707"
Missão Velha,Cariri,"2308401"
Poranga,Sertão dos Crateús,"2311009"
Granjeiro,Cariri,"2304806"
Senador Sá,Sertão de Sobral,"2312809"
Icó,Centro Sul,"2305407"
Pedra Branca,Sertão Central,"2310506"
Tarrafas,Cariri,"2313252"
Maranguape,Grande Fortaleza,"2307700"
Palhano,Vale do Jaguaribe,"2310001"
Campos Sales,Cariri,"2302701"
Caridade,Sertão de Canindé,"2303006"
São Gonçalo do Amarante,Grande Fortaleza,"2312403"
Horizonte,Grande Fortaleza,"2305233"
Paracuru,Grande Fortaleza,"2310209"
Santana do Cariri,Cariri,"2312106"
Amontada,Litoral Oeste,"2300754"
Quiterianópolis,Sertão dos Inhamuns,"2311264"
Tauá,Sertão dos Inhamuns,"2313302"
Brejo Santo,Cariri,"2302503"
Lavras da Mangabeira,Cariri,"2307502"
Ocara,Maciço de Baturité,"2309458"
Caririaçu,Cariri,"2303204"
Aurora,Cariri,"2301703"
Barreira,Maciço de Baturité,"2301950"
Maracanaú,Grande Fortaleza,"2307650"
Bela Cruz,Litoral Norte,"2302305"
Meruoca,Sertão de Sobral,"2308203"
Pacatuba,Grande Fortaleza,"2309706"
Frecheirinha,Sertão de Sobral,"2304509"
Pacujá,Sertão de Sobral,"2309904"
Salitre,Cariri,"2311959"
General Sampaio,Litoral Oeste,"2304608"
Banabuiú,Sertão Central,"2301851"
São João do Jaguaribe,Vale do Jaguaribe,"2312502"
Abaiara,Cariri,"2300101"
Umirim,Litoral Oeste,"2313757"
Irauçuba,Litoral Oeste,"2306108"
Guaiúba,Grande Fortaleza,"2304954"
Crateús,Sertão dos Crateús,"2304103"
Palmácia,Maciço de Baturité,"2310100"
Beberibe,Litoral Leste,"2302206"
Mucambo,Sertão de Sobral,"2309003"
Martinópole,Litoral Norte,"2307908"
