Nome,ano,chuva_total,chuva_media,id
Potiretama,1991,597.1,49.76,"2311231"
Itaitinga,1991,934.8,77.9,"2306256"
Altaneira,1991,625.2,52.1,"2300606"
Farias Brito,1991,704.8,58.73,"2304301"
Jati,1991,518.4,43.2,"2307205"
Nova Olinda,1991,919.2,76.6,"2309201"
Quixadá,1991,399.56,33.3,"2311306"
Pereiro,1991,879.5,73.29,"2310803"
Groaíras,1991,676.9,56.41,"2304905"
Cariús,1991,460.15,38.35,"2303303"
Graça,1991,613.5,51.12,"2304657"
Choró,1991,445.1,37.09,"2303931"
Jaguaruana,1991,375.1,31.26,"2307007"
Viçosa do Ceará,1991,1062.1,88.51,"2314102"
São Luís do Curu,1991,984.8,82.07,"2312601"
Baixio,1991,740.0,61.67,"2301802"
Piquet Carneiro,1991,535.3,44.61,"2310902"
Tururu,1991,597.0,49.75,"2313559"
Morada Nova,1991,543.4,45.28,"2308708"
Quixelô,1991,644.6,53.72,"2311355"
Nova Russas,1991,699.0,58.25,"2309300"
Acarape,1991,996.9,83.08,"2300150"
Aracati,1991,656.1,54.67,"2301109"
Orós,1991,755.0,62.92,"2309508"
Monsenhor Tabosa,1991,762.8,63.57,"2308609"
Itapipoca,1991,1270.15,105.85,"2306405"
Mombaça,1991,482.0,40.17,"2308500"
Marco,1991,803.9,66.99,"2307809"
Pires Ferreira,1991,407.5,33.96,"2310951"
Catarina,1991,424.6,35.38,"2303600"
Ererê,1991,809.0,67.42,"2304277"
Guaraciaba do Norte,1991,1301.4,108.45,"2305001"
Iracema,1991,743.2,61.93,"2306009"
Croatá,1991,434.6,36.22,"2304236"
Paramoti,1991,450.4,37.53,"2310407"
Ubajara,1991,1310.7,109.23,"2313609"
Ipaporanga,1991,634.5,52.88,"2305654"
Carnaubal,1991,485.8,40.48,"2303402"
Massapê,1991,872.4,72.7,"2308005"
Chaval,1991,1062.3,88.52,"2303907"
São Benedito,1991,887.3,73.94,"2312304"
Aracoiaba,1991,678.3,56.52,"2301208"
Potengi,1991,606.3,50.52,"2311207"
Granja,1991,905.2,75.43,"2304707"
Missão Velha,1991,963.25,80.27,"2308401"
Poranga,1991,394.0,32.83,"2311009"
Granjeiro,1991,799.3,66.61,"2304806"
Senador Sá,1991,753.6,62.8,"2312809"
