Nome,ano,chuva_total,chuva_media,id
Potiretama,1996,896.4,74.7,"2311231"
Itaitinga,1996,1174.7,97.89,"2306256"
Altaneira,1996,1146.0,95.5,"2300606"
Farias Brito,1996,1224.3,102.03,"2304301"
Jati,1996,893.1,74.42,"2307205"
Nova Olinda,1996,1277.6,106.47,"2309201"
Quixadá,1996,735.5,61.29,"2311306"
Pereiro,1996,1215.0,101.25,"2310803"
Groaíras,1996,900.0,75.0,"2304905"
Cariús,1996,1205.0,100.42,"2303303"
Graça,1996,1334.0,111.17,"2304657"
Choró,1996,927.3,77.27,"2303931"
Jaguaruana,1996,747.0,62.25,"2307007"
Viçosa do Ceará,1996,1560.0,130.0,"2314102"
São Luís do Curu,1996,969.0,80.75,"2312601"
Baixio,1996,920.8,76.73,"2301802"
Piquet Carneiro,1996,570.0,47.5,"2310902"
Tururu,1996,1304.7,108.72,"2313559"
Morada Nova,1996,625.8,52.15,"2308708"
Quixelô,1996,804.4,67.03,"2311355"
Nova Russas,1996,979.7,81.64,"2309300"
Acarape,1996,1421.7,118.48,"2300150"
Aracati,1996,863.9,71.99,"2301109"
Orós,1996,742.9,61.91,"2309508"
Monsenhor Tabosa,1996,904.6,75.38,"2308609"
Itapipoca,1996,1202.44,100.2,"2306405"
Mombaça,1996,829.8,69.15,"2308500"
Marco,1996,1091.2,90.93,"2307809"
Pires Ferreira,1996,1059.1,88.26,"2310951"
Catarina,1996,822.5,68.54,"2303600"
Ererê,1996,866.0,72.17,"2304277"
Guaraciaba do Norte,1996,1205.05,100.42,"2305001"
Iracema,1996,877.3,73.11,"2306009"
Croatá,1996,801.6,66.8,"2304236"
Paramoti,1996,927.2,77.27,"2310407"
Ubajara,1996,1571.1,130.93,"2313609"
Ipaporanga,1996,823.4,68.62,"2305654"
Carnaubal,1996,845.35,70.45,"2303402"
Massapê,1996,1124.6,93.72,"2308005"
Chaval,1996,1246.5,103.88,"2303907"
São Benedito,1996,1400.6,116.72,"2312304"
Aracoiaba,1996,1134.9,94.58,"2301208"
Potengi,1996,1062.9,88.58,"2311207"
Granja,1996,1377.4,114.78,"2304707"
Missão Velha,1996,1304.95,108.75,"2308401"
Poranga,1996,355.5,29.62,"2311009"
Granjeiro,1996,1207.4,100.62,"2304806"
Senador Sá,1996,1081.8,90.15,"2312809"
Icó,1996,795.8,66.32,"2305407"
Pedra Branca,1996,942.0,78.5,"2310506"
Tarrafas,1996,773.2,64.43,"2313252"
Maranguape,1996,1221.9,101.82,"2307700"
Palhano,1996,852.6,71.05,"2310001"
Campos Sales,1996,581.4,48.45,"2302701"
Caridade,1996,913.2,76.1,"2303006"
São Gonçalo do Amara,1996,940.7,78.39,"2312403"
Horizonte,1996,1402.8,116.9,"2305233"
Paracuru,1996,1312.5,109.38,"2310209"
Santana do Cariri,1996,1612.1,134.34,"2312106"
Amontada,1996,1263.0,105.25,"2300754"
Quiterianópolis,1996,808.7,67.39,"2311264"
Tauá,1996,488.5,40.71,"2313302"
Brejo Santo,1996,1052.9,87.74,"2302503"
Lavras da Mangabeira,1996,1250.4,104.2,"2307502"
Ocara,1996,1136.0,94.67,"2309458"
Caririaçu,1996,1359.5,113.29,"2303204"
Aurora,1996,1176.6,98.05,"2301703"
Barreira,1996,1129.0,94.08,"2301950"
Maracanaú,1996,1168.0,97.33,"2307650"
Bela Cruz,1996,1156.5,96.38,"2302305"
Meruoca,1996,1824.7,152.06,"2308203"
Pacatuba,1996,1604.8,133.73,"2309706"
Frecheirinha,1996,1113.1,92.76,"2304509"
Pacujá,1996,1082.2,90.18,"2309904"
Salitre,1996,498.2,41.52,"2311959"
General Sampaio,1996,1149.4,95.78,"2304608"
Banabuiú,1996,674.5,56.21,"2301851"
São João do Jaguarib,1996,690.1,57.51,"2312502"
Abaiara,1996,1381.3,115.11,"2300101"
Umirim,1996,1182.0,98.5,"2313757"
Irauçuba,1996,627.3,52.28,"2306108"
Guaiúba,1996,1280.0,106.67,"2304954"
Crateús,1996,845.72,70.48,"2304103"
Palmácia,1996,1422.5,118.54,"2310100"
Beberibe,1996,1237.9,103.16,"2302206"
Mucambo,1996,1208.1,100.67,"2309003"
Martinópole,1996,1168.8,97.4,"2307908"
Jaguaribara,1996,781.6,65.13,"2306801"
Tabuleiro do Norte,1996,693.1,57.76,"2313104"
Acopiara,1996,731.5,60.96,"2300309"
Saboeiro,1996,748.0,62.33,"2311900"
Pacoti,1996,1669.6,139.13,"2309805"
Quixeramobim,1996,769.2,64.1,"2311405"
Cariré,1996,903.5,75.29,"2303105"
Alto Santo,1996,802.55,66.88,"2300705"
Barro,1996,1154.5,96.21,"2302008"
Itaiçaba,1996,625.5,52.12,"2306207"
Barroquinha,1996,1176.5,98.04,"2302057"
Crato,1996,1343.85,111.99,"2304202"
Moraújo,1996,936.0,78.0,"2308807"
Itapiúna,1996,904.7,75.39,"2306504"
Limoeiro do Norte,1996,745.5,62.12,"2307601"
Catunda,1996,1197.3,99.77,"2303659"
Chorozinho,1996,1193.0,99.42,"2303956"
Madalena,1996,835.4,69.62,"2307635"
Acaraú,1996,1181.7,98.48,"2300200"
Várzea Alegre,1996,1013.1,84.43,"2314003"
Jardim,1996,947.6,78.97,"2307106"
Alcântaras,1996,974.5,81.21,"2300507"
Pacajus,1996,1244.6,103.72,"2309607"
Ararendá,1996,873.0,72.75,"2301257"
Paraipaba,1996,1567.9,130.66,"2310258"
Itapajé,1996,1066.9,88.91,"2306306"
Mulungu,1996,1246.7,103.89,"2309102"
Varjota,1996,727.9,60.66,"2313955"
Porteiras,1996,1231.9,102.66,"2311108"
Jaguaribe,1996,795.8,66.32,"2306900"
Cruz,1996,965.7,80.48,"2304251"
Quixeré,1996,640.0,53.33,"2311504"
Fortim,1996,1765.2,147.1,"2304459"
Ibicuitinga,1996,753.6,62.8,"2305332"
Reriutaba,1996,1136.7,94.73,"2311702"
Aratuba,1996,1171.6,97.63,"2301406"
Capistrano,1996,959.2,79.93,"2302909"
Penaforte,1996,804.6,67.05,"2310605"
Boa Viagem,1996,667.8,55.65,"2302404"
Antonina do Norte,1996,826.7,68.89,"2300804"
Tejuçuoca,1996,960.4,80.03,"2313351"
Jucás,1996,938.2,78.18,"2307403"
Arneiroz,1996,707.6,58.97,"2301505"
Cedro,1996,1116.5,93.04,"2303808"
Barbalha,1996,1528.6,127.38,"2301901"
Ipu,1996,1274.9,106.24,"2305803"
Cascavel,1996,1517.2,126.43,"2303501"
Assaré,1996,1055.7,87.98,"2301604"
Guaramiranga,1996,1842.7,153.56,"2305100"
Tianguá,1996,1541.4,128.45,"2313401"
Parambu,1996,624.0,52.0,"2310308"
Baturité,1996,1284.3,107.03,"2302107"
Icapuí,1996,1218.9,101.57,"2305357"
Ipaumirim,1996,1068.7,89.06,"2305704"
Aquiraz,1996,1387.1,115.59,"2301000"
Hidrolândia,1996,1250.6,104.22,"2305209"
Camocim,1996,1339.0,111.58,"2302602"
Pentecoste,1996,967.8,80.65,"2310704"
Miraíma,1996,912.0,76.0,"2308377"
Tamboril,1996,980.4,81.7,"2313203"
Deputado Irapuan Pin,1996,908.2,75.68,"2304269"
Morrinhos,1996,804.2,67.02,"2308906"
Itarema,1996,1490.8,124.23,"2306553"
Jijoca de Jericoacoa,1996,988.9,82.41,"2307254"
Senador Pompeu,1996,814.6,67.88,"2312700"
Novo Oriente,1996,776.8,64.73,"2309409"
Forquilha,1996,882.5,73.54,"2304350"
Uruburetama,1996,1189.75,99.15,"2313807"
Ipueiras,1996,1346.3,112.19,"2305902"
Milagres,1996,1101.1,91.76,"2308302"
Ibiapina,1996,1733.1,144.42,"2305308"
Araripe,1996,1108.8,92.4,"2301307"
Solonópole,1996,764.8,63.73,"2313005"
Trairi,1996,1040.0,86.67,"2313500"
Eusébio,1996,1636.4,136.37,"2304285"
Santana do Acaraú,1996,1264.6,105.38,"2312007"
Milhã,1996,586.4,48.87,"2308351"
Itatira,1996,795.6,66.3,"2306603"
Mauriti,1996,1145.4,95.45,"2308104"
Jaguaretama,1996,1107.8,92.32,"2306702"
Fortaleza,1996,1652.72,137.73,"2304400"
Russas,1996,764.7,63.73,"2311801"
Sobral,1996,743.5,61.96,"2312908"
Aiuaba,1996,580.25,48.35,"2300408"
Independência,1996,900.3,75.02,"2305605"
Ibaretama,1996,935.0,77.92,"2305266"
Apuiarés,1996,992.0,82.67,"2300903"
Juazeiro do Norte,1996,1009.8,84.15,"2307304"
Coreaú,1996,1132.6,94.38,"2304004"
Uruoca,1996,757.1,63.09,"2313906"
Santa Quitéria,1996,793.75,66.15,"2312205"
Iguatu,1996,1061.44,88.45,"2305506"
Canindé,1996,994.9,82.91,"2302800"
Pindoretama,1996,1444.5,120.38,"2310852"
Caucaia,1996,1428.2,119.02,"2303709"
Redenção,1996,1255.1,104.59,"2311603"
Umari,1996,880.25,73.35,"2313708"
