Potiretama,2013,549.0,45.75,"2311231"
Itaitinga,2013,590.0,49.17,"2306256"
Altaneira,2013,748.2,62.35,"2300606"
Farias Brito,2013,765.65,63.8,"2304301"
Jati,2013,656.6,54.72,"2307205"
Nova Olinda,2013,789.0,65.75,"2309201"
Quixadá,2013,634.86,52.91,"2311306"
Pereiro,2013,698.12,58.18,"2310803"
Groaíras,2013,735.55,73.56,"2304905"
Cariús,2013,645.17,53.76,"2303303"
Graça,2013,911.5,75.96,"2304657"
Choró,2013,633.15,52.76,"2303931"
Jaguaruana,2013,549.68,45.81,"2307007"
Viçosa do Ceará,2013,753.4,62.78,"2314102"
São Luís do Curu,2013,613.0,51.08,"2312601"
Baixio,2013,764.6,63.72,"2301802"
Piquet Carneiro,2013,472.5,39.38,"2310902"
Tururu,2013,769.0,64.08,"2313559"
Morada Nova,2013,676.54,56.38,"2308708"
Quixelô,2013,628.8,52.4,"2311355"
Nova Russas,2013,471.35,39.28,"2309300"
Acarape,2013,865.5,72.12,"2300150"
Aracati,2013,635.7,52.97,"2301109"
Orós,2013,655.85,54.65,"2309508"
Monsenhor Tabosa,2013,349.75,29.15,"2308609"
Itapipoca,2013,701.54,58.46,"2306405"
Mombaça,2013,449.55,37.46,"2308500"
Marco,2013,655.35,54.61,"2307809"
Pires Ferreira,2013,520.8,43.4,"2310951"
Catarina,2013,495.7,41.31,"2303600"
Ererê,2013,811.2,67.6,"2304277"
Guaraciaba do Norte,2013,719.71,59.98,"2305001"
Iracema,2013,746.84,62.24,"2306009"
Croatá,2013,301.45,25.12,"2304236"
Paramoti,2013,450.5,37.54,"2310407"
Ubajara,2013,952.1,79.34,"2313609"
Ipaporanga,2013,420.7,35.06,"2305654"
Carnaubal,2013,241.3,20.11,"2303402"
Massapê,2013,874.3,72.86,"2308005"
Chaval,2013,765.6,63.8,"2303907"
São Benedito,2013,884.9,73.74,"2312304"
Aracoiaba,2013,662.85,55.24,"2301208"
Potengi,2013,565.5,47.12,"2311207"
Granja,2013,873.11,72.76,"2304707"
Missão Velha,2013,1004.52,83.71,"2308401"
Poranga,2013,405.95,33.83,"2311009"
Granjeiro,2013,961.6,87.42,"2304806"
Senador Sá,2013,639.45,53.29,"2312809"
Icó,2013,620.61,51.72,"2305407"
Pedra Branca,2013,652.86,54.41,"2310506"
Tarrafas,2013,254.5,25.45,"2313252"
Maranguape,2013,688.31,57.36,"2307700"
Palhano,2013,505.4,42.12,"2310001"
Campos Sales,2013,442.24,36.85,"2302701"
Caridade,2013,389.35,32.45,"2303006"
São Gonçalo do Amara,2013,844.21,70.35,"2312403"
Horizonte,2013,634.6,52.88,"2305233"
Paracuru,2013,930.8,77.57,"2310209"
Santana do Cariri,2013,703.8,58.65,"2312106"
Amontada,2013,759.4,63.28,"2300754"
Quiterianópolis,2013,345.12,28.76,"2311264"
Tauá,2013,366.74,30.56,"2313302"
Brejo Santo,2013,1022.27,85.19,"2302503"
Lavras da Mangabeira,2013,722.5,60.21,"2307502"
Ocara,2013,482.99,40.25,"2309458"
Caririaçu,2013,668.95,55.75,"2303204"
Aurora,2013,780.6,65.05,"2301703"
Barreira,2013,732.0,61.0,"2301950"
Maracanaú,2013,661.26,55.11,"2307650"
Bela Cruz,2013,680.9,56.74,"2302305"
Meruoca,2013,1018.5,84.88,"2308203"
Pacatuba,2013,714.9,59.58,"2309706"
Frecheirinha,2013,687.0,57.25,"2304509"
Pacujá,2013,746.7,62.23,"2309904"
Salitre,2013,381.5,31.79,"2311959"
General Sampaio,2013,535.62,44.64,"2304608"
Banabuiú,2013,759.0,63.25,"2301851"
São João do Jaguarib,2013,510.65,56.74,"2312502"
Abaiara,2013,1043.0,86.92,"2300101"
Umirim,2013,813.5,67.79,"2313757"
Irauçuba,2013,420.5,35.04,"2306108"
Guaiúba,2013,689.9,57.49,"2304954"
Crateús,2013,508.74,42.4,"2304103"
Palmácia,2013,936.0,78.0,"2310100"
Beberibe,2013,601.09,50.09,"2302206"
Mucambo,2013,807.0,80.7,"2309003"
Martinópole,2013,573.0,47.75,"2307908"
Jaguaribara,2013,631.5,63.15,"2306801"
Tabuleiro do Norte,2013,512.6,42.72,"2313104"
Acopiara,2013,508.06,42.34,"2300309"
Saboeiro,2013,408.2,34.02,"2311900"
Pacoti,2013,1134.3,94.52,"2309805"
Quixeramobim,2013,684.15,57.01,"2311405"
Cariré,2013,638.0,53.17,"2303105"
Alto Santo,2013,606.35,50.53,"2300705"
Barro,2013,708.48,59.04,"2302008"
Itaiçaba,2013,689.45,57.45,"2306207"
Barroquinha,2013,994.6,82.88,"2302057"
Crato,2013,1022.11,85.18,"2304202"
Moraújo,2013,648.0,54.0,"2308807"
Itapiúna,2013,617.6,51.47,"2306504"
Limoeiro do Norte,2013,650.82,54.24,"2307601"
Catunda,2013,490.0,40.83,"2303659"
Chorozinho,2013,670.95,55.91,"2303956"
Madalena,2013,382.4,31.87,"2307635"
Acaraú,2013,602.45,50.2,"2300200"
Várzea Alegre,2013,548.4,45.7,"2314003"
Jardim,2013,559.2,46.6,"2307106"
Alcântaras,2013,501.0,41.75,"2300507"
Pacajus,2013,639.2,53.27,"2309607"
Ararendá,2013,400.5,33.38,"2301257"
Paraipaba,2013,868.6,72.38,"2310258"
Itapajé,2013,838.8,69.9,"2306306"
Mulungu,2013,814.1,67.84,"2309102"
Varjota,2013,409.1,34.09,"2313955"
Porteiras,2013,974.35,81.2,"2311108"
Jaguaribe,2013,607.57,50.63,"2306900"
Cruz,2013,659.9,59.99,"2304251"
Quixeré,2013,459.8,38.32,"2311504"
Fortim,2013,678.0,56.5,"2304459"
Ibicuitinga,2013,702.6,58.55,"2305332"
Reriutaba,2013,593.85,49.49,"2311702"
Aratuba,2013,889.0,80.82,"2301406"
Capistrano,2013,745.0,62.08,"2302909"
Penaforte,2013,373.0,33.91,"2310605"
Boa Viagem,2013,342.33,28.53,"2302404"
Antonina do Norte,2013,422.1,35.18,"2300804"
Tejuçuoca,2013,376.05,31.34,"2313351"
Jucás,2013,663.7,55.31,"2307403"
Arneiroz,2013,398.8,33.23,"2301505"
Cedro,2013,713.7,59.48,"2303808"
Barbalha,2013,1238.1,103.17,"2301901"
Ipu,2013,617.35,51.45,"2305803"
Cascavel,2013,640.55,53.38,"2303501"
Assaré,2013,452.75,37.73,"2301604"
Guaramiranga,2013,1165.7,97.14,"2305100"
Tianguá,2013,544.8,45.4,"2313401"
Parambu,2013,411.88,34.32,"2310308"
Baturité,2013,843.7,70.31,"2302107"
Icapuí,2013,596.4,49.7,"2305357"
Ipaumirim,2013,640.42,53.37,"2305704"
Aquiraz,2013,612.3,51.02,"2301000"
Hidrolândia,2013,594.75,49.56,"2305209"
Camocim,2013,914.0,76.17,"2302602"
Pentecoste,2013,513.93,42.83,"2310704"
Miraíma,2013,577.6,48.13,"2308377"
Tamboril,2013,505.03,42.09,"2313203"
Deputado Irapuan Pin,2013,441.0,36.75,"2304269"
Morrinhos,2013,542.0,45.17,"2308906"
Itarema,2013,680.7,56.73,"2306553"
Jijoca de Jericoacoa,2013,583.5,48.62,"2307254"
Senador Pompeu,2013,629.0,52.42,"2312700"
Novo Oriente,2013,322.3,26.86,"2309409"
Forquilha,2013,577.9,48.16,"2304350"
Uruburetama,2013,669.5,55.79,"2313807"
Ipueiras,2013,535.78,44.65,"2305902"
Milagres,2013,942.4,78.53,"2308302"
Ibiapina,2013,1606.0,133.83,"2305308"
Araripe,2013,533.93,44.49,"2301307"
Solonópole,2013,630.85,52.57,"2313005"
Trairi,2013,726.0,60.5,"2313500"
Eusébio,2013,763.0,69.36,"2304285"
Santana do Acaraú,2013,682.5,56.88,"2312007"
Milhã,2013,561.8,51.07,"2308351"
Itatira,2013,459.9,38.32,"2306603"
Mauriti,2013,780.72,65.06,"2308104"
Jaguaretama,2013,883.28,73.61,"2306702"
Fortaleza,2013,576.53,48.04,"2304400"
Russas,2013,553.04,46.09,"2311801"
Sobral,2013,598.36,49.86,"2312908"
Aiuaba,2013,405.21,33.77,"2300408"
Independência,2013,292.19,24.35,"2305605"
Ibaretama,2013,658.55,54.88,"2305266"
Apuiarés,2013,469.9,39.16,"2300903"
Juazeiro do Norte,2013,908.75,75.73,"2307304"
Coreaú,2013,541.3,45.11,"2304004"
Uruoca,2013,703.45,58.62,"2313906"
Santa Quitéria,2013,531.92,44.33,"2312205"
Iguatu,2013,703.77,58.65,"2305506"
Canindé,2013,392.42,32.7,"2302800"
Pindoretama,2013,828.0,69.0,"2310852"
Caucaia,2013,574.75,47.9,"2303709"
Redenção,2013,947.7,78.98,"2311603"
Umari,2013,616.2,51.35,"2313708"
