Cruz,2002,807.0,67.25,"2304251"
Quixeré,2002,738.0,61.5,"2311504"
Fortim,2002,1178.2,98.18,"2304459"
Ibicuitinga,2002,882.2,73.52,"2305332"
Reriutaba,2002,945.95,78.83,"2311702"
Aratuba,2002,1206.3,100.52,"2301406"
Capistrano,2002,1074.1,89.51,"2302909"
Penaforte,2002,627.3,52.27,"2310605"
Boa Viagem,2002,743.88,61.99,"2302404"
Antonina do Norte,2002,455.95,38.0,"2300804"
Tejuçuoca,2002,830.72,69.23,"2313351"
Jucás,2002,612.8,51.07,"2307403"
Arneiroz,2002,529.45,44.12,"2301505"
Cedro,2002,769.12,64.09,"2303808"
Barbalha,2002,893.6,74.47,"2301901"
Ipu,2002,937.35,78.11,"2305803"
Cascavel,2002,1391.3,115.94,"2303501"
Assaré,2002,587.85,48.99,"2301604"
Guaramiranga,2002,2357.1,196.42,"2305100"
Tianguá,2002,989.7,82.47,"2313401"
Parambu,2002,582.4,48.53,"2310308"
Baturité,2002,1518.1,126.51,"2302107"
Icapuí,2002,1012.5,84.37,"2305357"
Ipaumirim,2002,978.48,81.54,"2305704"
Aquiraz,2002,1790.5,149.21,"2301000"
Hidrolândia,2002,843.42,70.29,"2305209"
Camocim,2002,982.85,81.9,"2302602"
Pentecoste,2002,899.28,74.94,"2310704"
Miraíma,2002,798.85,66.57,"2308377"
Tamboril,2002,619.47,51.62,"2313203"
Deputado Irapuan Pin,2002,736.85,61.4,"2304269"
Morrinhos,2002,684.6,57.05,"2308906"
Itarema,2002,1081.88,90.16,"2306553"
Jijoca de Jericoacoa,2002,485.45,40.45,"2307254"
Senador Pompeu,2002,1001.7,83.48,"2312700"
Novo Oriente,2002,860.3,71.69,"2309409"
Forquilha,2002,761.85,63.49,"2304350"
Uruburetama,2002,975.4,81.28,"2313807"
Ipueiras,2002,825.36,68.78,"2305902"
Milagres,2002,617.8,51.48,"2308302"
Ibiapina,2002,1645.0,137.08,"2305308"
Araripe,2002,739.35,61.61,"2301307"
Solonópole,2002,876.4,73.03,"2313005"
Trairi,2002,1522.48,126.87,"2313500"
Eusébio,2002,1812.95,151.08,"2304285"
Santana do Acaraú,2002,820.75,68.4,"2312007"
Milhã,2002,919.8,76.65,"2308351"
Itatira,2002,919.46,76.62,"2306603"
Mauriti,2002,571.55,47.63,"2308104"
Jaguaretama,2002,921.13,76.76,"2306702"
Fortaleza,2002,1727.69,143.97,"2304400"
Russas,2002,699.88,58.32,"2311801"
Sobral,2002,845.35,70.45,"2312908"
Aiuaba,2002,591.64,49.3,"2300408"
Independência,2002,565.73,47.14,"2305605"
Ibaretama,2002,822.35,68.53,"2305266"
Apuiarés,2002,862.7,71.89,"2300903"
Juazeiro do Norte,2002,898.02,74.84,"2307304"
Coreaú,2002,623.95,52.0,"2304004"
Uruoca,2002,913.42,76.12,"2313906"
Santa Quitéria,2002,748.62,62.39,"2312205"
Iguatu,2002,854.97,71.25,"2305506"
Canindé,2002,658.31,54.86,"2302800"
Pindoretama,2002,1696.0,141.33,"2310852"
Caucaia,2002,960.08,80.01,"2303709"
Redenção,2002,1539.0,128.25,"2311603"
Umari,2002,816.5,68.04,"2313708"
