Nome,ano,chuva_total,chuva_media,id
Potiretama,1990,303.2,25.27,"2311231"
Itaitinga,1990,457.6,38.13,"2306256"
Altaneira,1990,726.3,60.52,"2300606"
Farias Brito,1990,724.25,60.35,"2304301"
Jati,1990,389.2,32.43,"2307205"
Nova Olinda,1990,732.5,61.04,"2309201"
Quixadá,1990,273.8,22.82,"2311306"
Pereiro,1990,624.5,52.04,"2310803"
Groaíras,1990,576.0,48.0,"2304905"
Cariús,1990,583.8,48.65,"2303303"
Graça,1990,771.0,64.25,"2304657"
Choró,1990,397.8,33.15,"2303931"
Jaguaruana,1990,396.6,33.05,"2307007"
Viçosa do Ceará,1990,1015.35,84.61,"2314102"
São Luís do Curu,1990,578.0,48.17,"2312601"
Baixio,1990,553.2,46.1,"2301802"
Piquet Carneiro,1990,302.05,25.17,"2310902"
Tururu,1990,344.5,28.71,"2313559"
Morada Nova,1990,288.5,24.04,"2308708"
Quixelô,1990,562.9,46.91,"2311355"
Nova Russas,1990,463.5,38.62,"2309300"
Acarape,1990,491.9,40.99,"2300150"
Aracati,1990,430.8,35.9,"2301109"
Orós,1990,376.15,31.35,"2309508"
Monsenhor Tabosa,1990,593.9,49.49,"2308609"
Itapipoca,1990,677.61,56.47,"2306405"
Mombaça,1990,815.6,67.97,"2308500"
Marco,1990,634.4,52.87,"2307809"
Pires Ferreira,1990,473.1,39.43,"2310951"
Catarina,1990,537.5,44.79,"2303600"
Ererê,1990,425.0,35.42,"2304277"
Guaraciaba do Norte,1990,1000.4,83.37,"2305001"
Iracema,1990,364.5,30.38,"2306009"
Croatá,1990,367.0,30.58,"2304236"
Paramoti,1990,500.4,41.7,"2310407"
Ubajara,1990,1108.3,92.36,"2313609"
Ipaporanga,1990,478.8,39.9,"2305654"
Carnaubal,1990,457.0,38.08,"2303402"
Massapê,1990,728.9,60.74,"2308005"
Chaval,1990,698.7,58.22,"2303907"
São Benedito,1990,1245.4,103.78,"2312304"
Aracoiaba,1990,570.7,47.56,"2301208"
Potengi,1990,393.4,32.78,"2311207"
Granja,1990,808.8,67.4,"2304707"
Missão Velha,1990,863.6,71.97,"2308401"
Poranga,1990,328.0,27.33,"2311009"
Granjeiro,1990,902.2,75.18,"2304806"
Senador Sá,1990,626.1,52.18,"2312809"
Icó,1990,374.42,31.2,"2305407"
Pedra Branca,1990,516.75,43.06,"2310506"
Tarrafas,1990,529.8,44.15,"2313252"
Maranguape,1990,431.15,35.93,"2307700"
Palhano,1990,553.0,46.08,"2310001"
Campos Sales,1990,441.0,36.75,"2302701"
Caridade,1990,333.4,27.78,"2303006"
São Gonçalo do Amara,1990,542.1,45.17,"2312403"
Horizonte,1990,387.0,32.25,"2305233"
Paracuru,1990,685.7,57.14,"2310209"
Santana do Cariri,1990,646.1,53.84,"2312106"
Amontada,1990,491.4,40.95,"2300754"
Quiterianópolis,1990,406.9,33.91,"2311264"
Tauá,1990,263.6,21.97,"2313302"
Brejo Santo,1990,691.0,57.58,"2302503"
Lavras da Mangabeira,1990,579.24,48.27,"2307502"
Ocara,1990,499.5,41.62,"2309458"
Caririaçu,1990,810.5,67.54,"2303204"
Aurora,1990,720.35,60.03,"2301703"
Barreira,1990,430.0,35.83,"2301950"
Maracanaú,1990,728.0,60.67,"2307650"
Bela Cruz,1990,578.0,48.17,"2302305"
Meruoca,1990,1013.0,84.42,"2308203"
Pacatuba,1990,750.3,62.53,"2309706"
Frecheirinha,1990,922.2,76.85,"2304509"
Pacujá,1990,677.4,56.45,"2309904"
Salitre,1990,353.5,29.46,"2311959"
General Sampaio,1990,428.8,35.73,"2304608"
Banabuiú,1990,532.0,44.33,"2301851"
São João do Jaguarib,1990,338.3,28.19,"2312502"
Abaiara,1990,749.1,62.43,"2300101"
Umirim,1990,567.5,47.29,"2313757"
Irauçuba,1990,322.5,26.88,"2306108"
Guaiúba,1990,505.4,42.12,"2304954"
Crateús,1990,450.88,37.57,"2304103"
Palmácia,1990,823.7,68.64,"2310100"
Beberibe,1990,506.8,42.23,"2302206"
Mucambo,1990,867.0,72.25,"2309003"
Martinópole,1990,654.2,54.52,"2307908"
Jaguaribara,1990,479.6,39.97,"2306801"
Tabuleiro do Norte,1990,339.8,28.32,"2313104"
Acopiara,1990,460.5,38.38,"2300309"
Saboeiro,1990,330.2,27.52,"2311900"
Pacoti,1990,1090.0,90.83,"2309805"
Quixeramobim,1990,320.89,26.74,"2311405"
Cariré,1990,742.7,61.89,"2303105"
Alto Santo,1990,361.5,30.12,"2300705"
Barro,1990,619.7,51.64,"2302008"
Itaiçaba,1990,332.7,27.72,"2306207"
Barroquinha,1990,848.4,70.7,"2302057"
Crato,1990,663.9,55.32,"2304202"
Moraújo,1990,741.0,61.75,"2308807"
Itapiúna,1990,624.7,52.06,"2306504"
Limoeiro do Norte,1990,527.1,43.93,"2307601"
Catunda,1990,504.2,42.02,"2303659"
Chorozinho,1990,496.3,41.36,"2303956"
Madalena,1990,410.6,34.22,"2307635"
Acaraú,1990,528.3,44.02,"2300200"
Várzea Alegre,1990,789.0,65.75,"2314003"
Jardim,1990,696.7,58.06,"2307106"
Alcântaras,1990,477.4,39.78,"2300507"
Pacajus,1990,438.5,36.54,"2309607"
Ararendá,1990,259.2,21.6,"2301257"
Paraipaba,1990,644.4,53.7,"2310258"
Itapajé,1990,760.7,63.39,"2306306"
Mulungu,1990,897.7,74.81,"2309102"
Varjota,1990,612.95,51.08,"2313955"
Porteiras,1990,703.2,58.6,"2311108"
Jaguaribe,1990,424.46,35.37,"2306900"
Cruz,1990,594.1,49.51,"2304251"
Quixeré,1990,423.6,35.3,"2311504"
Fortim,1990,469.5,39.12,"2304459"
Ibicuitinga,1990,278.3,23.19,"2305332"
Reriutaba,1990,769.0,64.08,"2311702"
Aratuba,1990,896.9,74.74,"2301406"
Capistrano,1990,568.5,47.38,"2302909"
Penaforte,1990,375.0,31.25,"2310605"
Boa Viagem,1990,409.05,34.09,"2302404"
Antonina do Norte,1990,415.2,34.6,"2300804"
Tejuçuoca,1990,432.8,36.07,"2313351"
Jucás,1990,861.3,71.77,"2307403"
Arneiroz,1990,331.8,27.65,"2301505"
Cedro,1990,637.05,53.09,"2303808"
Barbalha,1990,720.25,60.02,"2301901"
Ipu,1990,790.3,65.86,"2305803"
Cascavel,1990,586.7,48.89,"2303501"
Assaré,1990,618.6,51.55,"2301604"
Guaramiranga,1990,1404.0,117.0,"2305100"
Tianguá,1990,1029.7,85.81,"2313401"
