Nome,ano,chuva_total,chuva_media,id
Porteiras,2000,805.9,67.16,"2311108"
Jaguaribe,2000,850.49,70.87,"2306900"
Cruz,2000,1075.0,89.58,"2304251"
Quixeré,2000,914.1,76.17,"2311504"
Fortim,2000,1112.6,92.72,"2304459"
Ibicuitinga,2000,1032.0,86.0,"2305332"
Reriutaba,2000,886.8,73.9,"2311702"
Aratuba,2000,1468.65,122.39,"2301406"
Capistrano,2000,1090.0,90.83,"2302909"
Penaforte,2000,496.9,41.41,"2310605"
Boa Viagem,2000,739.85,61.65,"2302404"
Antonina do Norte,2000,664.05,55.34,"2300804"
Tejuçuoca,2000,628.55,52.38,"2313351"
Jucás,2000,1288.97,107.41,"2307403"
Arneiroz,2000,756.2,63.02,"2301505"
Cedro,2000,1200.35,100.03,"2303808"
Barbalha,2000,895.85,74.65,"2301901"
Ipu,2000,1140.3,95.03,"2305803"
Cascavel,2000,1194.5,99.54,"2303501"
Assaré,2000,660.8,55.07,"2301604"
Guaramiranga,2000,1979.8,164.98,"2305100"
Tianguá,2000,1285.1,107.09,"2313401"
Parambu,2000,630.1,52.51,"2310308"
Baturité,2000,1699.5,141.62,"2302107"
Icapuí,2000,1040.12,86.68,"2305357"
Ipaumirim,2000,1141.85,95.15,"2305704"
Aquiraz,2000,1807.6,150.63,"2301000"
Hidrolândia,2000,753.35,62.78,"2305209"
Camocim,2000,1086.2,90.52,"2302602"
Pentecoste,2000,856.66,71.39,"2310704"
Miraíma,2000,1019.85,84.99,"2308377"
Tamboril,2000,761.28,63.44,"2313203"
Deputado Irapuan Pin,2000,700.3,58.36,"2304269"
Morrinhos,2000,981.6,81.8,"2308906"
Itarema,2000,1135.85,94.65,"2306553"
Jijoca de Jericoacoa,2000,806.0,67.17,"2307254"
Senador Pompeu,2000,837.9,69.83,"2312700"
Novo Oriente,2000,735.55,61.3,"2309409"
Forquilha,2000,859.7,71.64,"2304350"
Uruburetama,2000,1249.75,104.15,"2313807"
Ipueiras,2000,1219.16,101.6,"2305902"
Milagres,2000,1002.0,83.5,"2308302"
Ibiapina,2000,2030.4,169.2,"2305308"
Araripe,2000,760.4,63.37,"2301307"
Solonópole,2000,614.1,51.18,"2313005"
Trairi,2000,1471.5,122.62,"2313500"
Eusébio,2000,1759.2,146.6,"2304285"
Santana do Acaraú,2000,832.3,69.36,"2312007"
Milhã,2000,679.7,56.64,"2308351"
Itatira,2000,883.61,73.63,"2306603"
Mauriti,2000,864.3,72.02,"2308104"
Jaguaretama,2000,827.1,68.93,"2306702"
Fortaleza,2000,1723.25,143.6,"2304400"
Russas,2000,868.8,72.4,"2311801"
Sobral,2000,876.17,73.01,"2312908"
Aiuaba,2000,682.04,56.84,"2300408"
Independência,2000,573.27,47.77,"2305605"
Ibaretama,2000,663.8,55.32,"2305266"
Apuiarés,2000,990.0,82.5,"2300903"
Juazeiro do Norte,2000,916.52,76.38,"2307304"
Coreaú,2000,1254.1,104.51,"2304004"
Uruoca,2000,1098.0,91.5,"2313906"
Santa Quitéria,2000,835.73,69.64,"2312205"
Iguatu,2000,1185.55,98.8,"2305506"
Canindé,2000,702.15,58.51,"2302800"
Pindoretama,2000,1489.0,124.08,"2310852"
Caucaia,2000,1226.98,102.25,"2303709"
Redenção,2000,1626.6,135.55,"2311603"
Umari,2000,1115.5,92.96,"2313708"
