Código,Espacialidades,IDHM Renda 1991,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 1991,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 1991,IDHM Educação 2000,IDHM Educação 2010,Renda per capita 1991,Renda per capita 2000,Renda per capita 2010,% de extremamente pobres 1991,% de extremamente pobres 2000,% de extremamente pobres 2010,% de pobres 1991,% de pobres 2000,% de pobres 2010,% de vulneráveis à pobreza 1991,% de vulneráveis à pobreza 2000,% de vulneráveis à pobreza 2010,% de crianças extremamente pobres 1991,% de crianças extremamente pobres 2000,% de crianças extremamente pobres 2010,% de crianças pobres 1991,% de crianças pobres 2000,% de crianças pobres 2010,% de crianças vulneráveis à pobreza 1991,% de crianças vulneráveis à pobreza 2000,% de crianças vulneráveis à pobreza 2010,Renda per capita dos extremamente pobres 1991,Renda per capita dos extremamente pobres 2000,Renda per capita dos extremamente pobres 2010,Renda per capita dos pobres 1991,Renda per capita dos pobres 2000,Renda per capita dos pobres 2010,Renda per capita dos vulneráveis à pobreza 1991,Renda per capita dos vulneráveis à pobreza 2000,Renda per capita dos vulneráveis à pobreza 2010
2304509,Frecheirinha,0.428,0.461,0.551,0.58,0.675,0.746,0.139,0.292,0.536,114.46,140.62,246.03,55.38,47.19,24.26,79.95,71,45.88,89.83,86.98,70.94,65.24,62.36,33.6,84.81,84.36,62.74,91.84,94.49,84.59,38.78,26.37,35.58,56.82,51.09,67.85,71.08,73.99,114.38
2304608,General Sampaio,0.399,0.421,0.548,0.573,0.664,0.744,0.078,0.216,0.449,96.01,109.76,242.1,67.04,56.36,22.62,89.75,78.07,43.35,93.98,90.46,71.11,77.53,67.23,33.76,95.15,89.47,61.79,97.42,96.39,86.28,39.34,27.17,41.43,53.33,47.19,70.64,59.03,65.12,118.94
2304657,Graça,0.319,0.41,0.514,0.572,0.7,0.755,0.018,0.192,0.477,58.32,102.39,195.67,76.73,52.45,37.99,92.95,77.53,55.15,98.26,91.93,74.44,85.48,65.81,51.72,95.4,89.06,71.19,99.13,97.73,87.72,36.42,30.26,32.14,47.15,52.3,54.45,53.43,72.37,92.06
2304707,Granja,0.402,0.418,0.495,0.531,0.66,0.778,0.073,0.185,0.453,97.52,107.83,173.99,59.07,54.39,43.63,83.37,79.46,63.91,94.38,91.94,82.31,72.14,69.61,57.16,90.25,89.9,78.38,97.11,97.09,91.85,38.73,30.07,27.69,56.11,52.06,51.85,70.09,69.46,83.28
2304806,Granjeiro,0.344,0.398,0.533,0.503,0.619,0.715,0.109,0.209,0.526,68.08,95.12,221.14,72.14,60.63,27.99,92.12,78.53,46.36,96.17,88.41,70.13,79.19,74.51,41.94,95.12,89.07,66.31,97.34,93.77,86.56,26.3,18.22,38.31,41.39,35.09,64.04,47.43,50.91,107.23
2304905,Groaíras,0.424,0.483,0.585,0.594,0.69,0.724,0.177,0.275,0.598,112.16,161.29,304.64,49.71,39.78,14.32,77.62,62.99,31.9,92.62,81.2,61.02,62.79,55.05,24.65,85.58,79.06,50.06,94.82,91.18,80.84,46.82,33.58,41.23,65.04,57.83,78.95,84.01,87,136.12
2304954,Guaiúba,0.432,0.461,0.546,0.652,0.725,0.768,0.131,0.28,0.56,117.56,141.07,239.69,37.19,32.83,17.67,74.39,65.15,40.45,93.9,87.95,69.62,46.53,44.34,24.14,83.88,77.85,53.99,96.3,94.2,81.34,44.09,37.06,34,70.83,67.69,74.94,95.22,96.64,124.62
2305001,Guaraciaba do Norte,0.424,0.475,0.552,0.574,0.693,0.776,0.112,0.241,0.528,112.18,153.29,247.55,57.55,40.62,19.81,80.22,68.78,43.42,91.55,86.78,71.11,66.31,55.05,27.5,86.03,81.38,59.38,94.38,93.34,85.4,39.12,36.72,36.49,54.62,61.83,74.47,70.02,86.75,121.63
2305100,Guaramiranga,0.413,0.487,0.576,0.643,0.704,0.736,0.131,0.365,0.61,104.21,165.53,287.35,47.58,26.55,9.44,83.37,57.43,35.52,95.08,86.83,64.55,62.89,40.57,14.28,91.58,73.82,49.18,96.91,95.14,78.21,45.36,38.4,40.76,66.93,70.1,92.48,81.39,110.25,140.37
2305209,Hidrolândia,0.374,0.463,0.549,0.579,0.712,0.775,0.072,0.231,0.499,82.03,142.59,243.41,61.91,47,25.49,88.21,64.23,44,96.03,85.88,68.14,74.22,60.62,38.21,92.6,77.28,61.87,98.01,90.61,82.91,36.75,25.31,37.94,53.34,45.71,66.32,64.56,79.2,112.23
2305233,Horizonte,0.47,0.552,0.594,0.597,0.707,0.788,0.107,0.307,0.61,148.74,248.14,322.78,31.69,21.75,7.51,65.51,53.72,22.32,89.55,81.06,54.91,41.15,29.92,10.64,75.21,66.14,33.67,93.44,89.87,71.74,45.77,35.26,34.36,72.85,75.22,86.27,101.57,113.39,153.83
2305266,Ibaretama,0.373,0.44,0.517,0.531,0.659,0.759,0.102,0.231,0.489,81.26,123.43,199.63,58.17,43.55,34.72,87.47,70.91,54.03,96.8,87.46,76.65,72.92,56.84,47.56,95.18,84.55,70.79,99.17,94.87,90.45,38,34.14,31.36,58.04,59.23,57.59,69.62,83.15,98.61
2305308,Ibiapina,0.379,0.478,0.559,0.59,0.695,0.767,0.102,0.277,0.525,84.6,156.43,258.57,61.18,41.49,15.06,85.82,68.39,38.71,94.93,86.12,66.87,72.85,56.07,23.25,90.87,82.48,53.24,95.84,92.87,82.56,35.82,34.38,38.24,53.05,59.26,79.09,65.45,86.84,127.57
2305332,Ibicuitinga,0.385,0.446,0.514,0.598,0.731,0.758,0.124,0.281,0.571,88.06,128.09,196.54,59.03,43.39,31.29,83.8,69.13,53.82,93.65,88.97,76.05,64.18,58.16,41.85,87.1,80.86,70.4,94.31,93.34,89.43,32.42,28.92,33.08,53.04,55.36,63.8,65.83,84.06,101.44
2305357,Icapuí,0.488,0.498,0.572,0.578,0.65,0.757,0.097,0.338,0.541,166.95,177.85,280.79,30.08,29.5,13.7,63.37,53.31,33.32,84.09,81.05,64.15,39.48,42.3,20.99,72.25,67.33,45.53,88.93,89.64,78.54,43.57,37.56,40.98,73.66,67.73,79.47,101.26,106.02,136.35
2305407,Icó,0.431,0.493,0.568,0.579,0.633,0.731,0.107,0.282,0.536,117.02,172.34,274.01,53.62,39.08,24.65,80.34,64.02,42.14,91.43,82.74,66.06,63.1,53.48,36.48,86.35,77.72,59.43,93.44,90.17,82.19,37.92,26.69,30.36,58.33,54.56,61.8,74.26,83.62,110.8
2305506,Iguatu,0.534,0.58,0.642,0.63,0.728,0.808,0.182,0.386,0.599,222.15,295.46,434.67,32.43,20.82,10.86,63.23,44.01,24.31,81.51,69.08,50.24,42.9,30.62,17.66,72.45,57.99,38.8,86.22,78.72,68.38,42.26,37.63,34.78,70.27,71.57,75.33,95.66,113.08,138.79
2305605,Independência,0.413,0.512,0.561,0.617,0.732,0.759,0.136,0.323,0.592,104.52,194.02,262.34,49.01,33.07,28.13,80.65,60.07,45.52,94.42,81.99,68.32,57.13,43.85,41.38,86.57,72.95,61.55,96.3,88.43,83.16,39.41,37.56,36.23,61.29,65.91,62.17,79.43,97.31,109.28
2305654,Ipaporanga,0.373,0.413,0.502,0.579,0.715,0.766,0.018,0.231,0.506,81.66,104.36,182.11,61.19,51.94,42.11,87.99,76.6,55.78,96.22,93.58,76.24,73.31,66.8,59.56,94.14,88.09,75.32,98.35,98.64,91.01,39.06,28.36,29.5,56.36,50.94,49.05,66.87,73.93,91.25
2305704,Ipaumirim,0.399,0.485,0.621,0.578,0.662,0.729,0.155,0.273,0.491,95.93,163.68,380.61,65.63,41.77,18.95,85.5,66.96,36.35,93.35,86.1,63.58,75.89,55.96,29.91,90.52,81.2,55.46,95.7,93.83,81.45,33.05,31.42,39.76,48.12,57.36,70.25,59.61,85.6,124.33
2305803,Ipu,0.428,0.508,0.583,0.63,0.731,0.762,0.119,0.285,0.532,114.67,189.21,301.38,55.58,36.5,21.08,80.55,61.87,42.15,91.92,82.99,66.43,66.45,48.75,31.67,87.19,76.24,59.03,94.94,90.81,81.85,37.44,37.2,37.4,55.59,63.08,71.24,71.46,94.18,118.35
2305902,Ipueiras,0.395,0.45,0.534,0.546,0.675,0.735,0.065,0.212,0.479,93.51,131.9,222.22,59.48,47.15,33.07,85.85,72.12,51.9,95.55,87.91,74.37,72.41,62.02,46.98,92.54,84.86,70.66,97.29,95.01,89.31,38.47,31.93,33.36,56.32,54.92,58.6,68.51,77.71,100.65
2306009,Iracema,0.411,0.534,0.597,0.589,0.689,0.733,0.139,0.337,0.632,103.1,222.57,328.61,47.15,31.09,18.59,80.1,57.25,33.85,93.52,76.31,61.63,53.92,41.95,26.92,84.99,69.81,47.64,96.97,83.75,79.16,35.15,26.97,34.33,61.97,59.96,64.24,80.14,91.76,123.87
2306108,Irauçuba,0.394,0.439,0.526,0.572,0.7,0.755,0.138,0.256,0.557,93.05,122.79,211.75,59.73,46.65,35.65,84.27,71.41,56.58,94.08,87.61,76.5,69.1,60.08,45.64,89.33,81.32,69.8,96.45,93.28,88.1,37.77,26.02,26.06,56.12,51.78,55.25,68.75,76.38,90.89
2306207,Itaiçaba,0.403,0.469,0.581,0.548,0.65,0.758,0.188,0.401,0.642,97.99,148.11,296.81,54.23,38.62,11.24,79.69,63.85,26.94,95.69,85.18,59.22,65.58,49.69,18.08,88.68,74.49,43.55,97.23,91.67,80.44,38.63,34.8,39.22,56.78,61.96,78.17,80.3,92.24,141.47
2306256,Itaitinga,0.456,0.512,0.583,0.596,0.708,0.768,0.121,0.296,0.548,136.44,193.25,300.15,30.23,22.12,9.11,70.69,53.07,29.31,90.26,80.01,61.11,38.53,29.69,12.05,79.54,65.26,39.3,94.93,89.13,73.18,45.06,40.23,33.2,76.75,76.11,85.95,100.22,113.62,144
2306306,Itapagé,0.46,0.502,0.561,0.567,0.686,0.76,0.17,0.28,0.568,140.31,181.44,263.18,43.38,34.08,22.46,74.15,63.55,42.45,91.29,83.93,69.87,53.53,45.96,32.47,81.36,75.98,57.51,93.81,90.95,83.44,45.29,33.72,36.78,67.16,63.18,69.41,89.43,92.9,119.3
2306405,Itapipoca,0.405,0.486,0.562,0.662,0.722,0.761,0.136,0.31,0.613,99.56,164.71,264.08,60.52,43.51,25.35,83.7,67.26,45,92.98,84.62,69.64,71.49,55.63,35,89.46,78.99,59.1,95.11,90.62,82.33,35.46,28.67,32.44,52.54,53.74,64.74,65.26,80.33,112.1
2306504,Itapiúna,0.383,0.458,0.525,0.597,0.722,0.775,0.141,0.332,0.542,86.65,138.55,209.53,66.76,50.11,26.66,88.46,69.88,46.42,96.34,87.68,72.52,79.14,63.76,37.37,94.12,83.18,62.83,97.63,94.73,86.54,37.63,21.37,32.81,52.01,42.87,62.61,61.93,69.91,108.3
2306553,Itarema,0.416,0.44,0.529,0.578,0.666,0.753,0.064,0.201,0.558,106.77,123.88,214.89,59.5,48.58,27.82,84.84,75.74,49.01,94.24,90.51,77.45,71.49,60.49,38,91.69,85.24,62.83,96.35,95.05,87.05,36.65,29.25,33.88,54.29,54.65,65.52,66.68,76.3,113.16
2306603,Itatira,0.36,0.415,0.514,0.512,0.647,0.747,0.049,0.176,0.463,75.35,105.8,196.02,63.28,57.54,33.92,90.2,77.12,53.79,96.17,90.91,75.39,72.81,68.68,46.92,94.64,87.31,70.9,97.03,95.08,88.43,38.27,21.5,32.22,56.6,41.71,59.24,63.93,63.44,97.63
2306702,Jaguaretama,0.419,0.492,0.552,0.648,0.723,0.776,0.105,0.248,0.535,108.42,171.37,247.85,53.34,32.48,27.99,82.24,63.31,47.29,91.31,84.46,71.55,66.97,43.76,35.67,89.33,75.83,62.47,94,92.89,85.13,38.79,31.03,33.14,59.41,63.31,62.45,72.11,95.79,108.78
2306801,Jaguaribara,0.462,0.489,0.575,0.648,0.723,0.735,0.157,0.29,0.559,141.56,167.59,287.08,43.48,32.36,12.86,71.7,58.58,32.21,88.37,82.58,60.42,55.99,44.12,18.51,80.1,72.04,44.12,92.74,90.25,76.01,38.16,34.84,37.39,62.12,64.21,81.36,85.9,99.4,136.31
2306900,Jaguaribe,0.464,0.543,0.58,0.648,0.723,0.76,0.168,0.354,0.543,143.54,234.76,294.97,47.3,29.68,19.58,77.02,56.73,37.3,90.16,78.97,62.37,58.74,40.62,29.27,82.68,72,53.6,92.71,87.47,79.07,40.25,35.1,35.97,61.58,65.86,70.37,79.41,99.72,118.97
2307007,Jaguaruana,0.448,0.49,0.568,0.638,0.743,0.779,0.157,0.34,0.548,129.63,169.12,274.9,38.21,31.73,14.91,72.49,62.03,34.35,88.63,83.53,61.74,50.08,42.8,20.6,82.49,74.2,49.54,93.38,91.11,80.66,42.14,27.2,30.81,68.4,63.06,73.74,88.72,94.66,127.76
2307106,Jardim,0.4,0.453,0.547,0.635,0.704,0.779,0.111,0.265,0.542,96.23,134.08,241.09,56.95,50.03,25.63,84.25,71.13,45.8,94.07,87.31,70.28,70.05,66,38.78,91.33,85.17,63.9,97.6,95,85.76,34.81,27.06,33.8,55.05,48.78,65.8,69.2,74.19,110.94
2307205,Jati,0.392,0.494,0.562,0.609,0.707,0.776,0.146,0.305,0.634,91.76,173.06,264.55,63.71,38.22,18.98,84,63.3,41.91,92.51,84.32,66.82,77.63,52.89,29.07,91.24,77.54,59.38,94.74,93.76,81.32,34.73,37.76,41.23,49.89,61.51,77.4,62.77,92.44,121.62
2307254,Jijoca de Jericoacoara,0.421,0.506,0.614,0.535,0.653,0.723,0.03,0.227,0.625,109.78,187.01,365.46,50.81,42.47,18.71,77.95,67.27,36.4,92.43,82.99,61.49,63.03,53.49,27.4,86,76.25,49.09,93.28,88.98,74.12,45.86,30.29,35.4,61.56,56.89,68.95,82.41,81.06,120.88
2307304,Juazeiro do Norte,0.533,0.578,0.644,0.613,0.713,0.81,0.225,0.39,0.642,220.89,291.71,439.53,28.54,19.92,6.73,60.66,46.94,23.43,81.22,72.92,51.95,38.13,29.85,10.55,70.47,62.11,35.88,85.91,82.88,68.59,44.54,40.77,38.07,74.14,75.69,89.36,102.19,115.22,148.88
2307403,Jucás,0.379,0.448,0.541,0.561,0.637,0.772,0.07,0.301,0.511,84.58,129.98,232.22,67.27,46.2,22.49,88.17,70.5,44.11,95.32,87.84,70.58,75.1,62.02,31.87,92.49,82.64,60.69,97.27,94.84,86.67,27.43,26.48,31.36,43.93,51.48,69.47,55.39,77.69,118.26
2307502,Lavras da Mangabeira,0.419,0.46,0.576,0.605,0.715,0.778,0.149,0.295,0.515,108.68,139.76,288.15,59.4,44.43,25.73,82.82,65.17,46.26,92.55,86.14,69.23,71.84,61.01,36.74,89.04,82.08,65.45,95.31,92.54,86.19,34.53,25.04,31.95,52.47,48.24,62.26,66.26,80.95,104.84
2307601,Limoeiro do Norte,0.493,0.56,0.633,0.666,0.783,0.804,0.247,0.403,0.623,171.72,261.01,410.03,31.17,20.21,7.98,64.33,46.39,21.09,86.4,74.82,49.38,42.66,29.38,11.29,73.76,61.79,31.76,89.3,85,65.6,44.3,34.94,38.03,71.76,73.92,82.33,100.38,117.84,150.31
2307635,Madalena,0.371,0.468,0.536,0.587,0.701,0.778,0.109,0.265,0.545,80.42,147.2,225.22,67.74,46.01,34.36,88.96,63.57,49.8,95.83,84.75,73.93,77.37,62.43,47.32,93.77,80.62,67.29,98.14,92.65,87.54,34.63,31.37,27.87,49.24,50.33,52.55,58.33,82.18,101.14
2307650,Maracanaú,0.495,0.56,0.617,0.649,0.76,0.788,0.23,0.447,0.665,173.62,261.47,372.91,25.96,13.62,4.59,59.66,40.61,18.97,84.56,69.57,47.69,32.73,18.89,7.29,67.28,51.76,29.07,89.01,78.43,63.16,45.46,43.56,39.36,77.55,83.08,94.13,109.85,127.55,157.1
2307700,Maranguape,0.466,0.526,0.587,0.604,0.736,0.788,0.179,0.372,0.618,145.43,211.51,307.81,38.87,24.22,8.52,70.72,52.56,25.4,88.23,78.74,57.64,50.05,33.26,11.45,79.51,65.04,36.51,91.72,87.11,71.79,41.88,37.92,33.43,68.51,71.48,84.29,91.96,109.62,146.1
2307809,Marco,0.416,0.478,0.564,0.531,0.654,0.734,0.13,0.283,0.553,106.61,156.45,266.87,53,42.27,20.27,83.33,68.18,41.45,94.57,87.54,71.84,64.35,56.02,28.84,90.18,80.88,57.25,97.09,93.69,87,43.05,31.14,34.34,60.89,56.86,71.03,74.92,85.22,125.2
2307908,Martinópole,0.386,0.424,0.541,0.493,0.621,0.76,0.109,0.256,0.522,88.63,112.14,232.17,57.97,56.08,33.95,80.67,75.64,51.02,95.84,90.54,74.68,69.56,69.27,46.95,87.08,86.33,67.16,97.82,95.59,87.57,38.81,29.5,31.73,55.1,46.02,55.43,72.95,68.29,98.98
2308005,Massapê,0.466,0.456,0.541,0.572,0.682,0.778,0.099,0.243,0.554,144.95,136.36,231.47,48.97,44.23,21.32,80.35,69.66,41.67,93.45,85.26,68.12,60.6,57.42,30.91,87.3,82.21,55.88,94.51,92.28,80.59,41.67,31.63,32.98,63.79,57.03,68.11,79.98,78.87,119.89
2308104,Mauriti,0.383,0.495,0.544,0.629,0.727,0.772,0.089,0.245,0.526,86.68,173.73,236.11,65.3,40.49,29.78,86.22,65.73,48.76,94.62,84.31,72.26,74.64,55.34,39.16,90.77,80.69,62.22,96.57,92.35,85.23,33.02,32.67,33.73,48.79,56.95,61.37,60.8,85.01,104.39
2308203,Meruoca,0.386,0.477,0.559,0.569,0.668,0.761,0.131,0.268,0.554,88.2,156.15,258.78,57.79,41.22,14.97,84.7,64.1,35.68,95.76,86.34,68.67,71.88,56.43,21.47,91.71,79.84,48.87,97.41,93.38,82.88,40.47,35.66,33.82,57.56,57.78,75.2,71.94,90.47,133.22
2308302,Milagres,0.423,0.472,0.561,0.615,0.703,0.777,0.134,0.275,0.569,110.95,150.9,261.96,56.77,43.12,17.6,78.19,68.67,36.4,92.16,86.37,67.27,67.32,56.92,24.49,86.64,83.09,51.29,95.39,93.78,82.59,36.17,26.84,41.17,52.29,53.48,73.14,72.46,80.31,132.01
2308351,Milhã,0.347,0.479,0.56,0.586,0.674,0.784,0.11,0.314,0.558,69.44,157.76,260.95,67.98,37.23,25.82,91.92,64.02,44.12,97.41,83.77,65.53,81.35,53.27,37.54,95.79,82.51,63.95,98.69,94.4,82.75,35.26,34.95,32.24,51.46,63.32,63.52,58.93,91.16,106.12
2308377,Miraíma,0.346,0.398,0.51,0.572,0.682,0.778,0.098,0.225,0.523,68.7,95.07,191.56,68.13,60.41,41.87,90.7,81.6,64.35,97.04,91.65,82.32,78.53,72.79,53.91,95.54,90.89,80.43,98.22,96.03,93.64,37.29,20.55,29.78,50.79,41.21,54.95,59.17,57,86.23
2308401,Missão Velha,0.42,0.509,0.579,0.587,0.662,0.754,0.112,0.259,0.552,109.37,190.28,293.16,54.59,40.36,20.65,80.95,65.75,44.81,93.03,82.48,68.98,68.98,53.66,30.54,88.74,79.54,61.68,96.03,91.2,85.16,39.21,32.81,40.28,58.32,57.92,75.34,75.03,84.05,116.66
2308500,Mombaça,0.408,0.469,0.549,0.555,0.677,0.735,0.086,0.2,0.489,101.57,148.47,243.85,68.81,51.05,27.66,85.62,70.75,45.53,92.83,86.1,69.52,79.77,65.97,40.43,91.43,85.7,63.71,95.16,94.48,86.67,28.65,20.16,33.57,42.21,42.42,61.63,53.17,66.9,108.36
2308609,Monsenhor Tabosa,0.358,0.432,0.545,0.579,0.715,0.773,0.138,0.27,0.538,74.4,118.01,237.18,72.81,51.79,29.71,90.08,72.15,49.73,94.55,88.44,71.01,79.46,66.69,40.9,94.32,85.18,66.12,96.07,95.86,85.1,28.75,28.12,33.55,41.06,49.21,63.16,47.98,73.98,103.73
2308708,Morada Nova,0.44,0.528,0.569,0.664,0.732,0.758,0.129,0.296,0.525,123.37,214.12,276.36,47.3,29.17,22.85,77.42,59.24,39.18,91.59,81.56,64.53,58.48,40.86,35.18,84.4,72.82,57.01,94.32,88.9,81.13,41.97,36.47,36.33,63.74,69.49,65.98,82.03,99.99,116.81
2308807,Moraújo,0.414,0.413,0.495,0.58,0.664,0.768,0.14,0.209,0.516,104.99,104.84,174.55,44.31,50.7,34.34,76.9,76.61,58.9,95.25,92.49,79.16,55.74,65.95,47.36,86.75,88.25,74.76,98.17,96.91,90,42.59,30.17,34.73,66.4,51.56,63.14,87.15,74.54,97.48
2308906,Morrinhos,0.389,0.452,0.524,0.512,0.654,0.76,0.13,0.241,0.511,90.25,133.07,208.9,60.19,53.03,32.3,85.15,73.42,54.57,94.74,89.34,72.79,72.33,67.12,44.31,92.33,86.98,69.85,97.2,95.85,87.13,40.31,29.21,37.76,56.54,48.36,63.95,69.44,72.8,95.76
2309003,Mucambo,0.39,0.475,0.565,0.572,0.7,0.732,0.111,0.289,0.541,90.69,153.91,269.65,55.92,46.04,29.28,85.73,68.98,46.25,95.66,86.5,68.1,65.94,62.91,40.44,90.38,84.97,63.64,97.45,93.99,83.03,42.04,34.37,35.63,61.1,56.28,60.59,72.96,82.23,105.58
2309102,Mulungu,0.447,0.5,0.551,0.653,0.725,0.759,0.137,0.306,0.534,129.1,179.49,246.35,42.97,40.14,25.33,73.2,63.28,47.55,88.88,84.49,71.08,57.51,53.27,35.32,83.39,77.35,63.3,92.75,92.59,84,44.01,34.07,35.73,66.97,58.03,67.32,85.98,91.21,110.34
2309201,Nova Olinda,0.399,0.516,0.567,0.583,0.66,0.779,0.132,0.269,0.554,95.93,198.86,272.1,61.74,40.9,23.04,84.07,61.31,46.47,92.87,81.69,71.45,74.2,54.93,31.29,89.24,76.07,61.66,95.44,89.11,86.3,38.46,27.93,32.08,53.43,52.87,70.07,65.6,86.63,112.91
2309300,Nova Russas,0.442,0.519,0.585,0.591,0.674,0.754,0.13,0.277,0.524,124.88,202.62,304.52,57.18,35.09,16.55,79.36,61.73,33.63,90.8,81.84,60.75,68.39,50.09,24.78,86.47,76.27,48.29,94.97,90.52,77.37,35.77,33.45,39.69,52.29,62.08,70.43,68.93,91.6,127.75
2309409,Novo Oriente,0.407,0.475,0.552,0.597,0.674,0.763,0.094,0.235,0.526,100.41,153.42,247.79,56.76,43.71,35.93,82.78,65.13,50.09,92.14,81.84,70.52,68.19,57.09,50.07,89.09,77.71,65.74,94.99,89.21,82.55,34.42,30.57,32.25,53.66,53.96,52.34,66.81,79.3,95.73
2309458,Ocara,0.362,0.423,0.524,0.566,0.648,0.771,0.105,0.298,0.519,75.9,111.36,208.77,61.94,49.1,32.09,88.57,76.11,49.99,97.45,92.36,74.16,72.83,66.13,44.25,93.79,90.58,66.94,98.43,96.87,87.93,36.58,25.58,31.33,54.3,52.65,58.72,65.09,75.44,104.76
2309508,Orós,0.431,0.476,0.582,0.579,0.663,0.793,0.196,0.318,0.557,117.28,154.32,298.84,49.51,37.3,15.74,78.27,64.6,33.03,91.17,83.71,59.42,59.33,50.04,25.44,84.94,78.97,51.44,94.18,92.38,79.93,38.89,31.52,41.47,61.32,60.25,76.06,80.08,88.37,126.32
2309607,Pacajus,0.501,0.524,0.609,0.597,0.707,0.788,0.15,0.354,0.596,180.56,208.74,354.78,29.07,23.25,7.96,63.22,53.6,24.7,84.16,78.67,52.87,39.62,31.18,11.83,74.29,66.03,35.98,89.89,88.1,68.58,44.07,37.5,36.6,75.01,73.16,86.42,101.51,108.94,147.07
2309706,Pacatuba,0.476,0.52,0.605,0.645,0.743,0.779,0.186,0.393,0.652,154.65,203.31,344.63,24.7,19.32,6.66,59.88,47.83,22,85.48,76.91,54.06,30.68,27.63,10.44,67,58.5,33.81,89.91,84.62,68.73,47.11,40.04,37.05,79.17,76.83,89.65,111.01,118.15,155.31
2309805,Pacoti,0.446,0.48,0.571,0.643,0.732,0.773,0.143,0.322,0.58,128.18,158.45,279.49,44.72,35.83,17,75.55,64.56,37.95,91.82,87.16,64.75,58.91,47.04,26.53,85.83,77.02,55.51,94.12,93.36,80.63,40.21,34.76,39.47,65.04,64.97,73.88,86.09,96.19,124.43
2309904,Pacujá,0.537,0.549,0.562,0.594,0.701,0.745,0.177,0.299,0.571,225.6,243.05,264.03,42.68,25.98,17.87,72.19,44.81,41.68,87.65,65.49,67.18,57.23,33.51,27.73,84.33,53.61,58.75,93.41,71.71,82.77,42.12,30.43,39.15,66.46,57.59,77.87,86.19,84.32,122
2310001,Palhano,0.35,0.441,0.572,0.638,0.69,0.723,0.133,0.392,0.628,70.44,124.8,281.69,67.49,46.38,17.94,87.99,74.58,34.53,97.17,87.92,61.66,76.76,61.84,29.71,93.71,86.56,52.29,98.01,93.61,79.55,32.26,27.2,38.64,48.05,54.02,73.85,61.29,73.02,131.06
2310100,Palmácia,0.461,0.459,0.59,0.653,0.723,0.742,0.145,0.37,0.551,140.63,139.04,315.23,39.64,45.77,24.51,73.95,69.95,45.85,87.71,85.51,72.19,52.06,62.55,37.25,84.16,83.68,64.01,91.72,91.85,86.55,43.27,27.24,34.11,68.11,51.97,69.67,84.83,75.53,115.85
2310209,Paracuru,0.456,0.482,0.597,0.556,0.662,0.746,0.155,0.299,0.581,136.41,160.46,328.2,45.3,40.22,16.65,72.75,66.49,36.59,89.62,84.62,64,55.36,51.6,23.17,80.44,79.53,50.58,93.23,91.77,79.03,42.15,28.34,38.16,63.58,56.36,77.23,86.63,84.26,129.02
2310258,Paraipaba,0.467,0.489,0.574,0.596,0.725,0.738,0.164,0.343,0.602,146.07,168.12,283.79,40.24,36.07,17.3,70.56,66.16,38.48,89.76,82.78,65.05,49.29,47.67,24.89,75.64,76.1,54.14,92.11,89.75,79.87,38.37,35.45,39.81,63.74,64.48,78.07,88.75,89.05,125.68
2310308,Parambu,0.43,0.452,0.526,0.625,0.731,0.764,0.105,0.175,0.46,116.46,133.14,211.05,51.01,48.67,28.46,80.52,72.81,51.58,92.43,90.17,74.35,62.17,62.17,39.54,86.31,86.12,67.36,94.21,96.21,89.75,42.78,36.43,32.4,61.65,56.76,64.5,76.64,81.79,104.36
2310407,Paramoti,0.377,0.424,0.515,0.556,0.666,0.741,0.059,0.235,0.518,83.73,111.72,196.63,60.08,53.18,32.31,86.98,76.06,49.98,96.08,91.96,77.17,72.47,68.39,46.28,93.75,88.63,70.47,97.07,97.43,92.53,39.8,22.62,31.45,57.13,44.29,56.9,68.76,67.05,107.01
2310506,Pedra Branca,0.388,0.485,0.541,0.532,0.674,0.779,0.073,0.226,0.521,89.25,163.51,231.56,61.44,40.41,25.04,87.94,65.59,41.95,95.07,83.48,71.21,72.35,54.36,35.67,92.48,80.14,56.84,96.7,92,84.76,38.43,27.23,32.19,55.2,54.66,61.44,64.72,82.28,117.67
2310605,Penaforte,0.41,0.508,0.566,0.618,0.727,0.761,0.255,0.403,0.626,102.88,189.06,271.18,57.86,30.02,16.07,76.35,60.06,34.26,92.77,79.57,62.1,67.55,39.53,21.56,81.96,73.01,48.29,95.62,86.7,77.1,33.79,40.07,40.58,48.26,69.53,74.95,72.74,98.19,130.65
2310704,Pentecoste,0.419,0.49,0.562,0.522,0.659,0.734,0.132,0.315,0.604,108.62,169.1,264.95,48.03,36.48,25.4,77.25,65.3,44.8,92.93,83.36,71.69,59.12,47.54,35.94,85.04,77.34,61.01,95.59,90.26,85.84,40.83,35.09,34.53,62.34,64.17,64.67,82.76,90.28,114.95
2310803,Pereiro,0.365,0.458,0.525,0.61,0.689,0.776,0.116,0.28,0.534,77.52,138.16,209.49,75.12,50.64,32.65,86.9,71.61,51.12,93.59,86.84,73.49,82.98,67.03,46.67,91.71,85.87,68.35,96.06,93.96,87.9,29.45,19.69,33.08,38.18,42.13,59.6,48,65.22,104.42
