Código,Espacialidades,IDHM Renda 1991,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 1991,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 1991,IDHM Educação 2000,IDHM Educação 2010,Renda per capita 1991,Renda per capita 2000,Renda per capita 2010,% de extremamente pobres 1991,% de extremamente pobres 2000,% de extremamente pobres 2010,% de pobres 1991,% de pobres 2000,% de pobres 2010,% de vulneráveis à pobreza 1991,% de vulneráveis à pobreza 2000,% de vulneráveis à pobreza 2010,% de crianças extremamente pobres 1991,% de crianças extremamente pobres 2000,% de crianças extremamente pobres 2010,% de crianças pobres 1991,% de crianças pobres 2000,% de crianças pobres 2010,% de crianças vulneráveis à pobreza 1991,% de crianças vulneráveis à pobreza 2000,% de crianças vulneráveis à pobreza 2010,Renda per capita dos extremamente pobres 1991,Renda per capita dos extremamente pobres 2000,Renda per capita dos extremamente pobres 2010,Renda per capita dos pobres 1991,Renda per capita dos pobres 2000,Renda per capita dos pobres 2010,Renda per capita dos vulneráveis à pobreza 1991,Renda per capita dos vulneráveis à pobreza 2000,Renda per capita dos vulneráveis à pobreza 2010
2301257,Ararendá,0.318,0.457,0.522,0.579,0.715,0.763,0.044,0.256,0.516,58.04,137.05,205.43,75.61,48.06,36.31,94.66,69.4,51.04,98.61,86.63,73.87,88.45,64.3,50.15,98.52,82.64,69.64,99.5,93.06,87.37,35.91,21.6,35.72,46.59,45.01,55.59,51.77,73.24,99.39
2301307,Araripe,0.368,0.447,0.515,0.537,0.647,0.759,0.079,0.176,0.459,79.23,129.41,197.14,66.66,55.52,36.68,88.55,72.91,56,96.16,89.28,76.33,76.15,70.73,50.23,93.85,84.5,73.79,98.01,94.45,89.12,37.7,23.99,33.05,51.45,41.12,57.27,60.44,66.69,93.63
2301406,Aratuba,0.423,0.444,0.53,0.643,0.725,0.775,0.088,0.289,0.587,111.35,126.67,215.94,48.56,49.52,25.67,80.7,75.89,46.35,92.84,91.39,73.01,62.18,63.72,34.64,88.78,86.87,63.65,95.96,95.88,87.01,41.05,32.01,34.99,63.67,54.13,64.9,79.77,76.14,116.38
2301505,Arneiroz,0.351,0.421,0.565,0.574,0.633,0.74,0.103,0.277,0.564,70.95,110.01,269.77,71.7,51.96,19.9,91.14,74.53,40.76,98.48,90.99,69.82,80.95,68.6,27.52,94.22,87.73,57.3,99.03,96.61,84.32,33.89,27.15,39.33,46.86,49.12,72.42,55.89,72.7,124.83
2301604,Assaré,0.398,0.445,0.573,0.54,0.647,0.783,0.093,0.176,0.482,95.29,127.68,282.6,58.05,54.32,27.95,84.94,72.85,45.07,94.25,87.72,67.59,68.63,71.35,39.67,90.68,88.1,61.63,96.49,95.13,83.79,35.55,30.01,31.65,55.74,48.8,58.93,68.47,70.83,104.85
2301703,Aurora,0.431,0.456,0.557,0.556,0.67,0.764,0.106,0.27,0.521,117.26,136.33,255.78,63.16,41.54,24.46,85.72,66.34,45.69,96.16,85.65,67.38,75.7,55.51,35.42,91.77,81.64,62.87,97.19,93.67,85.23,34.87,35.25,37.45,50.36,58.27,68.71,65.62,86.19,112.04
2301802,Baixio,0.347,0.45,0.563,0.503,0.637,0.763,0.193,0.323,0.575,69.21,131.46,265.94,78.07,43.7,17.63,88.6,71.18,35.89,95.73,87.31,62.83,85.79,60.71,27.35,93.27,86.64,54.8,96.7,94.6,81.72,31.25,35.39,42.3,39.18,60.31,75.97,50.53,83.49,126.91
2301851,Banabuiú,0.385,0.488,0.54,0.587,0.701,0.779,0.103,0.278,0.53,88.01,166.55,229.99,63.08,42.97,28.36,86.94,66.6,48.92,95.45,83.43,73.97,74.08,55.79,40.28,92.07,79.47,64.91,97.27,91.15,85.9,36.58,32.22,31.47,51.85,56.11,62.34,62.76,81.36,107.83
2301901,Barbalha,0.476,0.542,0.613,0.663,0.714,0.817,0.175,0.357,0.637,154.69,233.87,362.9,48.33,32.3,10,74.44,58.09,28.35,87.69,79.34,57.68,59.95,46.75,15.47,84.24,74.15,42.43,91.75,88.97,74.11,40.74,39.67,42.44,61.56,66.12,85.49,80.22,98.14,141.93
2301950,Barreira,0.436,0.468,0.551,0.566,0.637,0.771,0.121,0.334,0.551,120.35,147.18,246.69,44.69,38.15,21.19,81.36,65.58,41.44,92.88,86.42,69.35,55.66,53.36,29.91,88.64,81.73,56.94,95.38,93.42,83.98,41,31.3,35.05,65.13,59.17,70.37,79.27,88.95,119.46
2302008,Barro,0.392,0.488,0.556,0.63,0.727,0.758,0.095,0.243,0.51,91.52,166.99,254.44,59.91,33.58,24.08,81.55,62.73,41.46,94.92,84.07,66.64,72.65,47.22,36.09,88.44,78.47,60.78,96.57,92.52,82.52,36.83,36.9,34.46,53.81,66.2,66.2,71.61,96.86,117.71
2302057,Barroquinha,0.358,0.431,0.512,0.493,0.597,0.72,0.04,0.176,0.505,74.31,117.28,192.96,63.35,48.49,35.21,91.42,75.59,55.93,97.47,92.11,78.46,73.94,62.31,45.88,95.58,86.54,70.58,98.83,96.71,90.5,40.41,37.71,33.77,55.75,59.74,61.27,63.75,80.54,99.97
2302107,Baturité,0.463,0.526,0.574,0.537,0.647,0.753,0.2,0.341,0.548,142.91,210.55,284.88,40.25,30.5,14.44,71.26,59.83,34.41,87.32,79.56,62.33,50.09,42.36,21.81,78.8,73.47,48.37,90.31,87.58,77.28,41.13,36.05,36.16,65.97,66.51,76.59,86.88,95.71,129.92
2302206,Beberibe,0.428,0.481,0.585,0.611,0.735,0.778,0.087,0.267,0.571,115.07,159.43,304.61,42.8,38.49,20.15,75.37,66.54,38.18,93.29,88.31,64.22,54.87,48.49,28.36,83.45,78.09,53.38,96.31,93.76,79.41,38.61,29.55,35.14,65.3,58.98,69.48,87.45,88.93,120.51
2302305,Bela Cruz,0.418,0.441,0.533,0.493,0.621,0.76,0.085,0.244,0.598,107.82,124.25,221.07,50.64,45.69,28.97,79.91,74.07,51.91,93.9,89.19,74.88,61.55,60.05,40,86.27,85.4,66.61,96.73,94.48,87.77,42.25,34.22,35.01,60.82,60.11,64.66,78.25,80.54,105.12
2302404,Boa Viagem,0.392,0.484,0.553,0.573,0.659,0.768,0.115,0.231,0.504,91.89,162.68,250.47,61.95,45.73,31.91,85.54,68.67,48.83,94.22,85.76,71.03,71.93,59.75,44.43,91.66,81.95,67.23,96.06,93,87.17,35.15,27.44,31.59,52.5,51.13,56.55,64.44,77.11,101.24
2302503,Brejo Santo,0.498,0.538,0.596,0.618,0.735,0.768,0.155,0.321,0.592,177.12,226.92,325.64,50.74,31.72,13.83,75.18,58.36,32.29,86.76,77.86,61.28,61.1,44.65,18.16,82.73,71.43,44.76,91.48,86.37,75.8,38.8,35.3,31.85,58.54,64.69,74.06,76.12,93.53,132.68
2302602,Camocim,0.437,0.515,0.565,0.512,0.649,0.729,0.127,0.295,0.578,121.29,196.83,269,49.33,39.78,22.12,78.46,67.41,45.76,91.65,84.79,71.72,59.08,51.5,31.51,85.19,78.3,60.92,94.88,89.98,83.42,39.24,34.98,35.34,60.58,61.69,69.6,78.06,86.67,114.71
2302701,Campos Sales,0.446,0.55,0.584,0.617,0.696,0.769,0.113,0.273,0.556,128.57,245.47,303.68,52.06,34.12,23.58,76.19,59.67,46.64,88.97,81.01,66.09,62.05,47.42,34.01,83,75.13,64.86,91.61,90.38,84.8,35.35,35.63,37.09,55.28,63.03,70.94,74.71,94.5,110.03
2302800,Canindé,0.439,0.475,0.571,0.587,0.705,0.765,0.107,0.269,0.526,122.54,153.77,278.9,46.72,44.34,26.44,77.79,67.94,45.24,91.86,85.71,69.79,59.35,58.29,35.98,86.2,80.23,59.98,95.74,92.14,82.91,42.04,27.76,31.1,64.43,52.27,62.33,81.99,80.04,109.72
2302909,Capistrano,0.408,0.432,0.527,0.609,0.704,0.73,0.086,0.313,0.593,101.42,117.36,211.95,56.98,48.14,32.97,79.65,73.49,52.79,94.54,90.05,75.65,66.83,58.59,46.26,86.57,82.3,70.06,95.9,93.59,89.2,40.7,22.85,29.45,57.21,50,56.71,76.13,75.2,99.64
2303006,Caridade,0.408,0.451,0.528,0.572,0.703,0.779,0.101,0.236,0.505,101.44,132.82,213.18,53.54,41.97,26.58,82.87,71.96,47.06,94.01,88.42,72.88,66.46,52.5,35.81,90.64,83.06,62.23,96.71,94.34,86.96,37.12,33.75,32.37,58.86,60.96,64.88,73.03,82.96,109.4
