Código,Espacialidades,Taxa de atividade - 10 anos ou mais 1991,Taxa de atividade - 10 anos ou mais 2000,Taxa de atividade - 10 anos ou mais 2010,Taxa de atividade - 10 a 14 anos 1991,Taxa de atividade - 10 a 14 anos 2000,Taxa de atividade - 10 a 14 anos 2010,Taxa de atividade - 15 a 17 anos 1991,Taxa de atividade - 15 a 17 anos 2000,Taxa de atividade - 15 a 17 anos 2010,Taxa de atividade - 18 anos ou mais 1991,Taxa de atividade - 18 anos ou mais 2000,Taxa de atividade - 18 anos ou mais 2010,Taxa de atividade - 18 a 24 anos 1991,Taxa de atividade - 18 a 24 anos 2000,Taxa de atividade - 18 a 24 anos 2010,Taxa de atividade - 25 a 29 anos 1991,Taxa de atividade - 25 a 29 anos 2000,Taxa de atividade - 25 a 29 anos 2010,Taxa de desocupação - 10 anos ou mais 1991,Taxa de desocupação - 10 anos ou mais 2000,Taxa de desocupação - 10 anos ou mais 2010,Taxa de desocupação - 10 a 14 anos 1991,Taxa de desocupação - 10 a 14 anos 2000,Taxa de desocupação - 10 a 14 anos 2010,Taxa de desocupação - 15 a 17 anos 1991,Taxa de desocupação - 15 a 17 anos 2000,Taxa de desocupação - 15 a 17 anos 2010,Taxa de desocupação - 18 anos ou mais 1991,Taxa de desocupação - 18 anos ou mais 2000,Taxa de desocupação - 18 anos ou mais 2010,Taxa de desocupação - 18 a 24 anos 1991,Taxa de desocupação - 18 a 24 anos 2000,Taxa de desocupação - 18 a 24 anos 2010,Taxa de desocupação - 25 a 29 anos 1991,Taxa de desocupação - 25 a 29 anos 2000,Taxa de desocupação - 25 a 29 anos 2010,% de empregados com carteira - 18 anos ou mais 1991,% de empregados com carteira - 18 anos ou mais 2000,% de empregados com carteira - 18 anos ou mais 2010,% de empregados sem carteira - 18 anos ou mais 1991,% de empregados sem carteira - 18 anos ou mais 2000,% de empregados sem carteira - 18 anos ou mais 2010,% de trabalhadores do setor público - 18 anos ou mais 1991,% de trabalhadores do setor público - 18 anos ou mais 2000,% de trabalhadores do setor público - 18 anos ou mais 2010,% de trabalhadores por conta própria - 18 anos ou mais 1991,% de trabalhadores por conta própria - 18 anos ou mais 2000,% de trabalhadores por conta própria - 18 anos ou mais 2010,% de empregadores - 18 anos ou mais 1991,% de empregadores - 18 anos ou mais 2000,% de empregadores - 18 anos ou mais 2010,Grau de formalização dos ocupados - 18 anos ou mais 1991,Grau de formalização dos ocupados - 18 anos ou mais 2000,Grau de formalização dos ocupados - 18 anos ou mais 2010,% dos ocupados com fundamental completo - 18 anos ou mais 1991,% dos ocupados com fundamental completo - 18 anos ou mais 2000,% dos ocupados com fundamental completo - 18 anos ou mais 2010,% dos ocupados com médio completo - 18 anos ou mais 1991,% dos ocupados com médio completo - 18 anos ou mais 2000,% dos ocupados com médio completo - 18 anos ou mais 2010,% dos ocupados com superior completo - 18 anos ou mais 1991,% dos ocupados com superior completo - 18 anos ou mais 2000,% dos ocupados com superior completo - 18 anos ou mais 2010,% dos ocupados no setor agropecuário - 18 anos ou mais 1991,% dos ocupados no setor agropecuário - 18 anos ou mais 2000,% dos ocupados no setor agropecuário - 18 anos ou mais 2010,% dos ocupados no setor extrativo mineral - 18 anos ou mais 1991,% dos ocupados no setor extrativo mineral - 18 anos ou mais 2000,% dos ocupados no setor extrativo mineral - 18 anos ou mais 2010,% dos ocupados na indústria de transformação - 18 anos ou mais 1991,% dos ocupados na indústria de transformação - 18 anos ou mais 2000,% dos ocupados na indústria de transformação - 18 anos ou mais 2010,% dos ocupados no SIUP - 18 anos ou mais 1991,% dos ocupados no SIUP - 18 anos ou mais 2000,% dos ocupados no SIUP - 18 anos ou mais 2010,% dos ocupados no setor de construção - 18 anos ou mais 1991,% dos ocupados no setor de construção - 18 anos ou mais 2000,% dos ocupados no setor de construção - 18 anos ou mais 2010,% dos ocupados no setor comércio - 18 anos ou mais 1991,% dos ocupados no setor comércio - 18 anos ou mais 2000,% dos ocupados no setor comércio - 18 anos ou mais 2010,% dos ocupados no setor serviços - 18 anos ou mais 1991,% dos ocupados no setor serviços - 18 anos ou mais 2000,% dos ocupados no setor serviços - 18 anos ou mais 2010,Rendimento médio dos ocupados - 18 anos ou mais 1991,Rendimento médio dos ocupados - 18 anos ou mais 2000,Rendimento médio dos ocupados - 18 anos ou mais 2010,% dos ocupados sem rendimento - 18 anos ou mais 1991,% dos ocupados sem rendimento - 18 anos ou mais 2000,% dos ocupados sem rendimento - 18 anos ou mais 2010,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2010,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 1991,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 2000,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 2010
2300804,Antonina do Norte,,49.38,43.89,,26.15,8.27,,54.3,27.52,,54.07,51.94,,61.8,51.88,,61.09,62.37,,8.07,7.18,,18.99,14.68,,13.2,9.35,,6.25,6.86,,11.99,15.85,,2.08,6.81,,7.33,14.35,,37.59,37.09,,8.87,2.61,,18.67,21.11,,0.91,0.42,,17.15,18.7,,18.58,35.64,,10.53,22.9,,0.62,3.77,,40.95,36.7,,0.53,,,2.84,3.36,,0.33,0.88,,7.06,5.38,,12.74,14.27,,34.69,33.23,,,347.31,,26.62,27.49,,86.8,76.15,,95.46,94.55,,95.89,97.69,,98,99.51,,0.6,0.49
2300903,Apuiarés,,48.47,42.56,,9.1,7.8,,38.09,22.42,,58.85,50.36,,59.21,48.99,,63.9,60.57,,8.95,5.28,,10.71,9.05,,32.69,7.03,,7.06,5.1,,17.67,11.18,,8.11,3.79,,8.53,11.16,,26.71,41.12,,3.78,5.55,,25.88,21.7,,1.93,1.11,,14.53,19.16,,15.54,44.49,,6.89,29.66,,0.77,5.95,,49.8,46.94,,,,,8.84,6.99,,0.34,0.62,,5.2,4.73,,5.84,7.37,,26.79,32.22,,,335.45,,33.19,22.53,,89.59,74.87,,97.1,93.51,,98.35,97.35,,99.62,99.46,,0.43,0.49
2301000,Aquiraz,,51.43,50.87,,6.16,4.54,,31.59,22.22,,62.31,60.32,,62.06,62.23,,73.82,65.6,,9.65,8.26,,29.55,31.88,,22.59,23.31,,8.52,7.5,,16.25,12.55,,7.93,9.54,,21.02,39.55,,39.78,34.06,,4.52,3.22,,29.49,19.28,,1.37,0.77,,28.18,45.28,,22.83,47.85,,11.97,31.05,,1.74,5.12,,16.66,14.62,,0.15,0.46,,15.55,20.67,,0.74,0.9,,10.13,9.71,,8.27,10.2,,43.03,37.57,,,675.7,,3.84,4.18,,76.85,29.79,,92.78,90.26,,94.84,94.81,,96.96,98.02,,0.51,0.32
2301109,Aracati,,49.45,50.95,,8.88,6.04,,35.92,19.59,,58.61,59.89,,61.8,59.85,,70.31,70.4,,16.47,10.39,,9.18,10.69,,36.77,20.36,,15.31,10.1,,25.58,23.38,,18.84,15.98,,22.3,29.07,,34.46,31.28,,5.85,3.51,,30.29,25.25,,2.81,1.58,,32.73,38.72,,31.19,53.22,,18.32,35.81,,2.25,7.07,,23.83,26.68,,0.32,0.19,,10.03,8.87,,0.38,1.12,,5.68,6.59,,17.15,18.24,,39.54,34.39,,,623.41,,6.47,11.02,,75.6,45.49,,91.09,87.71,,93.95,93.66,,97.61,97.11,,0.49,0.48
2301208,Aracoiaba,,43.79,47.33,,8.47,14.65,,34.02,30.7,,52.12,54.44,,51.86,55.38,,62.04,57.45,,9.11,5.53,,24.32,2.2,,19.12,2,,7.89,5.89,,15.54,14.13,,9.61,7.7,,14.42,15.65,,40.11,33.07,,7.61,4.15,,17.54,25.34,,1.14,0.56,,23.89,22.6,,22.5,40.82,,13.8,26.05,,0.44,4.99,,46.38,48.93,,,0.33,,6.3,5.86,,0.29,1.15,,7.71,7.46,,9.31,7.28,,28.68,25.98,,,377.72,,19.95,27.2,,88.88,64.65,,96.34,94.43,,97.06,96.69,,98.46,98.68,,0.46,0.4
2301257,Ararendá,,62.19,41.69,,26.03,7.31,,54.59,31.17,,70.59,47.82,,75.72,50.61,,72.78,61.13,,9.54,13.82,,18.72,38.11,,16.37,19.9,,8.22,12.9,,18.34,18.17,,5.93,22.33,,5.49,14.74,,26.91,30.33,,0.22,5.98,,21.76,19.67,,0.68,0.32,,6.42,21.88,,14.25,41.6,,6.7,25.74,,2.49,4.5,,58.61,42.43,,,,,12.79,3.91,,,1.5,,3.46,5.63,,4.46,10.65,,20.44,32.89,,,305.75,,45.97,30.01,,90.99,74.61,,96.99,95.55,,98.17,97.03,,99.31,99.66,,0.6,0.57
2301307,Araripe,,46.97,42.72,,13.45,12.74,,38.71,28.41,,55.21,50.13,,57.46,45.35,,65.5,60.88,,4.27,5.17,,8.01,3.14,,12.54,10.09,,3.38,4.98,,9.18,6.46,,4.14,8.78,,6.24,17.72,,11.97,26.87,,1.16,1.84,,26.62,30.52,,1.84,0.38,,7.89,21.5,,12.14,35.09,,6.41,18.82,,1.03,4.77,,72.38,52.06,,,0.29,,3.61,5.36,,,0.41,,1.79,5.12,,4.14,9.62,,15.76,23.79,,,316.65,,52.17,23.76,,89.57,76.17,,94.36,93.83,,96.34,97,,98.32,99.05,,0.6,0.62
2301406,Aratuba,,53.83,50.19,,19.43,12.34,,41.86,26.16,,63.06,60.18,,62.73,55.71,,67.93,72.98,,10.35,5.42,,12.37,8.31,,24.72,20.11,,8.97,4.55,,15.49,10.75,,7.78,3.66,,5.56,6.84,,26.13,47.15,,9.08,9.78,,27.42,19.73,,9.61,0.33,,18.78,17.77,,15.05,42.46,,7.18,29.82,,0.77,5.45,,62.64,54.68,,,,,1.86,2.15,,0.64,0.21,,2.55,5.22,,6.31,6.85,,24.35,29.84,,,299.98,,22.2,23.35,,89.53,76.6,,96.05,95.31,,97.52,98.49,,98.92,99.88,,0.52,0.35
2301505,Arneiroz,,50.49,48.45,,18.63,11.42,,37.28,22.59,,58.78,57.24,,58.32,60.67,,54.73,70.86,,6.83,6.64,,4.58,11.84,,11.37,9.17,,6.68,6.37,,14.29,12.94,,11.78,8.34,,11.72,10.85,,18.91,42.82,,5.8,3.06,,31.28,17.59,,0.25,0.85,,19.64,15.8,,16.58,43,,9.64,28.71,,0.17,5.47,,58.43,37.03,,0.28,,,5.32,2.22,,0.27,0.81,,2.25,5.35,,3.52,10.73,,29.23,43.26,,,427.74,,32.56,25.17,,90.86,75.69,,97.51,94.37,,98.85,96.75,,99.45,98.96,,0.39,0.58
2301604,Assaré,,36.64,44.02,,7.01,12.97,,28.54,28.21,,43.99,50.98,,42.77,58.33,,55.97,67.75,,4.11,4.67,,6.91,8.41,,14.58,10.48,,3.22,4.19,,5.16,8.58,,2.38,3.51,,5.46,10.87,,18.91,35.84,,3.89,5.61,,29.83,27.87,,0.66,1.46,,11.89,19.03,,15.86,39.23,,9.63,23.29,,0.8,5.5,,58.43,38.41,,,,,3.17,2.18,,0.36,1.2,,7.77,5.85,,8.72,13.55,,19.22,33.91,,,477.92,,41.44,22.45,,88.32,70.63,,95.59,92.97,,96.57,95.87,,98.6,97.74,,0.52,0.7
2301703,Aurora,,40.81,41.02,,11.22,8.13,,30.86,21.62,,48.13,47.61,,47.71,47.87,,51.6,56.36,,9.17,6.56,,5.88,4.86,,18.12,8.57,,8.62,6.52,,21.79,15.49,,6.02,4.46,,8.09,11.35,,27.57,42.06,,7.02,1.56,,48.55,25.49,,0.73,1.34,,20.26,16.32,,20.79,40.95,,12.16,27.56,,1.1,6.08,,39.46,45.34,,,,,4.23,2.32,,0.09,0.85,,5.08,6.83,,11.19,12.21,,36.94,30.88,,,405.96,,8.04,18.88,,85.91,72.15,,95.87,94.33,,97.54,97.09,,99.02,98.6,,0.49,0.58
2301802,Baixio,,52.34,48.59,,14.28,9.29,,41.89,25.9,,60.95,55.43,,57.42,54.13,,69.05,65.97,,7.34,6.43,,13.69,6.84,,15.37,2.81,,6.34,6.57,,15.35,15.76,,8,14.47,,13.27,21.99,,19.57,49.51,,8.78,0.96,,24.96,15.49,,,1.92,,23.26,24.1,,22.27,48.23,,12.37,32.4,,,4.57,,49.4,40.05,,,0.26,,3.62,2.39,,,1.19,,3.3,6.74,,6.98,8.49,,34.65,38.76,,,359.88,,33.42,15.58,,92.98,72.73,,97.34,93.7,,98.63,96.97,,99.68,98.92,,0.34,0.46
2301851,Banabuiú,,44.28,41.03,,12.8,4.94,,35.91,19.75,,52.35,50.71,,57.9,43.66,,59.88,61.38,,14.63,5.91,,29.44,4.8,,27.4,11.84,,12.65,5.64,,20.28,13.55,,14.18,6.83,,13.69,15.31,,26.62,28.15,,6.76,3.16,,26.74,27.81,,0.75,0.47,,25.77,23.92,,22.27,39.09,,13.97,26.75,,1.16,5.51,,45.44,51.76,,1.05,0.52,,5.35,4.38,,1.21,1.59,,4.57,4.39,,7.71,7.38,,34.06,27.87,,,383.12,,25.69,28.19,,81.96,68.62,,92.67,92.39,,95.43,96.61,,97.68,98.75,,0.44,0.46
2301901,Barbalha,,52.05,53.53,,10.62,8.07,,42.22,21.32,,61.6,63.2,,65.59,64.62,,71.74,77.5,,18.18,9.94,,26.76,2.86,,36.82,19.69,,16.4,9.78,,25.56,21.93,,19.85,11.59,,27.33,37.54,,34.32,30.45,,4.58,2.34,,23.28,21.94,,1.52,1.17,,34.21,41.92,,32.93,59.08,,21.07,43.76,,4.6,8.52,,24.88,18.01,,0.49,0.1,,13.41,15.56,,0.37,1.06,,8.43,8.83,,9.59,13.54,,40.99,41.44,,,636.16,,9.3,7.79,,77.66,45.69,,90.99,88.55,,94.22,93.19,,96.93,96.57,,0.65,0.46
2301950,Barreira,,42.98,40.88,,9.63,3.71,,26.91,20.58,,51.87,49.34,,55.72,51.8,,60.84,63.07,,10.9,11.04,,14.15,25.72,,19.91,20.39,,10.2,10.46,,15.18,15.63,,9.85,12.33,,17.13,11.33,,44.14,46.47,,3.95,10.41,,17.69,21.77,,1.59,1.01,,22.5,26.97,,23.36,47.51,,12.23,32.38,,0.35,6.01,,35.18,31.38,,0.34,0.09,,19.94,18.69,,,0.25,,4.21,5.42,,12.98,12.13,,26.76,30.64,,,481.56,,15.6,11.07,,85.45,57.99,,94.38,91.4,,97.15,96.14,,99.23,98.67,,0.38,0.39
2302008,Barro,,43.9,38.62,,16.27,2.22,,36.37,14.31,,50.23,46.01,,46.96,45.99,,61.88,58.2,,4.64,6.11,,7.36,28.56,,1.72,25.25,,4.7,5.39,,8.11,6.45,,3.99,10.18,,11.05,20.87,,27.18,37.53,,5.42,2.31,,40.15,23.97,,0.7,0.57,,18.93,24.83,,20,41.26,,11.29,28.82,,1.6,7.18,,36.79,38.83,,0.4,,,5.66,3.46,,0.38,0.44,,5.8,7.31,,14.37,13.44,,35.82,34.43,,,428.65,,15.8,16.01,,84.92,66.28,,94.44,92.56,,95.89,95.91,,98.11,99.09,,0.58,0.49
2302057,Barroquinha,,46.18,36.61,,12.55,2.03,,37.45,12.29,,55.5,46.21,,57.38,38.81,,61.01,52.69,,14.11,3.01,,63.36,,,36.3,,,9.27,3.12,,13.85,7.18,,12.7,5.42,,3.5,10.3,,30.6,39.84,,12.37,6.95,,45.15,26.13,,0.44,1.92,,19.96,20.18,,11.19,30.17,,5.16,20.47,,0.92,5.76,,44.41,44.29,,2.31,0.89,,6.24,1.52,,0.34,0.38,,7.82,6.09,,10.57,13.9,,25.51,26.89,,,363.27,,7.94,17.47,,87.41,69.61,,96.93,94.09,,98.59,97.06,,99.49,98.39,,0.44,0.56
2302107,Baturité,,49.65,48.03,,11.27,9.76,,41.54,23.51,,57.86,57.12,,58.46,56.73,,68.05,67.39,,11.44,8.36,,17.6,19.4,,22.52,22.3,,10.3,7.42,,20.31,19.5,,8.54,9.23,,18.64,23.88,,32.02,33.82,,3.98,2.11,,32.5,28.37,,0.32,0.84,,26.42,30.51,,27.18,48.33,,15.96,31.98,,1.68,5.15,,35.52,32.27,,,0.08,,5.8,5.38,,0.93,1.48,,6.39,6.7,,15.88,14.87,,34.28,36.96,,,501.28,,13.18,13.93,,80.6,54.33,,91.7,90.03,,94.83,95.48,,97.15,98.39,,0.6,0.38
2302206,Beberibe,,41.99,50.12,,8.31,7.09,,30.41,25.36,,49.85,58.98,,48.47,57.49,,59.46,67.47,,12.73,7.33,,16.02,12.23,,31.61,21.3,,11.24,6.66,,19.51,17.09,,12.64,5.48,,14.55,19.37,,36.45,36.11,,2.62,5.51,,29.07,23.89,,0.79,0.76,,20.22,29.35,,17.5,44.07,,8.89,27.83,,1.31,4.82,,41.1,35.56,,0.16,0.12,,10.37,5.1,,0.15,0.76,,7.01,6.52,,9.72,11.72,,31.24,37.08,,,454.5,,16.64,18.73,,83.7,58.13,,95.89,92.19,,97.17,96.66,,98.9,98.61,,0.56,0.43
2302305,Bela Cruz,,51.32,52.63,,16.3,12.84,,40.59,31.6,,61.46,62.02,,62.39,61.39,,72.81,71.23,,9.97,6.24,,13.53,,,8.17,13.61,,9.89,6.06,,11.56,13.17,,14.05,10.01,,5.91,5.86,,55.14,43.63,,5.38,6.31,,20.64,27.55,,1.41,0.42,,14.17,13.71,,14.39,40.81,,7.3,22.95,,1.93,4.76,,42.87,50.53,,,0.2,,19,7.76,,,0.59,,4.67,5.15,,8.19,10.31,,24.63,24.2,,,310.16,,13.53,25.55,,89.32,77.23,,95.75,94.58,,97.22,98.07,,99.63,99.45,,0.5,0.64
2302404,Boa Viagem,,55.28,46.44,,24.45,16.95,,48.59,31.03,,62.87,53.07,,68.07,56.56,,69.9,63.2,,7.97,6.46,,10.07,6.71,,16.71,8.14,,7.05,6.35,,13.76,13.33,,8.72,9.29,,7.19,12.28,,22.36,25.13,,2.98,5.17,,29.94,24.24,,3.47,0.99,,12.18,20.66,,15.79,35.96,,8.58,22.82,,0.74,4.03,,60.41,56.14,,0.16,,,3.89,3.03,,0.16,0.72,,4.28,4.76,,9.59,10.65,,21.15,22.95,,,382.27,,34.21,35.84,,87.31,72.2,,95.06,93.33,,96.27,96.83,,98.01,98.74,,0.67,0.72
2302503,Brejo Santo,,46.22,47.03,,8.56,4.18,,36.41,19.29,,55.53,55.55,,57.01,52.47,,64.1,64.18,,13.74,8.97,,35.35,15.98,,29.01,16.2,,11.9,8.68,,19.97,16.85,,12.87,8.75,,14.37,26.12,,40.29,35.8,,4.42,1.41,,30.41,28.44,,3.03,1.06,,22.07,31.63,,29.37,53.5,,19.89,39.06,,3.98,9.38,,27.33,23.72,,0.09,0.13,,5.04,4.79,,0.09,0.95,,7.86,8.71,,17.66,17.98,,40.65,41.48,,,628.94,,7.82,8.39,,75.5,53.08,,88.89,88.27,,92.35,93.6,,96.3,97.45,,0.64,0.5
2302602,Camocim,,48.19,46.41,,10.94,5.33,,36.05,21.09,,58.3,56.38,,59.15,56.4,,66.44,67.06,,12.59,9.46,,14.67,5.85,,25.24,21.64,,11.53,9.04,,20.91,17.86,,11.51,11.43,,11.2,19.23,,37.61,40.42,,9.75,7.73,,26.92,22.48,,2.38,0.81,,25.83,31.66,,24.97,46.22,,13.52,31.34,,2.34,4.88,,36.45,29.87,,0.81,0.43,,7.57,6.46,,0.3,0.65,,6.55,4.86,,13.96,16.65,,33.42,35.3,,,538.81,,12.4,13.88,,81.17,58.26,,91.26,90.57,,94.72,94.58,,97.75,97.69,,0.72,0.56
2302701,Campos Sales,,55.24,52.69,,24.07,16.47,,52.23,35.84,,62.44,60.35,,63.82,62.39,,71.73,72.46,,10.63,5.64,,17.56,2.39,,18.25,8.84,,9.34,5.59,,18.51,14.86,,9.13,7.81,,13.06,14.06,,19.21,34.57,,2.87,3.98,,42.41,26.49,,1.39,1.6,,19.66,23.46,,21.28,42.24,,13.55,28.72,,1.19,6.18,,43.33,42.55,,0.15,0.15,,6.3,3.25,,0.19,0.7,,5.37,3.53,,14.79,13.95,,28.88,34.09,,,467.61,,21.21,26.49,,81.83,70.47,,92.64,90.96,,94.79,94.7,,97.26,97.5,,0.95,0.63
2302800,Canindé,,49.27,39.72,,15.35,5.29,,38.25,18.46,,58.2,48.16,,63.43,52.33,,67.49,59.4,,12.91,10.08,,19.89,11.97,,26.66,19.61,,11.44,9.63,,17.75,18.12,,14.91,10.64,,10.3,17.39,,30.51,35.39,,5.37,6.24,,27.88,25.68,,1.22,0.91,,18.17,25.95,,21.89,47.5,,11.98,30.79,,1.36,7.02,,38.83,26.97,,0.12,,,10.59,7.1,,0.41,0.78,,5.7,7.04,,13.77,18.68,,29.94,37.19,,,544.29,,25.01,16.03,,83.42,55.81,,94.28,89.31,,96.35,94.7,,98.58,97.24,,0.42,0.49
2302909,Capistrano,,40.89,37.65,,10.69,7.99,,22.86,16.41,,49.92,44.9,,42.46,42.78,,59.26,47.21,,9.9,6.62,,11.62,3.33,,20.51,9.94,,9.21,6.59,,18.86,15.92,,15.21,4.11,,16.19,16.19,,25.01,37.45,,2.92,2.39,,17.77,18.71,,0.8,0.11,,20.3,22.18,,18.81,48.82,,9.92,32.73,,0.43,5.38,,55.02,48.55,,,,,2.97,2.41,,0.06,1.03,,7.67,4.5,,7.3,8.51,,26.47,34.22,,,360.11,,37.8,29.53,,87.04,70.24,,96.8,93.84,,98.77,97.65,,99.61,98.99,,0.39,0.55
2303006,Caridade,,50.94,38.11,,16.02,6.69,,41.51,20.11,,59.49,45.66,,67.18,49.65,,73.45,54.33,,12.48,10.36,,21.57,18.67,,22.01,18.67,,11.25,9.75,,16.86,19.32,,9.38,9.18,,8.1,17.4,,34.12,39.77,,9,8.89,,28.46,19.88,,0.67,0.75,,18.35,27.92,,13.32,39.4,,8.21,23.34,,2.44,4.17,,39.12,32.63,,0.21,,,14.88,7.85,,,0.82,,8.75,10.29,,6.43,9.53,,30.23,36.77,,,430.18,,19.86,16.15,,86.39,62.34,,94.92,93.47,,96.88,96.48,,99.55,98.92,,0.47,0.36
2303105,Cariré,,49.93,40.64,,19.73,7.55,,37.3,17.81,,57.55,48.97,,59.75,44.99,,66.6,63.85,,6.37,6.26,,9.16,13.04,,12.21,10.63,,5.72,5.91,,12.15,10.93,,4.98,9.02,,10.79,20.84,,29.13,35.16,,3.37,2.17,,16.96,19.7,,0.77,0.21,,15.24,26.14,,12.67,41.33,,7.47,24.83,,1.58,4.98,,57.39,37.08,,,0.08,,7.23,10.56,,0.23,0.71,,2.99,6.78,,5.83,10.18,,26.18,31.75,,,337.47,,39.05,24.7,,90.73,72.05,,96.78,94.83,,97.95,97.36,,99.01,98.96,,0.62,0.49
2303204,Caririaçu,,56.13,54.84,,29.12,21.32,,56.02,46.2,,62.74,62.38,,71.66,64.54,,70.46,72.5,,8.96,6.91,,9.05,8.32,,18.58,11.01,,7.66,6.49,,14.62,15.92,,11.16,8.04,,8.28,12.7,,18.59,25.72,,7.13,10.67,,36.9,24.71,,0.77,0.33,,15.91,24.99,,13.05,33.62,,7.08,20.16,,1.56,5.27,,57.28,43.41,,,,,3.84,2.68,,0.11,1.51,,4.89,8.68,,7.81,9.54,,25.61,28.31,,,363.3,,28.28,31.85,,89.41,73.35,,97.43,93.07,,98.56,96.25,,99.45,98.39,,0.59,0.59
2303303,Cariús,,47.9,40.17,,20.09,9.02,,41.88,25.04,,54.14,46.15,,52.95,49.48,,58.11,59.03,,6.11,4.72,,7.03,11.52,,7.28,12.21,,5.95,4.13,,14.49,7.13,,11.36,5.37,,8.06,12.44,,19.07,27.94,,1.41,2.69,,19.2,26.78,,1.06,0.08,,10.43,18.2,,15.03,39.47,,6.81,23.23,,0.33,3.18,,64.72,51.58,,0.22,0.71,,2.3,2.7,,,0.41,,4.43,5.36,,4.71,10.32,,23.13,27.92,,,321.4,,51.2,33.1,,90.04,70.63,,96.29,95.34,,98.15,97.85,,99.24,99.1,,0.61,0.43
2303402,Carnaubal,,43.26,48.77,,14.64,9.74,,40.04,32.14,,51.18,58.33,,58,53.98,,52.82,69.72,,12.44,3.37,,13.19,17.24,,13.94,8.13,,12.21,2.6,,15.94,6.72,,11.7,4.69,,10.72,13.02,,26.42,38.12,,5.78,0.8,,26.59,26.68,,0.99,1.07,,18.28,16.4,,19.01,33.87,,12.58,19.54,,5.91,4.71,,48.86,51.88,,0.32,0.24,,4.32,3.07,,0.33,0.79,,6.48,5.97,,8.32,10.61,,30.97,26.04,,,314.98,,29.52,28.68,,85.82,76.37,,94.32,94.46,,95.06,97.17,,97.03,99.22,,0.58,0.55
2303501,Cascavel,,51.05,50.46,,9.48,7.32,,34.53,21.17,,60.01,59.87,,65.86,66.11,,70.58,70.16,,16.38,9.26,,42.9,13.41,,33.51,23.54,,14.63,8.66,,22.89,18.26,,15.82,10.3,,25.97,26.56,,35.13,35.31,,3.81,4.34,,28.14,23.96,,0.96,1.27,,33.05,34.49,,26.32,48.21,,13.02,28.99,,0.99,4.48,,22.91,21.25,,0.07,0.08,,26.27,20.04,,0.15,0.46,,6.37,7.06,,11.62,15.36,,32.02,31.05,,,557.06,,6.03,10.18,,81.1,47.84,,94.28,90.97,,96.63,94.87,,98.65,98.13,,0.69,0.39
2303600,Catarina,,47.61,46.36,,14.38,12.98,,44.19,33.23,,55.46,51.29,,60.7,50.2,,59.9,58.27,,15.11,17.95,,21.53,50.71,,28.52,31.27,,13.32,16.33,,26.38,34.09,,17.69,19.16,,2.82,7.97,,19.23,35.08,,3.61,4.38,,25.23,32.72,,2.48,1.43,,7.43,15.58,,14.9,41.69,,6.85,27.27,,0.35,5.35,,64.13,42.9,,,,,2.91,1.56,,,1.01,,2.8,6.64,,9.13,14.92,,20.85,31.47,,,465.85,,47.13,20.67,,87.65,71.8,,96.99,93.64,,97.71,96.64,,99.19,98.34,,0.39,0.53
2303659,Catunda,,56.76,39.59,,31.46,6.17,,56.4,25.59,,62.93,46.59,,62.61,43.89,,68.95,46.52,,3.33,5.45,,2.82,,,4.35,10.32,,3.27,5.3,,4.36,14.83,,4.97,7.91,,2.42,6.25,,21.94,37.54,,10.61,13.09,,28.56,22.83,,1.04,0.32,,13.96,21.93,,12.53,44.3,,6.43,27.5,,0.86,6.56,,50.75,34.85,,,,,14.34,8.78,,0.17,0.82,,4.05,7.58,,6.98,11.14,,22.8,34.74,,,369.57,,35.8,20.89,,93.01,79.18,,98.33,92.87,,99.17,96.02,,99.84,97.87,,0.64,0.7
2303709,Caucaia,,50.46,52.97,,4.84,4.94,,27.05,18.97,,62.18,63.97,,62.11,61.55,,70.14,73.69,,20.41,9.09,,41.78,18.87,,41.82,26.54,,19.03,8.47,,30.42,17.75,,17.77,8.85,,36.29,42.79,,31.18,30.44,,4.83,3.06,,24.37,20.02,,1.16,0.83,,43.7,48.25,,41.35,60.36,,23.28,40,,1.81,5.18,,6.79,5.41,,0.21,0.32,,15.9,16.4,,0.37,1.28,,10.81,10.48,,16.56,18.54,,45.18,42.02,,,738.42,,2.34,3.35,,60.68,26.41,,87.19,85.19,,93.33,93,,97.49,97.16,,0.44,0.28
