Código,Espacialidades,IDHM Educação 1991,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 1991,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 1991,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,% de 5 a 6 anos na escola 1991,% de 5 a 6 anos na escola 2000,% de 5 a 6 anos na escola 2010,% de 11 a 13 anos nos anos finais do fundamental REGULAR SERIADO ou com fundamental completo 1991,% de 11 a 13 anos nos anos finais do fundamental REGULAR SERIADO ou com fundamental completo 2000,% de 11 a 13 anos nos anos finais do fundamental REGULAR SERIADO ou com fundamental completo 2010,% de 18 a 20 anos com médio completo 1991,% de 18 a 20 anos com médio completo 2000,% de 18 a 20 anos com médio completo 2010,% de 15 a 17 anos com fundamental completo 1991,% de 15 a 17 anos com fundamental completo 2000,% de 15 a 17 anos com fundamental completo 2010,% de 18 anos ou mais com fundamental completo 1991,% de 18 anos ou mais com fundamental completo 2000,% de 18 anos ou mais com fundamental completo 2010
76,Brasil,0.279,0.456,0.637,0.268,0.488,0.686,0.301,0.398,0.549,37.3,71.47,91.12,36.84,59.13,84.86,12.98,24.82,41.01,20.01,39.72,57.24,30.09,39.76,54.92
2300101,Abaiara,0.103,0.283,0.612,0.118,0.373,0.751,0.078,0.163,0.406,26.79,89.45,98.49,8.13,37.76,90.87,4.93,8.61,48.6,7.48,13.4,62.49,7.84,16.25,40.56
2300150,Acarape,0.179,0.383,0.562,0.196,0.466,0.643,0.149,0.259,0.429,43.16,89.7,98.29,21.12,53.28,86.77,5.1,14.34,23.6,8.89,28.94,48.68,14.86,25.88,42.87
2300200,Acaraú,0.089,0.22,0.517,0.104,0.312,0.655,0.066,0.109,0.322,24.18,82.34,99.2,13.15,28.8,87.85,2.1,3.89,24.92,2.26,9.62,50.1,6.55,10.88,32.15
2300309,Acopiara,0.077,0.22,0.517,0.085,0.305,0.677,0.064,0.114,0.302,21.53,66.62,96.47,8.11,35.02,88.55,1.08,6.06,25.56,3.45,14.31,60.04,6.37,11.37,30.15
2300408,Aiuaba,0.081,0.196,0.474,0.106,0.287,0.624,0.048,0.091,0.274,27.78,79.89,96.02,6.32,26.46,83.85,2.14,1.49,23.07,6.08,6.91,46.7,4.76,9.11,27.35
2300507,Alcântaras,0.122,0.262,0.524,0.157,0.371,0.652,0.074,0.13,0.339,47.62,93.48,98.59,7.74,36.64,87.45,3.09,3.23,29.25,4.26,15.2,45.46,7.38,12.97,33.93
2300606,Altaneira,0.122,0.228,0.515,0.149,0.337,0.659,0.081,0.105,0.314,45.36,87.18,92.78,6.94,32.85,88.33,4.49,5.62,31.54,2.77,9.21,50.77,8.12,10.51,31.41
2300705,Alto Santo,0.097,0.229,0.499,0.106,0.3,0.631,0.08,0.133,0.312,23.44,69.95,98.04,8.83,31.75,84.2,4.4,4.14,26.7,5.57,14.1,43.58,7.99,13.34,31.15
2300754,Amontada,0.062,0.259,0.582,0.071,0.342,0.71,0.048,0.149,0.391,21.76,79.07,96.47,6.26,39.61,87.05,,5.52,37.76,0.54,12.4,62.85,4.76,14.88,39.1
