Código,Espacialidades,Mortalidade infantil 1991,Mortalidade infantil 2000,Mortalidade infantil 2010,Taxa de fecundidade total 1991,Taxa de fecundidade total 2000,Taxa de fecundidade total 2010,Taxa de envelhecimento 1991,Taxa de envelhecimento 2000,Taxa de envelhecimento 2010
2304954,Guaiúba,51.45,38.23,23.4,4.12,3.24,2.13,4.83,5.68,6.66
2305001,Guaraciaba do Norte,72.46,45.38,22,4.66,4.17,2.82,6.5,7.22,8.65
2305100,Guaramiranga,53.57,42.86,29.1,3.86,3.65,2.33,6.11,7.05,7.88
2305209,Hidrolândia,70.87,41.14,22.3,4.72,2.53,2.5,6.85,9.05,11
2305233,Horizonte,65.69,42.21,20.1,4.37,3,1.94,5.11,4.84,5.23
2305266,Ibaretama,85.83,53.37,25,4.88,4.09,2.65,6.4,7.1,8.23
2305308,Ibiapina,67.85,44.8,23.5,6.51,3.52,2.45,5.91,7.46,8.96
2305332,Ibicuitinga,65.6,36.95,25,4.86,3.31,2.2,5.35,6.37,8.49
2305357,Icapuí,71.33,55.64,25.2,4.13,2.68,1.93,4.9,5.14,6.57
2305407,Icó,70.97,59.91,30,4.32,3.1,2.06,5.33,6.7,8.82
2305506,Iguatu,56.93,37.78,17.2,3.16,2.75,1.94,6.28,7.23,8.95
2305605,Independência,60.42,36.88,25,3.7,2.54,2.15,6.95,8.6,10.41
2305654,Ipaporanga,70.87,40.38,23.8,4.04,3.21,2.66,7.44,9.47,11.22
2305704,Ipaumirim,71.33,52.72,30.5,3.96,3.09,2.02,7.65,8.24,10.68
2305803,Ipu,56.93,37.16,24.5,3.88,3.86,2.33,7.43,8.53,10.2
2305902,Ipueiras,81.22,49.42,29.2,5.97,4.42,2.41,6.98,8.11,9.73
2306009,Iracema,68.01,46.24,29.7,3.97,2.53,1.91,6.58,8.4,9.51
2306108,Irauçuba,73.01,43.77,25.6,4.95,4.29,2.38,5.3,6.32,7.46
2306207,Itaiçaba,80.39,55.64,25,4.43,2.58,1.69,9.14,9.17,10.37
2306256,Itaitinga,66.12,41.94,23.4,4.56,2.98,1.86,4.47,5.06,5.63
2306306,Itapagé,74.45,46.97,24.8,4.03,3.23,2.54,5.54,6.05,7.21
2306405,Itapipoca,48.88,38.89,24.6,6.58,3.56,2.6,5.4,6.37,7.03
2306504,Itapiúna,65.87,38.89,22.3,5.2,3.55,2.48,6.58,7.45,8.38
2306553,Itarema,71.33,51.78,25.9,6.44,4.92,2.6,4.75,5.52,6.4
2306603,Itatira,92.36,56.31,27.1,5.2,4.64,2.82,6.2,7.44,8.38
2306702,Jaguaretama,52.44,38.83,22.1,3.58,3.2,2.5,6.68,8.03,9.56
2306801,Jaguaribara,52.44,38.83,29.2,4.02,2.99,2.16,6.83,7.39,8.82
2306900,Jaguaribe,52.44,38.83,24.7,3.73,2.79,2.13,7.05,8.07,9.91
2307007,Jaguaruana,54.9,34.6,21.6,3.78,2.59,1.94,6.87,6.95,7.89
2307106,Jardim,55.51,42.86,21.6,4.52,2.97,2.09,6,6.45,8.88
2307205,Jati,62.62,42.22,22,5.82,3.01,2.13,6.39,7.57,10.07
2307254,Jijoca de Jericoacoara,84.76,54.9,31.7,5.24,3.76,2,4.96,4.91,5.49
2307304,Juazeiro do Norte,61.43,40.94,18.12,3.8,2.64,2.25,6.19,6.67,7.54
2307403,Jucás,76.42,59.08,22.7,4.23,3.57,2.48,7.15,7.67,10.27
2307502,Lavras da Mangabeira,63.7,40.53,21.8,3.61,3.13,2.25,7.3,8.49,10.68
2307601,Limoeiro do Norte,48.1,26.94,17.9,2.96,2.2,2.03,6.01,6.59,7.55
2307635,Madalena,68.7,43.61,21.8,4.88,4.21,2.53,6.41,7.33,7.91
2307650,Maracanaú,52.03,31.29,20.2,3.47,2.62,1.81,2.66,3.61,4.99
2307700,Maranguape,63.85,35.99,20.2,3.42,2.76,2.03,5.04,5.68,6.65
2307809,Marco,85.84,54.74,29.4,5.45,4.71,2.79,4.55,5.63,6.26
2307908,Martinópole,98.91,63.28,24.8,5,4.45,2.96,5.95,6.06,7.76
2308005,Massapê,73.01,47.85,21.7,4.79,4.23,2.32,6.54,6.94,7.62
2308104,Mauriti,57.17,37.93,22.7,5.74,3.75,2.3,5.63,6.46,7.86
2308203,Meruoca,73.96,51.09,24.5,5.59,2.93,2.02,6.85,8.1,9.17
2308302,Milagres,60.76,42.98,21.9,4.79,3.01,1.9,5.85,6.84,9.36
2308351,Milhã,69.03,49.65,20.9,3.78,2.61,2.13,8.1,8.87,11.5
2308377,Miraíma,73.01,47.85,21.7,4.88,4.08,3.18,6.86,6.8,7.8
2308401,Missão Velha,68.74,52.65,25.9,4.45,3.63,2.4,6.55,7.17,8.61
2308500,Mombaça,78.19,49.02,29.3,5.26,3.3,2.75,6.69,7.85,9.82
2308609,Monsenhor Tabosa,70.87,40.38,22.6,3.45,3.43,2.73,5.97,7.64,9.02
