id,Localidade,idh
2300101,Abaiara,452
2300150,Acarape,490
2300200,Acaraú,415
2300309,Acopiara,412
2300408,Aiuaba,365
2300507,Alcântaras,422
2300606,Altaneira,417
2300705,Alto Santo,438
2300754,Amontada,423
2300804,Antonina do Norte,431
2300903,Apuiarés,431
2301000,Aquiraz,499
2301109,Aracati,523
2301208,Aracoiaba,451
2301257,Ararendá,437
2301307,Araripe,371
2301406,Aratuba,453
2301505,Arneiroz,419
2301604,Assaré,370
2301703,Aurora,435
2301802,Baixio,452
2301851,Banabuiú,456
2301901,Barbalha,517
2301950,Barreira,463
2302008,Barro,442
2302057,Barroquinha,356
2302107,Baturité,488
2302206,Beberibe,455
2302305,Bela Cruz,406
2302404,Boa Viagem,419
2302503,Brejo Santo,503
2302602,Camocim,462
2302701,Campos Sales,471
2302800,Canindé,448
2302909,Capistrano,457
2303006,Caridade,421
2303105,Cariré,416
2303204,Caririaçu,392
2303303,Cariús,438
2303402,Carnaubal,419
2303501,Cascavel,493
2303600,Catarina,412
2303659,Catunda,427
2303709,Caucaia,555
2303808,Cedro,473
2303907,Chaval,398
2303931,Choró,380
2303956,Chorozinho,437
2304004,Coreaú,406
2304103,Crateús,503
2304202,Crato,577
2304236,Croatá,372
2304251,Cruz,435
2304269,Deputado Irapuan Pi,449
2304277,Ererê,433
2304285,Eusébio,507
2304301,Farias Brito,447
2304350,Forquilha,464
2304400,Fortaleza,652
2304459,Fortim,480
2304509,Frecheirinha,450
2304608,General Sampaio,392
2304657,Graça,381
2304707,Granja,371
2304806,Granjeiro,372
2304905,Groaíras,451
2304954,Guaiúba,454
2305001,Guaraciaba do Norte,430
2305100,Guaramiranga,500
2305209,Hidrolândia,424
2305233,Horizonte,493
2305266,Ibaretama,406
2305308,Ibiapina,451
2305332,Ibicuitinga,451
2305357,Icapuí,478
2305407,Icó,445
2305506,Iguatu,546
2305605,Independência,495
2305654,Ipaporanga,409
2305704,Ipaumirim,444
2305803,Ipu,473
2305902,Ipueiras,401
2306009,Iracema,499
2306108,Irauçuba,428
2306207,Itaiçaba,496
2306256,Itaitinga,475
2306306,Itapajé,459
2306405,Itapipoca,477
2306504,Itapiúna,479
2306553,Itarema,389
2306603,Itatira,362
2306702,Jaguaretama,445
2306801,Jaguaribara,468
2306900,Jaguaribe,518
2307007,Jaguaruana,498
2307106,Jardim,439
2307205,Jati,474
2307254,Jijoca de Jericoaco,422
2307304,Juazeiro do Norte,544
2307403,Jucás,441
2307502,Lavras da Mangabeir,460
2307601,Limoeiro do Norte,561
2307635,Madalena,443
2307650,Maracanaú,575
2307700,Maranguape,524
2307809,Marco,446
2307908,Martinópole,407
2308005,Massapê,423
2308104,Mauriti,445
2308203,Meruoca,440
2308302,Milagres,450
2308351,Milhã,466
2308377,Miraíma,394
2308401,Missão Velha,444
2308500,Mombaça,399
2308609,Monsenhor Tabosa,437
2308708,Morada Nova,485
2308807,Moraújo,386
2308906,Morrinhos,415
2309003,Mucambo,458
2309102,Mulungu,480
2309201,Nova Olinda,451
2309300,Nova Russas,459
2309409,Novo Oriente,422
2309458,Ocara,434
2309508,Orós,465
2309607,Pacajus,508
2309706,Pacatuba,533
2309805,Pacoti,484
2309904,Pacujá,486
2310001,Palhano,492
2310100,Palmácia,497
2310209,Paracuru,457
2310258,Paraipaba,495
2310308,Parambu,387
2310407,Paramoti,405
2310506,Pedra Branca,420
2310605,Penaforte,530
2310704,Pentecoste,467
2310803,Pereiro,445
2310852,Pindoretama,493
2310902,Piquet Carneiro,427
2310951,Pires Ferreira,393
2311009,Poranga,401
2311108,Porteiras,477
2311207,Potengi,396
2311231,Potiretama,425
2311264,Quiterianópolis,405
2311306,Quixadá,524
2311355,Quixelô,367
2311405,Quixeramobim,482
2311504,Quixeré,475
2311603,Redenção,478
2311702,Reriutaba,454
2311801,Russas,527
2311900,Saboeiro,374
2311959,Salitre,326
2312007,Santana do Acaraú,431
2312106,Santana do Cariri,424
2312205,Santa Quitéria,431
2312304,São Benedito,433
2312403,São Gonçalo do Amar,459
2312502,São João do Jaguari,523
2312601,São Luís do Curu,506
2312700,Senador Pompeu,487
2312809,Senador Sá,377
2312908,Sobral,537
2313005,Solonópole,454
2313104,Tabuleiro do Norte,522
2313203,Tamboril,385
2313252,Tarrafas,377
2313302,Tauá,477
2313351,Tejuçuoca,421
2313401,Tianguá,460
2313500,Trairi,420
2313559,Tururu,418
2313609,Ubajara,464
2313708,Umari,419
2313757,Umirim,395
2313807,Uruburetama,456
2313906,Uruoca,394
2313955,Varjota,459
2314003,Várzea Alegre,462
2314102,Viçosa do Ceará,369
