"id","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"2306553","IDH","Itarema","0.249","0.389","0.606","",""
"2306603","IDH","Itatira","0.208","0.362","0.562","",""
"2306702","IDH","Jaguaretama","0.305","0.445","0.612","",""
"2306801","IDH","Jaguaribara","0.361","0.468","0.618","",""
"2306900","IDH","Jaguaribe","0.370","0.518","0.621","",""
"2307007","IDH","Jaguaruana","0.355","0.498","0.624","",""
"2307106","IDH","Jardim","0.304","0.439","0.614","",""
"2307205","IDH","Jati","0.327","0.474","0.651","",""
"2307254","IDH","Jijoca de Jericoacoara","0.189","0.422","0.652","",""
"2307304","IDH","Juazeiro do Norte","0.419","0.544","0.694","",""
"2307403","IDH","Jucás","0.246","0.441","0.598","",""
"2307502","IDH","Lavras da Mangabeira","0.336","0.460","0.613","",""
"2307601","IDH","Limoeiro do Norte","0.433","0.561","0.682","",""
"2307635","IDH","Madalena","0.287","0.443","0.610","",""
"2307650","IDH","Maracanaú","0.420","0.575","0.686","",""
"2307700","IDH","Maranguape","0.369","0.524","0.659","",""
"2307809","IDH","Marco","0.306","0.446","0.612","",""
"2307908","IDH","Martinópole","0.275","0.407","0.599","",""
"2308005","IDH","Massapê","0.298","0.423","0.616","",""
"2308104","IDH","Mauriti","0.278","0.445","0.605","",""
"2308203","IDH","Meruoca","0.306","0.440","0.618","",""
"2308302","IDH","Milagres","0.327","0.450","0.628","",""
"2308351","IDH","Milhã","0.282","0.466","0.626","",""
"2308377","IDH","Miraíma","0.269","0.394","0.592","",""
"2308401","IDH","Missão Velha","0.302","0.444","0.622","",""
"2308500","IDH","Mombaça","0.269","0.399","0.582","",""
"2308609","IDH","Monsenhor Tabosa","0.306","0.437","0.610","",""
"2308708","IDH","Morada Nova","0.335","0.485","0.610","",""
"2308807","IDH","Moraújo","0.323","0.386","0.581","",""
"2308906","IDH","Morrinhos","0.296","0.415","0.588","",""
"2309003","IDH","Mucambo","0.291","0.458","0.607","",""
"2309102","IDH","Mulungu","0.342","0.480","0.607","",""
"2309201","IDH","Nova Olinda","0.313","0.451","0.625","",""
"2309300","IDH","Nova Russas","0.324","0.459","0.614","",""
"2309409","IDH","Novo Oriente","0.284","0.422","0.605","",""
