id,Localidade,2010
2300101,Abaiara,0.628
2300150,Acarape,0.606
2300200,Acaraú,0.601
2300309,Acopiara,0.595
2300408,Aiuaba,0.569
2300507,Alcântaras,0.6
2300606,Altaneira,0.602
2300705,Alto Santo,0.601
2300754,Amontada,0.606
2300804,Antonina do Norte,0.599
2300903,Apuiarés,0.618
2301000,Aquiraz,0.6409999999999999
2301109,Aracati,0.655
2301208,Aracoiaba,0.615
2301257,Ararendá,0.59
2301307,Araripe,0.564
2301406,Aratuba,0.622
2301505,Arneiroz,0.618
2301604,Assaré,0.6
2301703,Aurora,0.605
2301802,Baixio,0.627
2301851,Banabuiú,0.606
2301901,Barbalha,0.6829999999999999
2301950,Barreira,0.616
2302008,Barro,0.599
2302057,Barroquinha,0.5710000000000001
2302107,Baturité,0.619
2302206,Beberibe,0.638
2302305,Bela Cruz,0.623
2302404,Boa Viagem,0.598
2302503,Brejo Santo,0.647
2302602,Camocim,0.62
2302701,Campos Sales,0.63
2302800,Canindé,0.612
2302909,Capistrano,0.611
2303006,Caridade,0.5920000000000001
2303105,Cariré,0.596
2303204,Caririaçu,0.578
2303303,Cariús,0.597
2303402,Carnaubal,0.593
2303501,Cascavel,0.6459999999999999
2303600,Catarina,0.618
2303659,Catunda,0.609
2303709,Caucaia,0.682
2303808,Cedro,0.627
2303907,Chaval,0.586
2303931,Choró,0.585
2303956,Chorozinho,0.604
2304004,Coreaú,0.61
2304103,Crateús,0.644
2304202,Crato,0.713
2304236,Croatá,0.59
2304251,Cruz,0.632
2304269,Deputado Irapuan Pinheiro,0.609
2304277,Ererê,0.61
2304285,Eusébio,0.701
2304301,Farias Brito,0.633
2304350,Forquilha,0.644
2304400,Fortaleza,0.754
2304459,Fortim,0.624
2304509,Frecheirinha,0.604
2304608,General Sampaio,0.568
2304657,Graça,0.57
2304707,Granja,0.5589999999999999
2304806,Granjeiro,0.585
2304905,Groaíras,0.633
2304954,Guaiúba,0.617
2305001,Guaraciaba do Norte,0.609
2305100,Guaramiranga,0.637
