Localidade,pib,id,log_pib
Abaiara,10025,2300101,4.001084
Acarape,26418,2300150,4.4219
Acaraú,70664,2300200,4.849198
Acopiara,62878,2300309,4.798499
Aiuaba,16737,2300408,4.223678
Alcântaras,8529,2300507,3.930898
Altaneira,6378,2300606,3.804685
Alto Santo,33936,2300705,4.530661
Amontada,51391,2300754,4.710887
Antonina do Norte,6612,2300804,3.820333
Apuiarés,13701,2300903,4.136752
Aquiraz,174824,2301000,5.242601
Aracati,155056,2301109,5.190489
Aracoiaba,31551,2301208,4.499013
Ararendá,14934,2301257,4.174176
Araripe,23783,2301307,4.376267
Aratuba,17889,2301406,4.252586
Arneiroz,10930,2301505,4.03862
Assaré,24543,2301604,4.389928
Aurora,31043,2301703,4.491964
Baixio,8753,2301802,3.942157
Banabuiú,23386,2301851,4.368956
Barbalha,103641,2301901,5.015532
Barreira,29811,2301950,4.474377
Barro,26116,2302008,4.416907
Barroquinha,15285,2302057,4.184265
Baturité,43935,2302107,4.642811
Beberibe,56842,2302206,4.754669
Bela Cruz,37911,2302305,4.578765
Boa Viagem,64187,2302404,4.807447
Brejo Santo,72434,2302503,4.859942
Camocim,83978,2302602,4.924166
Campos Sales,34177,2302701,4.533734
Canindé,135602,2302800,5.132266
Capistrano,18611,2302909,4.26977
Caridade,26160,2303006,4.417638
Cariré,20862,2303105,4.319356
Caririaçu,25483,2303204,4.406251
Cariús,18580,2303303,4.269046
Carnaubal,17932,2303402,4.253629
Cascavel,127482,2303501,5.105449
Catarina,13283,2303600,4.123296
Catunda,12817,2303659,4.107786
Caucaia,541300,2303709,5.733438
Cedro,33595,2303808,4.526275
Chaval,12896,2303907,4.110455
Choró,14151,2303931,4.150787
Chorozinho,27487,2303956,4.439127
Coreaú,20339,2304004,4.30833
Crateús,119442,2304103,5.077157
Crato,246790,2304202,5.392328
Croatá,19101,2304236,4.281056
Cruz,28162,2304251,4.449663
Deputado Irapuan Pin,10744,2304269,4.031166
Ererê,8144,2304277,3.910838
Eusébio,270109,2304285,5.431539
Farias Brito,21878,2304301,4.340008
Forquilha,21967,2304350,4.341771
Fortaleza,10390204,2304400,7.016624
Fortim,32764,2304459,4.515397
Frecheirinha,15144,2304509,4.180241
General Sampaio,7261,2304608,3.860996
Graça,14234,2304657,4.153327
Granja,44783,2304707,4.651113
Granjeiro,5965,2304806,3.77561
Groaíras,10076,2304905,4.003288
Guaiúba,20390,2304954,4.309417
Guaraciaba do Norte,46719,2305001,4.669494
Guaramiranga,12442,2305100,4.09489
Hidrolândia,24224,2305209,4.384246
Horizonte,204933,2305233,5.311612
Ibaretama,15791,2305266,4.19841
Ibiapina,42686,2305308,4.630285
Ibicuitinga,11737,2305332,4.069557
Icapuí,41238,2305357,4.615298
Icó,76037,2305407,4.881025
Iguatu,201866,2305506,5.305063
Independência,34196,2305605,4.533975
Ipaporanga,13188,2305654,4.120179
Ipaumirim,15511,2305704,4.19064
Ipu,53311,2305803,4.726817
Ipueiras,39994,2305902,4.601995
Iracema,18654,2306009,4.270772
Irauçuba,23199,2306108,4.365469
Itaiçaba,11655,2306207,4.066512
Itaitinga,37735,2306256,4.576744
Itapajé,70787,2306306,4.849954
Itapipoca,162290,2306405,5.210292
Itapiúna,18927,2306504,4.277082
Itarema,53402,2306553,4.727558
Itatira,22173,2306603,4.345824
Jaguaretama,31903,2306702,4.503832
Jaguaribara,16168,2306801,4.208656
Jaguaribe,67619,2306900,4.830069
Jaguaruana,56315,2307007,4.750624
Jardim,26663,2307106,4.425909
Jati,10319,2307205,4.013638
Jijoca de Jericoacoa,14478,2307254,4.160709
Juazeiro do Norte,421153,2307304,5.62444
Jucás,25268,2307403,4.402571
Lavras da Mangabeira,37925,2307502,4.578926
Limoeiro do Norte,117058,2307601,5.068401
Madalena,18800,2307635,4.274158
Maracanaú,1200381,2307650,6.079319
Maranguape,184731,2307700,5.26654
Marco,28773,2307809,4.458985
Martinópole,8541,2307908,3.931509
Massapê,31672,2308005,4.500675
Mauriti,55049,2308104,4.740749
Meruoca,12798,2308203,4.107142
Milagres,39019,2308302,4.591276
Milhã,17399,2308351,4.240524
Miraíma,12738,2308377,4.105101
Missão Velha,38638,2308401,4.587015
Mombaça,50737,2308500,4.705325
Monsenhor Tabosa,18567,2308609,4.268742
Morada Nova,123666,2308708,5.09225
Moraújo,8549,2308807,3.931915
Morrinhos,21139,2308906,4.325084
Mucambo,13427,2309003,4.127979
Mulungu,10967,2309102,4.040088
Nova Olinda,16736,2309201,4.223652
Nova Russas,48017,2309300,4.681395
Novo Oriente,32472,2309409,4.511509
Ocara,26168,2309458,4.417771
Orós,35406,2309508,4.549077
Pacajus,234132,2309607,5.369461
Pacatuba,90996,2309706,4.959022
Pacoti,17037,2309805,4.231393
Pacujá,5698,2309904,3.755722
Palhano,10122,2310001,4.005266
Palmácia,12017,2310100,4.079796
Paracuru,60342,2310209,4.78062
Paraipaba,41464,2310258,4.617671
Parambu,37511,2310308,4.574159
Paramoti,13513,2310407,4.130752
Pedra Branca,39905,2310506,4.601027
Penaforte,9986,2310605,3.999392
Pentecoste,38477,2310704,4.585201
Pereiro,17324,2310803,4.238648
Pindoretama,21165,2310852,4.325618
Piquet Carneiro,15679,2310902,4.195318
Pires Ferreira,13965,2310951,4.145041
Poranga,12347,2311009,4.091561
Porteiras,18470,2311108,4.266467
Potengi,10488,2311207,4.020693
Potiretama,8673,2311231,3.938169
Quiterianópolis,20308,2311264,4.307667
Quixadá,126398,2311306,5.10174
Quixelô,24006,2311355,4.38032
Quixeramobim,99488,2311405,4.997771
Quixeré,22792,2311504,4.357782
Redenção,47704,2311603,4.678555
Reriutaba,23988,2311702,4.379994
Russas,116529,2311801,5.066434
Saboeiro,18497,2311900,4.267101
Salitre,16597,2311959,4.22003
Santana do Acaraú,34344,2312007,4.535851
Santana do Cariri,22131,2312106,4.345001
Santa Quitéria,68931,2312205,4.838415
São Benedito,51636,2312304,4.712953
São Gonçalo do Amara,66162,2312403,4.820609
São João do Jaguarib,14879,2312502,4.172574
São Luís do Curu,14017,2312601,4.146655
Senador Pompeu,34990,2312700,4.543944
Senador Sá,6444,2312809,3.809156
Sobral,696185,2312908,5.842725
Solonópole,29866,2313005,4.475177
Tabuleiro do Norte,45566,2313104,4.658641
Tamboril,30470,2313203,4.483872
Tarrafas,8244,2313252,3.916138
Tauá,74045,2313302,4.869496
Tejuçuoca,12667,2313351,4.102674
Tianguá,100573,2313401,5.002481
Trairi,73178,2313500,4.864381
Tururu,13317,2313559,4.124406
Ubajara,42698,2313609,4.630408
Umari,8939,2313708,3.951289
Umirim,18459,2313757,4.266208
Uruburetama,22390,2313807,4.350054
Uruoca,11112,2313906,4.045792
Varjota,18814,2313955,4.274481
Várzea Alegre,43878,2314003,4.642247
Viçosa do Ceará,46143,2314102,4.664106
