Localidade,pib,id
Abaiara,29331,2300101
Acarape,50533,2300150
Acaraú,218401,2300200
Acopiara,156563,2300309
Aiuaba,48338,2300408
Alcântaras,29028,2300507
Altaneira,19654,2300606
Alto Santo,65152,2300705
Amontada,174615,2300754
Antonina do Norte,24090,2300804
Apuiarés,42157,2300903
Aquiraz,497878,2301000
Aracati,443745,2301109
Aracoiaba,87487,2301208
Ararendá,34630,2301257
Araripe,82420,2301307
Aratuba,54756,2301406
Arneiroz,30262,2301505
Assaré,68968,2301604
Aurora,81911,2301703
Baixio,21216,2301802
Banabuiú,83380,2301851
Barbalha,292083,2301901
Barreira,70526,2301950
Barro,73636,2302008
Barroquinha,52457,2302057
Baturité,119789,2302107
Beberibe,195010,2302206
Bela Cruz,98379,2302305
Boa Viagem,198611,2302404
Brejo Santo,163669,2302503
Camocim,239877,2302602
Campos Sales,88908,2302701
Canindé,315323,2302800
Capistrano,50859,2302909
Caridade,59627,2303006
Cariré,60853,2303105
Caririaçu,78543,2303204
Cariús,52351,2303303
Carnaubal,55066,2303402
Cascavel,372206,2303501
Catarina,44886,2303600
Catunda,38082,2303659
Caucaia,1973210,2303709
Cedro,81781,2303808
Chaval,40453,2303907
Choró,37676,2303931
Chorozinho,71679,2303956
Coreaú,63347,2304004
Crateús,317687,2304103
Crato,654221,2304202
Croatá,67733,2304236
Cruz,77698,2304251
Deputado Irapuan Pin,33126,2304269
Ererê,23209,2304277
Eusébio,941606,2304285
Farias Brito,59642,2304301
Forquilha,77913,2304350
Fortaleza,28769259,2304400
Fortim,60289,2304459
Frecheirinha,45899,2304509
General Sampaio,25300,2304608
Graça,43498,2304657
Granja,145363,2304707
Granjeiro,18513,2304806
Groaíras,29838,2304905
Guaiúba,73833,2304954
Guaraciaba do Norte,172095,2305001
Guaramiranga,23888,2305100
Hidrolândia,77247,2305209
Horizonte,843406,2305233
Ibaretama,46226,2305266
Ibiapina,132463,2305308
Ibicuitinga,38499,2305332
Icapuí,150934,2305357
Icó,215823,2305407
Iguatu,539250,2305506
Independência,99007,2305605
Ipaporanga,32690,2305654
Ipaumirim,40560,2305704
Ipu,141690,2305803
Ipueiras,126173,2305902
Iracema,55802,2306009
Irauçuba,71141,2306108
Itaiçaba,27340,2306207
Itaitinga,135258,2306256
Itapajé,234548,2306306
Itapipoca,495764,2306405
Itapiúna,59445,2306504
Itarema,171525,2306553
Itatira,73755,2306603
Jaguaretama,82656,2306702
Jaguaribara,46233,2306801
Jaguaribe,185928,2306900
Jaguaruana,184926,2307007
Jardim,83430,2307106
Jati,25968,2307205
Jijoca de Jericoacoa,57979,2307254
Juazeiro do Norte,1413194,2307304
Jucás,70521,2307403
Lavras da Mangabeira,96157,2307502
Limoeiro do Norte,492660,2307601
Madalena,68104,2307635
Maracanaú,3142945,2307650
Maranguape,646870,2307700
Marco,96870,2307809
Martinópole,26742,2307908
Massapê,113754,2308005
Mauriti,156520,2308104
Meruoca,35672,2308203
Milagres,87618,2308302
Milhã,53755,2308351
Miraíma,34052,2308377
Missão Velha,116089,2308401
Mombaça,139409,2308500
Monsenhor Tabosa,56026,2308609
Morada Nova,321511,2308708
Moraújo,24599,2308807
Morrinhos,60420,2308906
Mucambo,42957,2309003
Mulungu,52791,2309102
Nova Olinda,46372,2309201
Nova Russas,119751,2309300
Novo Oriente,91219,2309409
Ocara,71180,2309458
Orós,85570,2309508
Pacajus,416828,2309607
Pacatuba,457229,2309706
Pacoti,45037,2309805
Pacujá,19038,2309904
Palhano,31096,2310001
Palmácia,32799,2310100
Paracuru,180252,2310209
Paraipaba,127149,2310258
Parambu,108343,2310308
Paramoti,40757,2310407
Pedra Branca,135272,2310506
Penaforte,33080,2310605
Pentecoste,128519,2310704
Pereiro,49850,2310803
Pindoretama,58112,2310852
Piquet Carneiro,47389,2310902
Pires Ferreira,30786,2310951
Poranga,32540,2311009
Porteiras,48632,2311108
Potengi,31787,2311207
Potiretama,24174,2311231
Quiterianópolis,61892,2311264
Quixadá,361839,2311306
Quixelô,54588,2311355
Quixeramobim,325703,2311405
Quixeré,198615,2311504
Redenção,91325,2311603
Reriutaba,65670,2311702
Russas,435379,2311801
Saboeiro,42963,2311900
Salitre,81363,2311959
Santana do Acaraú,105153,2312007
Santana do Cariri,57591,2312106
Santa Quitéria,186944,2312205
São Benedito,184846,2312304
São Gonçalo do Amara,611545,2312403
São João do Jaguarib,34099,2312502
São Luís do Curu,45172,2312601
Senador Pompeu,108504,2312700
Senador Sá,23888,2312809
Sobral,1715272,2312908
Solonópole,90849,2313005
Tabuleiro do Norte,122548,2313104
Tamboril,89566,2313203
Tarrafas,25060,2313252
Tauá,235395,2313302
Tejuçuoca,43228,2313351
Tianguá,379095,2313401
Trairi,224541,2313500
Tururu,40918,2313559
Ubajara,153685,2313609
Umari,24076,2313708
Umirim,59595,2313757
Uruburetama,96450,2313807
Uruoca,37651,2313906
Varjota,69939,2313955
Várzea Alegre,125279,2314003
Viçosa do Ceará,176976,2314102
