Localidade,pib,id
Abaiara,20125,2300101
Acarape,37783,2300150
Acaraú,157648,2300200
Acopiara,115572,2300309
Aiuaba,37445,2300408
Alcântaras,24398,2300507
Altaneira,14468,2300606
Alto Santo,45155,2300705
Amontada,144494,2300754
Antonina do Norte,17828,2300804
Apuiarés,31702,2300903
Aquiraz,368052,2301000
Aracati,381465,2301109
Aracoiaba,70239,2301208
Ararendá,27134,2301257
Araripe,59308,2301307
Aratuba,43776,2301406
Arneiroz,22549,2301505
Assaré,50470,2301604
Aurora,63894,2301703
Baixio,16324,2301802
Banabuiú,54975,2301851
Barbalha,211920,2301901
Barreira,57274,2301950
Barro,51470,2302008
Barroquinha,42074,2302057
Baturité,96166,2302107
Beberibe,159859,2302206
Bela Cruz,78813,2302305
Boa Viagem,144283,2302404
Brejo Santo,127489,2302503
Camocim,198489,2302602
Campos Sales,69504,2302701
Canindé,214174,2302800
Capistrano,41584,2302909
Caridade,40160,2303006
Cariré,46411,2303105
Caririaçu,55599,2303204
Cariús,38658,2303303
Carnaubal,39590,2303402
Cascavel,303717,2303501
Catarina,33111,2303600
Catunda,25840,2303659
Caucaia,1351617,2303709
Cedro,65006,2303808
Chaval,32610,2303907
Choró,29389,2303931
Chorozinho,59260,2303956
Coreaú,48254,2304004
Crateús,246926,2304103
Crato,492978,2304202
Croatá,52520,2304236
Cruz,60141,2304251
Deputado Irapuan Pin,24695,2304269
Ererê,15764,2304277
Eusébio,649461,2304285
Farias Brito,45915,2304301
Forquilha,62312,2304350
Fortaleza,22331722,2304400
Fortim,51839,2304459
Frecheirinha,35031,2304509
General Sampaio,17252,2304608
Graça,37815,2304657
Granja,99287,2304707
Granjeiro,12284,2304806
Groaíras,21239,2304905
Guaiúba,53469,2304954
Guaraciaba do Norte,133194,2305001
Guaramiranga,22326,2305100
Hidrolândia,59438,2305209
Horizonte,521358,2305233
Ibaretama,38647,2305266
Ibiapina,104649,2305308
Ibicuitinga,32101,2305332
Icapuí,119645,2305357
Icó,167917,2305407
Iguatu,447737,2305506
Independência,73531,2305605
Ipaporanga,27953,2305654
Ipaumirim,28786,2305704
Ipu,123618,2305803
Ipueiras,93521,2305902
Iracema,39347,2306009
Irauçuba,50290,2306108
Itaiçaba,31198,2306207
Itaitinga,95943,2306256
Itapajé,183499,2306306
Itapipoca,402568,2306405
Itapiúna,43795,2306504
Itarema,152754,2306553
Itatira,49260,2306603
Jaguaretama,62693,2306702
Jaguaribara,36288,2306801
Jaguaribe,136143,2306900
Jaguaruana,145685,2307007
Jardim,61014,2307106
Jati,19079,2307205
Jijoca de Jericoacoa,43688,2307254
Juazeiro do Norte,1095442,2307304
Jucás,53439,2307403
Lavras da Mangabeira,75868,2307502
Limoeiro do Norte,330732,2307601
Madalena,46145,2307635
Maracanaú,2366431,2307650
Maranguape,532865,2307700
Marco,72107,2307809
Martinópole,18609,2307908
Massapê,91472,2308005
Mauriti,102183,2308104
Meruoca,29874,2308203
Milagres,65631,2308302
Milhã,39052,2308351
Miraíma,24956,2308377
Missão Velha,82107,2308401
Mombaça,101985,2308500
Monsenhor Tabosa,41139,2308609
Morada Nova,234803,2308708
Moraújo,22393,2308807
Morrinhos,45101,2308906
Mucambo,34126,2309003
Mulungu,29186,2309102
Nova Olinda,35992,2309201
Nova Russas,90113,2309300
Novo Oriente,68424,2309409
Ocara,57262,2309458
Orós,69583,2309508
Pacajus,365922,2309607
Pacatuba,362835,2309706
Pacoti,36422,2309805
Pacujá,15930,2309904
Palhano,22406,2310001
Palmácia,23335,2310100
Paracuru,153665,2310209
Paraipaba,111251,2310258
Parambu,87926,2310308
Paramoti,29810,2310407
Pedra Branca,99192,2310506
Penaforte,19090,2310605
Pentecoste,97006,2310704
Pereiro,37057,2310803
Pindoretama,48276,2310852
Piquet Carneiro,34524,2310902
Pires Ferreira,26870,2310951
Poranga,27267,2311009
Porteiras,34743,2311108
Potengi,25752,2311207
Potiretama,17315,2311231
Quiterianópolis,51815,2311264
Quixadá,262607,2311306
Quixelô,54219,2311355
Quixeramobim,254305,2311405
Quixeré,163727,2311504
Redenção,97720,2311603
Reriutaba,56741,2311702
Russas,346242,2311801
Saboeiro,33047,2311900
Salitre,41081,2311959
Santana do Acaraú,84177,2312007
Santana do Cariri,45059,2312106
Santa Quitéria,137111,2312205
São Benedito,142148,2312304
São Gonçalo do Amara,450961,2312403
São João do Jaguarib,28381,2312502
São Luís do Curu,37117,2312601
Senador Pompeu,87139,2312700
Senador Sá,22484,2312809
Sobral,1516531,2312908
Solonópole,68957,2313005
Tabuleiro do Norte,95296,2313104
Tamboril,64777,2313203
Tarrafas,18224,2313252
Tauá,185590,2313302
Tejuçuoca,32552,2313351
Tianguá,294709,2313401
Trairi,184179,2313500
Tururu,29941,2313559
Ubajara,111443,2313609
Umari,19669,2313708
Umirim,44152,2313757
Uruburetama,78305,2313807
Uruoca,27366,2313906
Varjota,57438,2313955
Várzea Alegre,90926,2314003
Viçosa do Ceará,127875,2314102
