Posição,Nome,Localidade,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unidade,Multiplicador,id
1.3,Série encerrada,Aratuba,17889,20983,21910,23737,30192,34423,36583,43776,48318,54756,50271,60079,65713,58733,,,,,R$,1000,2301406
1.3,Série encerrada,Arneiroz,10930,11151,11340,14380,16805,17489,19632,22549,22889,30262,29506,33747,38708,36942,,,,,R$,1000,2301505
1.3,Série encerrada,Assaré,24543,25922,25640,29663,38082,39323,42144,50470,52318,68968,76404,86385,102286,98806,,,,,R$,1000,2301604
1.3,Série encerrada,Aurora,31043,32943,31592,39841,50775,45746,52019,63894,65588,81911,89421,96273,116748,108670,,,,,R$,1000,2301703
1.3,Série encerrada,Baixio,8753,8386,8037,9598,11947,12992,14313,16324,16415,21216,22148,24698,28424,27448,,,,,R$,1000,2301802
1.3,Série encerrada,Banabuiú,23386,26302,25236,29242,39711,46391,50790,54975,59746,83380,76058,82250,94871,89606,,,,,R$,1000,2301851
1.3,Série encerrada,Barbalha,103641,111605,130095,140808,143104,166838,183664,211920,237809,292083,353661,444660,498092,504630,,,,,R$,1000,2301901
1.3,Série encerrada,Barreira,29811,30923,33267,37703,43859,48024,49278,57274,59695,70526,75485,86891,98495,97965,,,,,R$,1000,2301950
1.3,Série encerrada,Barro,26116,27597,27335,37262,40479,39698,42986,51470,54595,73636,77054,87637,92185,95707,,,,,R$,1000,2302008
1.3,Série encerrada,Barroquinha,15285,16347,18398,21922,27348,32266,36989,42074,43234,52457,53549,62911,69802,68736,,,,,R$,1000,2302057
1.3,Série encerrada,Baturité,43935,45666,58041,54660,65070,74520,82404,96166,100234,119789,133153,165360,188299,182863,,,,,R$,1000,2302107
1.3,Série encerrada,Beberibe,56842,68579,77125,87922,104262,121195,137914,159859,158852,195010,212948,302614,313386,353712,,,,,R$,1000,2302206
1.3,Série encerrada,Bela Cruz,37911,37093,39878,50146,59320,62950,65621,78813,77203,98379,101703,119375,128141,140949,,,,,R$,1000,2302305
1.3,Série encerrada,Boa Viagem,64187,67681,78999,94805,112269,113948,123122,144283,153207,198611,194712,228952,263947,246908,,,,,R$,1000,2302404
1.3,Série encerrada,Brejo Santo,72434,66365,77123,81648,105382,106540,117740,127489,138404,163669,184788,239635,270750,263574,,,,,R$,1000,2302503
1.3,Série encerrada,Camocim,83978,86931,96711,123258,146151,177540,184258,198489,213420,239877,267008,411864,405222,546072,,,,,R$,1000,2302602
1.3,Série encerrada,Campos Sales,34177,34474,40656,46240,50156,57099,60869,69504,72011,88908,98470,115336,128871,127470,,,,,R$,1000,2302701
1.3,Série encerrada,Canindé,135602,153479,180026,206727,209544,199087,196138,214174,237048,315323,307250,360537,410025,395114,,,,,R$,1000,2302800
1.3,Série encerrada,Capistrano,18611,20756,20299,22578,29044,30640,34957,41584,41496,50859,52955,62808,74695,69449,,,,,R$,1000,2302909
1.3,Série encerrada,Caridade,26160,38184,51587,40822,36199,34821,34298,40160,45035,59627,60414,74085,82400,79136,,,,,R$,1000,2303006
1.3,Série encerrada,Cariré,20862,22344,24895,29567,39085,38201,41852,46411,49667,60853,64844,83565,79029,78743,,,,,R$,1000,2303105
1.3,Série encerrada,Caririaçu,25483,28646,29750,35783,45923,70206,50523,55599,61103,78543,87184,94305,107039,105973,,,,,R$,1000,2303204
1.3,Série encerrada,Cariús,18580,21197,21706,24529,29493,32974,35284,38658,44046,52351,58820,66569,72338,70979,,,,,R$,1000,2303303
1.3,Série encerrada,Carnaubal,17932,19241,19115,21138,25780,30969,32846,39590,42390,55066,65245,71924,85352,82021,,,,,R$,1000,2303402
1.3,Série encerrada,Cascavel,127482,164039,190095,229481,243108,323345,336435,303717,293693,372206,388752,444656,482728,484910,,,,,R$,1000,2303501
1.3,Série encerrada,Catarina,13283,15270,15938,20217,22700,26051,30045,33111,35617,44886,47668,58989,64442,63679,,,,,R$,1000,2303600
1.3,Série encerrada,Catunda,12817,13036,13591,17561,19925,19717,21821,25840,27387,38082,37739,43928,56424,47827,,,,,R$,1000,2303659
1.3,Série encerrada,Caucaia,541300,612225,665919,770866,901027,1085418,1149555,1351617,1471921,1973210,2182801,2854139,3323808,3657134,,,,,R$,1000,2303709
1.3,Série encerrada,Cedro,33595,34230,34191,38654,46849,51369,57801,65006,68533,81781,90816,105609,118006,117037,,,,,R$,1000,2303808
1.3,Série encerrada,Chaval,12896,13808,15625,17996,21231,24882,29414,32610,32300,40453,44236,51724,58456,60728,,,,,R$,1000,2303907
1.3,Série encerrada,Choró,14151,15627,14898,20011,22333,23125,26005,29389,30405,37676,42078,45414,54665,52408,,,,,R$,1000,2303931
1.3,Série encerrada,Chorozinho,27487,29586,32595,36771,39853,48910,49111,59260,57203,71679,78025,89673,99570,89207,,,,,R$,1000,2303956
1.3,Série encerrada,Coreaú,20339,21644,25247,28591,33990,35689,42974,48254,50029,63347,69437,82537,89198,88624,,,,,R$,1000,2304004
1.3,Série encerrada,Crateús,119442,119732,151132,154478,191525,193437,210517,246926,297323,317687,329251,383616,429513,409438,,,,,R$,1000,2304103
1.3,Série encerrada,Crato,246790,277649,297349,337096,380581,439435,471974,492978,538617,654221,943346,932173,1017214,1001915,,,,,R$,1000,2304202
1.3,Série encerrada,Croatá,19101,22833,25055,25374,33044,38203,42545,52520,47774,67733,71461,74350,82974,78373,,,,,R$,1000,2304236
1.3,Série encerrada,Cruz,28162,30396,34044,39358,43464,46774,52245,60141,58763,77698,76877,93220,103199,108419,,,,,R$,1000,2304251
1.3,Série encerrada,Deputado Irapuan Pinheiro,10744,11907,11163,14248,16628,17654,20990,24695,24458,33126,33931,36475,42013,38733,,,,,R$,1000,2304269
1.3,Série encerrada,Ererê,8144,10835,7768,9926,12043,13456,14614,15764,18504,23209,24694,28368,30360,31457,,,,,R$,1000,2304277
1.3,Série encerrada,Eusébio,270109,303431,338677,469745,444823,575618,585324,649461,773241,941606,1110364,1293246,1467093,1407512,,,,,R$,1000,2304285
1.3,Série encerrada,Farias Brito,21878,21905,23183,29808,35947,37506,41507,45915,48051,59642,64327,73320,83585,81091,,,,,R$,1000,2304301
1.3,Série encerrada,Forquilha,21967,23875,26098,31825,37915,50607,61624,62312,67763,77913,85412,97108,105531,107662,,,,,R$,1000,2304350
1.3,Série encerrada,Fortaleza,10390204,11146470,11996572,14348427,16048065,17623128,20060099,22331722,24476378,28769259,31373473,37130892,41978402,43402190,,,,,R$,1000,2304400
1.3,Série encerrada,Fortim,32764,38774,42219,48185,69863,65561,48248,51839,51432,60289,64578,77182,88468,87096,,,,,R$,1000,2304459
1.3,Série encerrada,Frecheirinha,15144,17398,18079,19804,23982,26561,29024,35031,35901,45899,51833,62729,72717,72526,,,,,R$,1000,2304509
1.3,Série encerrada,General Sampaio,7261,7959,7944,9364,11545,12344,13818,17252,19390,25300,25150,28540,32562,32072,,,,,R$,1000,2304608
1.3,Série encerrada,Graça,14234,15064,18411,20947,25201,28402,31728,37815,37557,43498,48741,55261,60202,58854,,,,,R$,1000,2304657
1.3,Série encerrada,Granja,44783,48993,57628,64947,74522,85005,90704,99287,119081,145363,164175,190362,185945,196568,,,,,R$,1000,2304707
1.3,Série encerrada,Granjeiro,5965,6452,6883,7615,9065,9702,10967,12284,13885,18513,19946,19353,21581,22676,,,,,R$,1000,2304806
1.3,Série encerrada,Groaíras,10076,10750,11105,14404,16642,17827,19085,21239,25123,29838,33251,39943,43494,44395,,,,,R$,1000,2304905
1.3,Série encerrada,Guaiúba,20390,23540,26951,30440,34585,39464,43823,53469,60192,73833,82098,102059,108487,107068,,,,,R$,1000,2304954
1.3,Série encerrada,Guaraciaba do Norte,46719,56823,63847,68957,91384,100946,109043,133194,142832,172095,178048,210990,235717,219409,,,,,R$,1000,2305001
1.3,Série encerrada,Guaramiranga,12442,12466,12767,13366,16783,15919,18529,22326,21821,23888,25971,29669,33395,29744,,,,,R$,1000,2305100
1.3,Série encerrada,Hidrolândia,24224,26993,24832,35817,44014,45428,48798,59438,60592,77247,76315,89100,105221,97389,,,,,R$,1000,2305209
1.3,Série encerrada,Horizonte,204933,234426,262047,313615,344467,421949,513511,521358,607348,843406,1053899,1013969,1070426,939562,,,,,R$,1000,2305233
1.3,Série encerrada,Ibaretama,15791,16939,16060,23444,25996,25954,30260,38647,35161,46226,42029,47076,61788,53094,,,,,R$,1000,2305266
1.3,Série encerrada,Ibiapina,42686,52715,50119,58924,81515,86006,87517,104649,111080,132463,279855,143421,168925,152262,,,,,R$,1000,2305308
1.3,Série encerrada,Ibicuitinga,11737,14127,12618,16989,19746,20247,26404,32101,29186,38499,40382,44989,53488,51552,,,,,R$,1000,2305332
1.3,Série encerrada,Icapuí,41238,47353,54731,60578,70934,77586,95452,119645,133731,150934,157077,188536,192245,223096,,,,,R$,1000,2305357
1.3,Série encerrada,Icó,76037,85399,86707,96724,115029,128581,140620,167917,184777,215823,238344,284273,313579,317608,,,,,R$,1000,2305407
1.3,Série encerrada,Iguatu,201866,225522,251862,272960,308738,364614,387761,447737,467469,539250,599955,773417,874987,881128,,,,,R$,1000,2305506
1.3,Série encerrada,Independência,34196,37581,40192,45983,55288,60230,62745,73531,75693,99007,106142,120416,145221,127662,,,,,R$,1000,2305605
1.3,Série encerrada,Ipaporanga,13188,14354,17785,18301,22830,22469,24114,27953,26459,32690,34315,39261,49870,45347,,,,,R$,1000,2305654
1.3,Série encerrada,Ipaumirim,15511,16792,15417,19742,21835,23399,25375,28786,33002,40560,42845,49708,55396,56073,,,,,R$,1000,2305704
1.3,Série encerrada,Ipu,53311,55768,63546,68657,81916,92627,106963,123618,125905,141690,161871,185266,212090,206252,,,,,R$,1000,2305803
1.3,Série encerrada,Ipueiras,39994,46712,50786,56079,68531,75381,82138,93521,103085,126173,135858,153616,176191,170385,,,,,R$,1000,2305902
1.3,Série encerrada,Iracema,18654,21839,19913,23129,27618,32445,35633,39347,46254,55802,62454,71958,75342,78396,,,,,R$,1000,2306009
1.3,Série encerrada,Irauçuba,23199,25875,25901,31784,36317,39239,44447,50290,56079,71141,76482,88016,102761,103580,,,,,R$,1000,2306108
1.3,Série encerrada,Itaiçaba,11655,12490,15557,18108,20462,23550,26563,31198,31516,27340,27901,33685,35443,36013,,,,,R$,1000,2306207
1.3,Série encerrada,Itaitinga,37735,41084,38701,49457,56070,70632,82805,95943,101641,135258,156410,181596,211128,184858,,,,,R$,1000,2306256
1.3,Série encerrada,Itapajé,70787,81819,94597,126321,144824,168343,189243,183499,178728,234548,248986,301058,343087,316789,,,,,R$,1000,2306306
1.3,Série encerrada,Itapipoca,162290,191802,227127,254198,283479,344258,334952,402568,406071,495764,530092,624459,736892,784735,,,,,R$,1000,2306405
1.3,Série encerrada,Itapiúna,18927,20161,20482,23663,28307,30654,37155,43795,47373,59445,57150,67408,80964,75391,,,,,R$,1000,2306504
1.3,Série encerrada,Itarema,53402,54589,62376,68723,93617,103915,112101,152754,154195,171525,162320,205526,239708,235262,,,,,R$,1000,2306553
1.3,Série encerrada,Itatira,22173,24562,22181,28140,38293,40737,40030,49260,52171,73755,66827,73794,92259,75283,,,,,R$,1000,2306603
1.3,Série encerrada,Jaguaretama,31903,35086,34338,43954,51048,51267,56043,62693,67427,82656,82712,89864,105684,96020,,,,,R$,1000,2306702
1.3,Série encerrada,Jaguaribara,16168,19976,20477,31221,31400,42033,34205,36288,34881,46233,49736,56634,62790,67208,,,,,R$,1000,2306801
1.3,Série encerrada,Jaguaribe,67619,72182,81915,87284,100651,110598,114763,136143,150060,185928,204831,223654,264946,271542,,,,,R$,1000,2306900
1.3,Série encerrada,Jaguaruana,56315,62991,67285,79776,89625,105757,117739,145685,146225,184926,209502,232561,238984,215234,,,,,R$,1000,2307007
1.3,Série encerrada,Jardim,26663,27714,31545,36065,43792,48185,53128,61014,66000,83430,91855,102268,107142,110781,,,,,R$,1000,2307106
1.3,Série encerrada,Jati,10319,9848,9041,10961,14084,14280,16364,19079,19877,25968,28889,29726,35468,33919,,,,,R$,1000,2307205
1.3,Série encerrada,Jijoca de Jericoacoara,14478,16462,19393,23043,27053,32072,36544,43688,45269,57979,63947,78089,88098,92611,,,,,R$,1000,2307254
1.3,Série encerrada,Juazeiro do Norte,421153,474629,531172,610318,678099,770443,856517,1095442,1164673,1413194,1587641,1966331,2246464,2354692,,,,,R$,1000,2307304
1.3,Série encerrada,Jucás,25268,28852,31201,35177,40012,44120,48340,53439,60955,70521,87718,99876,114089,107837,,,,,R$,1000,2307403
1.3,Série encerrada,Lavras da Mangabeira,37925,41886,44656,49834,58019,59528,66635,75868,81121,96157,105809,119555,134910,133781,,,,,R$,1000,2307502
1.3,Série encerrada,Limoeiro do Norte,117058,112851,140637,144983,171413,218775,270192,330732,402130,492660,353668,396531,418159,424366,,,,,R$,1000,2307601
1.3,Série encerrada,Madalena,18800,22160,24757,33946,37545,35483,39106,46145,49188,68104,65246,76650,91063,83652,,,,,R$,1000,2307635
1.3,Série encerrada,Maracanaú,1200381,1346162,1406087,1643834,1754204,2151090,2312878,2366431,2607789,3142945,3561350,4146824,4775048,4789878,,,,,R$,1000,2307650
1.3,Série encerrada,Maranguape,184731,202347,224591,257586,281847,384867,466063,532865,578078,646870,640186,752497,801620,823652,,,,,R$,1000,2307700
1.3,Série encerrada,Marco,28773,31640,38691,43557,51446,59273,64635,72107,82149,96870,108341,135689,145309,159531,,,,,R$,1000,2307809
1.3,Série encerrada,Martinópole,8541,9184,11283,12641,14196,16083,16915,18609,20372,26742,30254,35290,40480,38328,,,,,R$,1000,2307908
1.3,Série encerrada,Massapê,31672,35741,43489,48663,61533,67114,73858,91472,95391,113754,118767,132937,150588,150333,,,,,R$,1000,2308005
1.3,Série encerrada,Mauriti,55049,62169,61836,72637,84647,87112,91582,102183,128303,156520,170079,174284,222284,205236,,,,,R$,1000,2308104
1.3,Série encerrada,Meruoca,12798,14013,13543,16968,21302,23603,25068,29874,30138,35672,39825,48835,56588,57177,,,,,R$,1000,2308203
1.3,Série encerrada,Milagres,39019,41117,38183,48230,59818,57295,58813,65631,69329,87618,103905,115652,130645,125140,,,,,R$,1000,2308302
1.3,Série encerrada,Milhã,17399,17954,18428,23492,25345,26833,33602,39052,39242,53755,49257,56014,65264,60089,,,,,R$,1000,2308351
1.3,Série encerrada,Miraíma,12738,13382,12908,16113,17819,19946,21604,24956,26125,34052,37961,44873,50833,53045,,,,,R$,1000,2308377
1.3,Série encerrada,Missão Velha,38638,40594,43540,49840,59519,63932,66359,82107,96152,116089,136206,150034,171104,161191,,,,,R$,1000,2308401
1.3,Série encerrada,Mombaça,50737,52183,55729,64120,73821,79786,90075,101985,106541,139409,142380,158211,174253,165744,,,,,R$,1000,2308500
1.3,Série encerrada,Monsenhor Tabosa,18567,20771,22250,25285,31524,33023,34824,41139,42762,56026,55883,64362,83005,72659,,,,,R$,1000,2308609
1.3,Série encerrada,Morada Nova,123666,125196,124938,148461,170610,188162,193659,234803,265766,321511,349826,381163,445649,415746,,,,,R$,1000,2308708
1.3,Série encerrada,Moraújo,8549,7848,9796,10661,14917,15935,20086,22393,20829,24599,27321,32341,37472,36809,,,,,R$,1000,2308807
1.3,Série encerrada,Morrinhos,21139,22152,22470,28897,41747,38379,39674,45101,48239,60420,68981,79154,89650,89651,,,,,R$,1000,2308906
1.3,Série encerrada,Mucambo,13427,15368,18312,21372,25878,30001,29916,34126,35646,42957,45531,53014,62668,60943,,,,,R$,1000,2309003
1.3,Série encerrada,Mulungu,10967,14765,14822,15304,17599,22412,25897,29186,40737,52791,46753,52589,59384,54964,,,,,R$,1000,2309102
1.3,Série encerrada,Nova Olinda,16736,19631,20296,23589,24831,48088,31120,35992,37695,46372,53576,64417,74782,70527,,,,,R$,1000,2309201
1.3,Série encerrada,Nova Russas,48017,45284,54196,56019,66812,72511,79963,90113,95508,119751,120806,145857,163844,168474,,,,,R$,1000,2309300
1.3,Série encerrada,Novo Oriente,32472,36200,42931,45673,49004,50364,55511,68424,70375,91219,93386,102932,133452,113398,,,,,R$,1000,2309409
1.3,Série encerrada,Ocara,26168,27747,30141,37755,41600,49073,47061,57262,55280,71180,75645,83944,97915,95419,,,,,R$,1000,2309458
1.3,Série encerrada,Orós,35406,38100,38025,43172,49744,49781,60249,69583,73016,85570,91304,105623,115764,116724,,,,,R$,1000,2309508
1.3,Série encerrada,Pacajus,234132,246574,255725,281898,303443,363507,357708,365922,377442,416828,460832,509009,595962,599849,,,,,R$,1000,2309607
1.3,Série encerrada,Pacatuba,90996,133323,159459,175404,180366,212326,214620,362835,364692,457229,476587,562762,640022,650910,,,,,R$,1000,2309706
1.3,Série encerrada,Pacoti,17037,18546,17649,18423,22553,26057,29670,36422,37386,45037,48072,54513,63393,55414,,,,,R$,1000,2309805
1.3,Série encerrada,Pacujá,5698,6666,9089,9647,11792,12622,13298,15930,16196,19038,21235,25867,27340,28689,,,,,R$,1000,2309904
1.3,Série encerrada,Palhano,10122,10640,11594,15344,15350,20676,18641,22406,33377,31096,38896,46577,46591,41982,,,,,R$,1000,2310001
1.3,Série encerrada,Palmácia,12017,13571,14302,14864,17732,18582,19961,23335,24065,32799,34299,43141,49931,47174,,,,,R$,1000,2310100
1.3,Série encerrada,Paracuru,60342,71633,74086,90625,106269,115817,140441,153665,150208,180252,166520,275248,308318,396224,,,,,R$,1000,2310209
1.3,Série encerrada,Paraipaba,41464,45283,47992,53163,65011,72817,88388,111251,114771,127149,140733,170263,200748,199731,,,,,R$,1000,2310258
1.3,Série encerrada,Parambu,37511,39152,44551,54219,63221,59249,72030,87926,77591,108343,103984,120497,132301,128353,,,,,R$,1000,2310308
1.3,Série encerrada,Paramoti,13513,12753,13009,16115,19502,22154,23738,29810,32634,40757,41974,49167,59524,51852,,,,,R$,1000,2310407
1.3,Série encerrada,Pedra Branca,39905,46911,49396,67516,69003,74896,91414,99192,99295,135272,132183,155746,182155,168418,,,,,R$,1000,2310506
1.3,Série encerrada,Penaforte,9986,8879,9176,10659,13356,14039,15631,19090,26345,33080,39606,43665,47937,50033,,,,,R$,1000,2310605
1.3,Série encerrada,Pentecoste,38477,42640,45579,53319,58534,63599,75888,97006,102133,128519,149298,182473,225512,300895,,,,,R$,1000,2310704
1.3,Série encerrada,Pereiro,17324,20055,19323,24091,27904,30417,31280,37057,39523,49850,53559,61951,72064,71232,,,,,R$,1000,2310803
1.3,Série encerrada,Pindoretama,21165,22520,25628,29769,35997,38943,45341,48276,54425,58112,78477,89191,101081,104306,,,,,R$,1000,2310852
1.3,Série encerrada,Piquet Carneiro,15679,17635,17830,22333,25244,27825,30615,34524,37855,47389,51225,60887,68317,66787,,,,,R$,1000,2310902
1.3,Série encerrada,Pires Ferreira,13965,10681,12763,14021,16851,18557,22136,26870,24468,30786,31378,37805,43287,40112,,,,,R$,1000,2310951
1.3,Série encerrada,Poranga,12347,12758,15350,15924,18171,20586,22972,27267,26574,32540,35092,41271,46206,42093,,,,,R$,1000,2311009
1.3,Série encerrada,Porteiras,18470,17810,18606,22612,28756,28292,31142,34743,39221,48632,53113,58683,66874,64790,,,,,R$,1000,2311108
1.3,Série encerrada,Potengi,10488,10321,11145,14058,16895,17966,21071,25752,24775,31787,34222,40115,44189,44070,,,,,R$,1000,2311207
1.3,Série encerrada,Potiretama,8673,10918,8971,11227,12556,14761,14305,17315,18323,24174,25387,28096,32465,30427,,,,,R$,1000,2311231
1.3,Série encerrada,Quiterianópolis,20308,20433,26227,30478,31332,33315,41666,51815,48353,61892,63458,71009,101965,95155,,,,,R$,1000,2311264
1.3,Série encerrada,Quixadá,126398,140944,154472,169405,195914,210647,235316,262607,284369,361839,449811,547604,601435,622866,,,,,R$,1000,2311306
1.3,Série encerrada,Quixelô,24006,24195,34130,32177,37625,39019,43379,54219,46160,54588,56962,66241,77196,57750,,,,,R$,1000,2311355
1.3,Série encerrada,Quixeramobim,99488,113963,120510,133753,169071,197477,211838,254305,278282,325703,348434,426430,479266,466767,,,,,R$,1000,2311405
1.3,Série encerrada,Quixeré,22792,36964,61931,80882,83122,141866,128897,163727,178387,198615,135614,113561,158335,156690,,,,,R$,1000,2311504
1.3,Série encerrada,Redenção,47704,52862,56605,60543,62890,70420,78051,97720,77332,91325,99329,120130,140963,139485,,,,,R$,1000,2311603
1.3,Série encerrada,Reriutaba,23988,26683,31176,32601,39143,44196,47801,56741,54859,65670,70445,85124,98297,94949,,,,,R$,1000,2311702
1.3,Série encerrada,Russas,116529,132363,144203,176751,213110,261185,290900,346242,377099,435379,438673,553473,605176,634363,,,,,R$,1000,2311801
1.3,Série encerrada,Saboeiro,18497,18662,19447,24190,26747,27940,31980,33047,35818,42963,48816,55493,61788,62017,,,,,R$,1000,2311900
1.3,Série encerrada,Salitre,16597,15009,21289,31559,47636,35422,31987,41081,50413,81363,77842,63641,77217,63377,,,,,R$,1000,2311959
1.3,Série encerrada,Santana do Acaraú,34344,38481,41560,50557,59158,62990,68659,84177,88142,105153,108306,126427,139324,137084,,,,,R$,1000,2312007
1.3,Série encerrada,Santana do Cariri,22131,25336,22764,26441,31142,32898,38190,45059,46868,57591,67800,74823,87175,75565,,,,,R$,1000,2312106
1.3,Série encerrada,Santa Quitéria,68931,80296,88440,115264,124383,130432,126715,137111,141112,186944,190520,215573,251511,240212,,,,,R$,1000,2312205
1.3,Série encerrada,São Benedito,51636,61658,63710,77210,95028,108765,116161,142148,152116,184846,203652,236903,273604,266528,,,,,R$,1000,2312304
1.3,Série encerrada,São Gonçalo do Amarante,66162,63379,62642,74233,92918,108314,127802,450961,552886,611545,679220,1240601,1181172,1439817,,,,,R$,1000,2312403
1.3,Série encerrada,São João do Jaguaribe,14879,15475,16478,19348,21528,23537,24732,28381,29859,34099,37193,41131,40658,40462,,,,,R$,1000,2312502
1.3,Série encerrada,São Luís do Curu,14017,14171,16424,19044,21233,24567,29755,37117,37166,45172,48638,56438,68791,68489,,,,,R$,1000,2312601
1.3,Série encerrada,Senador Pompeu,34990,36348,39084,51296,55061,63221,70528,87139,85882,108504,108348,132834,158044,147471,,,,,R$,1000,2312700
1.3,Série encerrada,Senador Sá,6444,6833,8976,9592,12072,15534,17225,22484,20259,23888,26137,27496,34767,33559,,,,,R$,1000,2312809
1.3,Série encerrada,Sobral,696185,764507,845689,942511,1049594,1341838,1489686,1516531,1751595,1715272,1948209,2334817,2416696,2462619,,,,,R$,1000,2312908
1.3,Série encerrada,Solonópole,29866,32660,33150,40451,47699,51456,54455,68957,68014,90849,85577,92669,108204,95472,,,,,R$,1000,2313005
1.3,Série encerrada,Tabuleiro do Norte,45566,47219,49183,51586,64060,72162,81331,95296,100209,122548,136690,169209,180792,179872,,,,,R$,1000,2313104
1.3,Série encerrada,Tamboril,30470,32375,33482,41212,49002,50288,54689,64777,68716,89566,89748,102344,121440,111865,,,,,R$,1000,2313203
1.3,Série encerrada,Tarrafas,8244,8641,10521,11702,15199,14426,14399,18224,19448,25060,26666,30063,36435,35230,,,,,R$,1000,2313252
1.3,Série encerrada,Tauá,74045,77915,88039,103484,124650,136109,158078,185590,193306,235395,241537,278383,323905,314878,,,,,R$,1000,2313302
1.3,Série encerrada,Tejuçuoca,12667,14036,15190,18355,20643,22563,28259,32552,35419,43228,46994,53583,64764,66753,,,,,R$,1000,2313351
1.3,Série encerrada,Tianguá,100573,122598,133449,155832,198101,220880,241589,294709,301989,379095,375056,439844,522230,499292,,,,,R$,1000,2313401
1.3,Série encerrada,Trairi,73178,73392,88522,97969,113699,134675,151193,184179,178654,224541,195051,236002,280816,297617,,,,,R$,1000,2313500
1.3,Série encerrada,Tururu,13317,12777,14121,15949,19942,23059,25569,29941,29895,40918,41088,51871,58120,60839,,,,,R$,1000,2313559
1.3,Série encerrada,Ubajara,42698,54976,48477,60885,76624,87001,95245,111443,127395,153685,174428,193401,222447,184786,,,,,R$,1000,2313609
1.3,Série encerrada,Umari,8939,9317,9463,11150,12984,14681,15699,19669,19730,24076,25435,28878,31485,30371,,,,,R$,1000,2313708
1.3,Série encerrada,Umirim,18459,21413,22117,25445,30087,33716,37801,44152,47896,59595,60957,70730,89035,83934,,,,,R$,1000,2313757
1.3,Série encerrada,Uruburetama,22390,32271,37817,41130,40898,71352,77645,78305,78418,96450,106392,140759,159167,170056,,,,,R$,1000,2313807
1.3,Série encerrada,Uruoca,11112,12509,13828,15343,19187,21129,22778,27366,30555,37651,41682,48383,57124,56592,,,,,R$,1000,2313906
1.3,Série encerrada,Varjota,18814,22942,25268,30831,39443,44978,46270,57438,58556,69939,76740,97044,128732,126333,,,,,R$,1000,2313955
1.3,Série encerrada,Várzea Alegre,43878,47707,45795,52862,66640,69269,76972,90926,98141,125279,133691,160829,181638,176654,,,,,R$,1000,2314003
1.3,Série encerrada,Viçosa do Ceará,46143,52625,54295,63273,79625,96385,105496,127875,145895,176976,188719,213405,241813,231143,,,,,R$,1000,2314102
