Posição,Nome,Localidade,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unidade,Multiplicador,id
1.3,Série encerrada,Abaiara,10025,11327,11551,12418,15396,16213,16519,20125,22976,29331,33585,35616,40098,39314,,,,,R$,1000,2300101
1.3,Série encerrada,Acarape,26418,29110,29895,30580,31731,33141,32591,37783,41803,50533,57295,57412,81090,80588,,,,,R$,1000,2300150
1.3,Série encerrada,Acaraú,70664,68209,83643,100703,116638,134321,141564,157648,176061,218401,232006,327218,376651,394094,,,,,R$,1000,2300200
1.3,Série encerrada,Acopiara,62878,71419,64515,78579,87137,101079,105507,115572,126516,156563,169175,202778,236257,236047,,,,,R$,1000,2300309
1.3,Série encerrada,Aiuaba,16737,16242,15550,18725,24235,24448,29668,37445,38788,48338,48680,53768,66998,61575,,,,,R$,1000,2300408
1.3,Série encerrada,Alcântaras,8529,9651,12185,14181,16608,18345,20789,24398,25162,29028,32676,37343,43225,43301,,,,,R$,1000,2300507
1.3,Série encerrada,Altaneira,6378,6488,6974,8720,9741,10966,12126,14468,15450,19654,21715,24274,28370,30144,,,,,R$,1000,2300606
1.3,Série encerrada,Alto Santo,33936,32223,32415,38977,38786,41424,37997,45155,52060,65152,72397,76165,83598,78836,,,,,R$,1000,2300705
1.3,Série encerrada,Amontada,51391,61176,67526,82241,99587,111076,126086,144494,132206,174615,153840,244848,298132,326337,,,,,R$,1000,2300754
1.3,Série encerrada,Antonina do Norte,6612,8063,7289,10347,12310,13817,16052,17828,18547,24090,24479,28062,31415,32585,,,,,R$,1000,2300804
1.3,Série encerrada,Apuiarés,13701,14740,15686,18405,21322,23860,28252,31702,33643,42157,44143,51750,58591,58006,,,,,R$,1000,2300903
1.3,Série encerrada,Aquiraz,174824,197470,213232,250231,248667,298221,347545,368052,392870,497878,601089,680582,795551,935351,,,,,R$,1000,2301000
1.3,Série encerrada,Aracati,155056,161168,196786,230527,262029,330939,341617,381465,369276,443745,488662,592624,817691,932020,,,,,R$,1000,2301109
1.3,Série encerrada,Aracoiaba,31551,34628,40203,48526,53939,56029,59313,70239,69704,87487,95631,105363,129880,124081,,,,,R$,1000,2301208
1.3,Série encerrada,Ararendá,14934,15496,16323,16459,19261,20637,22638,27134,27422,34630,35482,38321,44644,43087,,,,,R$,1000,2301257
1.3,Série encerrada,Araripe,23783,23921,29095,31838,51435,44970,48589,59308,67718,82420,84258,88408,97540,89125,,,,,R$,1000,2301307
