Localidade,pib,id
Abaiara,35616,2300101
Acarape,57412,2300150
Acaraú,327218,2300200
Acopiara,202778,2300309
Aiuaba,53768,2300408
Alcântaras,37343,2300507
Altaneira,24274,2300606
Alto Santo,76165,2300705
Amontada,244848,2300754
Antonina do Norte,28062,2300804
Apuiarés,51750,2300903
Aquiraz,680582,2301000
Aracati,592624,2301109
Aracoiaba,105363,2301208
Ararendá,38321,2301257
Araripe,88408,2301307
Aratuba,60079,2301406
Arneiroz,33747,2301505
Assaré,86385,2301604
Aurora,96273,2301703
Baixio,24698,2301802
Banabuiú,82250,2301851
Barbalha,444660,2301901
Barreira,86891,2301950
Barro,87637,2302008
Barroquinha,62911,2302057
Baturité,165360,2302107
Beberibe,302614,2302206
Bela Cruz,119375,2302305
Boa Viagem,228952,2302404
Brejo Santo,239635,2302503
Camocim,411864,2302602
Campos Sales,115336,2302701
Canindé,360537,2302800
Capistrano,62808,2302909
Caridade,74085,2303006
Cariré,83565,2303105
Caririaçu,94305,2303204
Cariús,66569,2303303
Carnaubal,71924,2303402
Cascavel,444656,2303501
Catarina,58989,2303600
Catunda,43928,2303659
Caucaia,2854139,2303709
Cedro,105609,2303808
Chaval,51724,2303907
Choró,45414,2303931
Chorozinho,89673,2303956
Coreaú,82537,2304004
Crateús,383616,2304103
Crato,932173,2304202
Croatá,74350,2304236
Cruz,93220,2304251
Deputado Irapuan Pin,36475,2304269
Ererê,28368,2304277
Eusébio,1293246,2304285
Farias Brito,73320,2304301
Forquilha,97108,2304350
Fortaleza,37130892,2304400
Fortim,77182,2304459
Frecheirinha,62729,2304509
General Sampaio,28540,2304608
Graça,55261,2304657
Granja,190362,2304707
Granjeiro,19353,2304806
Groaíras,39943,2304905
Guaiúba,102059,2304954
Guaraciaba do Norte,210990,2305001
Guaramiranga,29669,2305100
Hidrolândia,89100,2305209
Horizonte,1013969,2305233
Ibaretama,47076,2305266
Ibiapina,143421,2305308
Ibicuitinga,44989,2305332
Icapuí,188536,2305357
Icó,284273,2305407
Iguatu,773417,2305506
Independência,120416,2305605
Ipaporanga,39261,2305654
Ipaumirim,49708,2305704
Ipu,185266,2305803
Ipueiras,153616,2305902
Iracema,71958,2306009
Irauçuba,88016,2306108
Itaiçaba,33685,2306207
Itaitinga,181596,2306256
Itapajé,301058,2306306
Itapipoca,624459,2306405
Itapiúna,67408,2306504
Itarema,205526,2306553
Itatira,73794,2306603
Jaguaretama,89864,2306702
Jaguaribara,56634,2306801
Jaguaribe,223654,2306900
Jaguaruana,232561,2307007
Jardim,102268,2307106
Jati,29726,2307205
Jijoca de Jericoacoa,78089,2307254
Juazeiro do Norte,1966331,2307304
Jucás,99876,2307403
Lavras da Mangabeira,119555,2307502
Limoeiro do Norte,396531,2307601
Madalena,76650,2307635
Maracanaú,4146824,2307650
Maranguape,752497,2307700
Marco,135689,2307809
Martinópole,35290,2307908
Massapê,132937,2308005
Mauriti,174284,2308104
Meruoca,48835,2308203
Milagres,115652,2308302
Milhã,56014,2308351
Miraíma,44873,2308377
Missão Velha,150034,2308401
Mombaça,158211,2308500
Monsenhor Tabosa,64362,2308609
Morada Nova,381163,2308708
Moraújo,32341,2308807
Morrinhos,79154,2308906
Mucambo,53014,2309003
Mulungu,52589,2309102
Nova Olinda,64417,2309201
Nova Russas,145857,2309300
Novo Oriente,102932,2309409
Ocara,83944,2309458
Orós,105623,2309508
Pacajus,509009,2309607
Pacatuba,562762,2309706
Pacoti,54513,2309805
Pacujá,25867,2309904
Palhano,46577,2310001
Palmácia,43141,2310100
Paracuru,275248,2310209
Paraipaba,170263,2310258
Parambu,120497,2310308
Paramoti,49167,2310407
Pedra Branca,155746,2310506
Penaforte,43665,2310605
Pentecoste,182473,2310704
Pereiro,61951,2310803
Pindoretama,89191,2310852
Piquet Carneiro,60887,2310902
Pires Ferreira,37805,2310951
Poranga,41271,2311009
Porteiras,58683,2311108
Potengi,40115,2311207
Potiretama,28096,2311231
Quiterianópolis,71009,2311264
Quixadá,547604,2311306
Quixelô,66241,2311355
Quixeramobim,426430,2311405
Quixeré,113561,2311504
Redenção,120130,2311603
Reriutaba,85124,2311702
Russas,553473,2311801
Saboeiro,55493,2311900
Salitre,63641,2311959
Santana do Acaraú,126427,2312007
Santana do Cariri,74823,2312106
Santa Quitéria,215573,2312205
São Benedito,236903,2312304
São Gonçalo do Amara,1240601,2312403
São João do Jaguarib,41131,2312502
São Luís do Curu,56438,2312601
Senador Pompeu,132834,2312700
Senador Sá,27496,2312809
Sobral,2334817,2312908
Solonópole,92669,2313005
Tabuleiro do Norte,169209,2313104
Tamboril,102344,2313203
Tarrafas,30063,2313252
Tauá,278383,2313302
Tejuçuoca,53583,2313351
Tianguá,439844,2313401
Trairi,236002,2313500
Tururu,51871,2313559
Ubajara,193401,2313609
Umari,28878,2313708
Umirim,70730,2313757
Uruburetama,140759,2313807
Uruoca,48383,2313906
Varjota,97044,2313955
Várzea Alegre,160829,2314003
Viçosa do Ceará,213405,2314102
