Localidade,pib,id
Abaiara,11327,2300101
Acarape,29110,2300150
Acaraú,68209,2300200
Acopiara,71419,2300309
Aiuaba,16242,2300408
Alcântaras,9651,2300507
Altaneira,6488,2300606
Alto Santo,32223,2300705
Amontada,61176,2300754
Antonina do Norte,8063,2300804
Apuiarés,14740,2300903
Aquiraz,197470,2301000
Aracati,161168,2301109
Aracoiaba,34628,2301208
Ararendá,15496,2301257
Araripe,23921,2301307
Aratuba,20983,2301406
Arneiroz,11151,2301505
Assaré,25922,2301604
Aurora,32943,2301703
Baixio,8386,2301802
Banabuiú,26302,2301851
Barbalha,111605,2301901
Barreira,30923,2301950
Barro,27597,2302008
Barroquinha,16347,2302057
Baturité,45666,2302107
Beberibe,68579,2302206
Bela Cruz,37093,2302305
Boa Viagem,67681,2302404
Brejo Santo,66365,2302503
Camocim,86931,2302602
Campos Sales,34474,2302701
Canindé,153479,2302800
Capistrano,20756,2302909
Caridade,38184,2303006
Cariré,22344,2303105
Caririaçu,28646,2303204
Cariús,21197,2303303
Carnaubal,19241,2303402
Cascavel,164039,2303501
Catarina,15270,2303600
Catunda,13036,2303659
Caucaia,612225,2303709
Cedro,34230,2303808
Chaval,13808,2303907
Choró,15627,2303931
Chorozinho,29586,2303956
Coreaú,21644,2304004
Crateús,119732,2304103
Crato,277649,2304202
Croatá,22833,2304236
Cruz,30396,2304251
Deputado Irapuan Pin,11907,2304269
Ererê,10835,2304277
Eusébio,303431,2304285
Farias Brito,21905,2304301
Forquilha,23875,2304350
Fortaleza,11146470,2304400
Fortim,38774,2304459
Frecheirinha,17398,2304509
General Sampaio,7959,2304608
Graça,15064,2304657
Granja,48993,2304707
Granjeiro,6452,2304806
Groaíras,10750,2304905
Guaiúba,23540,2304954
Guaraciaba do Norte,56823,2305001
Guaramiranga,12466,2305100
Hidrolândia,26993,2305209
Horizonte,234426,2305233
Ibaretama,16939,2305266
Ibiapina,52715,2305308
Ibicuitinga,14127,2305332
Icapuí,47353,2305357
Icó,85399,2305407
Iguatu,225522,2305506
Independência,37581,2305605
Ipaporanga,14354,2305654
Ipaumirim,16792,2305704
Ipu,55768,2305803
Ipueiras,46712,2305902
Iracema,21839,2306009
Irauçuba,25875,2306108
Itaiçaba,12490,2306207
Itaitinga,41084,2306256
Itapajé,81819,2306306
Itapipoca,191802,2306405
Itapiúna,20161,2306504
Itarema,54589,2306553
Itatira,24562,2306603
Jaguaretama,35086,2306702
Jaguaribara,19976,2306801
Jaguaribe,72182,2306900
Jaguaruana,62991,2307007
Jardim,27714,2307106
Jati,9848,2307205
Jijoca de Jericoacoa,16462,2307254
Juazeiro do Norte,474629,2307304
Jucás,28852,2307403
Lavras da Mangabeira,41886,2307502
Limoeiro do Norte,112851,2307601
Madalena,22160,2307635
Maracanaú,1346162,2307650
Maranguape,202347,2307700
Marco,31640,2307809
Martinópole,9184,2307908
Massapê,35741,2308005
Mauriti,62169,2308104
Meruoca,14013,2308203
Milagres,41117,2308302
Milhã,17954,2308351
Miraíma,13382,2308377
Missão Velha,40594,2308401
Mombaça,52183,2308500
Monsenhor Tabosa,20771,2308609
Morada Nova,125196,2308708
Moraújo,7848,2308807
Morrinhos,22152,2308906
Mucambo,15368,2309003
Mulungu,14765,2309102
Nova Olinda,19631,2309201
Nova Russas,45284,2309300
Novo Oriente,36200,2309409
Ocara,27747,2309458
Orós,38100,2309508
Pacajus,246574,2309607
Pacatuba,133323,2309706
Pacoti,18546,2309805
Pacujá,6666,2309904
Palhano,10640,2310001
Palmácia,13571,2310100
Paracuru,71633,2310209
Paraipaba,45283,2310258
Parambu,39152,2310308
Paramoti,12753,2310407
Pedra Branca,46911,2310506
Penaforte,8879,2310605
Pentecoste,42640,2310704
Pereiro,20055,2310803
Pindoretama,22520,2310852
Piquet Carneiro,17635,2310902
Pires Ferreira,10681,2310951
Poranga,12758,2311009
Porteiras,17810,2311108
Potengi,10321,2311207
Potiretama,10918,2311231
Quiterianópolis,20433,2311264
Quixadá,140944,2311306
Quixelô,24195,2311355
Quixeramobim,113963,2311405
Quixeré,36964,2311504
Redenção,52862,2311603
Reriutaba,26683,2311702
Russas,132363,2311801
Saboeiro,18662,2311900
Salitre,15009,2311959
Santana do Acaraú,38481,2312007
Santana do Cariri,25336,2312106
Santa Quitéria,80296,2312205
São Benedito,61658,2312304
São Gonçalo do Amara,63379,2312403
São João do Jaguarib,15475,2312502
São Luís do Curu,14171,2312601
Senador Pompeu,36348,2312700
Senador Sá,6833,2312809
Sobral,764507,2312908
Solonópole,32660,2313005
Tabuleiro do Norte,47219,2313104
Tamboril,32375,2313203
Tarrafas,8641,2313252
Tauá,77915,2313302
Tejuçuoca,14036,2313351
Tianguá,122598,2313401
Trairi,73392,2313500
Tururu,12777,2313559
Ubajara,54976,2313609
Umari,9317,2313708
Umirim,21413,2313757
Uruburetama,32271,2313807
Uruoca,12509,2313906
Varjota,22942,2313955
Várzea Alegre,47707,2314003
Viçosa do Ceará,52625,2314102
