Localidade,pib,id
Abaiara,12418,2300101
Acarape,30580,2300150
Acaraú,100703,2300200
Acopiara,78579,2300309
Aiuaba,18725,2300408
Alcântaras,14181,2300507
Altaneira,8720,2300606
Alto Santo,38977,2300705
Amontada,82241,2300754
Antonina do Norte,10347,2300804
Apuiarés,18405,2300903
Aquiraz,250231,2301000
Aracati,230527,2301109
Aracoiaba,48526,2301208
Ararendá,16459,2301257
Araripe,31838,2301307
Aratuba,23737,2301406
Arneiroz,14380,2301505
Assaré,29663,2301604
Aurora,39841,2301703
Baixio,9598,2301802
Banabuiú,29242,2301851
Barbalha,140808,2301901
Barreira,37703,2301950
Barro,37262,2302008
Barroquinha,21922,2302057
Baturité,54660,2302107
Beberibe,87922,2302206
Bela Cruz,50146,2302305
Boa Viagem,94805,2302404
Brejo Santo,81648,2302503
Camocim,123258,2302602
Campos Sales,46240,2302701
Canindé,206727,2302800
Capistrano,22578,2302909
Caridade,40822,2303006
Cariré,29567,2303105
Caririaçu,35783,2303204
Cariús,24529,2303303
Carnaubal,21138,2303402
Cascavel,229481,2303501
Catarina,20217,2303600
Catunda,17561,2303659
Caucaia,770866,2303709
Cedro,38654,2303808
Chaval,17996,2303907
Choró,20011,2303931
Chorozinho,36771,2303956
Coreaú,28591,2304004
Crateús,154478,2304103
Crato,337096,2304202
Croatá,25374,2304236
Cruz,39358,2304251
Deputado Irapuan Pin,14248,2304269
Ererê,9926,2304277
Eusébio,469745,2304285
Farias Brito,29808,2304301
Forquilha,31825,2304350
Fortaleza,14348427,2304400
Fortim,48185,2304459
Frecheirinha,19804,2304509
General Sampaio,9364,2304608
Graça,20947,2304657
Granja,64947,2304707
Granjeiro,7615,2304806
Groaíras,14404,2304905
Guaiúba,30440,2304954
Guaraciaba do Norte,68957,2305001
Guaramiranga,13366,2305100
Hidrolândia,35817,2305209
Horizonte,313615,2305233
Ibaretama,23444,2305266
Ibiapina,58924,2305308
Ibicuitinga,16989,2305332
Icapuí,60578,2305357
Icó,96724,2305407
Iguatu,272960,2305506
Independência,45983,2305605
Ipaporanga,18301,2305654
Ipaumirim,19742,2305704
Ipu,68657,2305803
Ipueiras,56079,2305902
Iracema,23129,2306009
Irauçuba,31784,2306108
Itaiçaba,18108,2306207
Itaitinga,49457,2306256
Itapajé,126321,2306306
Itapipoca,254198,2306405
Itapiúna,23663,2306504
Itarema,68723,2306553
Itatira,28140,2306603
Jaguaretama,43954,2306702
Jaguaribara,31221,2306801
Jaguaribe,87284,2306900
Jaguaruana,79776,2307007
Jardim,36065,2307106
Jati,10961,2307205
Jijoca de Jericoacoa,23043,2307254
Juazeiro do Norte,610318,2307304
Jucás,35177,2307403
Lavras da Mangabeira,49834,2307502
Limoeiro do Norte,144983,2307601
Madalena,33946,2307635
Maracanaú,1643834,2307650
Maranguape,257586,2307700
Marco,43557,2307809
Martinópole,12641,2307908
Massapê,48663,2308005
Mauriti,72637,2308104
Meruoca,16968,2308203
Milagres,48230,2308302
Milhã,23492,2308351
Miraíma,16113,2308377
Missão Velha,49840,2308401
Mombaça,64120,2308500
Monsenhor Tabosa,25285,2308609
Morada Nova,148461,2308708
Moraújo,10661,2308807
Morrinhos,28897,2308906
Mucambo,21372,2309003
Mulungu,15304,2309102
Nova Olinda,23589,2309201
Nova Russas,56019,2309300
Novo Oriente,45673,2309409
Ocara,37755,2309458
Orós,43172,2309508
Pacajus,281898,2309607
Pacatuba,175404,2309706
Pacoti,18423,2309805
Pacujá,9647,2309904
Palhano,15344,2310001
Palmácia,14864,2310100
Paracuru,90625,2310209
Paraipaba,53163,2310258
Parambu,54219,2310308
Paramoti,16115,2310407
Pedra Branca,67516,2310506
Penaforte,10659,2310605
Pentecoste,53319,2310704
Pereiro,24091,2310803
Pindoretama,29769,2310852
Piquet Carneiro,22333,2310902
Pires Ferreira,14021,2310951
Poranga,15924,2311009
Porteiras,22612,2311108
Potengi,14058,2311207
Potiretama,11227,2311231
Quiterianópolis,30478,2311264
Quixadá,169405,2311306
Quixelô,32177,2311355
Quixeramobim,133753,2311405
Quixeré,80882,2311504
Redenção,60543,2311603
Reriutaba,32601,2311702
Russas,176751,2311801
Saboeiro,24190,2311900
Salitre,31559,2311959
Santana do Acaraú,50557,2312007
Santana do Cariri,26441,2312106
Santa Quitéria,115264,2312205
São Benedito,77210,2312304
São Gonçalo do Amara,74233,2312403
São João do Jaguarib,19348,2312502
São Luís do Curu,19044,2312601
Senador Pompeu,51296,2312700
Senador Sá,9592,2312809
Sobral,942511,2312908
Solonópole,40451,2313005
Tabuleiro do Norte,51586,2313104
Tamboril,41212,2313203
Tarrafas,11702,2313252
Tauá,103484,2313302
Tejuçuoca,18355,2313351
Tianguá,155832,2313401
Trairi,97969,2313500
Tururu,15949,2313559
Ubajara,60885,2313609
Umari,11150,2313708
Umirim,25445,2313757
Uruburetama,41130,2313807
Uruoca,15343,2313906
Varjota,30831,2313955
Várzea Alegre,52862,2314003
Viçosa do Ceará,63273,2314102
