Localidade,pib,id
Abaiara,15396,2300101
Acarape,31731,2300150
Acaraú,116638,2300200
Acopiara,87137,2300309
Aiuaba,24235,2300408
Alcântaras,16608,2300507
Altaneira,9741,2300606
Alto Santo,38786,2300705
Amontada,99587,2300754
Antonina do Norte,12310,2300804
Apuiarés,21322,2300903
Aquiraz,248667,2301000
Aracati,262029,2301109
Aracoiaba,53939,2301208
Ararendá,19261,2301257
Araripe,51435,2301307
Aratuba,30192,2301406
Arneiroz,16805,2301505
Assaré,38082,2301604
Aurora,50775,2301703
Baixio,11947,2301802
Banabuiú,39711,2301851
Barbalha,143104,2301901
Barreira,43859,2301950
Barro,40479,2302008
Barroquinha,27348,2302057
Baturité,65070,2302107
Beberibe,104262,2302206
Bela Cruz,59320,2302305
Boa Viagem,112269,2302404
Brejo Santo,105382,2302503
Camocim,146151,2302602
Campos Sales,50156,2302701
Canindé,209544,2302800
Capistrano,29044,2302909
Caridade,36199,2303006
Cariré,39085,2303105
Caririaçu,45923,2303204
Cariús,29493,2303303
Carnaubal,25780,2303402
Cascavel,243108,2303501
Catarina,22700,2303600
Catunda,19925,2303659
Caucaia,901027,2303709
Cedro,46849,2303808
Chaval,21231,2303907
Choró,22333,2303931
Chorozinho,39853,2303956
Coreaú,33990,2304004
Crateús,191525,2304103
Crato,380581,2304202
Croatá,33044,2304236
Cruz,43464,2304251
Deputado Irapuan Pin,16628,2304269
Ererê,12043,2304277
Eusébio,444823,2304285
Farias Brito,35947,2304301
Forquilha,37915,2304350
Fortaleza,16048065,2304400
Fortim,69863,2304459
Frecheirinha,23982,2304509
General Sampaio,11545,2304608
Graça,25201,2304657
Granja,74522,2304707
Granjeiro,9065,2304806
Groaíras,16642,2304905
Guaiúba,34585,2304954
Guaraciaba do Norte,91384,2305001
Guaramiranga,16783,2305100
Hidrolândia,44014,2305209
Horizonte,344467,2305233
Ibaretama,25996,2305266
Ibiapina,81515,2305308
Ibicuitinga,19746,2305332
Icapuí,70934,2305357
Icó,115029,2305407
Iguatu,308738,2305506
Independência,55288,2305605
Ipaporanga,22830,2305654
Ipaumirim,21835,2305704
Ipu,81916,2305803
Ipueiras,68531,2305902
Iracema,27618,2306009
Irauçuba,36317,2306108
Itaiçaba,20462,2306207
Itaitinga,56070,2306256
Itapajé,144824,2306306
Itapipoca,283479,2306405
Itapiúna,28307,2306504
Itarema,93617,2306553
Itatira,38293,2306603
Jaguaretama,51048,2306702
Jaguaribara,31400,2306801
Jaguaribe,100651,2306900
Jaguaruana,89625,2307007
Jardim,43792,2307106
Jati,14084,2307205
Jijoca de Jericoacoa,27053,2307254
Juazeiro do Norte,678099,2307304
Jucás,40012,2307403
Lavras da Mangabeira,58019,2307502
Limoeiro do Norte,171413,2307601
Madalena,37545,2307635
Maracanaú,1754204,2307650
Maranguape,281847,2307700
Marco,51446,2307809
Martinópole,14196,2307908
Massapê,61533,2308005
Mauriti,84647,2308104
Meruoca,21302,2308203
Milagres,59818,2308302
Milhã,25345,2308351
Miraíma,17819,2308377
Missão Velha,59519,2308401
Mombaça,73821,2308500
Monsenhor Tabosa,31524,2308609
Morada Nova,170610,2308708
Moraújo,14917,2308807
Morrinhos,41747,2308906
Mucambo,25878,2309003
Mulungu,17599,2309102
Nova Olinda,24831,2309201
Nova Russas,66812,2309300
Novo Oriente,49004,2309409
Ocara,41600,2309458
Orós,49744,2309508
Pacajus,303443,2309607
Pacatuba,180366,2309706
Pacoti,22553,2309805
Pacujá,11792,2309904
Palhano,15350,2310001
Palmácia,17732,2310100
Paracuru,106269,2310209
Paraipaba,65011,2310258
Parambu,63221,2310308
Paramoti,19502,2310407
Pedra Branca,69003,2310506
Penaforte,13356,2310605
Pentecoste,58534,2310704
Pereiro,27904,2310803
Pindoretama,35997,2310852
Piquet Carneiro,25244,2310902
Pires Ferreira,16851,2310951
Poranga,18171,2311009
Porteiras,28756,2311108
Potengi,16895,2311207
Potiretama,12556,2311231
Quiterianópolis,31332,2311264
Quixadá,195914,2311306
Quixelô,37625,2311355
Quixeramobim,169071,2311405
Quixeré,83122,2311504
Redenção,62890,2311603
Reriutaba,39143,2311702
Russas,213110,2311801
Saboeiro,26747,2311900
Salitre,47636,2311959
Santana do Acaraú,59158,2312007
Santana do Cariri,31142,2312106
Santa Quitéria,124383,2312205
São Benedito,95028,2312304
São Gonçalo do Amara,92918,2312403
São João do Jaguarib,21528,2312502
São Luís do Curu,21233,2312601
Senador Pompeu,55061,2312700
Senador Sá,12072,2312809
Sobral,1049594,2312908
Solonópole,47699,2313005
Tabuleiro do Norte,64060,2313104
Tamboril,49002,2313203
Tarrafas,15199,2313252
Tauá,124650,2313302
Tejuçuoca,20643,2313351
Tianguá,198101,2313401
Trairi,113699,2313500
Tururu,19942,2313559
Ubajara,76624,2313609
Umari,12984,2313708
Umirim,30087,2313757
Uruburetama,40898,2313807
Uruoca,19187,2313906
Varjota,39443,2313955
Várzea Alegre,66640,2314003
Viçosa do Ceará,79625,2314102
