Localidade,pib,id,log_pib
Abaiara,33585,2300101,4.526145
Acarape,57295,2300150,4.758117
Acaraú,232006,2300200,5.365499
Acopiara,169175,2300309,5.228336
Aiuaba,48680,2300408,4.687351
Alcântaras,32676,2300507,4.514229
Altaneira,21715,2300606,4.33676
Alto Santo,72397,2300705,4.859721
Amontada,153840,2300754,5.187069
Antonina do Norte,24479,2300804,4.388794
Apuiarés,44143,2300903,4.644862
Aquiraz,601089,2301000,5.778939
Aracati,488662,2301109,5.689009
Aracoiaba,95631,2301208,4.980599
Ararendá,35482,2301257,4.550008
Araripe,84258,2301307,4.925611
Aratuba,50271,2301406,4.701318
Arneiroz,29506,2301505,4.46991
Assaré,76404,2301604,4.883116
Aurora,89421,2301703,4.95144
Baixio,22148,2301802,4.345335
Banabuiú,76058,2301851,4.881145
Barbalha,353661,2301901,5.548587
Barreira,75485,2301950,4.877861
Barro,77054,2302008,4.886795
Barroquinha,53549,2302057,4.728751
Baturité,133153,2302107,5.124351
Beberibe,212948,2302206,5.328274
Bela Cruz,101703,2302305,5.007334
Boa Viagem,194712,2302404,5.289393
Brejo Santo,184788,2302503,5.266674
Camocim,267008,2302602,5.426524
Campos Sales,98470,2302701,4.993304
Canindé,307250,2302800,5.487492
Capistrano,52955,2302909,4.723907
Caridade,60414,2303006,4.781138
Cariré,64844,2303105,4.81187
Caririaçu,87184,2303204,4.940437
Cariús,58820,2303303,4.769525
Carnaubal,65245,2303402,4.814547
Cascavel,388752,2303501,5.589673
Catarina,47668,2303600,4.678227
Catunda,37739,2303659,4.57679
Caucaia,2182801,2303709,6.339014
Cedro,90816,2303808,4.958162
Chaval,44236,2303907,4.645776
Choró,42078,2303931,4.624055
Chorozinho,78025,2303956,4.892234
Coreaú,69437,2304004,4.841591
Crateús,329251,2304103,5.517527
Crato,943346,2304202,5.974671
Croatá,71461,2304236,4.854069
Cruz,76877,2304251,4.885796
Deputado Irapuan Pin,33931,2304269,4.530597
Ererê,24694,2304277,4.392591
Eusébio,1110364,2304285,6.045465
Farias Brito,64327,2304301,4.808393
Forquilha,85412,2304350,4.931519
Fortaleza,31373473,2304400,7.496563
Fortim,64578,2304459,4.810085
Frecheirinha,51833,2304509,4.714606
General Sampaio,25150,2304608,4.400538
Graça,48741,2304657,4.687894
Granja,164175,2304707,5.215307
Granjeiro,19946,2304806,4.299856
Groaíras,33251,2304905,4.521805
Guaiúba,82098,2304954,4.914333
Guaraciaba do Norte,178048,2305001,5.250537
Guaramiranga,25971,2305100,4.414489
Hidrolândia,76315,2305209,4.88261
Horizonte,1053899,2305233,6.022799
Ibaretama,42029,2305266,4.623549
Ibiapina,279855,2305308,5.446933
Ibicuitinga,40382,2305332,4.606188
Icapuí,157077,2305357,5.196113
Icó,238344,2305407,5.377204
Iguatu,599955,2305506,5.778119
Independência,106142,2305605,5.025887
Ipaporanga,34315,2305654,4.535484
Ipaumirim,42845,2305704,4.6319
Ipu,161871,2305803,5.209169
Ipueiras,135858,2305902,5.133085
Iracema,62454,2306009,4.79556
Irauçuba,76482,2306108,4.883559
Itaiçaba,27901,2306207,4.44562
Itaitinga,156410,2306256,5.194265
Itapajé,248986,2306306,5.396175
Itapipoca,530092,2306405,5.724351
Itapiúna,57150,2306504,4.757016
Itarema,162320,2306553,5.210372
Itatira,66827,2306603,4.824952
Jaguaretama,82712,2306702,4.917569
Jaguaribara,49736,2306801,4.696671
Jaguaribe,204831,2306900,5.311396
Jaguaruana,209502,2307007,5.321188
Jardim,91855,2307106,4.963103
Jati,28889,2307205,4.460733
Jijoca de Jericoacoa,63947,2307254,4.80582
Juazeiro do Norte,1587641,2307304,6.200752
Jucás,87718,2307403,4.943089
Lavras da Mangabeira,105809,2307502,5.024523
Limoeiro do Norte,353668,2307601,5.548596
Madalena,65246,2307635,4.814554
Maracanaú,3561350,2307650,6.551615
Maranguape,640186,2307700,5.806306
Marco,108341,2307809,5.034793
Martinópole,30254,2307908,4.480783
Massapê,118767,2308005,5.074696
Mauriti,170079,2308104,5.230651
Meruoca,39825,2308203,4.600156
Milagres,103905,2308302,5.016636
Milhã,49257,2308351,4.692468
Miraíma,37961,2308377,4.579338
Missão Velha,136206,2308401,5.134196
Mombaça,142380,2308500,5.153449
Monsenhor Tabosa,55883,2308609,4.74728
Morada Nova,349826,2308708,5.543852
Moraújo,27321,2308807,4.436497
Morrinhos,68981,2308906,4.838729
Mucambo,45531,2309003,4.658307
Mulungu,46753,2309102,4.669809
Nova Olinda,53576,2309201,4.72897
Nova Russas,120806,2309300,5.082089
Novo Oriente,93386,2309409,4.970282
Ocara,75645,2309458,4.87878
Orós,91304,2309508,4.96049
Pacajus,460832,2309607,5.663543
Pacatuba,476587,2309706,5.678142
Pacoti,48072,2309805,4.681892
Pacujá,21235,2309904,4.327052
Palhano,38896,2310001,4.589905
Palmácia,34299,2310100,4.535281
Paracuru,166520,2310209,5.221466
Paraipaba,140733,2310258,5.148396
Parambu,103984,2310308,5.016967
Paramoti,41974,2310407,4.62298
Pedra Branca,132183,2310506,5.121176
Penaforte,39606,2310605,4.597761
Pentecoste,149298,2310704,5.174054
Pereiro,53559,2310803,4.728832
Pindoretama,78477,2310852,4.894742
Piquet Carneiro,51225,2310902,4.709482
Pires Ferreira,31378,2310951,4.496625
Poranga,35092,2311009,4.545208
Porteiras,53113,2311108,4.725201
Potengi,34222,2311207,4.534305
Potiretama,25387,2311231,4.404611
Quiterianópolis,63458,2311264,4.802486
Quixadá,449811,2311306,5.65303
Quixelô,56962,2311355,4.755585
Quixeramobim,348434,2311405,5.542121
Quixeré,135614,2311504,5.132305
Redenção,99329,2311603,4.997076
Reriutaba,70445,2311702,4.84785
Russas,438673,2311801,5.642141
Saboeiro,48816,2311900,4.688562
Salitre,77842,2311959,4.891214
Santana do Acaraú,108306,2312007,5.034653
Santana do Cariri,67800,2312106,4.83123
Santa Quitéria,190520,2312205,5.279941
São Benedito,203652,2312304,5.308889
São Gonçalo do Amara,679220,2312403,5.83201
São João do Jaguarib,37193,2312502,4.570461
São Luís do Curu,48638,2312601,4.686976
Senador Pompeu,108348,2312700,5.034821
Senador Sá,26137,2312809,4.417256
Sobral,1948209,2312908,6.289636
Solonópole,85577,2313005,4.932357
Tabuleiro do Norte,136690,2313104,5.135737
Tamboril,89748,2313203,4.953025
Tarrafas,26666,2313252,4.425958
Tauá,241537,2313302,5.382984
Tejuçuoca,46994,2313351,4.672042
Tianguá,375056,2313401,5.574096
Trairi,195051,2313500,5.290148
Tururu,41088,2313559,4.613715
Ubajara,174428,2313609,5.241616
Umari,25435,2313708,4.405432
Umirim,60957,2313757,4.785024
Uruburetama,106392,2313807,5.026909
Uruoca,41682,2313906,4.619949
Varjota,76740,2313955,4.885022
Várzea Alegre,133691,2314003,5.126102
Viçosa do Ceará,188719,2314102,5.275816
