Localidade,pib,id,log_pib
Abaiara,11551,2300101,4.06262
Acarape,29895,2300150,4.475599
Acaraú,83643,2300200,4.92243
Acopiara,64515,2300309,4.809661
Aiuaba,15550,2300408,4.19173
Alcântaras,12185,2300507,4.085826
Altaneira,6974,2300606,3.843482
Alto Santo,32415,2300705,4.510746
Amontada,67526,2300754,4.829471
Antonina do Norte,7289,2300804,3.862668
Apuiarés,15686,2300903,4.195512
Aquiraz,213232,2301000,5.328852
Aracati,196786,2301109,5.293994
Aracoiaba,40203,2301208,4.604258
Ararendá,16323,2301257,4.2128
Araripe,29095,2301307,4.463818
Aratuba,21910,2301406,4.340642
Arneiroz,11340,2301505,4.054613
Assaré,25640,2301604,4.408918
Aurora,31592,2301703,4.499577
Baixio,8037,2301802,3.905094
Banabuiú,25236,2301851,4.402021
Barbalha,130095,2301901,5.114261
Barreira,33267,2301950,4.522014
Barro,27335,2302008,4.436719
Barroquinha,18398,2302057,4.264771
Baturité,58041,2302107,4.763735
Beberibe,77125,2302206,4.887195
Bela Cruz,39878,2302305,4.600733
Boa Viagem,78999,2302404,4.897622
Brejo Santo,77123,2302503,4.887184
Camocim,96711,2302602,4.985476
Campos Sales,40656,2302701,4.609125
Canindé,180026,2302800,5.255335
Capistrano,20299,2302909,4.307475
Caridade,51587,2303006,4.71254
Cariré,24895,2303105,4.396112
Caririaçu,29750,2303204,4.473487
Cariús,21706,2303303,4.33658
Carnaubal,19115,2303402,4.281374
Cascavel,190095,2303501,5.278971
Catarina,15938,2303600,4.202434
Catunda,13591,2303659,4.133251
Caucaia,665919,2303709,5.823421
Cedro,34191,2303808,4.533912
Chaval,15625,2303907,4.19382
Choró,14898,2303931,4.173128
Chorozinho,32595,2303956,4.513151
Coreaú,25247,2304004,4.40221
Crateús,151132,2304103,5.179356
Crato,297349,2304202,5.473266
Croatá,25055,2304236,4.398894
Cruz,34044,2304251,4.532041
Deputado Irapuan Pin,11163,2304269,4.047781
Ererê,7768,2304277,3.890309
Eusébio,338677,2304285,5.529786
Farias Brito,23183,2304301,4.36517
Forquilha,26098,2304350,4.416607
Fortaleza,11996572,2304400,7.079057
Fortim,42219,2304459,4.625508
Frecheirinha,18079,2304509,4.257174
General Sampaio,7944,2304608,3.900039
Graça,18411,2304657,4.265077
Granja,57628,2304707,4.760634
Granjeiro,6883,2304806,3.837778
Groaíras,11105,2304905,4.045519
Guaiúba,26951,2304954,4.430575
Guaraciaba do Norte,63847,2305001,4.80514
Guaramiranga,12767,2305100,4.106089
Hidrolândia,24832,2305209,4.395012
Horizonte,262047,2305233,5.418379
Ibaretama,16060,2305266,4.205746
Ibiapina,50119,2305308,4.700002
Ibicuitinga,12618,2305332,4.100991
Icapuí,54731,2305357,4.738233
Icó,86707,2305407,4.938054
Iguatu,251862,2305506,5.401163
Independência,40192,2305605,4.60414
Ipaporanga,17785,2305654,4.250054
Ipaumirim,15417,2305704,4.188
Ipu,63546,2305803,4.803088
Ipueiras,50786,2305902,4.705744
Iracema,19913,2306009,4.299137
Irauçuba,25901,2306108,4.413317
Itaiçaba,15557,2306207,4.191926
Itaitinga,38701,2306256,4.587722
Itapajé,94597,2306306,4.975877
Itapipoca,227127,2306405,5.356269
Itapiúna,20482,2306504,4.311372
Itarema,62376,2306553,4.795018
Itatira,22181,2306603,4.345981
Jaguaretama,34338,2306702,4.535775
Jaguaribara,20477,2306801,4.311266
Jaguaribe,81915,2306900,4.913363
