Localidade,pib,id
Abaiara,16519,2300101
Acarape,32591,2300150
Acaraú,141564,2300200
Acopiara,105507,2300309
Aiuaba,29668,2300408
Alcântaras,20789,2300507
Altaneira,12126,2300606
Alto Santo,37997,2300705
Amontada,126086,2300754
Antonina do Norte,16052,2300804
Apuiarés,28252,2300903
Aquiraz,347545,2301000
Aracati,341617,2301109
Aracoiaba,59313,2301208
Ararendá,22638,2301257
Araripe,48589,2301307
Aratuba,36583,2301406
Arneiroz,19632,2301505
Assaré,42144,2301604
Aurora,52019,2301703
Baixio,14313,2301802
Banabuiú,50790,2301851
Barbalha,183664,2301901
Barreira,49278,2301950
Barro,42986,2302008
Barroquinha,36989,2302057
Baturité,82404,2302107
Beberibe,137914,2302206
Bela Cruz,65621,2302305
Boa Viagem,123122,2302404
Brejo Santo,117740,2302503
Camocim,184258,2302602
Campos Sales,60869,2302701
Canindé,196138,2302800
Capistrano,34957,2302909
Caridade,34298,2303006
Cariré,41852,2303105
Caririaçu,50523,2303204
Cariús,35284,2303303
Carnaubal,32846,2303402
Cascavel,336435,2303501
Catarina,30045,2303600
Catunda,21821,2303659
Caucaia,1149555,2303709
Cedro,57801,2303808
Chaval,29414,2303907
Choró,26005,2303931
Chorozinho,49111,2303956
Coreaú,42974,2304004
Crateús,210517,2304103
Crato,471974,2304202
Croatá,42545,2304236
Cruz,52245,2304251
Deputado Irapuan Pin,20990,2304269
Ererê,14614,2304277
Eusébio,585324,2304285
Farias Brito,41507,2304301
Forquilha,61624,2304350
Fortaleza,20060099,2304400
Fortim,48248,2304459
Frecheirinha,29024,2304509
General Sampaio,13818,2304608
Graça,31728,2304657
Granja,90704,2304707
Granjeiro,10967,2304806
Groaíras,19085,2304905
Guaiúba,43823,2304954
Guaraciaba do Norte,109043,2305001
Guaramiranga,18529,2305100
Hidrolândia,48798,2305209
Horizonte,513511,2305233
Ibaretama,30260,2305266
Ibiapina,87517,2305308
Ibicuitinga,26404,2305332
Icapuí,95452,2305357
Icó,140620,2305407
Iguatu,387761,2305506
Independência,62745,2305605
Ipaporanga,24114,2305654
Ipaumirim,25375,2305704
Ipu,106963,2305803
Ipueiras,82138,2305902
Iracema,35633,2306009
Irauçuba,44447,2306108
Itaiçaba,26563,2306207
Itaitinga,82805,2306256
Itapajé,189243,2306306
Itapipoca,334952,2306405
Itapiúna,37155,2306504
Itarema,112101,2306553
Itatira,40030,2306603
Jaguaretama,56043,2306702
Jaguaribara,34205,2306801
Jaguaribe,114763,2306900
Jaguaruana,117739,2307007
Jardim,53128,2307106
Jati,16364,2307205
Jijoca de Jericoacoa,36544,2307254
Juazeiro do Norte,856517,2307304
Jucás,48340,2307403
Lavras da Mangabeira,66635,2307502
Limoeiro do Norte,270192,2307601
Madalena,39106,2307635
Maracanaú,2312878,2307650
Maranguape,466063,2307700
Marco,64635,2307809
Martinópole,16915,2307908
Massapê,73858,2308005
Mauriti,91582,2308104
Meruoca,25068,2308203
Milagres,58813,2308302
Milhã,33602,2308351
Miraíma,21604,2308377
Missão Velha,66359,2308401
Mombaça,90075,2308500
Monsenhor Tabosa,34824,2308609
Morada Nova,193659,2308708
Moraújo,20086,2308807
Morrinhos,39674,2308906
Mucambo,29916,2309003
Mulungu,25897,2309102
Nova Olinda,31120,2309201
Nova Russas,79963,2309300
Novo Oriente,55511,2309409
Ocara,47061,2309458
Orós,60249,2309508
Pacajus,357708,2309607
Pacatuba,214620,2309706
Pacoti,29670,2309805
Pacujá,13298,2309904
Palhano,18641,2310001
Palmácia,19961,2310100
Paracuru,140441,2310209
Paraipaba,88388,2310258
Parambu,72030,2310308
Paramoti,23738,2310407
Pedra Branca,91414,2310506
Penaforte,15631,2310605
Pentecoste,75888,2310704
Pereiro,31280,2310803
Pindoretama,45341,2310852
Piquet Carneiro,30615,2310902
Pires Ferreira,22136,2310951
Poranga,22972,2311009
Porteiras,31142,2311108
Potengi,21071,2311207
Potiretama,14305,2311231
Quiterianópolis,41666,2311264
Quixadá,235316,2311306
Quixelô,43379,2311355
Quixeramobim,211838,2311405
Quixeré,128897,2311504
Redenção,78051,2311603
Reriutaba,47801,2311702
Russas,290900,2311801
Saboeiro,31980,2311900
Salitre,31987,2311959
Santana do Acaraú,68659,2312007
Santana do Cariri,38190,2312106
Santa Quitéria,126715,2312205
São Benedito,116161,2312304
São Gonçalo do Amara,127802,2312403
São João do Jaguarib,24732,2312502
São Luís do Curu,29755,2312601
Senador Pompeu,70528,2312700
Senador Sá,17225,2312809
Sobral,1489686,2312908
Solonópole,54455,2313005
Tabuleiro do Norte,81331,2313104
Tamboril,54689,2313203
Tarrafas,14399,2313252
Tauá,158078,2313302
Tejuçuoca,28259,2313351
Tianguá,241589,2313401
Trairi,151193,2313500
Tururu,25569,2313559
Ubajara,95245,2313609
Umari,15699,2313708
Umirim,37801,2313757
Uruburetama,77645,2313807
Uruoca,22778,2313906
Varjota,46270,2313955
Várzea Alegre,76972,2314003
Viçosa do Ceará,105496,2314102
