Nome,chuva_total,idh
Abaiara,825.8,0.286
Acarape,996.9,0.349
Acaraú,885.9,0.277
Acopiara,603.05,0.254
Aiuaba,518.1,0.256
Alcântaras,631.0,0.285
Altaneira,625.2,0.288
Alto Santo,616.1,0.304
Amontada,664.3,0.241
Antonina do Norte,350.9,0.309
Apuiarés,718.5,0.274
Aquiraz,1461.0,0.327
Aracati,656.1,0.371
Aracoiaba,678.3,0.319
Ararendá,348.6,0.201
Araripe,490.4,0.25
Aratuba,848.5,0.288
Arneiroz,409.8,0.275
Assaré,436.9,0.271
Aurora,831.15,0.294
Baixio,740.0,0.323
Banabuiú,731.75,0.286
Barbalha,968.55,0.381
Barreira,615.0,0.31
Barro,779.1,0.286
Barroquinha,1144.8,0.192
Baturité,742.0,0.368
Beberibe,758.1,0.283
Bela Cruz,766.0,0.26
Boa Viagem,453.15,0.296
Brejo Santo,747.4,0.363
Camocim,1278.6,0.305
Campos Sales,380.6,0.314
Canindé,514.02,0.302
Capistrano,687.2,0.277
Caridade,724.9,0.287
Cariré,682.9,0.269
Caririaçu,700.1,0.245
Cariús,460.15,0.26
Carnaubal,485.8,0.25
Cascavel,1042.0,0.318
Catarina,424.6,0.266
Catunda,687.0,0.249
Caucaia,1050.85,0.411
Cedro,772.6,0.373
Chaval,1062.3,0.274
Choró,445.1,0.246
Chorozinho,650.9,0.253
Coreaú,930.0,0.302
Crateús,486.2,0.36
Crato,847.7,0.444
Croatá,434.6,0.214
Cruz,871.0,0.268
Ererê,809.0,0.291
Eusébio,1271.3,0.377
Farias Brito,704.8,0.308
Forquilha,633.0,0.314
Fortaleza,1265.88,0.546
Fortim,551.0,0.276
Frecheirinha,873.5,0.326
General Sampaio,664.7,0.261
Graça,613.5,0.149
Granja,905.2,0.25
Granjeiro,799.3,0.266
Groaíras,676.9,0.355
Guaiúba,696.5,0.333
Guaraciaba do Norte,1301.4,0.301
Guaramiranga,1404.9,0.326
Hidrolândia,751.2,0.25
Horizonte,1586.2,0.311
Ibaretama,907.7,0.272
Ibiapina,1217.0,0.284
Ibicuitinga,602.9,0.306
Icapuí,722.9,0.301
Icó,485.94,0.299
Iguatu,623.2,0.394
Independência,611.4,0.326
Ipaporanga,634.5,0.157
Ipaumirim,665.7,0.329
Ipu,748.5,0.318
Ipueiras,649.6,0.241
Iracema,743.2,0.323
Irauçuba,382.3,0.314
Itaiçaba,485.8,0.346
Itaitinga,934.8,0.32
Itapajé,810.9,0.354
Itapipoca,1270.15,0.332
Itapiúna,421.35,0.318
Itarema,1281.3,0.249
Itatira,381.5,0.208
Jaguaretama,603.6,0.305
Jaguaribara,737.9,0.361
Jaguaribe,491.11,0.37
Jaguaruana,375.1,0.355
Jardim,442.0,0.304
Jati,518.4,0.327
Juazeiro do Norte,965.5,0.419
Jucás,820.5,0.246
Lavras da Mangabeira,500.75,0.336
Limoeiro do Norte,502.25,0.433
Madalena,534.1,0.287
Maracanaú,801.0,0.42
Maranguape,632.42,0.369
Marco,803.9,0.306
Martinópole,891.8,0.275
Massapê,872.4,0.298
Mauriti,560.79,0.278
Meruoca,1283.0,0.306
Milagres,736.9,0.327
Milhã,494.0,0.282
Miraíma,685.5,0.269
Missão Velha,963.25,0.302
Mombaça,482.0,0.269
Monsenhor Tabosa,762.8,0.306
Morada Nova,543.4,0.335
Moraújo,1044.0,0.323
Morrinhos,572.3,0.296
Mucambo,877.6,0.291
Mulungu,1058.1,0.342
Nova Olinda,919.2,0.313
Nova Russas,699.0,0.324
Novo Oriente,760.6,0.284
Ocara,674.3,0.278
Orós,755.0,0.366
Pacajus,704.1,0.355
Pacatuba,1181.7,0.385
Pacoti,1264.5,0.345
Pacujá,962.7,0.384
Palhano,577.2,0.31
Palmácia,1320.25,0.352
Paracuru,1012.8,0.34
Paraipaba,1235.2,0.357
Parambu,583.8,0.304
Paramoti,450.4,0.231
Pedra Branca,682.85,0.247
Penaforte,496.5,0.401
Pentecoste,656.21,0.307
Pereiro,879.5,0.296
Pindoretama,1001.7,0.318
Piquet Carneiro,535.3,0.292
Pires Ferreira,407.5,0.241
Poranga,394.0,0.199
Porteiras,623.2,0.296
Potengi,606.3,0.304
Potiretama,597.1,0.251
Quiterianópolis,766.4,0.24
Quixadá,399.56,0.383
Quixelô,644.6,0.258
Quixeramobim,375.06,0.356
Quixeré,484.2,0.33
Redenção,1033.6,0.349
Reriutaba,872.1,0.298
Russas,417.75,0.398
Saboeiro,327.1,0.223
Salitre,424.2,0.189
Santana do Acaraú,789.7,0.314
Santana do Cariri,704.6,0.302
Santa Quitéria,681.5,0.281
São Benedito,887.3,0.289
São Luís do Curu,984.8,0.365
Senador Pompeu,497.1,0.371
Senador Sá,753.6,0.249
Sobral,394.28,0.406
Solonópole,589.0,0.309
Tabuleiro do Norte,533.0,0.362
Tamboril,631.4,0.241
Tarrafas,454.1,0.21
Tauá,372.75,0.338
Tejuçuoca,610.2,0.253
Tianguá,1051.2,0.341
Trairi,1381.5,0.291
Tururu,597.0,0.298
Ubajara,1310.7,0.331
Umari,787.5,0.265
Umirim,1082.4,0.275
Uruburetama,1039.5,0.344
Uruoca,741.8,0.235
Varjota,634.4,0.351
Várzea Alegre,863.7,0.307
Viçosa do Ceará,1062.1,0.235
