Nome,chuva_total,idh
Abaiara,825.8,0.628
Acarape,996.9,0.606
Acaraú,885.9,0.601
Acopiara,603.05,0.595
Aiuaba,518.1,0.569
Alcântaras,631.0,0.6
Altaneira,625.2,0.602
Alto Santo,616.1,0.601
Amontada,664.3,0.606
Antonina do Norte,350.9,0.599
Apuiarés,718.5,0.618
Aquiraz,1461.0,0.641
Aracati,656.1,0.655
Aracoiaba,678.3,0.615
Ararendá,348.6,0.59
Araripe,490.4,0.564
Aratuba,848.5,0.622
Arneiroz,409.8,0.618
Assaré,436.9,0.6
Aurora,831.15,0.605
Baixio,740.0,0.627
Banabuiú,731.75,0.606
Barbalha,968.55,0.683
Barreira,615.0,0.616
Barro,779.1,0.599
Barroquinha,1144.8,0.571
Baturité,742.0,0.619
Beberibe,758.1,0.638
Bela Cruz,766.0,0.623
Boa Viagem,453.15,0.598
Brejo Santo,747.4,0.647
Camocim,1278.6,0.62
Campos Sales,380.6,0.63
Canindé,514.02,0.612
Capistrano,687.2,0.611
Caridade,724.9,0.592
Cariré,682.9,0.596
Caririaçu,700.1,0.578
Cariús,460.15,0.597
Carnaubal,485.8,0.593
Cascavel,1042.0,0.646
Catarina,424.6,0.618
Catunda,687.0,0.609
Caucaia,1050.85,0.682
Cedro,772.6,0.627
Chaval,1062.3,0.586
Choró,445.1,0.585
Chorozinho,650.9,0.604
Coreaú,930.0,0.61
Crateús,486.2,0.644
Crato,847.7,0.713
Croatá,434.6,0.59
Cruz,871.0,0.632
Ererê,809.0,0.61
Eusébio,1271.3,0.701
Farias Brito,704.8,0.633
Forquilha,633.0,0.644
Fortaleza,1265.88,0.754
Fortim,551.0,0.624
Frecheirinha,873.5,0.604
General Sampaio,664.7,0.568
Graça,613.5,0.57
Granja,905.2,0.559
Granjeiro,799.3,0.585
Groaíras,676.9,0.633
Guaiúba,696.5,0.617
Guaraciaba do Norte,1301.4,0.609
Guaramiranga,1404.9,0.637
Hidrolândia,751.2,0.597
Horizonte,1586.2,0.658
Ibaretama,907.7,0.577
Ibiapina,1217.0,0.608
Ibicuitinga,602.9,0.606
Icapuí,722.9,0.616
Icó,485.94,0.606
Iguatu,623.2,0.677
Independência,611.4,0.632
Ipaporanga,634.5,0.579
Ipaumirim,665.7,0.606
Ipu,748.5,0.618
Ipueiras,649.6,0.573
Iracema,743.2,0.652
Irauçuba,382.3,0.605
Itaiçaba,485.8,0.656
Itaitinga,934.8,0.626
Itapajé,810.9,0.623
Itapipoca,1270.15,0.64
Itapiúna,421.35,0.604
Itarema,1281.3,0.606
Itatira,381.5,0.562
Jaguaretama,603.6,0.612
Jaguaribara,737.9,0.618
Jaguaribe,491.11,0.621
Jaguaruana,375.1,0.624
Jardim,442.0,0.614
Jati,518.4,0.651
Juazeiro do Norte,965.5,0.694
Jucás,820.5,0.598
Lavras da Mangabeira,500.75,0.613
Limoeiro do Norte,502.25,0.682
Madalena,534.1,0.61
Maracanaú,801.0,0.686
Maranguape,632.42,0.659
Marco,803.9,0.612
Martinópole,891.8,0.599
Massapê,872.4,0.616
Mauriti,560.79,0.605
Meruoca,1283.0,0.618
Milagres,736.9,0.628
Milhã,494.0,0.626
Miraíma,685.5,0.592
Missão Velha,963.25,0.622
Mombaça,482.0,0.582
Monsenhor Tabosa,762.8,0.61
Morada Nova,543.4,0.61
Moraújo,1044.0,0.581
Morrinhos,572.3,0.588
Mucambo,877.6,0.607
Mulungu,1058.1,0.607
Nova Olinda,919.2,0.625
Nova Russas,699.0,0.614
Novo Oriente,760.6,0.605
Ocara,674.3,0.594
Orós,755.0,0.636
Pacajus,704.1,0.659
Pacatuba,1181.7,0.675
Pacoti,1264.5,0.635
Pacujá,962.7,0.621
Palhano,577.2,0.638
Palmácia,1320.25,0.622
Paracuru,1012.8,0.637
Paraipaba,1235.2,0.634
Parambu,583.8,0.57
Paramoti,450.4,0.583
Pedra Branca,682.85,0.603
Penaforte,496.5,0.646
Pentecoste,656.21,0.629
Pereiro,879.5,0.601
Pindoretama,1001.7,0.636
Piquet Carneiro,535.3,0.6
Pires Ferreira,407.5,0.591
Poranga,394.0,0.581
Porteiras,623.2,0.622
Potengi,606.3,0.562
Potiretama,597.1,0.604
Quiterianópolis,766.4,0.594
Quixadá,399.56,0.659
Quixelô,644.6,0.591
Quixeramobim,375.06,0.642
Quixeré,484.2,0.622
Redenção,1033.6,0.626
Reriutaba,872.1,0.601
Russas,417.75,0.674
Saboeiro,327.1,0.575
Salitre,424.2,0.54
Santana do Acaraú,789.7,0.587
Santana do Cariri,704.6,0.612
Santa Quitéria,681.5,0.616
São Benedito,887.3,0.611
São Luís do Curu,984.8,0.62
Senador Pompeu,497.1,0.619
Senador Sá,753.6,0.603
Sobral,394.28,0.714
Solonópole,589.0,0.625
Tabuleiro do Norte,533.0,0.645
Tamboril,631.4,0.58
Tarrafas,454.1,0.576
Tauá,372.75,0.633
Tejuçuoca,610.2,0.584
Tianguá,1051.2,0.657
Trairi,1381.5,0.606
Tururu,597.0,0.606
Ubajara,1310.7,0.648
Umari,787.5,0.591
Umirim,1082.4,0.587
Uruburetama,1039.5,0.639
Uruoca,741.8,0.566
Varjota,634.4,0.611
Várzea Alegre,863.7,0.629
Viçosa do Ceará,1062.1,0.571
